userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
191261294,176,1,5808,1701,3040,2343,3861,290600,T
968682199,1515,22,254520,3008,5197,2343,4588,291450,T
475343554,309,1,75087,744,3402,937,3809,291328,T
783413263,1404,34,50544,579,2916,1875,4441,291132,T
754239903,360,15,31680,1528,5014,468,4383,291407,T
724656678,257,1,11565,2671,3915,1875,4307,291128,T
563215439,303,1,32421,646,2977,937,4697,290586,T
904440292,1360,22,82960,901,5104,937,7677,291309,T
629642189,1412,2,338880,1299,14292,2343,5955,290757,T
620001377,1538,1,332208,1701,4026,2343,4706,291014,T
107803752,360,1,62640,2402,16814,1875,6259,291410,T
068350171,1359,1,80181,2775,3073,1875,8374,291498,T
700828764,1479,21,159732,1394,6647,468,4588,291379,T
186182378,1353,6,37884,1221,8167,1406,4211,291430,T
826420085,1453,21,360344,1415,8167,1406,6431,291445,T
268572568,2321,6,505978,1116,6647,1406,3749,291182,T
187567637,2244,21,536316,1066,6214,937,4055,291072,T
185411535,1402,10,33648,1176,8662,1406,6539,291452,T
803319233,2161,34,419234,2149,40835,937,5757,291020,T
363993981,1528,4,287264,756,3248,1875,3705,291132,T
963246118,1432,10,37232,586,3528,1406,5913,290879,T
022157601,1493,32,40311,2887,3761,468,6411,291328,T
858582469,1488,1,41664,1054,4083,1875,8364,290930,T
727993299,1477,20,196441,1905,47641,1406,5981,291444,T
717039666,1537,1,127571,871,12428,468,3926,290670,T
874480340,302,1,30200,2056,3761,937,5706,291459,T
575078958,1373,34,72769,871,19056,1875,5816,291278,T
356093218,1394,9,190978,992,5393,1406,3823,291198,T
543123579,1468,1,281856,1918,28584,2343,6361,291456,T
083431273,341,1,41261,1401,2887,937,4714,291474,T
603544118,417,1,61299,677,4203,468,4546,290858,T
905811961,1464,1,216672,671,5604,937,7669,291461,T
830072594,443,1,29681,601,4083,1406,4450,291307,T
050902311,2253,1,461865,1259,3008,937,4041,290608,T
120114381,484,7,23232,571,6805,468,6229,291534,T
994416154,1424,6,74048,572,8932,937,8228,291484,T
373437908,1466,2,303462,2071,10208,2343,8025,290944,T
847109667,1531,1,136259,1701,5955,1406,4312,290782,T
246375302,2291,34,529221,874,7940,1406,4152,290941,F
622009595,1389,10,51393,614,6805,1406,6195,291064,T
812802558,1529,24,284394,704,2946,2343,6514,291141,T
373360128,1451,17,304710,766,9856,2343,4448,291490,T
390888398,1517,12,289747,698,2946,2343,7882,290541,T
242137259,1392,7,103008,992,2858,1406,6130,291321,T
860931217,484,16,85184,1570,14292,468,4106,290566,T
080358921,1366,28,251344,608,8662,2343,8323,291455,T
449988508,315,1,59220,985,3323,937,4606,291391,T
996157363,1548,16,133128,678,2916,937,6268,291429,T
681822700,1394,17,334560,626,4083,2343,7473,290694,T
537315743,436,9,30520,573,6496,468,5810,290842,T
420687403,1527,27,239739,2887,20417,468,4429,290746,T
498292850,1488,4,96720,956,3443,468,5753,291250,T
901386536,1412,1,196268,2382,20417,1406,4489,291092,T
260402315,1452,12,344124,677,3618,1875,5669,291278,T
