userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
514581991,1373,18,85126,1034,1545,1638,4470,156700,T
279253813,3793,38,466539,517,4782,655,3276,156368,T
414951965,2016,150,395136,438,2068,982,5863,156040,T
094578296,2157,169,532779,412,1719,1310,2914,156461,T
532531750,3693,22,646275,456,1987,1638,2990,156214,T
067276550,1989,152,457470,1034,2508,1310,6109,156101,T
448155995,1996,175,381236,718,1821,982,3914,156251,T
429526454,3803,23,939341,375,5465,1310,3329,156603,T
418920314,3670,11,734000,484,3923,1638,4145,156271,T
108814625,1272,3,279840,336,2186,327,6052,155976,F
643029183,2069,144,488284,412,1843,327,4875,156187,T
587594705,2118,167,285930,334,1628,1638,4536,156097,T
223268766,2016,155,108864,320,2125,327,3207,156453,T
850114317,3797,8,941656,322,9001,982,3577,156707,T
447861446,3780,40,650160,552,1610,327,3115,156918,T
298966367,1341,23,26820,1214,10202,1638,2649,156482,T
346160762,1995,141,490770,535,2429,1638,5768,156196,T
456438355,2907,32,581400,1912,17003,327,4829,156341,T
950912679,2115,168,241110,579,9564,982,5475,156369,T
690062478,2064,176,90816,884,3558,1638,3362,156219,T
563416339,1426,9,337962,423,17003,655,2957,155991,F
966389059,3638,25,451112,1307,3123,982,4370,156826,T
917588778,2042,168,347140,326,3825,327,3351,156574,T
771407112,3735,29,593865,427,5667,655,5581,156533,T
187011480,1341,1,119349,1027,3326,982,3599,156516,T
456404550,1303,22,49514,326,2068,327,6043,156160,F
335632816,2049,170,202851,831,1800,327,5926,156890,T
327502898,1410,1,19740,369,1663,327,5430,156355,F
543015898,2082,173,389334,874,5667,655,4234,156248,T
930841806,1425,1,28500,2155,6121,327,4608,156275,T
205023035,3720,27,799800,363,1843,655,2672,156316,T
961964190,3668,28,183400,916,4027,1638,3438,156319,T
151984507,2149,169,532952,683,5667,1310,2612,156863,T
158392096,3784,36,790856,481,10930,1638,6156,156537,T
829881225,2008,152,140560,487,6121,327,5944,156574,T
762181857,2065,178,247800,446,1610,655,6174,156670,T
141899649,1450,15,252300,1843,2684,655,5735,156698,T
254069878,3647,29,171409,637,5101,327,5994,156501,T
265801549,3775,26,509625,1577,3188,982,5680,156115,T
337418133,2137,152,209426,1391,3643,982,3490,156857,T
113015243,1994,139,71784,423,2155,982,5483,156826,T
307660033,2096,152,176064,705,3188,1638,2674,156626,T
415767360,3770,15,927420,522,2887,1638,5374,156409,T
049530189,3643,4,360657,350,1987,327,3378,156601,T
491665323,3678,40,110340,513,2468,1310,3977,156536,T
364788104,3793,18,121376,431,1821,982,6175,156657,T
992415858,3676,9,411712,1177,2284,327,4452,156732,T
751621762,1319,5,251929,1342,3123,982,4327,156443,T
284323599,3756,26,582180,987,2217,655,2842,156368,T
432639822,3762,15,752400,452,4250,982,6027,156261,T
646386121,3778,20,120896,757,11771,655,4927,156254,T
682587510,1396,29,104700,381,3060,327,2993,156783,F
665789438,3669,28,139422,801,1843,1310,2870,155978,T
069159362,1299,24,105219,590,1912,327,6212,156602,F
052024368,1307,1,124165,1168,4936,327,5253,156865,T
702314271,2086,172,308728,441,10202,1310,4832,156349,T
