userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
341982918,2135,155,121695,478,17003,655,6070,156223,T
298906762,1528,51,82512,478,739,655,6134,156411,F
621716061,2058,206,205800,478,3558,1638,3557,156881,T
840694481,1426,3,72726,478,388,327,6087,156191,F
979336910,3878,65,89194,478,956,1638,5537,156382,T
622314096,1451,3,56589,478,409,982,6227,156117,F
794167254,3833,64,364135,478,379,327,4170,156580,T
428044142,1404,19,84240,478,634,655,3544,155996,F
472810249,2063,145,41260,478,19129,1310,3999,156934,T
241853983,1440,52,28800,478,1800,327,6201,156065,F
573897593,2172,208,76020,478,315,982,5752,156110,T
362090196,1501,55,97565,478,593,327,5881,156147,F
869605517,3800,52,361000,478,962,1310,6053,156400,T
828568051,1424,41,86864,478,422,327,4836,156392,F
469630853,3712,33,230144,478,411,1310,3100,156414,T
901979491,1538,10,123040,478,916,327,4879,156853,F
474280510,2116,146,50784,478,309,1638,3427,156978,T
873937853,1527,26,112998,478,363,327,4697,156807,F
542194425,2135,179,177205,478,357,327,3362,156686,T
600021139,1325,46,100700,478,586,655,4323,156074,F
871051606,1398,19,127218,478,1204,327,3223,156110,F
220934010,2138,185,211662,478,416,1638,3595,155989,T
555947158,3637,37,101836,478,3400,1310,3261,156574,T
713040606,1363,1,43616,478,400,327,6132,156791,F
095494267,1332,33,47952,478,1719,982,2571,156151,F
931558735,2199,141,140736,478,386,1638,4554,156366,T
475156775,3646,4,295326,478,361,1638,3123,156634,T
903662700,1541,16,63181,478,1530,327,3973,156013,F
332364004,3704,43,151864,478,479,982,2802,156315,T
517506576,1320,39,55440,478,524,327,4130,156589,F
616483120,2129,191,48967,478,1142,327,4025,156616,T
922337729,1523,9,56351,478,355,982,3560,156483,F
230755250,3924,35,337464,478,478,327,4087,155974,T
888092293,1398,4,109044,478,446,327,4393,156617,F
786684394,1353,6,87945,478,1296,982,2769,156406,F
506257382,2222,165,153318,478,597,1310,5663,156718,T
877990256,3854,10,258218,478,637,1310,5335,156616,T
365933985,1317,14,42144,478,538,327,2788,156282,F
166443592,3814,9,335632,478,3326,655,5773,156268,T
310252051,1395,21,83700,478,1142,655,4116,156675,F
998734880,1992,183,53784,478,780,982,4133,156420,T
752525188,1273,25,58558,478,4936,327,5542,156607,F
018502785,2127,195,157398,478,416,1310,5571,156082,T
060606938,1468,8,58720,478,444,982,3293,156701,F
117343665,3831,3,268170,478,347,327,2902,156315,T
659649343,1517,17,119843,478,1378,327,4043,156430,F
962376447,3876,52,313956,478,338,1310,4760,156481,T
837850156,1552,33,63632,478,351,327,5344,156228,F
923246450,1527,19,71769,478,622,655,5419,156671,F
165641039,3754,34,326598,478,442,1638,3054,156205,T
294505609,2096,209,50304,478,3326,1310,5316,156512,T
267917635,1376,1,119712,478,394,982,3593,156236,F
329458715,3901,34,222357,478,609,655,4718,156623,T
919874785,1507,1,82885,478,1594,982,4155,156327,F
568306047,2254,159,51842,478,686,982,3475,156162,T
248200955,1270,10,63500,478,1177,327,3096,156391,F
355497776,1342,2,76494,478,548,327,4786,156614,F
178941391,2023,142,178024,478,1403,1638,4707,156574,T
709825317,3755,17,90120,478,1027,1310,2871,155974,T
593237280,1394,5,58548,478,1628,655,5488,156350,F
157963813,3807,17,346437,478,336,1638,4384,156299,T
077226096,1392,7,51504,478,427,982,4276,156950,F
221245989,2038,203,189534,478,329,1638,5675,156455,T
990141655,1539,3,46170,478,588,655,5284,156382,F
583620483,3834,13,253044,478,329,655,3207,156295,T
763332254,1322,2,27762,478,564,982,3614,156592,F
250420211,3687,44,117984,478,19129,655,2818,156076,T
515359161,1388,29,108264,478,600,327,3216,156472,F
223490604,2039,207,138652,478,962,1310,5991,156481,T
884931985,1344,25,118272,478,3188,327,3941,156603,F
728800096,3684,48,338928,478,365,1310,3972,156032,T
001628581,1393,1,118405,478,933,982,4927,156323,F
670216071,2141,166,53525,478,573,1310,4530,156388,T
074407770,1371,41,39759,478,307,655,4393,156938,F
162922720,1978,179,116702,478,573,655,5989,156134,T
805877358,1557,31,102762,478,683,655,2700,156876,F
809085909,3773,2,101871,478,396,1310,2921,156911,T
485668094,1386,54,44352,478,586,655,5502,156307,F
993617997,1997,142,83874,478,627,655,4578,156846,T
254479972,1388,22,81892,478,588,982,4199,156467,F
387601720,3913,38,93912,478,441,982,2677,156623,T
922478110,1486,20,69842,478,482,327,5437,156843,F
247113590,2006,181,96288,478,313,1310,5666,156888,T
397633324,1460,22,75920,478,454,327,5878,156068,F
241644104,1542,50,86352,478,1530,655,3469,156718,F
512985426,3804,6,102708,478,12752,655,3358,156402,T
970817606,1425,27,57000,478,369,327,2961,156748,F
175178218,3676,23,165420,478,3326,1310,4074,156318,T
796605765,2216,204,161768,478,910,982,4466,156534,T
789557571,1303,25,33878,478,488,327,4369,156003,F
806791555,2092,170,152716,478,324,982,5568,156008,T
002779282,1457,36,125302,478,383,655,5721,156514,F
502629950,3816,24,259488,478,1758,982,4604,156888,T
922941156,1499,1,131912,478,508,982,4435,156638,F
109573839,1454,9,74154,478,614,655,3002,156471,F
910694097,2259,169,83583,478,1020,1638,2846,156928,T
669359963,2152,157,83928,478,323,1310,4808,155990,T
702065911,1474,2,70752,478,443,982,6117,156137,F
079997706,2227,195,195976,478,765,327,6119,156586,T
840190345,1538,36,46140,478,2833,655,3457,156704,F
