userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
316973436,4491,36,1095804,2056,6299,349,4331,614506,F
664321135,4936,240,1155024,1925,7853,1049,3029,614558,T
685497160,4611,7,225939,4687,13744,1399,3466,615063,T
628673838,1980,100,188100,2907,16798,1399,3349,614574,T
735896227,1923,87,261528,2774,8517,349,4383,614594,T
199859810,4520,26,1102880,1406,86392,1749,3049,615230,F
095310002,4909,251,1178160,3216,20853,349,5089,615254,T
011764742,4956,248,901992,4761,6234,349,3275,614924,T
871728600,4471,5,286144,4687,12866,699,3047,615195,T
563696520,1950,113,144300,1542,9913,1749,4267,614675,T
592547591,4522,25,628558,3149,6299,1749,2760,614800,T
971272143,1906,113,200130,2866,14749,1749,2860,615264,T
399847590,1808,98,61472,4837,50395,349,3757,615309,T
012270560,4934,241,838780,2935,6299,349,3729,615397,T
562211489,1802,113,36040,1950,12341,1749,2852,614904,T
195406437,4850,250,1207650,1352,6951,699,6453,614526,T
073887964,1876,122,373324,5351,10079,1049,4902,615318,T
816595086,4935,221,878430,4414,18325,1049,4318,615243,T
889561882,1909,98,230989,1763,33597,1049,3459,614523,T
885155290,1952,88,212768,3341,6433,1399,4204,615277,T
935614339,4852,221,451236,3901,14063,1749,6306,614547,T
805438106,1833,107,403260,5351,9449,349,3097,615147,T
755702633,1935,112,336690,5548,67194,699,4471,615040,T
317819855,4871,250,233808,1297,6433,1399,6045,615459,T
898461951,1907,110,444331,1574,8063,349,4603,614691,T
725460023,1899,88,123435,1625,7374,1399,4689,615215,T
260117817,1841,115,266945,2629,120949,699,3219,615379,T
310517468,1967,102,47208,3978,20853,699,3549,614895,T
203565129,1922,86,438216,2085,9026,349,4470,614776,T
647664083,4918,212,1018026,4513,86392,1749,2978,615345,T
861839159,4870,234,472390,6719,7753,1049,4393,615383,T
255332500,1922,123,320974,2711,19508,1399,3699,614647,T
093914597,4923,231,1038753,3436,20158,699,4914,614648,T
411712142,4968,240,1078056,2325,7374,1749,6169,615211,T
928405292,4572,16,352044,2761,11410,349,2794,615264,T
991027923,4818,228,481800,2993,13744,349,6477,615332,T
690188906,4474,40,1042442,1703,7957,1399,3610,615079,F
168554299,1873,90,447647,2264,24189,1399,4380,615010,T
390829418,4569,22,1133112,1267,24189,1049,4505,615179,F
426613105,4779,214,57348,1303,75593,699,5003,615035,T
001077030,1865,112,134280,7114,13146,1399,3301,615282,T
754093784,4864,245,1060352,2852,33597,349,5561,615396,T
584500162,4908,212,103068,4414,17278,1749,5749,614689,T
348201426,4967,223,576172,1587,6047,1049,4312,615154,T
469809296,1860,111,135780,1599,50395,1749,4531,614998,T
010257331,4834,232,459230,3803,14398,349,6045,614776,T
378723102,1854,85,96408,2893,6108,1399,4727,615348,T
259696860,4907,216,937237,1969,40316,1049,4870,614601,T
211003111,4482,32,336150,2223,28797,1749,3033,615175,T
701081563,1905,87,154305,5928,6365,349,4437,614530,T
523705844,4898,235,102858,1963,14063,1399,3533,615196,T
226322032,4915,213,860125,3687,17278,1749,5193,614514,T
733354359,1831,107,446764,1340,9449,349,4813,614649,T
163066620,1873,116,327775,1352,10799,699,4614,614589,T
758432135,1804,106,155144,4142,9449,349,4748,615381,T
057998015,4227,374,1001799,6170,100791,1049,3230,615456,T
638227891,1861,85,26054,1538,20158,1049,4652,615143,T
334916203,1874,117,282974,3286,8284,1049,3640,614523,T
153139500,4925,225,398925,1752,20853,349,3379,614829,T
891907258,1942,111,302952,3397,6794,1399,3640,614866,T
368677238,1945,104,289805,2049,8893,1049,4263,615159,T
629176063,4795,215,100695,1630,8172,349,4497,615063,T
661335492,1886,111,403604,3085,9303,349,4458,615255,T
238028728,1795,121,172320,1334,86392,1049,6293,615421,T
767342823,4848,237,1056864,1872,10079,1049,4711,614996,T
293528450,4959,221,937251,5548,54977,1049,6134,615147,T
134670035,1849,90,271803,1604,6365,1749,4444,615381,T
081845513,4889,241,562235,2825,15506,1399,5908,614608,T
313000140,4810,217,168350,2799,6645,699,6518,615214,T
385512368,4906,231,1148004,2964,9449,699,4443,615216,T
989346198,1921,103,382279,1439,13438,699,3669,615386,T
981114374,4881,215,156192,2519,17278,1749,5660,614677,T
058234420,4799,229,57588,5081,75593,1749,5786,615134,T
557239775,1945,88,27230,1855,10995,1749,3194,615420,T
077606771,1859,109,24167,2175,10079,1749,3615,614507,T
916814138,1843,117,193515,1821,8284,1399,4671,615238,T
874879748,1920,100,284160,1377,8172,1049,5844,614924,T
450054440,1858,111,278700,2353,10609,699,6483,615341,T
023520029,1803,120,434523,2879,11199,1749,3180,615174,T
889287829,1909,104,127903,1259,6170,1749,4841,614888,T
149251033,4950,232,1093950,1616,20853,699,6142,615280,T
706577856,4811,219,288660,1216,6433,1399,4959,615296,T
777763630,4510,21,1028280,2652,46519,349,4790,615040,T
859451741,4844,223,203448,1216,9303,349,5792,614975,T
243116957,1883,97,387898,2935,35573,699,5678,615038,T
615177115,1793,113,227711,1270,8764,699,4531,615184,T
016791561,4487,11,1036497,2825,35573,349,4950,615450,T
087082833,4812,218,856536,1805,7853,1399,6452,614557,T
770446796,1810,105,275120,4258,18325,1399,3362,615230,T
616665577,4905,229,843660,7753,75593,349,4519,614603,T
950740508,4861,216,1142335,1511,16798,699,5767,614899,T
530488422,4917,237,511368,1630,37796,699,6119,614689,T
518144618,1982,114,184326,1224,9449,1049,5718,614629,T
767873843,4842,221,372834,2390,46519,1749,3129,614617,T
544060611,4859,217,272104,1311,6872,1399,4908,615318,T
490126499,4634,3,1116794,3926,12094,699,2959,615238,T
325445596,4942,220,128492,1570,7655,349,4157,615422,T
570707240,4964,242,228344,4446,6573,1399,2889,614794,T
010302692,1911,85,61152,4446,10995,1049,4851,615313,T
802316732,4857,219,990828,2617,6433,349,3411,614614,T
935794958,4940,231,1067040,2390,11410,699,6133,614515,T
499131747,4823,239,458185,3085,12341,1049,6283,614497,T
276196787,4962,239,1121412,4546,60474,1749,6047,614862,T
757993279,4779,250,874557,2282,86392,1049,3116,615394,T
509624420,1968,108,218448,3643,7374,1749,4791,614948,T
313099298,4787,215,526570,1362,8284,1399,6386,614970,T
853072588,1963,97,88335,2640,7114,699,2851,614612,T
171009676,1878,104,185922,3117,43196,1749,4433,614638,T
513133277,1932,112,417312,1377,14063,349,5552,614760,T
463076964,1965,85,212220,5814,6365,349,4248,615003,T
275664923,4480,3,1061760,2273,9599,699,3543,614767,T
973615292,4848,229,528432,7655,9026,1749,3404,614550,T
268387816,4935,231,54285,1259,6365,1749,5551,614690,T
117242095,1793,95,71720,2390,6047,699,6589,614786,T
970720669,4546,28,631894,4581,10995,1399,2838,614743,T
578916080,4898,230,788578,4086,9754,1399,4749,614775,T
875180168,4596,30,652632,2299,6433,1749,2930,615160,T
439435239,4898,218,1057968,1838,24189,349,4293,615272,T
790891038,4887,240,835677,1608,10995,349,3525,615232,T
518038862,1981,89,124803,4616,10799,349,5025,614900,T
714512297,4571,18,991907,3251,6719,1749,3190,615074,T
052887583,4940,241,365560,2167,54977,1399,6193,614626,T
207700369,4831,250,1053158,2299,6951,349,4895,615439,T
966496247,4912,228,437168,3101,16344,349,3228,615369,T
456669722,4558,4,824998,8284,12094,1049,3716,614613,T
967520820,4970,236,278320,7114,50395,1399,4300,615176,T
806317967,1966,94,39320,1546,8172,349,2995,614757,T
709499398,4922,251,999166,1508,8172,1049,6525,615315,T
172290303,4964,218,273020,1889,6170,1749,5901,615381,T
078492114,1929,120,57870,4799,12094,1399,4316,615114,T
699315299,1970,120,321110,2675,15118,699,6594,615119,T
444034262,1811,99,364011,1752,120949,1049,2974,615104,T
824243951,4876,232,843548,2498,16798,349,5833,615411,T
556976567,1870,108,61710,1752,86392,699,4995,614472,T
760923638,1858,99,239682,1708,33597,699,3600,615248,T
818317468,1908,84,225144,2056,20853,699,5137,615194,T
100007206,1888,95,56640,1436,19508,349,3455,615332,T
575223415,4542,26,272520,2418,10426,699,2793,615326,T
569111056,4969,212,213667,6645,13744,699,3534,614890,T
012186217,4780,248,296360,1634,14063,1399,2850,614710,T
405504343,4260,387,1009620,2649,126202,860,2705,1139133,F
574209681,1875,104,67500,5871,11629,1749,2842,615157,T
166947602,1971,124,478953,2239,8063,349,4246,615143,T
354761492,4513,22,1006399,2573,16798,1049,4273,614784,T
689277505,4896,252,1140768,2029,10249,699,5024,614808,T
126598905,1845,122,130995,2056,14398,1749,4450,615060,T
566209512,4787,229,402108,1241,30237,699,3302,614800,T
987617384,4849,239,824330,1957,11199,1399,6113,614734,T
917046436,1877,113,69449,1821,6047,1749,4799,614859,T
190381013,4953,243,1228344,2509,13744,1399,2929,614666,T
209487062,4913,238,230911,2711,8399,1399,4813,614761,T
040970997,1863,107,150903,1578,13146,699,5184,614963,T
796975630,4541,23,313329,6365,15118,1749,3236,615296,T
143531340,4963,215,625338,1337,7031,1049,6553,615302,T
298605573,1933,104,239692,1773,11629,349,5160,614582,T
783800030,1822,89,213174,2056,7957,1049,4844,614914,T
427221074,4933,214,197320,2273,35573,349,5762,615437,T
335008335,4864,216,408576,1241,8284,1399,3201,614991,T
199379685,1918,99,74802,5759,31828,1399,3148,614727,T
107165683,4845,224,649230,1352,100791,699,4212,615028,T
624831297,4863,217,204246,3557,60474,699,4716,614592,T
231949076,4976,216,492624,2786,15506,1749,6560,614903,T
726118385,1825,87,290175,3038,12598,1399,4711,614908,T
894324371,1930,85,84920,2812,10079,1399,4842,614676,T
760029696,1964,101,212112,1409,9162,1399,4647,615292,T
666738415,4861,233,529849,1216,26293,349,4354,614559,T
763894010,4455,36,948915,1275,9449,1399,3119,614900,F
797638735,4559,36,1080483,3495,8517,699,4397,614805,T
085181140,1940,99,420980,3756,60474,1399,4413,615321,T
776480307,4908,226,1040496,1587,6794,1399,6416,614528,T
536960697,4559,37,720322,1519,17786,699,2964,615338,F
477524665,1847,121,371247,3359,10426,1049,4431,614839,T
652593008,1959,111,174351,2664,6794,1049,4293,614851,T
700768527,1934,117,288166,1371,18325,1399,3254,615419,T
153918771,1809,96,222507,1320,16798,1399,2868,615328,T
630978956,1956,88,453792,1679,75593,1749,3512,615097,T
551717716,4933,240,1154322,5814,10249,1749,6107,614604,T
373735102,4782,226,401688,3416,6502,1049,2785,615348,T
465877328,1803,84,218163,1925,21598,349,6530,614578,T
777684748,4923,241,590760,2399,6170,349,2873,614947,T
260589620,1932,95,243432,1365,6502,1749,5046,615134,T
370863773,1817,113,296171,3876,6299,1399,4766,614576,T
414721095,1803,124,63105,1343,27488,699,5052,614644,T
674920207,1790,114,143200,1221,12341,1049,4281,615147,T
357058079,4817,223,134876,3455,20158,1399,4212,615153,T
342910427,4885,245,420110,1587,7374,699,4446,615367,T
487621698,1826,106,189904,1778,7753,349,3529,614459,T
