userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
480858892,4938,214,493800,1757,4997,699,3263,615262,T
212364770,4524,27,294060,1757,17278,699,3279,614703,F
382244942,1918,136,80556,1757,11410,1049,5081,614849,T
174007880,4446,28,160056,1757,17786,699,3258,615221,F
925433558,4794,264,115056,1757,1471,1399,5185,614590,T
577016741,4461,14,160596,1757,30237,699,3122,615093,F
721331390,4861,276,388880,1757,3687,1749,5162,615361,T
011777751,4493,34,381905,1757,31828,699,2897,615176,F
319855515,4810,268,312650,1757,2049,349,4472,614461,T
031437983,4440,13,364080,1757,100791,699,2886,614564,F
755803809,4871,268,321486,1757,5705,699,4275,615412,T
916136830,4486,16,260188,1757,100791,699,3434,615445,F
507184614,4971,245,357912,1757,2551,1749,6209,615033,T
573321633,4565,10,419980,1757,86392,1749,2942,615162,F
289579116,2000,138,182000,1757,3779,1399,3741,615125,T
733355539,4629,14,111096,1757,27488,1049,2851,614498,F
804875367,2040,142,79560,1757,4414,699,4447,615367,T
840586924,4571,16,356538,1757,50395,349,3174,614799,F
486876235,5043,248,267279,1757,1574,1399,5685,614986,T
