userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
786706640,174,20,18444,57,1618,468,3731,23827,T
497192791,166,14,31872,70,1510,2340,5965,24127,T
588012363,67,16,2881,130,319,936,3700,24405,T
838067842,761,27,149917,314,279,936,7649,24712,T
712333537,53,11,9858,50,273,936,3853,24075,T
271254701,141,1,29046,50,1030,1404,6576,24119,T
056589793,642,14,25680,144,503,936,4542,24417,T
007858962,678,1,33900,169,348,936,4692,24057,T
644447291,10,18,990,77,266,468,6360,23925,T
382856676,792,26,169488,120,302,468,4396,24268,T
196904701,267,1,52065,75,566,1404,4738,24124,T
970884258,693,7,69993,241,566,468,6193,24148,T
924770190,2578,73,190772,615,3974,957,3557,196325,T
716751916,130,1,30550,125,323,1872,5868,24324,T
454344856,721,1,33166,220,306,936,4530,23819,T
526133027,161,7,27209,71,257,1404,4486,24073,T
366383800,263,9,28404,220,377,936,6194,24210,T
932707291,716,1,25060,178,985,468,7500,24710,T
203674300,727,1,31261,70,566,468,4537,23734,T
526156258,223,1,33004,71,1888,936,4622,24191,T
298344481,245,1,53655,75,1332,2340,4289,24509,T
779069809,3568,60,720736,55,3776,468,4444,24210,F
807568934,203,3,33698,215,319,936,5867,24325,T
984695197,132,2,26664,127,306,1872,5846,24003,T
106282741,242,15,48400,71,290,936,4401,23822,T
817465494,115,1,11730,106,314,468,8000,24612,T
938080691,37,21,8436,47,871,468,4463,24252,T
751997656,3579,67,894750,88,3237,936,7749,24446,T
477472177,267,13,37380,121,2832,936,6564,23794,T
925086152,119,6,20111,94,257,468,5919,24297,T
953770786,302,21,4832,48,581,2340,6186,24525,T
719130792,148,1,27380,120,419,936,4261,24236,T
196423239,283,17,30281,65,228,2340,5593,24578,T
413778208,191,1,20437,46,906,1404,4645,24266,T
505832691,211,16,4853,54,257,2340,5872,24717,T
983240413,647,1,85404,192,298,468,7557,24493,T
152812907,246,1,48216,71,1030,1872,5962,24108,T
609170422,301,20,10535,53,629,1404,8379,24070,T
928015996,244,7,22692,62,453,1872,7943,24398,T
950920913,256,21,12800,50,273,936,4124,24321,T
041925097,227,18,12031,71,348,1872,7977,24390,T
274717222,637,28,137592,114,243,468,7752,24298,T
325303036,3610,60,346560,84,1618,468,4084,24187,F
352566431,204,11,38352,53,2517,936,8421,24321,T
561186617,2643,54,467811,81,4532,936,3854,24637,T
248631103,659,1,30973,209,1030,468,6252,23903,T
349791147,185,17,14245,112,319,1872,8185,24382,T
301755612,119,1,11186,113,781,2340,5960,24360,T
944290206,156,20,30420,60,310,936,4022,23773,T
851154531,210,4,6510,80,596,468,7727,23998,T
589047745,297,1,7128,77,3237,936,4351,24043,T
399194551,217,1,27125,158,338,936,8321,24313,T
131609579,114,17,4446,146,1030,2340,3898,23913,T
498209465,255,1,8925,178,226,936,4503,23743,T
821563896,200,1,30000,140,412,1404,7998,24581,T
826333615,204,1,33252,82,472,2340,3916,23976,T
012194840,125,14,26500,53,231,468,7905,24704,T
174173283,129,1,19350,90,269,1872,6504,24121,T
936684298,717,6,119739,151,462,468,7567,24640,T
188006949,251,1,24849,50,647,2340,3960,24109,T
509969425,762,18,73152,249,333,468,6291,24236,T
820452515,166,9,30378,73,708,936,5777,24472,T
376573224,217,8,26257,61,314,1404,4610,24306,T
113962321,175,9,13825,69,343,1404,7742,24184,T
422436366,147,11,8820,56,333,1404,3788,24326,T
184658027,111,1,7326,130,539,1404,5582,24723,T
098202494,672,24,10080,59,503,468,7795,24168,T
657396407,113,1,10622,80,453,1404,6300,23832,T
156871194,231,1,3234,67,472,1872,6412,24576,T
730881081,725,15,7250,77,1258,468,4404,24196,T
651110893,124,18,4712,62,427,1872,6581,23948,T
395735372,161,1,10304,160,612,936,4345,24067,T
257167898,255,15,9180,184,279,936,5619,24473,T
755802505,99,1,5148,46,251,468,6609,24155,T
869447011,706,22,57892,69,269,468,4616,24440,T
201825393,777,18,45066,57,629,468,7462,24249,T
747383554,3430,53,332710,128,1888,468,5660,24461,T
459700974,158,1,39026,241,246,1404,6470,24186,T
756911016,85,6,20060,56,343,936,4107,23976,T
933077160,120,1,11640,121,314,1404,4218,24656,T
097841868,221,1,38675,224,419,2340,8054,24346,T
131320340,129,1,7482,61,328,1404,6557,23960,T
369201856,159,1,35139,78,503,936,6328,23913,T
194311230,751,28,109646,90,462,468,4464,24001,T
819473203,108,1,1944,94,306,1872,3955,24146,T
922869232,251,1,27359,48,310,1872,7451,24522,T
494964097,175,1,12775,45,686,1872,7741,23963,T
470474400,278,1,22240,58,462,1872,7753,24445,T
188545190,280,1,26600,56,359,468,5998,24244,T
427602544,204,1,31824,47,612,1404,4614,24564,T
043644698,187,1,14773,76,254,936,8480,24021,T
821322570,293,9,48931,58,985,1404,4378,24059,T
904229228,41,16,4797,87,302,468,6477,24388,T
864646332,203,20,12586,100,686,1404,7479,24455,T
791122833,190,15,8740,188,228,2340,4203,23871,T
644683433,300,1,35100,46,260,1404,6057,24665,T
323522541,105,1,3045,64,397,468,7960,24377,T
182158442,268,19,64320,141,1416,1404,5922,24034,T
955488934,170,13,14110,50,231,2340,7452,23897,T
988859847,212,1,51092,73,226,1404,7443,23870,T
194472573,233,1,33552,104,243,2340,4072,23946,T
025228154,824,9,184576,200,472,936,4591,24663,T
772036272,304,1,42560,112,283,1872,6384,24426,T
408583968,224,19,19040,109,1332,468,5683,23873,T
198141506,717,26,156306,98,515,468,6034,24453,T
866456969,725,6,87725,154,4532,468,7875,24303,T
597540721,191,16,9741,98,397,936,6393,24448,T
011487438,92,11,8096,115,269,468,7773,24089,T
117261097,646,10,161500,120,231,936,4475,24688,T
113851383,148,18,35076,69,515,468,7978,24115,T
925026955,77,1,14938,62,403,258,841,16029,F
261530361,206,15,17510,148,2832,1404,3777,23835,T
203472390,3411,60,371799,71,1332,468,4162,24729,F
207605999,753,12,176202,51,263,468,4272,24540,T
442482612,771,16,62451,83,348,468,5949,24204,T
706738234,177,6,33276,51,249,468,7976,24509,T
357435518,723,4,114957,137,412,468,3866,24196,T
280257092,193,4,27020,108,1258,1872,7992,24157,T
081608768,101,1,21513,120,233,936,4128,24153,T
567046905,204,17,8568,92,323,1872,4136,23906,T
654227794,786,1,22008,108,294,468,5635,24056,T
624006618,689,10,68900,57,263,468,7547,23812,T
197009302,251,1,32630,125,243,2340,4136,24227,T
869964114,267,9,22428,154,260,936,8423,24332,T
643210887,110,10,1100,65,453,1404,4231,24256,T
019421145,146,16,24236,137,286,2340,8228,23802,T
391608992,237,1,19908,65,283,2340,8209,24665,T
393907719,257,1,56797,136,276,1404,8363,24306,T
701792820,107,1,11342,52,266,1404,4176,24429,T
940951434,834,22,194322,56,2266,468,4207,24742,T
818723285,174,1,35322,83,686,1404,7557,24017,T
270162684,273,1,42042,160,1888,2340,6369,24581,T
586724217,43,1,7439,92,290,468,8065,24202,T
471809711,214,14,14980,54,526,1872,4088,23861,T
812954915,17,3,1921,72,444,468,4665,24182,T
448095387,268,7,19564,59,298,1404,4150,24259,T
912293771,185,5,10175,153,310,1404,8373,24157,T
167325244,719,20,94908,103,286,468,4516,24139,T
232050064,143,1,12155,76,906,468,8327,24279,T
305672951,254,17,57404,184,809,936,4546,24099,T
319932849,255,1,18105,215,755,2340,6160,24149,T
370745517,249,14,34611,133,241,1872,7773,23856,T
297148768,194,1,18236,82,273,1404,8110,24659,T
276278562,198,21,48312,86,233,1872,5917,23962,T
871573192,150,1,11850,67,686,468,7952,24555,T
806907585,221,1,51272,48,629,2340,6310,23967,T
703181669,284,7,66456,96,1888,1872,8286,23767,T
589154943,276,1,19872,101,526,936,4164,24645,T
342972023,800,12,171200,286,279,468,7675,24194,T
122092832,270,1,10800,159,552,2340,4435,24726,T
148112569,679,5,98455,257,3776,468,7857,24123,T
830317773,271,21,44444,85,686,1404,8157,24171,T
816316752,107,13,12412,96,238,2340,4297,24261,T
795091965,141,5,2397,46,384,2340,8197,23839,T
