userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
269715693,223,1,6690,52,178,1872,6377,24677,T
498938854,3517,99,200469,52,3237,468,5782,24693,F
991223480,152,1,13984,52,53,468,4091,24503,T
865483823,3673,54,257110,52,3776,1404,4284,24287,F
627357519,175,42,16625,52,72,468,7448,24163,T
880736130,3446,89,275680,52,2060,468,8288,24362,F
017517748,133,6,7448,52,63,2340,4523,24460,T
309771564,3526,62,116358,52,2832,468,8118,24544,F
158352127,227,1,4994,52,70,2340,8167,24105,T
308419361,3520,94,102080,52,1743,468,4346,23739,F
639527420,3569,73,185588,52,2266,468,6505,23931,F
510295732,338,35,30420,52,49,2340,7914,23934,T
244552444,400,7,27200,52,48,1872,7632,24510,T
293951659,3624,104,311664,52,2517,468,6586,23855,F
205355014,264,5,8448,52,122,468,4123,24142,T
