userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
974816365,4213,66,994268,5893,9530,472,10043,455867,T
741289288,2037,1,134442,1184,10924,1418,4867,455652,T
744493377,3074,37,731612,1131,16589,472,7691,455193,F
545879497,4197,47,344154,1027,4868,945,9774,455819,T
318340257,3250,11,149500,2650,40720,1418,9452,455364,T
490765909,1885,1,197925,1413,7343,2364,8011,454965,T
363716197,1877,16,240256,929,15445,945,5301,455222,T
647483194,1874,16,88078,4617,5032,1418,5152,455279,T
632775986,1867,1,112020,1906,26348,472,10263,454955,T
907551736,3083,3,576521,1413,7591,945,5492,455033,F
579647593,1970,19,478710,1421,4570,1891,7490,455042,T
792645069,1986,1,299886,1652,6398,945,5101,455107,T
399589260,2007,32,152532,1325,4479,1418,7101,455221,T
814036270,4354,49,204638,2447,24884,1891,9624,455225,T
749691491,1909,10,83996,990,5893,1891,9618,455001,T
138459178,4307,51,680506,1722,7343,1891,9539,455073,T
257241295,2036,13,236176,1523,6053,945,9433,455287,T
697512289,4448,44,71168,2799,13997,1418,10455,455747,T
120365692,4418,41,790822,5032,15445,945,9820,455582,T
719079857,3162,3,531216,2782,22396,1418,4692,455882,T
773048666,1856,18,219008,1523,6053,472,5546,455513,T
341030116,4281,48,295389,3356,8951,91,399,308561,F
328095018,4361,57,584374,1922,74654,945,4704,455550,T
673277763,1950,15,263250,1076,6308,2364,7241,455305,T
081241057,1913,28,149214,1513,11787,945,7438,455532,T
144858485,2019,5,171615,1588,13174,472,9767,455028,T
620156861,1944,3,246888,2502,5269,1891,10133,455676,T
997379691,3135,9,692835,4225,9737,945,10170,455598,T
610461185,1989,16,139230,1142,8144,2364,8050,455282,T
363717199,4363,49,597731,1172,5599,472,7562,455189,T
165126180,4330,34,1013220,2345,4976,945,9643,455784,T
648271171,1856,1,317376,1105,7224,2364,4702,455628,T
143628494,4452,68,89040,1044,40720,1418,7340,455825,T
898393384,1870,16,22440,6053,4617,2364,7294,455260,T
038662535,4386,48,785094,1369,5032,472,7611,455051,T
715665800,1949,3,157869,1922,34455,1418,9748,455420,T
754673812,2016,12,62496,1036,4714,472,5555,454996,T
754636409,4361,67,793702,2799,74654,472,10008,455313,T
731374643,1994,14,416746,2357,5742,472,8015,455211,T
045893314,3079,40,532667,3367,10416,1418,5230,455430,T
981614667,4475,56,1114275,1166,22396,1891,8056,455176,T
788703847,3167,25,668237,1981,5599,472,7506,455155,T
343021407,4327,56,705301,1178,7224,1418,7534,455343,T
946109616,4304,58,1067392,1013,26348,1891,5189,455165,T
362792312,1956,29,86064,1097,6308,1891,7685,455349,T
708583242,2041,1,232674,2163,12442,2364,4783,455011,T
605472368,2032,15,223520,1008,6891,1891,9533,455668,T
640797403,4366,60,458430,1981,13573,1418,7941,455806,T
079647557,1914,4,223938,1652,24884,472,5681,455688,T
229781035,3089,27,358324,1622,14930,1418,5201,455831,F
273623287,4254,64,825276,4524,10924,472,9578,455538,T
817071916,4351,43,1065995,942,6221,945,5667,455693,T
096067234,1882,1,453562,2682,34455,1891,9585,455127,T
342440350,1991,8,107514,2559,9953,945,10115,455468,T
388889058,1879,1,357010,1399,15997,1891,7879,454969,T
904622024,4330,52,307430,912,4617,1418,5606,455303,T
673802665,1983,15,99150,1027,5148,945,10225,455769,T
496959030,4459,53,445900,4714,4765,1891,7123,455365,T
688095925,2036,29,376660,1605,6053,472,9610,455178,T
052657195,1943,1,328367,5332,6891,2364,7888,455164,T
669707155,1862,6,402192,1571,63989,1891,10003,455315,T
924270875,4330,56,294440,4306,6685,1418,7974,455503,T
512787513,3086,34,178988,1582,4479,472,10135,455800,F
116368907,3230,11,113050,944,8613,472,7308,455252,F
191278086,3184,37,216512,1652,11787,1418,9991,455554,F
187775780,2056,24,468768,999,17916,1891,5012,455280,T
835892741,3248,30,461216,1973,29861,472,7520,455797,T
