userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
061737247,1913,24,149214,963,1046,2364,5523,455817,T
385099195,3265,58,248140,963,1374,472,10272,455769,F
194704578,1974,42,80934,963,1309,472,7968,455107,T
489591830,3097,6,99104,963,13997,472,5227,455285,F
461341861,2055,2,139740,963,1294,1418,5296,455540,T
012358038,3156,41,129396,963,2619,945,7924,455358,F
924130405,1936,43,178112,963,2195,1418,10082,455559,T
100288513,3167,49,307199,963,2434,472,4839,455779,F
825681325,4458,84,325434,963,6135,1418,5181,455039,T
612800794,3142,20,276496,963,1549,945,7151,455403,F
521665621,4569,86,105087,963,1843,1418,4909,455808,T
820101909,3202,5,163302,963,937,945,4852,455838,F
260682098,4568,68,287784,963,1305,1418,5374,455876,T
202390200,3228,21,142032,963,1843,945,10446,454948,F
897725407,2047,1,120773,963,1092,2364,5089,455524,T
876915754,3254,17,87858,963,7343,472,4679,455557,F
919206360,3099,60,282009,963,2682,945,7331,455418,F
529350779,2135,12,42700,963,29861,2364,7591,455038,T
796528495,3167,71,237525,963,944,945,9871,455281,F
824820282,4226,55,88746,963,1142,945,9932,455557,T
918432647,1933,44,88918,963,2986,472,10264,455260,T
203224885,3336,61,206832,963,49769,472,10019,455268,F
958124560,1921,2,176732,963,1374,1891,7620,455308,T
308521064,3297,24,276948,963,2530,945,5439,455127,F
196684208,4388,39,329100,963,1566,1418,5519,455457,T
111290939,3180,68,165360,963,44792,945,10450,455010,F
151166621,3076,62,298372,963,1999,472,5114,455403,F
150677243,2056,13,106912,963,1227,472,7214,455159,T
024161781,4187,97,180041,963,2502,472,4927,455217,T
297764263,3192,72,143640,963,1922,1418,4722,455899,F
549785456,1947,8,165495,963,1533,1891,9683,455530,T
443220684,3115,51,74760,963,1671,945,7114,455036,F
476729418,4401,50,149634,963,1435,1418,7081,455799,T
131306876,3288,49,82200,963,12442,945,7702,455427,F
271928441,1971,6,114318,963,1990,1891,5686,455423,T
758840571,3181,40,257661,963,4665,945,8046,455373,F
447722208,4335,48,398820,963,1294,945,4694,455755,T
662371226,3150,26,69300,963,919,945,9953,455047,F
448603374,2014,58,108756,963,2132,472,7344,455238,T
493865346,3114,54,80964,963,1058,945,5406,455171,F
490119781,4374,63,328050,963,22396,472,10153,454943,T
467487925,3334,30,153364,963,21329,945,5329,455335,F
861210583,2123,50,84920,963,2966,945,7614,455281,T
405194062,3271,25,121027,963,1279,472,4761,455782,F
840551620,4473,97,183393,963,2320,472,7094,455892,T
811662331,3337,20,170187,963,1114,945,7050,455824,F
357317570,2013,1,54351,963,1828,1418,7347,455755,T
722092350,3312,32,92736,963,1117,472,5174,455016,F
075735747,2121,55,82719,963,3110,945,4870,455675,T
516955492,3332,30,76636,963,933,472,5615,455158,F
305474932,1934,1,98634,963,11485,472,7425,455393,T
058049314,3145,37,125800,963,1298,472,7738,455649,F
707465072,3343,23,314242,963,1220,945,7160,455432,F
299488210,4284,55,167076,963,897,945,7561,455433,T
065333031,1984,7,71424,963,1013,2364,10160,455496,T
870768310,3182,45,245014,963,4665,945,5522,455703,F
511631232,4346,46,239030,963,1145,945,10336,455262,T
905670985,3204,69,211464,963,2474,945,8056,455658,F
258416981,3069,29,107415,963,2045,472,7840,455078,F
643275842,1879,50,43217,963,4868,2364,9477,455425,T
504770637,1982,33,126848,963,1122,1891,5098,455783,T
286890822,3314,48,182270,963,4570,945,7338,455936,F
737271971,2005,27,188470,963,10180,2364,5154,455537,T
687754208,3299,25,290312,963,2332,472,8041,455603,F
532675080,1905,47,150495,963,1658,945,9654,455230,T
269640087,3173,47,123747,963,3963,472,4938,455452,F
243689550,2022,7,139518,963,4524,945,9677,455893,T
435777678,3320,53,156040,963,1677,945,7489,455673,F
779575083,2032,61,52832,963,1087,1891,7532,455862,T
787393387,3337,51,136817,963,1947,945,10072,455430,F
062715196,1927,37,115620,963,2036,2364,10313,455082,T
336213262,3325,2,166250,963,1599,945,5426,455425,F
164650743,4359,92,174360,963,7465,945,5286,455604,T
529381106,3129,69,306642,963,1404,945,5221,455788,F
839004651,2132,32,179088,963,1488,2364,5377,455919,T
302667881,3151,31,258382,963,1513,945,9744,455472,F
342147977,2110,19,128710,963,948,945,7506,455100,T
783518341,3225,72,193500,963,6786,945,10215,455205,F
123315472,3128,33,181424,963,2682,945,9452,455901,F
598950817,4467,62,218883,963,1051,472,7965,455319,T
661848829,2093,57,94185,963,2545,1418,7187,455108,T
168802517,3147,35,173085,963,16589,472,5103,455651,F
512940981,1888,1,166144,963,3026,945,5119,455576,T
852904777,3207,54,192420,963,7224,1418,5117,455765,F
966220339,3073,45,172088,963,1763,945,5559,454961,F
232636690,4380,37,127020,963,1321,472,5047,455305,T
753667133,2136,54,170880,963,1488,2364,10162,455647,T
766552755,3322,35,122914,963,4868,472,7932,455421,F
355241988,2037,22,75369,963,3006,1418,5540,454998,T
773639509,3120,12,99840,963,2017,472,5052,455203,F
240788644,2068,12,148896,963,2545,472,9496,455075,T
138688453,3342,17,267360,963,917,945,5634,455802,F
122236659,1978,14,79120,963,973,2364,4850,455154,T
377316919,3258,45,133578,963,3583,945,7865,455845,F
906125413,4545,96,399960,963,2474,1418,5372,455473,T
629994218,3296,38,250496,963,1440,472,5462,455603,F
939958690,4364,94,301116,963,1431,472,5308,455000,T
156439664,3350,63,204350,963,6221,945,5723,455589,F
866200102,1932,10,135240,963,5529,2364,9872,455140,T
177791952,3337,36,253612,963,2908,945,7628,455914,F
