userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
728340161,221,1,43979,638,5683,385,3892,251178,T
911055700,226,2,50850,1007,2512,1157,6978,250410,T
527759368,111,1,15096,914,2876,385,6884,250329,T
232397059,3289,174,302588,1042,2911,1543,3195,250923,T
971823852,3365,170,696555,928,9181,771,3959,251157,T
393551149,145,5,32335,1705,10850,1157,3597,251125,T
362923334,129,2,27090,595,3140,1929,3521,250764,T
234936875,3238,165,178090,2775,3850,771,5311,251202,T
608795154,2125,25,89250,1158,34101,385,5507,250970,T
524693122,2097,9,230670,858,29838,771,3489,250629,F
675772331,134,14,19430,918,3362,1929,3566,250944,T
716855716,123,8,19557,1420,2876,1157,4649,251027,T
388920016,139,1,29468,2841,10850,1157,5148,250848,T
079213426,3218,166,662908,1249,5822,771,3663,250394,T
906193592,198,1,24552,828,2411,385,7060,250913,T
012724015,45,1,8100,498,6120,771,6403,250817,T
307222832,3276,159,802620,723,34101,385,3609,251095,T
428313697,188,19,46060,631,11935,1157,3126,250340,T
938320650,3275,157,461775,670,14041,385,3704,250963,T
578840067,3363,167,77349,974,3729,771,3483,250462,T
175407813,3186,178,662688,577,5189,1543,4638,250936,T
838661760,156,2,3588,775,6120,771,4933,250349,T
221683758,3350,173,606350,840,3315,1157,6168,250263,T
151731593,53,1,7844,546,7700,771,6550,250844,T
330938465,120,1,28200,1090,7020,1929,3048,250597,T
254458480,2142,1,385560,1591,5967,385,5016,250901,T
628271494,177,4,12036,491,2682,385,6231,250488,T
082868347,3227,171,154896,621,2712,1929,7166,250294,T
797253172,111,5,20757,2512,5189,771,3441,250236,T
244379396,40,1,9360,1033,2460,771,3901,251184,T
613878904,3335,152,480240,639,3616,1929,4698,250702,T
745701451,2057,1,345576,564,2947,385,3574,250714,F
530190357,2227,1,273921,585,19892,385,4812,250559,F
301207123,82,1,2706,545,2712,385,6482,251033,T
177270813,128,1,4992,1020,6281,385,6180,250960,T
991139163,203,19,3857,551,5425,771,4983,250570,T
832636077,3301,149,699812,1635,3510,1157,7048,250549,T
945475172,93,9,3441,646,34101,1157,3899,250250,T
264999668,3291,164,523269,755,4503,771,3861,251002,T
292063546,3251,180,204813,646,2775,1157,4062,250440,T
059436011,3234,158,730884,633,29838,1929,6319,251121,T
265605464,4909,26,63817,691,2682,385,3267,251000,T
992622592,3228,162,35508,745,2911,1543,4944,250713,T
613020565,4867,31,686247,2808,2411,385,5333,250618,T
587989539,172,1,30272,834,3410,1929,4932,250729,T
082699740,3207,167,327114,954,2808,1929,6650,250928,T
724624668,3221,161,505697,654,2947,771,6524,250220,T
740372496,2219,16,264061,1510,26523,385,4653,250957,T
606932606,3180,147,537420,1956,3978,385,6894,251164,T
903395042,121,17,4235,2512,2947,1929,3439,251051,T
110204074,3228,162,584268,552,34101,771,6450,250613,T
441742372,135,11,14580,624,2539,1157,4739,251012,T
666657162,164,1,34932,615,4590,1929,3501,250813,T
376630192,3337,163,300330,1249,7233,771,6623,250926,T
588534677,59,1,2596,1115,4340,1157,3615,250414,T
126304368,58,1,12354,1705,3978,385,4719,251192,T
946922695,2095,1,295395,1056,18362,385,6582,250828,T
845939725,3172,175,697840,1446,2435,1543,6761,250566,T
438354094,3288,154,798984,801,3459,771,6306,251063,T
463485580,3249,173,568575,564,3978,1157,6995,250975,T
274993691,213,1,32802,974,7459,771,5462,250786,T
612883981,3352,172,720680,678,47742,1543,4873,250713,T
819890104,2148,11,332940,1102,47562,346,2011,382321,T
822867138,3328,143,465920,678,15914,1543,4870,251198,T
493982322,3242,170,807258,890,4590,771,6327,250956,T
718404097,2064,30,359136,1311,26523,1157,3344,250963,T
587317948,100,22,4500,1105,7020,385,3867,250995,T
167174945,191,1,30942,704,5304,1929,3569,251207,T
710384830,3312,144,463680,508,3510,1543,3243,251059,T
167629867,217,1,37975,3362,4045,1929,3089,250511,T
322495743,3232,163,791840,994,4420,1543,3096,250313,T
090424156,35,1,840,2190,3225,771,6366,250988,T
803284402,79,22,1738,2486,23871,1157,5072,250320,T
902088472,3342,145,300780,697,4262,1543,7158,251023,T
508027596,144,1,28368,1115,2566,385,5611,250801,T
904909577,98,7,18032,596,7233,385,7019,250548,T
194534595,2234,31,51382,1729,4420,385,3551,251020,T
155699914,4846,23,1017660,569,4262,385,3267,251050,T
610671683,3208,177,683304,489,4420,385,6631,250939,T
689246228,3319,149,378366,513,3562,771,4871,251086,T
205095613,3258,152,74934,745,8841,1157,3385,250725,T
705876359,63,14,12789,1015,2460,771,5281,250531,T
884620986,3195,183,562320,2170,9181,1929,3979,250389,T
711809865,42,1,1764,607,4340,385,3655,250986,T
965544940,168,12,42000,877,4871,385,6887,250391,T
971673235,141,3,25944,641,2566,1157,5108,250694,T
507955450,3180,182,448380,626,2435,1157,6294,250351,T
798604947,3298,154,540872,1692,5189,1157,5397,251163,T
010604562,142,1,34790,543,4420,771,6664,250848,T
