userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
561463912,186,30,9672,650,599,385,5495,250875,T
257967626,2118,8,209682,650,1822,385,3101,251202,F
436010808,3457,170,311130,650,871,1929,6627,251030,T
358619769,2051,13,147672,650,561,385,3378,250391,F
831783365,3389,203,135560,650,4262,1157,3511,251013,T
939005287,2172,18,147696,650,743,385,3154,250271,F
980072671,318,1,27666,650,745,1157,6202,251007,T
123758917,2265,25,106455,650,576,385,3082,250975,F
684417568,138,27,5520,650,1230,1929,3708,250625,T
930543918,2149,19,148281,650,2295,385,3186,250836,F
429443384,3433,194,233444,650,2057,1929,4885,250267,T
620768093,2254,1,92414,650,15914,385,3404,251080,F
122204616,3271,143,88317,650,518,1929,6185,250642,T
071647265,2271,8,199848,650,29838,771,3695,250390,F
116990190,178,28,13706,650,3616,385,3177,250260,T
486944689,2272,1,195392,650,47742,1157,5142,250693,F
785847919,5017,54,421428,650,874,385,3862,250344,T
070550222,2069,1,192417,650,5304,385,3630,250900,F
726660252,288,44,23328,650,624,1157,3308,250943,T
365955090,2080,17,81120,650,1065,385,3350,251024,F
981114687,129,45,8127,650,1249,385,3516,251041,T
157162709,2233,1,113883,650,2363,385,3218,250364,F
510411357,3231,154,96930,650,861,1543,6651,250572,T
925237799,2059,2,172956,650,639,385,3409,250321,F
719585059,4974,52,492426,650,871,385,3217,250546,T
101750308,2145,23,102960,650,3562,385,3301,251167,F
773622670,3446,181,75812,650,1263,1543,5487,250263,T
986024073,2141,46,214100,650,34101,385,6674,251033,F
113753708,3308,192,155476,650,555,385,3819,250333,T
258426319,2232,26,124992,650,17050,385,3728,251007,F
167497819,3353,178,311829,650,1591,1543,5159,250637,T
897738942,2183,1,170274,650,645,385,3286,250824,F
401975784,3453,144,183009,650,1046,1543,3171,251057,T
511811046,2258,14,158060,650,706,385,3239,250394,F
945371604,206,1,5562,650,580,1157,6756,250884,T
721355672,2116,18,67712,650,615,385,3192,251184,F
112974793,131,27,4847,650,755,385,6594,250304,T
555635755,2149,1,163324,650,1193,385,3161,250660,F
862032106,318,18,27030,650,607,771,5292,251138,T
150238039,2049,1,86058,650,12563,385,3499,251117,F
305370230,176,1,12672,650,2340,771,6384,250314,T
275240886,2194,1,68014,650,2251,385,3340,251151,F
993364185,306,6,24174,650,3850,1543,4060,250604,T
839390908,2226,2,73458,650,489,385,3201,250346,F
706545729,2201,8,162874,650,652,385,3246,251116,F
305502033,3312,195,208656,650,652,1543,3363,250459,T
890701712,3323,163,242579,650,1429,385,3043,250759,T
759897236,2114,1,90902,650,2057,385,3186,250440,F
026299284,178,25,11036,650,1095,385,4777,251080,T
700578178,2338,1,121576,650,621,385,3416,250863,F
368471582,3186,155,289926,650,5078,771,4709,251043,T
201671042,2324,30,69720,650,47742,385,3334,250741,F
443092080,47,22,1786,650,1175,1929,3074,251190,T
601318979,2231,5,180711,650,661,385,3069,250422,F
671026282,331,16,7944,650,564,1157,3447,250760,T
433289632,2301,7,163371,650,626,385,3540,250449,F
577529086,319,1,23287,650,795,385,3791,251099,T
130473953,2119,15,148330,650,708,385,3084,251111,F
152435179,239,1,21032,650,2022,1929,3310,250230,T
578207955,2214,1,117342,650,3913,385,3461,251186,F
360567032,108,7,6156,650,1333,385,5198,250653,T
931583457,2234,1,160848,650,682,385,3165,250851,F
554991392,62,3,2666,650,1158,385,3383,250420,T
941669493,2174,6,171746,650,585,385,3614,250285,F
088724990,96,1,3840,650,837,771,7120,251014,T
242545995,2200,39,154000,650,21700,385,3341,250708,F
800721500,287,15,13489,650,820,771,6925,250321,T
810727681,2338,1,123914,650,820,385,3507,251159,F
922688567,3295,210,250420,650,604,1157,5225,251002,T
558688244,2115,3,167085,650,564,385,3566,250324,F
908197481,3276,203,229320,650,682,385,3312,250215,T
668693213,2283,1,146112,650,721,385,3511,250979,F
277218612,3342,211,233940,650,706,1543,7079,250284,T
096158731,2049,14,84009,650,825,385,3639,250916,F
114009451,3231,207,294021,650,900,1157,3556,250692,T
407532676,2159,4,116586,650,557,385,3728,250722,F
537588298,134,1,6298,650,1657,771,5337,250403,T
714104022,2169,9,125802,650,576,385,3555,250623,F
554822172,3397,202,125689,650,620,771,4829,251203,T
601727946,2277,17,168498,650,6120,385,3148,250869,F
116711059,125,9,11500,650,4973,771,3462,250271,T
975716452,2225,1,133500,650,939,385,3140,251110,F
888339982,2092,1,89956,650,5551,385,3055,250666,F
322627225,3332,183,263228,650,19892,1543,3109,250887,T
537118388,176,56,7392,650,537,771,3729,250325,T
357585425,2211,1,159192,650,7957,385,3339,250632,F
102179293,216,35,9504,650,1065,771,6707,250421,T
950993781,2224,15,151232,650,34101,771,3242,250305,F
061516686,120,24,4200,650,485,385,5329,250716,T
458988432,2254,1,182574,650,553,385,3316,250745,F
316704477,115,40,5520,650,1473,771,6775,250641,T
203542018,2225,6,131275,650,2911,385,3177,250436,F
105611480,3279,198,95091,650,1356,1157,4699,250957,T
951424847,2184,1,152880,650,1412,385,3687,250510,F
963335459,3422,203,71862,650,4973,385,5125,250890,T
565979161,2091,13,202827,650,1491,385,3409,251061,F
335139763,3337,164,96773,650,17050,1543,5147,250207,T
582083391,2342,1,170966,650,638,385,3171,251178,F
311176852,3322,166,172744,650,568,1929,3601,250210,T
751119301,2086,13,185654,650,674,385,3343,250205,F
