userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
157430926,1779,1,81834,2623,6860,944,2570,375494,T
863692140,1498,26,269640,3532,5024,472,1942,376315,T
274446274,2774,70,621376,1306,27441,472,1981,376237,T
759718611,1809,1,34371,735,13212,2361,2371,376016,T
460789776,1550,1,303800,953,32430,1417,1838,375730,T
389768507,1878,1,170898,735,3795,1417,1497,375563,T
667573101,1846,24,162448,1028,10492,1889,1899,375435,T
738889583,2780,66,205720,1118,11148,1417,2336,375839,T
601906508,1552,18,360064,2188,3716,472,1127,375697,T
854252599,2699,78,493917,1578,4008,944,2024,375602,T
602139370,3410,21,501270,1740,5170,944,2229,376035,T
162226663,1554,14,335664,880,8493,1889,1899,376173,T
626949903,3485,16,770185,2074,10192,944,2432,376134,T
057249608,2694,83,253236,3365,4632,2361,2377,375903,T
871702477,2746,85,403662,1311,5246,944,1942,375781,T
908200799,2709,66,276318,1034,6994,472,1672,375499,T
181410592,1518,1,100188,857,6730,1417,1427,376210,T
685128324,2742,72,411300,1674,4148,1417,2359,376042,T
107671655,3487,5,857802,1181,17836,472,2202,375846,F
494933951,3510,23,768690,903,10192,2361,2371,376189,F
233278940,1950,5,89700,1292,7134,2361,2371,375797,T
793831854,1516,4,303200,1651,3963,1417,1427,375611,T
274107719,3511,2,772420,1094,4148,1889,1899,375760,T
681922023,3433,2,789590,3333,4246,1417,1565,376005,T
068428635,1783,11,319157,1077,3640,1889,1899,376224,T
148165217,1783,29,105197,821,5945,2361,2568,375498,T
697188385,2867,55,94611,921,5945,1889,1899,375586,T
015380600,1918,1,199472,887,4246,472,2431,375383,T
122693704,1379,29,93772,876,32430,944,2540,376140,T
824957367,3482,27,591940,1524,11891,2361,2483,375849,T
029260944,1500,34,58500,3333,4573,472,1533,376241,T
987741091,3507,1,848694,4886,9909,944,2312,376192,T
894961854,1757,8,289905,2642,3640,472,2803,375957,T
252035959,1550,1,339450,1907,25481,472,1978,376059,T
195191977,1367,3,270666,1049,25481,472,2268,375981,T
145333715,2814,78,303912,2924,5096,2361,2371,375509,T
610505325,1821,21,58272,951,5096,1417,1427,375981,T
999943328,1564,16,162656,1520,1748,109,1071,166406,T
486396976,1845,1,208485,1321,7432,1889,2093,375520,T
566884910,2722,86,394690,1498,4886,944,1720,376214,T
525065598,1467,21,168705,1810,12740,1889,1899,376093,T
043390468,1474,1,359656,1599,5574,944,1485,375539,T
286637003,3463,11,841509,2900,29728,1889,2359,375761,T
238249112,1756,9,386320,719,4196,2361,2366,376198,T
844235669,1549,1,159547,2362,17836,944,1935,376276,T
164063996,1826,5,429110,855,5488,1417,1844,375581,T
747537985,1558,3,24928,1928,4573,1889,1899,375487,T
121390787,2744,74,137200,4298,4820,1417,1493,375624,T
279178690,1842,1,366558,1887,11891,1889,2717,375886,T
691107853,3462,22,657780,2175,3963,944,1532,375785,T
023996480,1895,1,75800,878,4515,1889,2744,376366,T
019527810,2838,52,133386,4053,4632,1889,2080,375985,T
877780609,1865,28,119360,732,7432,2361,2371,375997,T
933421262,1914,8,99528,1474,6150,472,2288,376320,T
242725486,2761,51,621225,1628,13720,472,1953,376169,T
587881332,1804,1,254364,867,4053,2361,2502,376227,T
936068154,1390,25,133440,1128,5324,944,2088,376075,T
272811508,2761,85,466609,2787,9147,944,1448,375739,T
865491247,2723,74,209671,1158,20984,1889,2438,375714,T
737126308,2756,68,275600,1283,6486,2361,2371,375787,T
606483314,1939,1,432397,946,13212,2361,2371,376334,T
908849659,3529,8,659923,1792,7134,944,1942,375358,T
169572592,1529,16,255343,859,7432,944,1984,375639,T
357341532,2813,55,489462,859,4196,944,1093,375833,T
083042232,1860,2,394320,1415,6258,1417,1954,375775,T
397517337,1866,18,76506,1415,4404,944,1516,375943,T
162251454,1384,1,85808,2257,3677,944,1566,375725,T
203853102,1858,13,334440,1361,7590,944,2215,375559,T
804344310,1859,1,332761,1949,4632,472,2287,375413,T
127304916,1521,4,152100,1256,9641,472,2180,376148,T
054411409,2756,68,135044,2924,11507,472,1855,375985,T
051070118,1820,1,232960,1372,13212,944,2622,375415,T
907261425,2733,84,38262,759,11507,1417,2123,375369,T
765572854,3426,11,674922,910,23782,1417,1875,375372,F
339845338,1947,16,183018,943,4632,944,1471,375625,T
436741826,1824,1,47424,785,4008,1889,1964,376285,T
834272309,1768,15,351832,1636,4459,1889,1964,376116,T
559919473,1501,25,301701,4886,10192,2361,2371,376219,T
043857701,2866,59,587530,732,19818,1889,1899,376068,T
