userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
555726873,1995,1,183540,796,1265,2361,2231,375567,T
175362764,1601,9,73646,796,1297,1417,1270,376231,F
316110970,2039,52,103989,796,7590,1417,2514,376210,T
402793827,1530,22,82620,796,2215,472,1585,376114,F
582091614,2946,81,182652,796,1265,1417,946,375543,T
362077735,1670,14,158650,796,2136,1417,1271,375701,F
830220705,1642,46,159274,796,1209,944,1082,375861,F
727096104,2021,4,72756,796,1960,944,1766,375712,T
352406143,2732,77,193972,796,4148,1417,1518,375700,T
485257155,1468,46,66060,796,2110,472,1161,375970,F
939081536,2956,93,245348,796,1037,472,1432,376355,T
963142710,1738,17,172062,796,1682,944,1067,375609,F
648059679,2697,95,210366,796,1205,1889,1592,376112,T
837671137,1560,48,124800,796,883,1889,1179,375926,F
808732804,1976,13,53352,796,1055,1889,2379,376243,T
188753085,1657,38,94449,796,1480,2361,1262,375886,F
728793454,1991,60,165253,796,1114,1889,2461,375944,T
519743322,1735,30,140535,796,787,472,1579,375555,F
743956756,2883,103,221991,796,885,472,2160,375492,T
909297698,1581,20,140709,796,3430,1889,998,376053,F
001361217,1781,32,146042,796,5574,944,1970,375969,T
835784748,1617,19,151998,796,2808,472,1401,375601,F
872686490,2980,61,92380,796,5170,2361,1441,376058,T
703351183,1714,33,61704,796,2744,472,939,376286,F
287062550,1961,12,101972,796,1537,2361,2230,375616,T
034336317,1488,1,145824,796,3877,1417,986,375370,F
864579038,1520,16,136800,796,3213,2361,925,375946,F
852590468,2939,67,91109,796,1197,1889,1475,376173,T
870243680,1758,59,42192,796,1125,1889,2061,375378,T
973475001,1604,28,115488,796,926,472,1684,375518,F
383923447,2765,89,143780,796,2410,1889,2718,376242,T
564540434,1716,15,84084,796,1031,1889,940,375529,F
716187742,2898,85,147798,796,747,1417,2583,375818,T
918198003,1483,13,40041,796,1242,472,1270,375447,F
493136992,1923,7,124995,796,2662,472,1936,375512,T
474554965,1681,39,68921,796,2530,2361,908,375916,F
809712194,2046,47,59334,796,777,1417,2171,375816,T
439250054,1496,19,131648,796,889,2361,1403,375822,F
776409094,1532,44,153200,796,7927,1889,1600,376266,T
177342265,1514,38,66616,796,1013,944,1430,376096,F
650739821,2002,6,106106,796,1651,944,932,376281,T
632640350,1636,33,143968,796,5170,472,1242,375360,F
009588173,2974,70,89220,796,1801,472,1117,376087,T
476355507,1736,42,83328,796,1185,944,1027,376164,F
352086573,1955,45,86020,796,1177,472,2398,376016,T
607833832,1514,14,54504,796,1052,944,993,375580,F
966018231,2797,83,192993,796,717,2361,941,376282,T
462115733,1519,27,138229,796,1382,944,1022,375429,F
989202904,1956,34,99756,796,2997,1889,2028,376363,T
492548779,1709,21,47852,796,1706,472,1498,375728,F
885592037,1524,1,147828,796,825,1417,1175,376097,F
478054555,1990,48,161190,796,829,1889,2236,375368,T
835935283,1789,10,144909,796,1162,1417,2433,375670,T
956650262,1612,13,38688,796,2662,944,1227,376121,F
381218981,2715,86,198195,796,3835,944,1912,375787,T
236934535,1627,48,115517,796,2162,2361,1185,376028,F
874493312,2866,96,249342,796,5170,1417,2339,375747,T
516353576,1572,2,117900,796,785,472,1503,376157,F
723171579,1786,8,96444,796,810,2361,1456,375783,T
090305116,1667,17,163366,796,1643,472,981,375560,F
348368144,1947,36,87615,796,1571,1889,1726,375689,T
573183209,1469,18,73450,796,4350,472,1372,376234,F
813198383,2833,98,235139,796,1398,2361,1351,375515,T
421177525,1536,1,64512,796,853,1889,920,376275,F
461431212,2751,91,195321,796,1706,1417,1547,375648,T
811671429,1507,21,87406,796,2202,1889,1168,376083,F
872315452,2753,113,154168,796,1084,1889,1706,376320,T
159181488,1545,6,125145,796,941,472,1440,375566,F
029563193,1820,18,74620,796,734,1417,1259,375457,T
114583366,1632,4,155040,796,5246,472,993,375554,F
436852383,2896,62,254848,796,2900,944,959,376168,T
705468262,1573,5,66066,796,961,1889,1215,375536,F
788813343,2949,72,100266,796,2548,472,1139,376359,T
477076709,1530,39,108630,796,1907,1417,1113,376277,F
515415165,1933,13,146908,796,2787,2361,1100,376100,T
156219035,1667,35,90018,796,1628,472,1161,375678,F
013735689,2803,49,84090,796,889,472,2781,376353,T
891137378,1476,1,129888,796,1636,472,1453,375704,F
590409506,2716,53,249872,796,1316,472,1266,375646,T
359123275,1657,1,154101,796,5024,1417,894,375670,F
962829425,2769,47,210444,796,751,1417,1014,375933,T
228531098,1671,27,108615,796,820,1889,932,375699,F
930422226,1809,10,121203,796,2997,2361,2842,375737,T
928103397,1738,2,53878,796,10810,1417,1096,375618,F
099025378,1947,35,128502,796,1094,1417,2859,375450,T
879466253,1742,39,134134,796,974,1417,1206,375677,F
568608911,1793,1,98615,796,4459,2361,1498,376367,T
521433069,1533,1,58254,796,1002,2361,1188,376158,F
638028592,2773,98,80417,796,4820,944,1863,375526,T
747417821,1488,34,69936,796,2853,1889,1424,376100,F
828343143,2873,57,229840,796,1002,472,1475,376114,T
873371866,1583,9,140887,796,1125,1889,1044,375689,F
256015681,1986,49,194628,796,977,944,2353,375995,T
666464458,1566,14,40716,796,1260,1417,1422,376037,F
574346338,2693,66,199282,796,1205,2361,2164,375956,T
797664217,1540,16,138600,796,1774,2361,1309,375502,F
107805330,2017,39,100850,796,1432,1889,1548,375358,T
441033766,1639,35,116369,796,855,2361,1402,375609,F
525151097,2871,92,206712,796,4298,1417,1416,375396,T
736636786,1591,21,147963,796,3677,472,1213,376021,F
