userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
371366668,3799,110,866172,1242,8656,540,5455,579382,T
921896371,4131,168,561816,4472,22362,2700,10832,579353,T
805502742,3759,86,586404,7352,21468,1080,8429,579582,T
450062838,3039,16,57741,2543,17890,540,5476,579777,F
045930312,4265,155,737845,1450,9415,2700,11513,579962,T
614186823,3748,84,198644,2048,7061,540,11630,579100,T
779613193,3078,33,695628,2181,9938,1620,5461,579680,F
199311113,4248,160,518256,1397,33544,1080,8644,580015,T
056282122,3697,93,524974,1358,7156,540,6393,579309,T
428123598,3110,29,239470,1435,18507,1080,8996,579486,F
593511953,2995,34,658900,1265,11419,1080,11770,579494,F
339070958,3755,87,934995,1208,21468,540,10973,579734,T
056435011,3806,81,685080,1219,7454,1080,11528,579224,T
342393092,4173,175,963963,3554,41284,1080,6198,579813,T
936959820,3687,85,449814,1408,26835,540,8213,579655,T
048731129,3195,7,367425,1372,33544,540,5447,579646,F
491077656,141,1,32148,3396,6240,1620,5524,579681,T
171311407,4174,246,826452,2450,12778,2160,11341,579787,T
397312490,260,1,59540,1290,9938,2160,11027,579311,T
932449988,4172,148,417200,4035,8386,1620,6210,579627,T
971788977,4088,242,547792,2670,9415,1620,8994,580024,T
895630987,4188,135,661704,1394,38336,540,11268,579338,T
804379539,3156,31,116772,1494,10734,1620,11683,579723,F
095497370,4193,146,511546,2217,11667,1620,5366,580054,T
499375687,4067,236,154546,3157,8656,1080,11098,579261,T
806992662,3751,101,562650,1106,41284,540,11620,579481,T
842143816,92,1,3864,2683,11419,1620,11143,579474,T
615340729,3757,111,244205,2040,11667,540,5478,579951,T
129756806,176,1,20416,2323,10953,540,5978,580049,T
559917220,3065,8,285045,1783,76672,540,8350,579317,F
445186034,262,1,24104,1958,5421,2160,8881,579076,T
747916659,111,20,12321,7352,16772,1080,10939,579214,T
678357848,107,4,4815,1682,5771,540,11177,579921,T
532757563,190,1,26410,1511,6708,2160,5809,579892,T
947168552,3085,42,425730,7061,13090,540,11053,579487,T
842169233,3784,103,351912,1268,15334,1080,8899,579415,T
557964305,4170,158,104250,1222,10321,2700,5756,579868,T
448316147,3190,23,669900,1759,9938,540,5856,579192,F
704128037,4203,214,714510,3462,11181,1620,8907,579268,T
619809946,3128,43,62560,4193,11926,1080,11724,579714,T
742123362,4102,155,151774,1666,41284,540,5359,579737,T
973976868,4271,160,525333,1844,14908,1080,5923,579317,T
