userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
992367522,151,1,4832,1073,1325,540,8531,579349,T
008826264,4168,227,308432,1073,5533,1620,8331,579134,F
254937915,4309,227,150815,1073,4035,1620,8601,579894,F
500896702,4361,196,322714,1073,4835,1620,11259,579364,T
943753861,255,1,5355,1073,1731,2160,10853,579513,T
571690560,4194,229,318744,1073,1466,540,10861,579149,F
326421416,165,1,4455,1073,1876,1620,8822,579156,T
605577720,4251,268,374088,1073,1524,1080,11573,579115,F
058440889,4297,155,378136,1073,2531,1080,5371,579468,T
293677569,4177,229,363399,1073,2364,540,8567,579421,F
634599409,159,1,13515,1073,2683,2700,11080,579728,T
467357309,4159,221,216268,1073,1122,1080,6183,579855,F
257382863,3721,130,245586,1073,5111,540,11330,579291,T
674172677,4298,221,399714,1073,15334,540,11525,579793,F
008893428,3115,24,267890,1073,2496,540,11784,579679,F
801010104,3717,108,204435,1073,2155,540,8714,579369,T
254060803,4369,167,192236,1073,1771,2160,5687,579680,T
827736851,4294,219,360696,1073,1478,1080,5924,579125,F
890676829,108,26,8640,1073,1233,2160,5423,579614,T
572643139,4162,274,341284,1073,1602,1080,6142,579254,F
445836316,4205,171,168200,1073,2643,1620,8615,580016,T
837593447,4101,230,143535,1073,2146,540,5790,579366,F
690595415,3727,82,245982,1073,1626,540,11441,579136,T
897319047,4210,230,159980,1073,7892,1620,8904,579339,F
800552382,328,1,26568,1073,4626,2160,5387,579572,T
784349618,4118,240,317086,1073,2032,1620,6164,579489,F
120619138,367,48,13946,1073,3252,2160,8716,579693,T
364180193,4157,245,157966,1073,2303,1620,8783,579429,F
472847844,4332,192,385548,1073,1427,2160,6218,579639,T
365842716,4127,244,280636,1073,10126,1080,8782,580002,F
788637034,4089,251,298497,1073,3753,540,11034,579174,F
165257692,4294,156,171760,1073,1179,2700,11059,579874,T
639179308,142,13,10934,1073,1863,1620,6284,579557,T
029859872,4061,248,377673,1073,1980,1620,5356,579246,F
462353193,3941,97,145817,1073,1379,540,11025,579112,T
428703724,4146,257,182424,1073,5015,1620,10777,579830,F
050000650,342,11,6840,1073,1305,2700,11352,579762,T
431196826,4272,221,98256,1073,2643,540,6391,579862,F
616661373,4250,188,85000,1073,1309,2700,5374,579204,T
800105894,4181,241,309394,1073,1466,540,5891,579538,F
496041808,347,43,12492,1073,1631,1620,8852,579072,T
712056458,3071,7,230325,1073,3806,540,8695,579189,F
614221619,298,40,27118,1073,4749,1620,11649,579865,T
774134252,4239,212,144126,1073,2056,1080,6135,579086,F
667924816,3675,89,106575,1073,1682,1620,5394,579129,T
731168881,4216,278,396304,1073,1111,1080,8712,580040,F
824479479,4315,141,181230,1073,3485,2160,8775,579254,T
031169499,3016,35,81432,1073,16263,540,6149,579127,F
986494253,277,8,21052,1073,1318,1620,11369,579425,T
072790601,4166,227,387438,1073,11926,540,6361,579544,F
463489990,4284,279,257040,1073,4293,1620,11570,579797,F
021042376,4239,165,330642,1073,5771,1080,6040,579883,T
643405887,125,1,8125,1073,20642,1620,8776,579277,T
657170287,4196,228,88116,1073,1537,1620,11580,579431,F
704581264,4229,213,207221,1073,4587,540,8908,579978,F
864261330,4243,146,377627,1073,4707,2160,11067,579920,T
462678312,3717,101,130095,1073,5367,540,8479,579614,T
557020286,4268,248,192060,1073,1386,1620,8276,579954,F
677205840,3783,84,238329,1073,4510,540,8076,579121,T
773686292,4102,248,287140,1073,3292,540,8136,579799,F
114834820,4121,274,140114,1073,1973,1620,6032,579543,F
