userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
049135692,4683,148,1133286,875,16121,1796,5256,362257,T
575406901,1513,71,160378,1407,3985,449,6758,362066,T
726716592,2403,63,487809,4547,4995,1347,4577,362626,F
705848373,1794,22,435942,1280,7093,449,6732,362463,T
821434470,1734,1,34680,2333,10747,2245,6686,361903,T
967825025,1701,20,176904,1016,3733,2245,7230,362034,T
680712008,1380,97,237360,971,8444,898,7636,362427,F
452633301,4794,171,292434,1721,3985,2245,9951,361699,T
010298280,4748,151,868884,4926,32243,1796,5468,362626,T
956965563,4745,147,223015,4858,3813,1796,9499,362496,T
945195195,4700,146,70500,2111,39408,449,6974,362162,T
511797266,1576,93,56736,4926,4124,1796,9500,362305,F
647232167,2330,37,393770,2038,10747,449,7555,362162,T
977066119,4661,139,610591,798,8060,2245,7317,361745,T
345503811,4349,42,100027,213,1538,961,2313,102428,F
940908433,4818,168,120450,817,16121,898,9111,361787,T
127738856,4438,57,878724,822,10431,898,4985,362152,T
868960126,1623,13,329469,1235,8248,1347,4727,361911,T
155837038,1567,84,62680,1782,3619,1347,9124,362658,T
582744187,4682,139,870852,1058,7546,2245,9031,362133,T
592246221,4770,167,834750,4076,5456,898,8947,362116,T
969298342,1627,9,214764,1713,3582,898,9239,362700,T
542980262,1576,86,231672,729,16121,898,9689,362373,F
575917538,4787,163,952613,1004,6222,449,4557,361855,T
396326588,1395,101,40455,2364,5456,2245,4690,362204,F
526095015,4668,158,200724,764,6011,1796,9306,362325,T
800805556,1628,1,47212,854,5629,1347,4750,362205,T
835842819,4673,151,892543,1515,13641,1347,4970,362321,T
255840519,1653,11,166953,1435,7881,898,7093,362022,T
239175989,4776,170,955200,4378,39408,898,9836,361984,T
065502266,1770,13,302670,844,6954,449,5236,362390,T
667593094,4766,154,1105712,781,7389,449,9342,362124,T
887711781,4683,140,1114554,1068,39408,1347,4637,361811,T
946854195,1543,75,376492,1917,4666,1347,7394,362479,T
086232528,4815,155,394830,916,27282,2245,7475,362115,T
711095706,1748,3,367080,1490,5814,1796,4653,361718,T
045274603,1667,29,225045,1471,5629,898,5197,361915,T
371033695,1626,16,87804,1194,35467,1347,7708,362182,T
335585313,1658,17,275228,1087,4030,449,9573,362532,T
222187967,4686,161,492030,4926,4124,2245,7391,362535,T
464080663,4688,139,571936,1190,44334,449,4925,362325,T
989797146,1477,94,354480,1275,6333,1796,7249,361911,F
651243787,4665,177,569130,1502,4729,898,7126,362180,T
608613466,2365,33,515570,3253,5293,449,7536,361870,T
741209483,1721,16,91213,953,3985,2245,5206,362247,T
358129344,4691,157,98511,888,10431,1796,9065,362351,T
464514663,4705,138,169380,987,5720,2245,4583,362510,T
226948428,4706,143,734136,746,4926,1347,7208,361918,T
043133114,4645,174,733910,1194,4995,1347,9123,362370,T
553322513,4288,38,338752,1170,50667,898,7198,362255,T
324869908,4649,171,529986,1755,6954,1796,9701,362393,T
367087215,1712,21,330416,2149,3773,1347,9271,362535,T
800362247,1793,17,170335,1665,12230,898,4829,362446,T
328123116,1723,1,246389,1866,8650,2245,7380,362030,T
986070382,4753,141,541842,821,10747,2245,7108,361801,T
469408754,1749,4,421509,985,4666,898,5114,361966,T
464368006,1643,16,26288,4076,4378,898,5162,361799,T
338248418,1439,105,208655,895,17733,898,9547,362543,F
285584650,4635,177,857475,1294,3897,1796,4715,362151,T
497539533,1808,1,303744,1970,10747,898,9281,361927,T
788503876,1427,78,326783,2333,3940,2245,7146,362540,F
622165921,4302,31,159174,1782,3940,1347,6898,362357,T
181713454,4784,149,66976,3940,11822,2245,9507,362170,T
623709108,4763,146,576323,1747,4489,1796,9470,362458,T
332030747,1492,85,107424,1665,35467,898,6785,362457,T
073928412,1772,7,152392,1818,6448,2245,9113,362649,T
650724863,1721,12,201357,538,2548,1143,5378,205065,F
159638706,4788,155,483588,2931,6820,1796,8979,362073,T
919087731,1735,8,104100,884,18667,898,5275,362496,T
951703637,4674,148,439356,2086,6333,1796,6871,361987,T
803996068,1742,23,177684,2189,70935,2245,4847,362065,T
273010353,1633,1,148603,1031,15420,898,4511,362109,T
839026100,4732,167,908544,725,6448,449,7207,361984,T
207588110,4780,149,717000,3813,3985,898,7577,362384,T
674418611,1492,81,22380,3410,13641,449,9295,361921,T
526503797,4821,146,496563,1374,4076,1347,9396,361952,T
260025652,1395,88,185535,928,4792,449,9303,361860,F
923759557,4643,159,1142178,1569,5720,1796,4910,362025,T
030276400,4664,142,755568,1847,4273,1796,5306,361791,T
624855508,1547,83,32487,1465,5911,2245,5145,362413,F
468273556,2434,61,464894,844,23645,449,9384,361866,F
546923919,4642,144,1053734,1037,4273,449,5264,362015,T
063082654,4769,139,319523,911,3855,898,4492,362292,T
749032359,1653,11,304152,4030,3773,1796,9769,361808,T
581225837,1782,27,422334,955,19704,1796,7722,362217,T
206212605,1389,104,16668,2551,44334,1347,9489,362281,T
092848552,1467,102,192177,3345,6222,449,9525,362524,T
662279686,1419,75,168861,3284,3694,898,9920,361946,T
327102844,4267,60,234685,3940,29556,1347,5338,362597,T
265302339,2419,58,522504,4433,4606,1347,4805,362532,F
851249797,4670,157,275530,722,17733,1796,7382,361805,T
189075850,1633,1,73485,3656,5293,449,7546,361802,T
570474328,4712,155,852872,1333,9333,449,5028,362541,T
314473099,1747,25,71627,4378,9852,449,4982,362536,T
635343700,1537,85,331992,882,4606,898,6889,362036,F
716947071,1378,94,334854,4433,5814,898,4567,361915,T
934752421,4755,149,1169730,826,5293,1796,6887,362621,T
787580226,4829,155,159357,1847,4172,1796,5324,362262,T
800430363,1673,18,336273,1034,8866,1347,6812,362434,T
654855965,4641,140,371280,4378,6568,449,7179,362332,T
293282278,1400,98,93800,982,5293,1796,4533,362504,F
156068708,1416,91,141600,1303,4606,898,4610,362320,T
778011426,1766,1,347902,1094,35467,449,6960,362633,T
348085773,4641,161,283101,4222,8650,1796,9480,362234,T
137053708,4684,143,805648,1166,4547,1347,7362,362578,T
047595124,2462,54,578570,846,44334,449,9733,362646,F
431462568,4663,141,200509,3443,6820,2245,9498,362617,T
823963468,4795,141,920640,2303,5629,898,5194,362549,T
837937982,4801,176,619329,1542,4792,1347,9342,362173,T
706380017,4783,160,1052260,2111,27282,2245,7130,362364,T
406580379,1654,7,319222,1001,13136,1347,5269,362562,T
991785223,1758,18,290070,990,5629,2245,6910,362194,T
346294765,4326,36,817614,826,5911,1347,5282,362140,T
341817279,4765,161,662335,726,4222,1347,7571,362680,T
004746472,1538,80,206092,1285,7881,898,9857,362460,T
607583542,1539,91,161595,1303,27282,1796,4534,362218,F
632014838,1445,90,355470,2202,10431,898,6991,362218,T
401470070,4292,23,68672,5066,4124,449,5424,362520,T
925002228,1753,22,99921,3377,4792,898,9019,362444,T
338190194,1419,87,158928,804,17733,449,9072,362352,F
489663325,1532,86,160860,3897,3940,1796,7138,362322,F
411270027,4774,174,864094,1385,9852,898,9198,362441,T
805228721,1814,28,166888,720,3619,898,6941,362529,T
220614960,1437,94,163818,1642,3582,449,6890,362379,T
933735701,1624,1,336168,1091,15420,449,4640,362520,T
883293306,1393,100,129549,3253,27282,898,4776,362454,T
239479980,4643,142,854312,1202,5456,2245,5066,362307,T
868603036,1377,93,132192,1992,13136,898,9586,362077,T
620611985,4294,30,798684,4729,3985,898,5146,361953,T
347825774,4709,162,951218,1773,4076,898,5023,361729,T
117407797,4341,46,651150,1856,35467,1347,4659,362302,T
611536868,2333,38,524925,1244,35467,449,7630,362387,F
749680164,4823,145,139867,862,11441,449,5428,362380,T
837999034,1753,4,108686,938,16121,898,9048,362702,T
858265794,4667,171,247351,930,5814,1796,6984,362663,T
034914884,4328,61,129840,1927,29556,898,4846,362539,T
348176182,4728,169,1016520,1917,6820,2245,7229,362420,T
259131792,1462,91,238306,1223,27282,898,4769,361807,T
486416555,4776,162,257904,2588,4606,2245,7400,362444,T
807337102,4697,173,873642,1619,6954,898,9427,362256,T
207026837,1512,71,370440,1061,3619,898,9471,362121,F
676129802,4677,143,570594,1013,4666,1796,5149,362176,T
574205525,1668,7,263544,1001,20863,1347,7563,361755,T
759854223,1648,1,102176,1791,4792,2245,4589,362455,T
733154628,1633,6,267812,4222,6011,1796,6845,362548,T
745827276,4768,172,1039424,788,4489,1796,9090,362605,T
508595447,4736,149,824064,1266,5293,1347,6996,362005,T
688666628,2334,36,30342,2515,70935,449,9727,362397,T
597939433,4288,49,651776,1522,7238,898,5242,361936,T
417323250,4632,147,856920,914,50667,1796,9233,361978,T
254322723,1477,86,262906,1528,3866,527,1319,268687,T
336069351,4311,26,689760,1101,5293,449,5490,362574,T
377213486,4683,137,800793,743,7238,2245,6789,362591,T
119511882,1718,28,300650,761,9585,1347,9871,361723,T
495935672,4640,174,111360,779,6011,1347,9094,362696,T
193166849,4382,33,148988,753,39408,449,7460,362355,T
259807777,1423,97,51228,745,12666,449,5038,362350,F
885333955,1690,10,258570,1747,4433,2245,4645,361766,T
146624054,1465,74,297395,2288,23645,1796,9133,362265,F
746732476,1531,89,346006,1240,3694,449,5057,361796,T
645203626,4678,151,252612,1087,4547,1347,9431,362473,T
046710511,1565,91,89205,1837,3546,898,7015,362457,T
878037015,1717,1,188870,728,70935,2245,6924,362666,T
421408595,1418,75,337484,1657,5720,1347,9070,362059,T
043748476,4762,150,404770,914,11822,898,7349,362050,T
570821339,4728,163,321504,3511,17733,2245,5270,362032,T
412586629,4821,169,1104009,880,16121,449,7518,362006,T
114978923,1685,8,138170,786,6691,1347,5465,362580,T
468333260,1629,9,53757,1323,10747,449,5451,362346,T
620603255,1796,1,380752,930,5814,1347,9573,361858,T
272286020,4763,141,281017,1401,4273,1347,9234,361937,T
753486760,4273,29,611039,1084,7093,449,6986,361854,T
329675215,1479,96,366792,1713,5215,898,9365,361879,T
660754017,1740,19,248820,2627,4172,2245,5335,362084,T
257196047,1673,10,235893,969,32243,1347,9929,361961,T
375744779,4823,150,1008007,3284,44334,1347,5100,362675,T
928351947,4653,163,1088802,776,6820,1796,9635,362583,T
889400823,4748,162,1030316,1253,12230,898,5071,362698,T
199892993,4784,143,1152944,1186,4547,1347,9638,361853,T
322522841,4267,44,507773,916,3940,1347,5166,362301,T
288348031,2340,42,519480,809,44334,449,6862,362190,F
834233092,4680,163,1085760,1323,3733,1796,7387,362381,T
541769270,4771,140,691795,2463,23645,1796,6810,362204,T
145351753,4666,139,209970,3855,9333,898,5051,362230,T
387301232,1668,1,18348,2136,4547,1347,9572,362051,T
454773639,1465,75,112805,3314,9852,898,4550,361984,T
886382297,4793,150,397819,1453,3694,1796,9973,361965,T
564599177,4719,161,184041,888,13641,1796,9950,362647,T
967899442,1684,17,328380,821,5814,2245,6943,361864,T
376450452,4810,159,759980,886,4858,449,9890,362286,T
388295605,4644,155,975240,1280,4076,1347,5468,362318,T
299785853,4806,160,581526,2050,4729,898,9183,361892,T
959658839,4816,159,361200,709,7881,1347,9382,362124,T
438805727,4398,34,536556,807,5140,1347,4663,362354,T
872604463,4659,166,298176,756,4666,449,4713,361718,T
828809213,4672,138,780224,1170,29556,1796,9867,362655,T
289595605,1803,3,142437,2026,25333,1347,9262,361895,T
019307932,1409,87,121174,1240,8248,898,7582,362149,T
123701811,1737,1,71217,1465,6691,898,4740,361715,T
575741811,1563,80,267273,786,7881,898,9006,362412,F
905802612,4681,151,968967,725,4325,898,5149,361911,T
661155336,1635,2,39240,1435,9585,898,6758,362616,T
111877947,4688,155,717264,729,14187,2245,9355,362604,T
859034205,1392,82,57072,2627,3733,449,5483,362460,T
447772082,4828,175,246228,1649,5456,449,7120,362592,T
211705616,4812,147,163608,1289,3985,2245,9375,361892,T
468147163,1690,17,91260,748,4995,2245,9111,362285,T
838344551,1787,12,230523,716,9333,898,9161,362370,T
776268323,1621,24,403629,2570,4030,898,4880,362219,T
018674975,4806,150,884304,4325,3694,2245,7367,362269,T
739368622,4297,37,249226,1364,12230,449,6943,362034,T
489364586,4799,145,767840,1055,5215,1796,6974,362672,T
356255593,4316,53,315068,1299,12230,898,4658,362350,T
120112707,1820,1,376740,709,19704,2245,4903,361726,T
109326002,1791,1,173727,1583,8248,1796,9359,362083,T
274777125,1756,8,235304,921,50667,449,9254,362525,T
304966568,4787,175,852086,1896,32243,2245,5386,361964,T
610731512,4727,171,605056,828,13136,1347,9262,362534,T
845747416,1433,79,333889,1374,4547,1347,9047,361858,T
352254014,1473,68,319641,3985,3694,449,8995,361841,T
180284949,4676,156,851032,1886,4433,449,5263,362618,T
411237199,4686,144,388938,1569,3619,1796,9356,361823,T
173702798,4735,158,885445,2570,3619,898,7713,362270,T
813039489,1769,13,235277,1483,4489,449,4463,361999,T
276824381,4814,137,399562,1318,18667,449,9080,362565,T
811956827,1759,1,355318,715,13641,449,9821,362460,T
551355160,1820,23,94640,1170,7238,1347,4918,362472,T
