userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
684839809,4913,145,176868,806,871,449,8951,362599,T
615547028,1416,109,77880,806,1271,449,5162,362355,F
847834351,1757,17,77308,806,1323,1796,9311,362703,T
585617574,1513,84,75650,806,2627,449,9895,362243,F
278327003,4895,205,225170,806,811,449,6800,361975,T
890132474,1394,86,103156,806,731,449,9494,362098,F
721148036,4497,53,220353,806,4926,898,5436,361945,T
093341957,1408,107,30976,806,1118,898,7110,361834,F
423276061,4668,140,107364,806,2273,1796,7670,362162,T
135533656,1404,110,89856,806,3511,898,6797,362506,F
033607664,4262,44,174742,806,748,898,6805,361765,T
781373699,1620,77,134460,806,1198,449,4594,362637,F
291711508,1833,12,58656,806,1959,1347,7551,361801,T
660450728,1465,98,29300,806,4926,449,9927,361723,F
011627748,1817,1,129007,806,769,2245,9118,361842,T
136153728,1456,107,77168,806,1151,898,9873,361762,F
165071538,4734,160,416592,806,4606,2245,8978,362204,T
824888672,1526,123,143444,806,1338,898,4550,362324,F
090829385,4413,28,419235,806,3813,449,7119,362232,T
083410621,1602,107,56070,806,1390,449,7386,362065,F
236742107,1602,129,97722,806,974,449,9937,362524,F
354071303,1882,45,88454,806,3813,1347,9574,362460,T
041009119,4746,179,351204,806,717,2245,9533,362163,T
052462511,1491,118,140154,806,1522,449,4496,362530,F
752260376,1776,1,142080,806,1906,1347,6765,362062,T
379380017,1539,109,78489,806,1098,898,5004,362457,F
966041145,1874,45,127432,806,2273,898,9184,362617,T
440820513,1521,117,97344,806,1104,898,5003,362272,F
662955369,1722,19,67158,806,1424,1796,9735,362296,T
052273199,1404,118,51948,806,1202,898,7179,362076,F
048387838,1758,21,50982,806,999,1347,5187,362296,T
772718875,1460,84,128480,806,1917,449,9866,361728,F
248867464,1867,15,59744,806,1343,898,8956,362278,T
827629602,1451,102,85609,806,1374,449,9327,361978,F
822325862,4542,24,313398,806,1828,898,6736,362405,T
635657457,1452,109,117612,806,728,898,7304,362539,F
839266328,4868,140,442988,806,2074,1796,7538,362559,T
511164839,1666,95,166600,806,3084,449,7172,362185,F
321205375,1862,38,126616,806,3410,449,7559,362386,T
648324135,1425,81,126825,806,20863,449,7177,362567,F
398743941,4903,159,446173,806,732,1796,4478,362657,T
506179520,1455,126,34920,806,29556,449,6888,362213,F
163803878,1463,133,43890,806,1058,898,9140,362574,F
033161720,1690,23,123370,806,749,1796,9936,362020,T
731006386,4390,34,144870,806,1210,898,4618,361872,T
817580308,1522,84,103496,806,842,898,5151,362069,F
507251193,4665,169,429180,806,1483,1347,7685,362505,T
715337057,1416,127,94872,806,1046,898,6959,362519,F
287402420,1387,91,134539,806,1483,898,5253,362010,F
839006017,1890,28,139860,806,2837,1347,6762,362291,T
249372221,4369,39,96118,806,10133,449,5067,362103,T
763778039,1569,97,111399,806,880,449,7457,362051,F
920072700,4491,29,305388,806,1210,449,7072,362396,T
356380822,1550,130,133300,806,1129,449,4625,362533,F
832837886,1752,32,68328,806,1313,2245,5224,362680,T
773154263,1653,132,67773,806,1235,449,7480,361932,F
820919449,4752,178,422928,806,2026,449,5014,361968,T
014741075,1474,116,61908,806,2175,898,9185,361849,F
156933069,4644,185,399384,806,1390,898,7645,362367,T
887893546,1607,130,102848,806,2074,449,5081,362426,F
883693106,1617,122,66297,806,1583,449,9307,361696,F
544889235,4649,193,432357,806,1178,898,4648,361769,T
754453085,1668,32,155124,806,1140,898,4761,362576,T
866056522,1514,122,131718,806,3284,449,7600,362072,F
764285385,4765,179,457440,806,1129,1796,5141,362123,T
520482253,1433,126,48722,806,44334,449,9627,362378,F
545093545,4343,40,221493,806,3619,898,6962,362577,T
140735336,1400,104,82600,806,809,898,5067,362388,F
213707408,4686,205,407682,806,1275,898,6912,362135,T
963008676,1435,85,124845,806,3773,449,7384,362502,F
330735926,1665,81,136530,806,1065,449,4934,362634,F
205014186,4699,150,380619,806,4222,1796,6795,361945,T
423661475,4397,42,127513,806,875,898,9131,362455,T
293357636,1654,77,62852,806,5541,449,5163,361761,F
326412459,4788,172,320796,806,1847,2245,7302,361861,T
838250052,1578,110,96258,806,2333,449,9387,361716,F
002559854,1912,32,107072,806,1046,898,5282,361824,T
094858354,1489,90,41692,806,719,449,7554,361881,F
561426512,1624,42,142912,806,1031,1347,4755,362490,T
151497596,1642,70,88668,806,1240,449,4700,362643,F
935864256,4718,180,174566,806,1569,449,5419,362674,T
096563230,1380,133,69000,806,715,898,4576,361986,F
626389917,4811,188,206873,806,3985,1347,5298,362513,T
095962101,1437,123,116397,806,6568,898,4826,362185,F
489180935,1832,51,157552,806,1178,2245,9080,362455,T
294000472,1381,101,45573,806,945,449,9203,362335,F
999334790,1856,17,181888,806,7710,449,4463,362200,T
153770407,1410,130,40890,806,1338,898,5106,362135,F
966680027,4723,161,377840,806,1170,2245,5424,362514,T
648229395,1451,128,85609,806,716,449,7526,362195,F
033099482,1531,80,33682,806,1040,898,4650,362273,F
262281578,4739,161,165865,806,1430,898,4778,362073,T
545501237,1828,1,95056,806,1847,1347,6743,362444,T
435313177,1539,95,78489,806,7546,449,4440,362643,F
791269381,4667,174,448032,806,1013,898,6918,362317,T
599033350,1597,104,143730,806,1396,898,4979,362542,F
653048892,1409,101,104266,806,4666,449,9018,362355,F
499515824,4654,193,144274,806,2931,1347,9893,362326,T
388298328,1508,96,60320,806,2288,449,7570,362176,F
086302564,1651,40,84201,806,741,449,4547,362005,T
