userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
706962354,3386,10,396162,475,1575,1326,3605,162822,T
694625194,3298,22,455124,678,1608,2210,3849,162185,T
356793739,3400,12,513400,461,1902,1768,2311,162801,T
560185016,3323,35,116305,593,3999,2210,4480,162775,T
697953270,3333,23,349965,599,9749,884,3334,162513,T
582761571,3462,34,207720,1624,8665,1326,3633,162452,T
951310618,3444,6,595812,712,3466,884,3147,162444,T
903340966,3415,1,751300,495,3713,1326,2931,163115,T
417714035,3353,21,663894,1033,2260,2210,2220,162688,T
025236887,3453,21,825267,317,31197,1768,2710,162621,T
775274245,3356,17,573876,968,2643,2210,3878,162495,T
216379096,3490,23,806190,460,1714,1768,2775,162160,T
938861947,3488,36,209280,458,1902,1768,2610,163076,T
669605187,3473,17,375084,1544,3545,2210,2946,162355,T
387101084,3296,25,141728,351,1813,884,4145,162399,T
281429326,3349,18,375088,376,4456,1768,3478,163068,T
790477717,3418,19,379398,812,2475,442,3495,162488,T
555024690,2497,7,421993,348,2107,442,2646,162425,T
890639563,2433,22,411177,329,3249,884,1971,162451,T
813356653,2526,20,391530,367,11998,2210,2486,162568,T
980847255,3390,14,301710,1624,1772,1768,2605,162130,T
838084453,3456,18,729216,843,2228,442,3586,162710,T
251550008,3304,1,601328,472,1714,1326,2816,162121,T
304894260,3411,18,839106,687,4456,2210,2984,162663,T
264354193,2506,12,335804,1083,1559,2210,2393,162993,T
703109874,2848,42,600928,2228,2363,442,1780,162327,T
494055874,3491,18,635362,1949,1608,2210,3040,162692,T
607678459,3396,34,750516,783,1641,1768,3414,162299,T
087200666,3423,1,290955,1033,2515,2210,3081,162965,T
736935342,3323,18,33230,725,6239,2210,3511,162527,T
335745574,3330,13,496170,1575,4587,2210,4258,162486,T
615112324,4258,44,860116,2107,17331,884,3080,162695,T
254399494,3340,14,370740,445,12998,1768,1827,162418,T
999990141,3391,16,376401,428,3249,1326,3544,162288,T
461959215,3471,2,419991,577,3713,1768,1899,162457,T
913086872,3415,16,409800,666,31197,1326,3139,162220,T
827075617,3298,11,662898,590,2557,1768,3677,162251,T
820158978,2983,42,474297,2079,1641,442,1932,162204,T
957644233,3474,38,34740,350,1591,2210,4440,162479,T
599161819,3438,25,440064,318,4215,1326,4316,162894,T
038533162,3354,15,466206,1529,2437,442,2626,162968,T
873425458,3470,33,451100,561,2475,2210,4446,163067,T
432872201,3489,19,624531,2025,1695,442,3727,162523,T
548938399,3382,13,564794,553,2052,884,2022,162591,T
225203889,3434,8,92718,523,2136,442,3888,162953,T
193278727,3344,19,702240,722,9175,2210,2794,162502,T
374332331,3345,29,816180,565,4874,2210,2220,162222,T
705654610,3432,18,435864,443,2196,2210,2220,162416,T
544906414,3408,29,187440,402,1925,884,4005,162128,T
102375718,2439,18,558531,1039,2079,442,1719,162292,T
707564811,3463,14,616414,403,1608,2210,2740,162617,T
331477585,3361,2,379793,391,22283,884,2168,162728,T
826909175,3456,20,355968,1061,2599,884,4087,162312,T
599220333,3491,3,226915,526,12998,442,3627,162800,T
583069470,3298,34,184688,312,3119,1326,2732,162773,T
234783743,3447,37,127539,332,2999,2210,3239,162965,T
493713116,3453,6,258975,681,1714,1326,4535,162684,T
148254390,3411,37,569637,393,3899,442,4373,162558,T
683887846,3491,7,251352,559,3318,1326,3580,162481,T
591825999,3372,34,620448,1146,3545,1768,3978,162918,T
437248758,3410,10,136400,2107,1835,1768,3093,162134,T
114248951,3480,26,779520,356,2437,442,2711,163055,T
209863288,3477,27,598044,499,2999,1768,4047,162354,T
775813156,3465,21,363825,374,8209,2210,4280,162476,T
376761665,3324,5,242652,344,2196,884,3728,162407,T
214563486,2506,19,255612,1559,11998,1326,2528,162954,T
380758100,3326,18,635266,315,1624,1768,2050,162688,T
210711435,3480,11,776040,1902,2888,1768,3564,162739,T
041683301,3359,29,772570,1106,1902,442,3352,162523,T
561763432,3397,12,441610,2228,1879,1326,2604,162757,T
370720925,2595,1,640965,588,4587,1326,2144,162541,T
851564236,2586,31,506856,368,31197,1326,2299,162605,T
613364041,3311,38,817817,394,3391,1326,1738,162970,T
472570733,3362,37,601798,377,2107,442,3312,162884,T
338815946,2439,10,448776,311,5031,1326,2139,162270,T
953945930,2617,7,573123,1278,10399,884,2488,162478,T
641860672,3295,14,72490,1019,1813,884,2489,162229,T
699539575,3350,27,408700,757,2166,2210,3442,162475,T
185048616,2457,15,486486,1130,4215,442,2865,162373,T
550857218,3404,32,466348,330,4332,1768,2242,162455,T
213590157,2468,8,367732,440,3545,1326,2122,162831,T
237527560,3338,25,420588,1083,11141,1326,4433,162163,T
832096084,2618,27,287980,555,3318,442,2517,162386,T
808206520,3481,17,250632,626,3058,884,4059,162526,T
275690463,2598,31,558570,825,5031,442,1944,162831,T
196601853,3382,24,625670,333,4332,2210,3944,162207,T
006145125,3397,1,115498,1164,1974,1768,3577,162574,T
241106866,3465,25,204435,1218,1624,442,2725,162424,T
527709170,3409,23,344309,347,2515,1326,2638,163089,T
153740238,3327,3,685362,951,4874,1326,2706,162947,T
603412626,3385,25,531445,460,2166,884,2712,162338,T
836910230,2611,6,480424,317,1879,442,2543,162461,T
565858796,2592,1,419904,746,11141,442,4278,163015,T
075646664,3471,20,392223,636,7090,442,4482,162620,T
459215835,3304,17,786352,718,2363,1768,3591,163028,T
918612133,3368,1,468152,1591,1925,884,3776,162848,T
313200303,3465,38,349965,376,2557,442,2519,162559,T
359018729,3359,2,137719,482,9749,1326,1931,162200,T
552612131,2487,34,492426,886,1772,1326,2103,163079,T
783105493,3463,32,328985,764,9749,2210,2683,162744,T
591094440,3334,11,63346,419,19498,1768,1875,163001,T
697172854,3339,11,517545,345,3318,1768,4452,162528,T
792692502,3405,33,595875,354,4726,442,2649,162159,T
029213857,3346,32,501900,886,1695,1326,3114,162337,T
573922522,3454,1,531916,1608,1752,1326,2230,162431,T
873384751,3389,35,833694,471,2689,884,2681,162131,T
952927380,3321,2,176013,371,3318,442,3207,162624,T
210945264,2554,22,574650,559,25997,442,2240,162918,T
435325157,3346,37,361368,579,2785,1768,2513,162390,T
999657844,3335,15,790395,323,2599,1768,4357,162744,T
485086287,3328,6,126464,886,8665,1326,2167,162316,T
834394942,3409,19,248857,1344,3999,1768,3654,162548,T
354796775,3297,30,774795,1485,2196,884,3607,162162,T
005727911,2450,22,612500,1772,2293,442,2722,162611,T
069131290,3484,14,749060,499,5199,2210,2290,162220,T
927464395,3461,21,335717,362,3183,884,2891,162136,T
579962255,3445,4,502970,374,3249,884,4422,162770,T
269572751,3468,13,849660,628,17331,2210,3759,162906,T
816874878,2497,35,551837,1559,6239,1326,2051,163067,T
251212724,2446,1,565026,334,2052,1326,1918,162770,T
936538994,3444,14,365064,391,1752,1326,3074,162153,T
658357510,2486,18,614042,820,4332,884,2243,162592,T
938269581,3319,1,175907,346,1575,1768,2697,162369,T
208039008,2572,27,606992,311,9749,442,1788,162665,T
039968881,3453,10,62154,981,2025,2210,4450,162953,T
573788494,3462,25,131556,453,8665,2210,4050,162722,T
536649371,2830,41,31130,475,6782,442,2073,162612,T
596210578,3454,14,279774,509,1752,884,2767,162542,T
601212296,3331,22,119916,350,2437,1326,3312,163028,T
300719710,3489,25,533817,479,2293,2210,3390,162253,T
989876719,3438,19,343800,326,1608,1326,3583,162522,T
654724901,3433,15,75526,465,4332,442,4376,162675,T
365965786,3478,13,838198,545,11998,2210,3491,162285,T
143074212,3429,26,246888,1247,5777,442,1863,162708,T
772945664,2522,26,496834,696,10399,884,2369,162703,T
205092454,3466,21,294610,356,1608,884,2737,162490,T
002318619,3444,5,616476,951,1752,2210,2220,162579,T
252074541,3313,6,463820,488,2136,1326,2301,162390,T
749391630,3386,34,419864,516,2599,442,2014,162674,T
133266613,3352,24,33520,739,4215,1326,1725,162639,T
150510700,3472,35,486080,1431,5777,442,2463,162724,T
053551130,3444,2,382284,705,2328,442,3814,163105,T
312824210,3373,17,252975,547,1974,1768,2229,162234,T
717831829,2467,19,582212,1659,1925,2210,2314,162750,T
757600184,3379,25,155434,350,4874,1326,3781,163039,T
304721588,3426,15,688626,934,2228,1768,3069,162964,T
933172815,3343,14,96947,660,1752,442,2562,163128,T
881379946,3470,8,270660,469,14180,1326,4362,163003,T
789725009,3384,26,257184,479,8665,884,4035,162487,T
136435025,2906,48,191796,956,1813,884,2138,162555,T
716643936,3417,24,611643,1444,3713,884,3254,163039,T
792033715,2544,1,195888,820,6499,442,2036,162578,T
262305188,3476,17,444928,623,7427,2210,4111,162981,T
849058616,3332,29,526456,312,1714,2210,3777,163113,T
281805509,3473,19,652924,377,4587,884,2654,162627,T
499118189,3433,35,127021,430,4215,1768,3209,162717,T
659430748,3366,23,474606,474,11141,884,3867,162818,T
147060327,3470,23,222080,422,25997,1768,2764,162519,T
