userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
391915227,3382,28,199538,367,563,2210,3161,162431,T
099631690,2858,73,60018,367,498,2210,1847,163034,F
702569477,2973,74,101082,367,539,442,2384,162717,T
102740180,2983,76,104405,367,768,2210,1757,162985,F
751185838,3345,19,214080,367,331,442,4484,162754,T
648079235,2920,69,81760,367,314,2210,1813,162795,F
375224749,3488,14,310432,367,886,1326,4033,162998,T
005482445,2822,37,64906,367,395,2210,1777,162560,F
859859331,3470,9,246370,367,663,442,2600,162546,T
919616648,2943,46,58860,367,333,1768,1777,162596,F
671038459,3579,14,207582,367,614,2210,3831,162709,T
227306804,2826,48,64998,367,816,2210,2022,162498,F
264929437,3436,24,106516,367,586,1768,2751,162519,T
902068999,2863,79,97342,367,318,1768,1850,163026,F
717402359,3528,46,218736,367,1172,2210,4503,162728,T
840087543,2814,61,101304,367,313,2210,1882,162553,F
231078925,3437,24,209657,367,408,2210,3800,162323,T
784422066,2830,41,107540,367,606,1768,1857,162563,F
056162790,3359,1,221694,367,471,1768,3211,162170,T
