userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
027763454,3006,18,207414,714,2158,983,10314,197629,T
876859625,3035,30,42490,1067,3724,983,10043,198135,T
878683158,1247,11,63597,2713,2374,491,10413,197778,T
235172084,1436,35,280020,871,9498,491,5416,197965,F
225226467,1195,11,218685,1005,5756,1967,5001,197254,T
029885690,1323,37,330750,2316,2499,1475,5483,197916,T
928525832,3121,57,667894,1043,1918,1967,7556,197199,T
079053486,2016,19,64512,593,2261,1967,8326,197610,T
010043969,1938,6,333336,714,2288,1967,10482,197795,T
361036881,3112,42,373440,483,7035,983,5497,197338,T
449793218,1892,1,211904,505,15830,1967,8280,198116,T
259986283,2017,29,125054,547,2042,983,10058,197232,T
165934279,3030,27,366630,524,7035,2458,9891,197299,T
613635815,1905,11,382905,1061,2134,1967,5250,197346,T
578148646,3118,31,77950,1098,2968,2458,10497,197174,T
096653044,3049,23,600653,577,2675,491,5395,197247,T
464852712,1975,10,280450,1026,2793,1967,7534,197251,T
298134065,1347,37,183192,974,4523,983,10828,197422,F
810660963,2991,30,442668,513,4749,1475,4990,197215,T
288137340,1997,13,171742,428,1978,1967,10682,198142,T
363511627,1904,10,331296,661,2793,1475,10635,197572,T
994677579,1320,1,50160,1569,6128,2458,7909,197973,T
316747640,1852,4,253724,466,3584,983,7574,197624,T
105859156,1989,10,463437,722,3876,491,10378,198037,T
357378888,1446,20,349932,524,5587,1475,10805,197637,F
351882443,1923,27,359601,476,2316,983,5239,197870,T
633338355,3062,32,64302,1144,2499,491,10279,197547,T
329864134,1899,5,170910,917,3957,1967,10382,197714,T
464832541,2966,38,355920,1726,13569,2458,10745,197148,T
978839409,1303,1,255388,2316,2878,491,5202,197561,T
300075846,3131,23,673165,1110,3166,1967,7913,198077,T
136104264,3033,22,142551,388,4749,1967,5897,197196,T
936197293,1848,1,36960,804,17269,1967,7719,198127,T
539991275,2994,30,332334,1356,27138,2458,5364,197193,T
521094786,1895,1,471855,471,6128,983,10100,197741,T
584833228,1870,12,287980,405,9998,1967,7871,197465,T
551374271,3153,34,302688,1130,5427,491,7544,197509,T
619887721,2974,41,526398,1978,3166,1967,8104,197873,T
058877906,1224,1,164016,879,4417,1967,7768,197205,F
222206727,3025,46,635250,463,3166,1967,5722,197331,T
836367580,3071,40,405372,575,3219,1967,10470,198031,T
609186172,1884,1,122460,383,2345,1475,5357,197796,T
665615506,3164,36,692916,558,4221,1475,5085,197439,T
598941300,1386,17,299376,1347,4999,1475,10754,197975,T
082375527,1955,25,76245,2183,2638,491,10024,197439,T
102890687,3138,34,291834,794,2835,1475,5320,197703,T
667853143,3148,32,607564,1792,4633,1475,8338,197249,T
422596460,3082,55,61640,597,21107,491,5293,197570,T
391170103,3161,51,711225,553,18996,491,10189,197384,T
390446062,1882,26,385810,507,1899,983,7541,197900,T
223728947,1898,13,466908,421,4749,491,5614,197442,T
194495233,3004,54,513684,425,2374,491,10794,197941,T
312160935,3032,20,515440,778,1999,983,5602,198012,T
412251497,1315,13,203825,879,9046,1967,10280,197281,F
758045819,3082,19,465382,671,1958,1475,7364,198030,T
814090455,3048,28,377952,485,7915,1967,5141,197761,T
503181894,3084,21,277560,1079,3166,2458,5129,197223,T
817044202,3152,39,781696,1623,4999,1475,5593,197506,T
113803859,1874,18,226754,725,3653,491,5012,197989,T
839197774,3041,52,364920,423,2499,983,10774,198079,T
177884119,1856,3,360064,390,4221,1967,5763,197666,T
800378389,3075,33,627300,900,3332,1967,7567,197391,T
119289033,1879,3,159715,1356,3166,983,7628,197803,T
487428712,1336,17,200400,1396,9046,1475,9935,197714,T
604642059,1951,10,89746,601,5756,491,5842,197554,T
