userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
184683592,1848,10,157080,402,4633,1475,7891,197816,T
265667846,1274,3,103194,402,11174,491,7922,198062,F
733804215,3202,45,76848,402,424,491,5352,197395,T
497319355,1179,31,88425,402,11174,491,7601,197211,F
670785837,3128,67,231472,402,2234,983,7731,197930,T
052280782,1256,53,96712,402,9498,491,10127,197387,F
888271744,1885,18,118755,402,750,1967,5303,197344,T
323578856,1295,9,103600,402,13569,491,7590,197466,F
710419160,3174,69,190440,402,430,491,5186,197291,T
464217193,1229,20,102007,402,8259,491,5173,197720,F
540145448,3038,60,148862,402,1958,1967,8247,198131,T
093656662,1268,13,100172,402,18996,491,10070,198060,F
658975136,3065,50,140990,402,979,1967,5846,198067,T
868266800,1169,5,52605,402,10553,491,5026,197941,F
080762708,1892,4,85140,402,969,2458,10383,197572,T
672118167,1249,54,31225,402,17269,491,5372,197575,F
854382257,3247,71,84422,402,900,1475,10076,197685,T
134022098,1261,1,32786,402,7915,491,7365,197224,F
379681556,2972,59,291256,402,646,983,10199,197556,T
970529222,1227,7,111657,402,6332,491,8291,197822,F
254101569,3147,58,69234,402,3114,2458,7767,197304,T
