userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
191244926,2661,41,154338,1115,24386,772,3729,348882,F
432705755,1790,3,105610,1090,5095,1158,6453,348966,T
290235301,4261,246,924637,2456,5596,1931,3402,348961,T
523956071,4091,237,364099,4877,6565,1931,3143,348956,T
732190930,1204,13,128828,1025,4113,386,3919,348953,T
395931890,1853,15,335393,961,10669,1158,4687,349023,T
166416732,1798,24,429722,818,11380,386,3495,348998,T
895686946,4149,217,448092,2709,4877,1931,4054,348381,T
163605178,1903,3,281644,857,3969,772,7034,348271,T
185014200,4181,213,798571,3220,3671,772,5295,348116,T
891574673,1212,1,47268,978,4321,386,3123,348215,T
739670407,1234,1,88848,1031,3671,386,3405,348206,T
059654425,1794,13,30498,758,4064,1545,5582,348101,T
226581021,1787,28,391353,1298,3793,1158,4767,348639,T
663997634,4269,233,281754,3751,26262,1931,6538,348653,T
677986788,1718,42,39514,1434,4433,1545,3714,348637,T
077426636,4132,245,578480,757,6565,1158,3985,348427,T
296456865,4230,252,765630,925,4741,772,7005,348508,T
982204012,2744,43,225008,2107,13656,1158,3150,348125,T
387542544,4102,244,570178,1283,6694,772,3557,348709,T
193966839,1805,15,377245,1446,24386,1158,3490,348556,T
348946045,1740,38,19140,956,31037,1545,7047,348454,T
862768061,4273,213,726410,978,3556,772,3750,348599,T
538636672,4146,236,1007478,1288,11013,772,3457,348756,T
498323184,4196,218,583244,4214,4808,1158,6212,348246,T
743772757,4260,248,664560,1056,15518,1931,3849,348649,T
837151334,1082,7,78986,1145,8327,386,3619,348762,T
120274855,4103,225,463639,853,34140,1158,5261,348832,T
816452856,1118,8,65962,1126,7939,386,6461,348996,T
400371247,2642,18,597092,1094,42676,1545,3214,348974,F
408149108,1755,30,375570,781,3414,1545,5170,348629,T
366119996,1886,40,192372,4492,3556,772,3611,348850,T
594713727,4108,218,607984,3048,6207,1158,3773,349075,T
548162696,1857,43,386256,1382,4947,386,3685,348235,T
562804460,4102,224,447118,1618,4433,1158,3893,348484,T
415285310,1846,22,18460,983,7112,1158,7168,348683,T
787764151,4127,240,379684,1504,14843,1931,4016,348918,T
167843916,1748,35,360088,760,4321,772,7065,348521,T
896911232,1177,1,23540,2081,5690,386,3090,348381,T
676347411,4203,237,563202,1219,4552,386,7042,348695,T
135120680,1764,15,95256,721,3483,1931,6278,349010,T
667020753,4188,229,628200,1422,4321,386,5266,349015,T
768409378,4276,226,859476,870,4163,386,5501,348982,T
142598816,1870,30,295460,740,7264,1545,6819,348826,T
724952866,1791,5,211338,2160,9227,772,3861,348216,T
309785808,1141,1,140343,1566,6828,1158,3343,348309,T
780967657,1793,24,340670,2868,4676,1545,6843,348417,T
814153748,1841,12,167531,686,42676,1931,6384,348504,T
012403053,1816,13,361384,3879,12644,1545,3124,348128,T
827932334,1853,32,289068,803,6441,386,5243,349029,T
743501876,2696,15,533808,748,68281,1545,5619,348970,F
746834486,1742,27,114972,1269,6441,1545,6538,348567,T
763603831,1828,34,418612,820,4433,772,6528,349004,T
036984899,1839,25,338376,1040,3924,772,4778,348754,T
017115086,1806,5,395514,1108,3519,1158,3817,348457,T
549821846,4092,252,560604,1673,14225,1158,6580,348790,T
037319576,1852,21,292616,2081,20082,1158,5111,348660,T
522751185,4251,221,646152,2291,34140,386,6657,348335,T
946564741,1891,21,310124,3314,10669,1158,3042,348870,T
059771481,1808,40,368832,4433,5786,1158,6403,348964,T
137872449,4233,217,512193,830,34140,1545,4700,348974,T
236757778,1762,41,158580,838,5419,1545,6530,348821,T
710324234,1726,38,308954,1928,4267,1545,6607,348100,T
864197674,4245,249,335355,961,28450,386,3880,348604,T
481704492,1863,15,441531,721,24386,1545,6291,348257,T
341680632,4246,238,492536,1349,5786,772,4694,348562,T
356502799,1753,33,269962,845,5252,386,4879,348844,T
838123406,1051,9,256444,1875,5172,772,3509,348765,T
371472694,1759,29,29903,2918,4741,1545,3170,348605,T
899435433,1049,1,20980,2646,7586,386,6180,348094,T
595942315,1820,8,151060,799,5172,772,3602,348128,T
788255525,1795,36,391310,1497,11772,386,4933,348270,T
745054021,4266,224,720954,1524,3593,772,4663,348980,T
905318170,4235,224,499730,1665,8327,1931,7151,348243,T
391573990,1797,23,438468,2918,4613,772,6209,348379,T
526699806,1775,21,134900,3380,5690,1931,6749,348243,T
093471700,1840,37,95680,2456,5886,1158,3128,348583,T
509054523,1725,14,103500,2586,4877,1158,3780,348228,T
424452553,2813,20,655429,1649,4877,772,3063,348575,T
078965410,4281,238,851919,1440,6096,386,3304,348354,T
346762553,2830,13,266020,1618,68281,1931,3324,348310,T
593682831,1774,8,418664,2188,4613,1158,5003,348358,T
353600832,1871,36,252585,1169,7586,772,7067,348922,T
658090488,1743,41,146412,706,4808,772,4990,348282,T
470630091,4159,213,806846,753,5596,386,6161,348367,T
601364794,4113,229,983007,900,4267,1931,6484,348204,T
806467510,4285,242,578475,1193,5506,1158,5447,349058,T
640611000,1881,20,289674,1308,6967,1545,3588,348883,T
755336825,1042,10,195896,1698,15518,386,3520,348360,T
710916203,4217,227,990995,1246,5172,1158,3784,348218,T
411193534,1735,12,72870,836,3632,772,4589,348558,T
279000156,4235,251,148225,1037,5690,1931,3489,348658,T
318329799,4105,233,632170,1410,4947,1545,5026,348560,T
697502993,1804,35,375232,910,28450,772,6156,348331,T
518547065,4207,230,774088,2456,4214,386,6147,348457,T
124706058,4118,244,782420,3519,5419,1931,3615,348981,T
618044899,1752,6,430992,886,17968,1931,3260,348967,T
087762971,4219,239,894428,3556,26262,386,3951,348817,T
736516156,1770,25,279660,925,3414,772,6178,348303,T
271691118,2641,6,536123,2528,4613,772,3260,348325,T
360023673,1871,15,407878,1013,4741,1158,6603,348101,T
192107240,1817,17,89033,4877,5786,1545,4981,348710,T
447359886,1718,10,194134,2868,4552,1545,5073,348282,T
127914768,1729,30,214396,3314,3924,772,5167,348311,T
651759522,1868,6,229764,2775,7759,1931,7045,348622,T
577844763,4159,230,45749,1410,7939,1158,3371,348714,T
263849318,4132,249,929700,1996,8535,1931,6693,348547,T
822322699,4180,217,764940,703,4016,386,3599,348542,T
363513745,1779,33,313104,1558,56901,1545,5132,348807,T
