userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
520328550,4152,14,1013088,634,3929,1664,5309,293643,F
415753031,303,1,60297,748,3720,332,3479,293312,T
450139552,1896,108,144096,583,2906,1331,6737,293730,T
705478278,1684,24,255968,665,55804,332,7136,293963,T
674316556,2891,32,294882,1924,2790,332,7466,293705,T
118715253,2836,1,467940,1245,3487,998,4942,294046,T
384396395,2057,81,53482,3875,5264,1331,5226,293953,T
862563881,399,1,50274,1374,9965,998,7015,293271,T
398821186,2157,12,155304,601,4428,1664,4019,294011,T
314387757,1967,93,62944,996,3986,665,5262,293638,T
560447272,2884,3,487396,1152,6341,665,5554,293351,T
265404104,2085,77,202245,2250,31002,1331,4105,293536,T
563188216,2008,80,417664,2632,9300,1331,5428,293739,T
365266050,2087,105,139829,808,11160,1331,3967,293815,T
112438200,496,1,83824,1033,3986,665,5870,293428,T
420291311,2938,5,649298,3929,3066,998,3651,293638,T
328735165,422,8,86510,920,5365,332,4003,293797,T
458597908,2151,32,96795,3207,13286,332,3912,293685,T
401384765,1940,83,213400,1089,8455,1331,7047,293754,T
399360379,2114,28,202944,1558,3770,332,6668,293190,T
111710724,408,1,22032,1550,3032,332,5556,293195,T
049606280,1773,25,257085,1279,14685,1664,4146,293688,T
572176338,2870,25,292740,2491,11625,998,6752,294049,T
189853442,1947,92,179124,989,7541,1331,7183,294014,T
627780220,2120,38,146280,2197,18601,332,3294,293588,T
770827058,306,1,9792,1711,2937,332,6960,293738,T
753834065,2092,81,510448,3577,4500,332,5911,294172,T
393458032,2151,27,103248,692,18601,998,4045,293857,T
057891523,1959,87,474078,2790,9965,332,4315,293413,T
120502108,379,1,26909,578,3066,1331,3338,294188,T
175487044,393,1,21615,1711,4428,332,3462,293863,T
730572148,2068,85,68244,3170,6643,1331,5668,293785,T
386731506,1930,87,274060,1347,4650,332,5179,294159,T
783796212,483,1,48783,609,7342,332,5784,293432,T
900295836,3010,1,159530,2197,5580,332,3547,293574,T
134676848,4174,28,997586,1354,12682,1331,7032,294027,F
591095643,1799,1,415569,914,11625,1664,4968,294013,T
296919759,1973,77,209138,762,3875,665,6629,293718,T
114755525,2997,20,491508,1240,5936,1664,3587,293841,T
006974924,4096,30,798720,2344,10731,1664,7644,294140,T
911860913,2198,25,219800,1060,25365,665,4010,294091,T
651164962,2135,5,46970,850,4164,332,3417,293835,T
966690339,2103,39,447939,609,3720,998,3766,293931,T
139409057,2124,33,48852,609,5936,1664,3592,294070,T
553154830,2978,28,53604,1223,31002,665,7215,293645,T
514751187,3011,33,313144,989,3720,332,7299,294068,F
507754017,4468,97,1099128,2559,55804,1331,3379,293918,F
158137082,1908,110,127836,1262,4359,1331,7258,293546,T
323426501,2989,14,463295,632,8719,998,6715,294136,F
975952100,2834,2,702832,1651,3444,998,5172,294113,T
853504445,2985,3,602970,2426,3402,332,5222,293746,T
070567457,497,1,22862,923,3875,332,3793,293240,T
843275015,2841,27,545472,1847,3032,998,3674,294133,T
963135862,421,10,80832,559,3720,332,3645,293437,T
616678731,2946,1,256302,3623,4574,332,3564,293803,T
726223555,2020,107,252500,1102,3282,998,7226,293446,T
796851925,2069,5,511043,1438,4895,665,5363,293523,T
037950664,4202,34,945450,2583,7342,1331,7515,294112,T
016689589,2980,11,405280,3623,39860,332,3798,293612,T
036831018,2992,25,338096,1388,2876,665,3713,293900,T
835626371,2009,98,287287,1701,3100,1331,7581,293667,T
715912146,2015,100,175305,1111,6200,1331,6729,293490,T
015519828,2008,76,216864,2066,5073,1664,6969,293845,T
009066205,2146,16,253228,756,3623,998,3436,293812,T
163297743,2020,100,220180,1285,31002,1664,3514,293383,T
221589039,2072,34,296296,1872,5812,332,7356,294093,T
