userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
688343740,2229,64,95847,882,606,1331,3905,293782,T
482091674,2919,8,116760,882,14685,665,3868,293803,F
240207243,354,1,25842,882,706,1331,3792,293800,T
519300720,3015,52,162810,882,18601,665,4177,293368,F
347995201,2075,2,172225,882,5694,332,7652,293247,T
646604115,3081,8,80106,882,12131,332,3739,294128,F
595996186,2100,25,42000,882,577,1331,5971,293274,T
142003500,3062,23,281704,882,7972,332,7363,294077,F
648816284,2142,125,59976,882,985,332,5757,293465,T
795241012,3035,47,151750,882,31002,332,3948,293447,F
110728695,1957,120,70452,882,1018,1664,5844,294178,T
767441705,3079,48,206293,882,13286,332,5077,294166,F
512176382,2251,25,189084,882,996,998,3778,293373,T
946554871,3024,25,247968,882,27902,998,4255,293450,F
115905617,2121,127,212100,882,2113,1331,5906,293969,T
262805479,2984,17,167104,882,27902,332,4988,294007,F
429913354,1902,105,138846,882,635,1331,6726,294048,T
478059906,2896,25,211408,882,15501,665,5531,293782,F
261016164,2302,65,179556,882,1691,332,5904,293997,T
677277171,2887,20,181881,882,9965,332,7016,293643,F
810504195,420,1,20580,882,3531,1331,3966,293908,T
419503289,2895,19,257655,882,7972,665,5460,293982,F
605123417,369,7,23247,882,744,1664,5277,293263,T
422299297,2945,66,182590,882,34877,665,4975,293824,F
970176881,2077,16,64387,882,572,665,7274,293442,T
091251373,2943,10,85347,882,23251,332,6930,293435,F
964366992,2140,127,149800,882,766,1331,6649,294144,T
322834647,2984,19,193960,882,13951,665,7298,293861,F
770511159,2030,81,54810,882,1033,1664,3771,293345,T
262911567,3064,15,183840,882,10334,665,5017,293791,F
854090534,2094,42,192648,882,1138,1331,4994,293962,T
272311516,2975,14,291550,882,9000,332,5933,294172,F
327782127,2156,23,137984,882,1107,332,5346,293568,T
487371735,3025,24,284350,882,8455,665,7084,293431,F
013532508,2131,45,55406,882,682,998,6644,293778,T
662409691,2955,27,85695,882,12682,332,3544,294133,F
929968676,347,11,30883,882,936,332,7140,293987,T
903093020,3011,43,280023,882,25365,665,3860,294072,F
880900645,2032,8,93472,882,1052,665,5174,294180,T
507010371,3082,33,120198,882,27902,665,3963,293870,F
890170891,526,4,18936,882,1430,332,6836,293340,T
432510355,3093,6,191766,882,25365,665,3916,293656,F
039260901,1941,73,145575,882,1007,332,7419,294036,T
