userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
126961819,4494,137,1114512,4759,74246,1475,5337,393351,T
265732845,3871,11,414197,1828,10033,983,10138,393057,T
658681867,4524,111,796224,2039,5380,491,5545,393583,T
802365181,3937,42,440944,2121,8838,1475,10114,392864,T
440190480,4526,130,1018350,2410,4367,983,7782,393436,T
568183688,3804,14,292908,2614,4527,1475,7467,393364,T
304668044,3863,5,251095,1060,6292,983,10147,393286,T
263886430,861,14,105903,810,9054,983,5444,393641,T
619368419,3821,8,259828,1496,7004,1475,7455,392932,T
687867536,3937,8,236220,1057,6749,1967,7839,393518,T
636590607,3934,33,904820,956,6874,1475,7804,393317,T
324044163,3875,43,887375,1237,8437,2458,10212,393643,T
985464909,3812,23,137232,1566,24748,983,4926,393118,T
932710189,4559,131,1080483,1450,5711,1475,8218,392918,T
676953295,3958,12,985542,1566,26516,491,7626,392956,T
049232032,4478,129,523926,1025,3749,983,7516,392824,T
138177815,795,1,9540,2491,10918,1475,5536,393435,T
928984527,3942,32,358722,1225,5892,983,10407,393032,T
290367169,4533,122,371706,2900,4419,983,7628,393317,T
116190396,1843,45,97679,1135,17677,491,7793,393439,F
784981678,4477,119,586487,2833,14278,2458,5317,393386,T
237472177,871,17,138489,961,8249,983,5019,393466,T
517361564,802,8,55338,1121,6629,1475,5543,393644,T
267444531,870,1,14790,912,3949,1475,5677,393353,T
304032381,796,7,172732,1593,5624,983,7892,393576,T
507017170,4586,23,632868,1128,61872,491,5392,393194,T
272478514,3967,20,789433,956,5540,1967,10070,392962,T
331667052,4523,112,664881,4267,9280,1475,7464,393530,T
575147988,868,15,155372,783,5540,491,5313,393317,T
670465531,1727,22,48356,928,61872,983,5282,393059,F
349609847,1737,31,429039,1913,4583,491,9948,393045,T
809078593,3870,40,743040,1411,23202,1475,7714,392685,T
215582219,3858,7,289350,992,16140,983,5240,392822,T
191862539,1744,9,148240,865,3827,1475,5895,392895,T
216519143,1765,33,391830,1201,4821,983,8104,392790,F
328011620,4604,141,920800,1249,37123,491,5078,393633,T
113191015,796,1,12736,1540,5303,1967,8148,393256,T
425834736,1915,17,176180,3146,4884,491,7624,393004,T
802949282,4527,120,212769,2305,6874,983,5140,393055,T
856814553,1726,24,338296,1076,5987,983,7345,393582,F
083619305,3829,27,463309,776,10918,983,5865,393393,T
255845318,3937,41,539369,1267,13258,2458,7684,393209,T
526065173,799,15,59925,3042,23202,983,10555,393125,T
609183259,4521,141,217008,4699,6187,1475,4907,393531,T
865651363,3826,7,627464,1553,5156,1475,10688,393252,T
378541024,1908,20,425484,1406,3788,1967,5409,393285,T
454445436,4453,123,440847,2542,6292,491,8001,392949,T
977013818,3899,20,604345,1079,13258,983,10036,392866,T
699483708,1806,27,256452,1160,5228,983,10496,393277,F
599599047,1825,32,191625,892,4124,983,5722,393197,F
798030287,1786,20,389348,1828,6085,983,5157,393195,T
763048549,3934,35,853678,1359,17677,983,8100,393180,T
394060713,3947,28,757824,1131,16140,491,7777,393508,T
505473740,836,12,154660,2006,4472,1967,5550,392863,T
192099674,4522,141,1008406,2249,3749,1967,5021,393267,T
911892399,3767,13,380467,2364,10312,983,10041,393465,T
016720904,4474,106,662152,1846,5016,983,5908,392920,T
430778946,4564,110,282968,1490,6874,983,5550,392647,T
491894062,880,1,95040,743,9518,1967,5734,393305,T
462230460,3816,15,454104,1302,6629,2458,7791,393492,T
938839074,851,1,120842,4640,3827,2458,5850,392721,T
186062617,861,1,147231,791,28556,491,10742,393263,T
452739547,845,17,145340,798,14849,1967,5561,393397,T
995355192,1851,49,46275,979,17677,1475,5728,393498,F
