userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
988973460,1852,15,38892,1873,9587,475,8433,345766,T
028473894,1752,1,29784,831,10866,1902,4385,345193,T
263967450,1818,17,25452,2936,14173,1426,7982,344856,T
796782804,1508,24,135720,1131,5174,951,4496,344986,T
401309873,1452,30,121968,2716,3662,951,4488,345651,T
198681791,1824,22,350208,1090,10866,1426,3995,345285,T
308379120,474,1,72048,3975,3467,475,8303,345055,T
492189186,400,1,96800,1253,6150,475,4333,345608,T
062319088,1782,21,445500,662,25075,1426,6223,345749,T
393340069,522,1,44892,3880,4074,1426,4251,344856,F
402838173,1910,21,275040,666,6268,951,5813,345355,T
392620126,467,1,49035,1003,32598,475,3928,345208,T
040217159,1402,1,95336,950,6935,951,4226,344905,T
823230481,1805,1,348365,1455,3880,2378,6219,345687,T
081358871,1875,20,444375,1862,36220,2378,5960,345206,T
568730878,1717,2,297041,855,4179,1902,6103,345563,T
012706538,1715,12,288120,1034,3505,951,8178,345389,T
470720717,1868,1,265256,2694,3746,2378,3959,345674,T
577871344,1874,1,99322,651,23284,1426,5783,345148,T
969839078,3220,26,711620,4656,5093,475,8550,345731,T
206229410,1859,11,118976,2130,10186,951,4189,345111,T
121737580,1778,22,286258,973,10515,1426,6523,345229,T
689631694,1889,4,136008,3790,3622,1426,7672,344958,T
978103577,1779,21,300651,878,3582,1902,5905,345307,T
179914457,1824,28,432288,1198,17156,1426,6099,344807,T
033951996,1803,1,434523,1176,8358,475,8225,345811,T
249804561,1890,14,326970,770,16299,951,6491,345480,T
767947243,1725,20,112125,716,20373,475,6502,345172,T
437557182,1720,1,89440,1234,32598,475,8436,345210,T
390054628,1778,26,282702,2884,9878,1426,8299,344939,T
415765854,1742,1,318786,981,7408,951,4014,345077,T
044313306,1720,1,120400,1567,4656,951,6068,345696,T
109524101,463,1,30095,1963,5433,475,4409,345535,T
400004971,1812,28,279048,3195,32598,1902,5712,345405,T
552031583,1907,15,143025,1082,7580,475,8347,345596,T
918515281,1781,1,397163,2063,9313,951,6412,345621,T
241521155,1829,1,45725,705,13039,1426,8557,345311,T
860374209,1895,4,415005,1303,9878,1902,6155,345084,T
269346610,1711,22,319957,975,3543,2378,7767,345562,T
369965863,1849,15,425270,2116,4405,1902,8386,344863,T
717362530,1867,17,453681,864,4939,1902,7800,344874,T
918029212,1559,30,265030,1124,3975,475,8157,344925,T
752909948,1900,1,296400,862,8578,1902,7942,345049,T
651371692,1807,12,410189,1181,5926,2378,6648,345709,T
342256130,1410,1,183300,4126,3505,951,4100,345209,T
107133347,507,1,111540,1072,8810,951,3925,345341,F
206469198,1891,29,168299,1917,3259,1902,8543,345175,T
270609126,1787,28,373483,926,14817,2378,4560,345772,T
223927166,1419,31,350493,814,4346,475,8011,345025,T
272163041,1873,1,340886,749,6791,475,6112,345726,T
395697402,1828,1,179144,785,3292,1902,4661,345155,T
272251735,1852,1,248168,770,7244,2378,8109,345509,T
951036562,1779,20,313104,848,3622,1426,4435,345618,T
962034164,1745,16,293160,734,11240,951,4172,345732,T
350135636,1761,26,227169,1752,46568,1902,5952,345793,T
213962832,1900,7,317300,4346,5433,2378,7604,345507,T
484631469,1794,1,50232,677,8578,951,5775,345506,T
131163394,1766,18,415010,3746,13582,1902,4392,345416,T
673991102,1840,1,371680,666,8578,951,5758,345435,T
217282044,1457,24,327825,1151,3360,475,4432,345409,T
655360472,1367,9,116195,3259,6391,475,3891,345765,T
473702705,1871,23,82324,1239,4527,1902,5918,345305,T
429166160,1886,1,397946,923,7244,1426,6560,345598,T
046701707,1731,10,401592,913,14817,1426,8603,345715,T
978456478,368,1,41216,722,3543,475,4169,345359,T
786035331,1882,18,237132,918,6791,1426,4556,345126,T
272355178,388,1,77988,1461,8578,951,3970,345355,F
139659061,1746,20,302058,690,4656,951,6595,345083,T
853174394,1396,16,122848,719,6268,951,4653,344926,T
753228198,1556,25,182052,857,14173,475,3972,345547,T
