userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
841932583,606,1,32724,727,2990,475,8548,345589,T
443912915,374,5,8976,727,1831,951,7650,345176,F
877474585,1836,1,141372,727,1638,1902,4390,345053,T
111476668,507,1,44109,727,1405,951,5926,344876,F
777943708,1712,46,104432,727,5257,951,7693,345313,T
005501980,482,1,26510,727,705,951,8378,345268,F
862118968,1722,1,168756,727,1253,1902,5976,345009,T
890926191,547,1,50871,727,1061,951,6508,345618,F
170294408,1748,36,110124,727,823,1426,6119,345226,T
546050579,390,52,8190,727,869,951,3882,345298,F
618335259,1867,44,102685,727,1139,951,6641,345775,T
649586225,440,7,14960,727,1715,951,6122,345478,F
910616795,1767,10,130758,727,1488,2378,8438,345157,T
107047715,554,1,27700,727,7761,951,3924,345587,F
621061031,1921,11,144075,727,1352,475,7881,344878,T
103580379,466,35,41474,727,1283,951,4586,345750,F
179553272,577,1,51930,727,810,951,6046,345003,F
260819509,1361,8,81660,727,722,475,4542,344909,T
208304160,1804,43,70356,727,658,1902,7942,345758,T
594176171,350,28,16450,727,1461,1426,3915,345762,F
955129862,1765,16,90015,727,1325,1426,4350,345222,T
153097746,340,1,31620,727,2396,1426,4803,344943,F
408061865,1862,22,107996,727,1509,951,8080,344949,T
905946625,442,37,34918,727,774,1426,4037,345329,F
509429298,411,1,32058,727,860,475,7931,345476,T
749942363,479,10,22034,727,1015,951,4485,344830,F
522879858,1811,59,61574,727,895,2378,5661,345298,T
475569933,414,31,14076,727,2963,951,4102,345591,F
602608209,1420,17,97980,727,767,475,5847,345184,T
216074592,463,1,23613,727,2103,951,4052,345303,F
566316639,1852,46,42596,727,5821,2378,4655,345744,T
650442459,489,38,47922,727,1097,951,4476,345314,F
735955376,1400,26,78400,727,1090,475,7734,345059,T
679486872,383,43,26427,727,1363,951,4339,345351,F
573924621,1879,56,137167,727,689,2378,7885,345415,T
143704139,334,3,26386,727,752,951,5807,345770,F
348404330,1936,1,166496,727,908,2378,8407,345119,T
737737262,518,2,21238,727,3431,951,3755,345093,F
424710627,1479,43,39933,727,999,475,5960,345745,T
898829278,371,1,18179,727,1263,951,4238,345554,F
445459024,1854,47,98262,727,14817,475,8595,345595,T
999029518,594,1,28512,727,1054,951,3821,345015,F
692200844,2007,7,200700,727,1423,2378,4019,345099,T
537665440,533,1,24518,727,1715,951,7915,345556,F
755953231,1974,42,175686,727,1621,1426,6327,345199,T
514622804,578,1,30634,727,981,951,7985,345570,F
730553579,1786,5,71440,727,683,1426,6449,344954,T
951530092,565,1,44635,727,1112,951,6164,345693,F
913709748,1831,55,82395,727,2671,951,6481,345392,T
466172602,616,1,27720,727,15522,951,3954,344949,F
301146932,1953,50,60543,727,984,1426,7672,345033,T
780268880,394,1,10638,727,1044,951,7666,345485,F
131419102,1363,57,134937,727,727,475,4454,345628,T
963477353,452,1,31640,727,705,951,6651,345737,F
205393481,1880,1,65800,727,1054,1902,3885,345714,T
148999577,574,1,21238,727,724,951,6497,345512,F
142203281,1991,6,177199,727,864,1902,7903,345224,T
128336290,603,12,56079,727,756,951,4140,345088,F
033577356,1958,1,60698,727,1105,951,6454,345106,T
494596053,342,41,29412,727,953,951,5679,345499,F
353630145,1798,33,151032,727,918,1426,6162,345059,T
666588037,389,1,16727,727,1044,1426,4303,344938,F
201218950,1719,39,113454,727,1369,1426,8480,344934,T
728603898,430,35,24940,727,1530,951,4729,345783,F
981477717,1862,18,154546,727,2263,2378,4603,345540,T
400236346,605,5,13915,727,1198,951,4585,345457,F
497656945,1948,3,185060,727,2650,1902,8069,344914,T
133857200,529,2,22218,727,1273,951,6566,345298,F
574127890,1836,29,172584,727,1363,1426,8352,345165,T
522061554,575,17,11500,727,1706,951,4567,344812,F
350226664,1920,6,176640,727,1381,2378,3912,345026,T
582872732,470,1,23970,727,4939,951,8270,345813,F
909173361,1815,48,128865,727,990,951,7646,345250,T
336633518,408,1,15096,727,1509,951,4101,345534,F
125982478,1742,1,38324,727,857,2378,6078,345393,T
420822106,528,11,16368,727,1791,951,4149,345712,F
197068342,1407,33,35175,727,1101,951,4570,345209,T
829200305,420,42,35700,727,670,1426,4153,344969,F
669392325,347,1,27413,727,713,475,6168,345240,T
674839701,438,37,13140,727,710,951,5815,345675,F
517407896,536,6,19296,727,1399,1426,3823,345758,F
267069012,1936,20,46464,727,1225,1426,4041,345709,T
040706629,1508,40,110084,727,5821,475,6185,345480,T
853586318,391,19,13294,727,667,1426,3966,345329,F
796734966,1624,63,120176,727,3134,475,8330,345110,T
380185565,540,1,40500,727,4656,951,4274,345106,F
124179311,1371,7,123390,727,695,475,4559,345767,T
428376871,453,1,30351,727,732,951,4628,345052,F
302873796,1785,29,57120,727,4405,951,8523,345645,T
669226589,465,1,46500,727,2587,951,4417,345303,F
252554599,2005,53,158395,727,967,1902,7831,345380,T
622136841,428,6,17120,727,655,951,4305,345238,F
011323133,1420,43,106500,727,1468,951,3777,345301,T
705210010,390,1,17940,727,785,951,7839,344893,F
326580808,1780,1,55180,727,987,951,6649,345086,T
975111452,464,1,35264,727,25075,951,4552,345002,F
309976638,1790,15,179000,727,1341,2378,3891,344820,T
031059954,404,36,14948,727,1065,1426,4064,345134,F
101923131,1997,37,123814,727,855,2378,7962,345699,T
417953512,382,21,11842,727,4724,951,4669,344953,F
