userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
346491169,4541,173,608494,2094,6717,2208,5341,363535,T
057233157,4455,184,761805,767,6473,1325,4242,362713,T
208543983,1553,17,45037,1343,3828,883,5834,362614,T
271874586,1548,15,218268,2803,9369,441,7336,362879,T
468932354,4527,177,298782,1144,6717,1325,4421,363153,T
579577204,1510,12,90600,2543,4188,1766,6274,363183,T
258964436,1421,26,92365,1014,3670,883,6254,362872,T
443589408,4425,177,814200,1082,23736,883,5829,363200,T
829681581,1578,1,224076,1435,6981,1766,5255,363134,T
845656948,4510,158,653950,851,4877,2208,3891,363226,T
949003350,1528,1,113072,853,7575,1766,3797,363594,T
738969281,4396,174,52752,949,23736,883,5495,363350,T
959065816,1471,14,244186,738,5836,441,3548,363030,T
110919559,4501,152,355579,1762,5742,1325,5433,362938,T
983241401,4391,153,166858,1695,4877,1325,6195,363310,T
651990411,4389,158,855855,1771,59341,1766,4217,363320,T
296257430,4521,153,1030788,2803,7266,2208,4208,363268,T
797806921,4436,173,323828,2132,4342,441,5778,362874,T
349764348,1501,1,271681,784,71209,2208,3809,362871,T
960655566,1547,1,139230,2046,3708,883,6265,363022,T
001184085,1593,2,348867,720,9369,441,7127,363109,T
120088254,4368,167,856128,1159,6358,883,7289,363455,T
975484633,4468,166,965088,908,5014,1766,5311,363029,T
941854041,4492,170,745672,1687,5236,883,6151,362838,T
102175648,4496,189,768816,1798,6473,441,4269,363224,T
169296294,1596,14,38304,779,9369,441,6060,363488,T
069471868,1554,20,23310,3490,6358,2208,4385,362752,T
510969282,4538,184,576326,1202,3596,1325,7925,362622,T
720158169,1604,15,190876,3179,50864,441,3701,363059,T
221252765,4464,170,138384,2197,4140,883,7755,362862,T
190958779,4353,163,539772,1904,18739,1766,7985,362636,T
036565273,1406,16,331816,2825,14835,1325,5323,363094,T
819278948,1576,1,283680,1017,6593,2208,7756,363206,T
743156580,4416,161,119232,1967,4945,1325,5546,363069,T
645232279,4492,165,350376,1148,9890,2208,3719,363081,T
354186856,4385,165,684060,986,5160,1325,4182,363379,T
060339166,1551,1,75999,2717,7575,883,7134,363198,T
066101428,1554,29,38850,1780,4747,441,3784,363135,T
654202756,1519,14,279496,1554,8901,1766,3685,363410,T
204472749,4544,191,699776,1116,9622,883,7983,363016,T
589433265,4458,169,646410,712,8477,441,7685,362765,T
214493654,1436,1,114880,1075,14835,883,5638,363462,T
255601664,1565,7,242575,835,27388,2208,6164,362752,T
763589943,4464,181,1057968,1148,5160,441,5667,362799,T
129141941,4526,176,1104344,1152,6847,441,7811,363008,T
556494650,1518,12,103224,991,6981,441,7156,362811,T
137880640,1474,9,209308,4000,5314,883,7140,362802,T
575346101,4439,177,870044,1633,22253,1325,4352,363285,T
393247437,1434,1,34416,1056,3828,1325,5551,362669,T
727647710,4479,159,891321,1854,7740,441,8032,362810,T
