userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
940266928,2128,139,336224,1985,16365,2030,5107,488956,T
229328658,2084,104,283424,1846,5859,1015,5327,488951,T
005452029,2040,140,155040,1329,5718,2538,5429,489127,T
695391220,3716,54,170936,3206,24978,1015,5548,489211,T
712560299,2157,116,448656,1883,6007,2538,6044,488963,T
108170715,2123,125,384263,6084,5650,507,10208,489151,T
667679386,4855,236,742815,3365,5393,507,5471,489059,F
908591976,4883,238,1035196,3922,7190,1015,5269,489306,F
713659125,3651,35,660831,4354,7083,507,10711,489082,T
243390088,3680,41,577760,2100,22600,507,8570,488989,T
815958746,3728,40,272144,1106,11865,1015,5498,488518,T
307300341,2102,126,287974,4126,16950,507,5772,488774,T
152905170,3685,60,110550,2511,5103,1015,10464,489224,T
492604133,2148,134,347976,1701,6684,2538,10114,489075,T
180097515,2015,142,306280,1289,15820,1015,5813,489020,T
844079156,2071,129,505324,1127,16365,1522,7844,488960,T
007119527,2193,140,30702,1416,5215,2030,5427,488464,T
378124534,2171,124,353873,1725,16950,507,10910,488625,T
527510903,3706,41,233478,1157,12169,507,8060,489100,T
704394559,3618,62,571644,982,6979,507,5561,488969,T
103047283,2086,131,208600,1025,39550,2538,8334,489169,T
872160669,3735,38,862785,2876,7083,1015,5517,488713,T
798753379,2090,129,204820,1201,27917,507,10654,488834,T
605033959,2070,135,426420,1770,12489,2538,10671,488977,T
168678527,2126,140,74410,1375,5158,1015,7999,488826,T
527401324,3573,24,75033,3206,8182,507,11145,488422,T
357169050,2161,107,172880,1688,7533,2030,5557,488887,T
872842964,3608,47,743248,2409,12489,507,5872,489309,T
513266209,4889,261,928910,2929,31640,1015,10348,488871,F
640059519,3714,30,178272,1391,24978,1015,10962,488750,T
336389598,2132,103,223860,3081,6413,2538,5596,488669,T
346730660,3722,47,461528,1818,4842,507,8009,489042,T
281685135,2083,116,195802,1078,29662,507,8041,489034,T
297748176,2157,112,114321,2409,5932,2030,5500,488499,T
739912937,3116,12,660592,990,67800,507,10305,488993,F
856982015,2054,120,490906,1078,16950,2538,8353,489233,T
826423417,2124,124,155052,1395,9887,1015,7945,488753,T
324476820,3747,54,400929,1846,27917,1015,5319,488918,T
492016009,4918,235,1067206,1038,24978,1015,5660,488504,F
372376304,2179,130,370430,1429,6591,1522,5473,488975,T
879355134,2196,103,129564,1906,43145,2030,5991,489004,T
951652907,2077,115,332320,1003,23730,2538,8301,488551,T
826208421,2085,142,37530,3541,67800,2538,5731,489122,T
878526881,2147,103,124526,1031,7301,2030,8416,489065,T
086512260,2028,138,141960,1073,6244,2030,5687,489111,T
632178793,2022,118,378114,1898,11865,1522,10362,489007,T
583003156,2076,112,504468,1186,18984,1522,8078,489382,T
940569433,2090,124,43890,4354,14831,1522,10817,488684,T
368644653,2110,104,187790,3228,39550,2538,10333,488778,T
880175314,4870,269,282460,5393,14381,507,8568,488878,F
289326063,2158,121,120848,1207,6878,1522,5280,489046,T
472353328,2160,141,416880,1106,5273,507,5128,488727,T
965935445,2108,103,449004,1367,5787,2538,5317,488980,T
359116787,2136,115,258456,1744,18984,1522,8150,489197,T
839202722,2026,119,127638,2808,7910,507,10749,489008,T
802689836,2144,109,34304,1183,10317,507,10294,488894,T
393697875,2195,121,133895,2696,5048,2538,8443,488663,T
483354452,3569,40,89225,3766,11037,1015,5268,488688,T
982813965,2027,121,97296,5583,5718,1015,10177,488568,T
885033347,3132,35,751680,3228,67800,1015,8114,488658,T
405684700,2058,137,306642,1985,9126,507,5921,489226,T
827892490,2048,133,96256,1286,7654,1015,10862,488482,T
362362915,2035,126,317460,1293,5518,1015,5570,488525,T
438990456,2005,121,485210,1303,9126,1522,10205,488465,T
238396118,2029,136,488989,1108,27917,1522,8079,489235,T
774650947,3753,52,600480,2775,10546,507,10687,489099,T
348826969,3640,39,400400,1101,4842,1015,5609,488534,T
460157650,2014,126,465234,2841,9685,2538,10377,488449,T
556733215,2165,131,439495,6163,6780,2538,8397,489369,T
573203278,3646,45,189592,1636,33900,1015,10814,489325,T
729931872,2021,103,32336,1853,23730,1015,7861,489078,T
572765127,2051,136,391741,1425,8954,2030,5180,488985,T
439191658,2033,105,412699,1713,11575,1522,5712,489111,T
088716661,2036,117,502892,2187,6780,1015,10931,489037,T
458806494,2099,103,451285,3707,6244,1522,5543,488541,T
324324538,2177,115,156744,1713,6501,2538,8035,488993,T
935090348,2119,122,139854,1226,6163,1522,5961,488746,T
944551092,3565,42,278070,3955,7083,1522,5511,488727,T
327946081,2021,132,289003,4892,11865,2538,5745,489273,T
092509814,2015,135,104780,2396,6244,2538,11083,489319,T
346867279,2047,107,163760,1111,26366,2538,8250,489044,T
756504274,3079,16,708170,956,31640,507,10650,489069,F
553382810,3164,32,234136,2607,94920,1522,5643,488642,T
220074489,2124,136,159300,1262,6163,507,5735,488693,T
150254935,2199,137,437601,1561,20634,2538,6067,488538,T
712736087,3139,39,282510,1258,39550,1015,5649,488757,F
267070509,4813,239,981852,2841,19775,507,5122,489109,F
732794510,2180,123,58860,3122,43145,2538,10708,488413,T
324441910,2015,116,409045,1352,94920,507,10518,488511,T
952711602,2116,126,465520,1363,8044,1015,5185,489380,T
084920196,2113,127,469086,3595,5455,2538,6066,488848,T
826731485,2031,129,471192,1455,14381,1522,8469,488425,T
419360491,3716,27,330724,2028,13560,507,7921,488546,T
817791228,2072,133,451696,2446,5158,2538,5691,488894,T
943911156,3709,22,126106,3206,6979,507,10968,489082,T
393510886,3702,35,399816,1738,9887,507,10343,488996,T
806505417,3749,29,48737,2090,14831,1015,10154,488907,T
606158220,2058,109,255192,1348,23730,2030,5600,488488,T
409027267,4874,258,1199004,3273,11037,507,7959,488925,F
659472861,2033,110,233795,2100,43145,2030,5172,489378,T
367040515,2147,138,412224,960,5583,1015,8468,488712,T
740128879,2051,125,463526,1124,9492,507,5816,489387,T
380667774,3677,36,558904,2081,14831,507,10546,489192,T
205975712,2163,118,175203,2966,5518,1015,8090,489022,T
083452772,2026,127,459902,1582,6501,1522,10634,488897,T
279898135,2164,128,246696,2775,5455,2538,7696,489372,T
336454417,3711,55,500985,1329,8629,507,8151,489184,T
556844612,3665,55,351840,2893,16365,507,8580,488436,T
137601003,2069,105,95174,1677,7780,2030,5070,489203,T
450421607,2037,141,224070,1506,13183,507,10397,489297,T
559993072,2153,134,139945,3650,39550,1015,5071,488782,T
863583876,2126,142,514492,1404,12169,2030,5145,488785,T
525764542,3571,37,639209,1192,7533,1015,5407,488636,T
352904309,2020,142,244420,1096,5455,1015,5526,488743,T
410506153,3672,62,172584,4477,52733,1015,7912,488617,T
