userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
357108877,3825,27,283050,964,1114,1015,5969,488437,T
485688884,3258,67,224802,964,94920,1522,5032,489072,F
851496273,2000,103,190000,964,974,1522,5953,489311,T
288581238,3077,25,206159,964,52733,1015,5755,489187,F
613323497,2094,112,182178,964,1068,1015,10989,488940,T
500694539,3050,38,170800,964,67800,1015,5460,489294,F
051679536,3586,49,100408,964,1268,1522,5791,488888,T
463152873,3121,69,299616,964,67800,507,8582,488424,F
804394895,2055,165,174675,964,2947,1522,10394,488635,T
717968475,3265,39,244875,964,67800,507,5773,488491,F
074370896,2097,103,157275,964,1168,2538,7694,488901,T
178624011,3068,58,110448,964,67800,507,5222,488536,F
979625127,2020,114,68680,964,1138,1015,10646,488445,T
114473820,3243,28,207552,964,94920,1522,8123,489039,F
399429612,3579,64,282741,964,1293,507,10658,489022,T
876941294,3163,45,154987,964,94920,1015,10192,488647,F
288551990,2021,158,48504,964,1487,2538,10990,489073,T
