userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
318248638,1696,48,332416,1371,22657,1279,2324,496801,T
363762371,1679,78,347553,5008,8811,1706,2449,496988,T
653147523,1659,45,248850,1192,4905,1279,2007,496792,T
769434173,1567,60,172370,1171,12521,853,1885,497504,T
291052683,2970,154,115830,5061,7209,1279,2306,497648,T
024351889,1706,79,119420,2133,7320,426,2663,497175,T
781560404,3023,158,229748,6517,9329,1279,2631,497295,T
097717970,3108,135,615384,1999,11604,2133,3392,496927,T
994762339,3000,153,288000,3214,11895,426,2010,496984,T
161903483,1638,76,235872,1749,9150,2133,4366,497283,F
408465572,1663,67,256102,1570,5171,426,2444,497713,T
127573736,1698,81,402426,2866,7800,1279,2906,497372,T
808420548,1720,71,141040,6100,20686,1706,2508,497288,T
815305104,3137,153,194494,2766,19825,1279,4087,496833,T
762126592,3149,125,421966,1252,7552,426,3920,497109,T
177187112,2978,137,696852,6100,67971,1706,3214,497422,T
898171595,3073,157,107555,3900,13994,2133,2277,497380,T
308538566,1754,59,385880,2042,8064,2133,2639,497001,F
338094233,3118,163,763910,1464,9912,426,2077,496788,T
316565128,1673,77,63574,1687,5061,426,2706,497193,T
790521153,1658,70,170774,1379,5228,1706,3426,497672,T
323538223,2975,133,368900,5286,16992,1279,3418,497010,T
333590687,3027,163,596319,1062,7800,853,2031,497585,T
102239785,3024,156,130032,2544,4855,2133,2143,497451,T
538687011,1668,63,240192,1041,15348,426,2620,496899,T
163015739,2965,154,557420,3258,4956,1279,2551,497040,T
042612970,1580,54,56880,2937,11328,2133,2268,496816,F
817889099,1653,49,120669,951,95160,2133,2143,497202,F
571122341,2988,134,642420,1005,7434,426,2362,496823,T
663069739,3049,151,564065,971,5732,2133,3371,497043,T
186879437,3095,157,569480,1248,5116,1279,3363,497095,T
171012672,3095,138,318785,6344,10343,2133,2423,496811,T
508182190,2985,143,313425,1268,13216,1706,3569,497477,T
485974322,3150,156,160650,1491,16992,1706,4103,496894,T
250561753,3060,137,339660,1646,43254,1279,3732,497127,T
593204417,3091,144,185460,1021,9329,2133,3558,497467,T
605504434,3101,164,223272,1076,15348,853,3421,496826,T
105709802,3117,129,121563,2298,12521,853,3051,497331,T
135637928,3073,129,510118,1873,5532,1279,3693,496849,T
429295001,3059,163,624036,2068,27988,2133,2143,496921,T
431068724,3032,151,187984,1114,8203,853,2238,497236,T
766093019,1718,68,56694,987,8811,426,2129,497111,T
539967009,1697,57,276611,1675,8496,2133,4040,497775,F
801710980,734,27,8808,1663,4806,426,3364,497758,T
142464853,2958,153,564978,1088,5171,426,3899,496950,T
055176524,3064,139,603608,2133,8977,426,4241,497383,T
504429009,1565,84,165890,1816,5802,1706,3929,497204,T
017587995,3059,164,568974,2298,5947,1279,2948,497622,T
430581421,3006,141,408816,1146,43254,1279,2540,497470,T
910789461,3078,131,769500,1723,13216,2133,3436,496964,T
386993070,3020,129,489240,1880,5346,2133,2143,497527,T
353335516,2962,159,189568,1340,6701,853,2016,497074,T
529261344,1650,63,224400,3688,12521,1706,3451,497584,T
452355957,2979,163,518346,1420,11065,426,2104,496968,T
582515495,3031,152,575890,1788,23790,1279,1668,496866,T
479097026,1740,55,403680,987,5061,1279,1836,497310,T
097417354,1658,52,230462,2332,5802,853,3118,496784,T
382407268,3044,163,286136,983,5406,426,2015,497473,T
965844647,3041,141,471355,977,43254,1279,2509,497037,T
126899286,1589,64,200214,1880,7930,1279,1794,497429,T
877225754,3003,140,558558,2782,26433,1706,3797,497667,T
264055585,1597,80,244341,1138,11604,853,2197,496785,T
912299308,1668,81,156792,1612,5874,2133,2335,497501,F
483613019,1705,74,37510,1768,5008,853,2860,497684,T
359283831,3043,135,292128,6701,6260,853,3416,497394,T
755370782,3032,137,357776,4286,18300,853,2528,496979,T
038205397,1728,81,77760,1216,10123,1279,2425,497365,T
214719451,3133,131,397891,3030,13594,1279,2867,497218,T
537973948,3048,130,33528,1252,8064,1279,4065,497370,T
463230987,3139,146,759638,3350,43254,1706,3939,497638,T
835929438,3081,145,218751,1705,13994,426,3341,497289,T
490800268,1659,61,174195,6344,9710,1706,3678,497417,T
497404895,1699,61,35679,3109,20686,426,1973,496846,T
394873779,3106,133,409992,1446,7800,2133,4098,497612,T
708119398,1727,69,46629,3577,43254,1706,3141,496802,T
127602423,3110,153,538030,1038,95160,1279,3518,497523,T
103211658,2957,135,79839,1375,16406,1706,2059,497041,T
138261163,3105,149,735885,2571,4956,1706,3858,497141,T
530917345,1756,57,323104,1045,7552,1279,2316,497379,T
416618252,3122,132,340298,1192,31720,2133,3176,496789,T
170360054,3106,137,105604,1135,12200,853,3522,496926,T
473844246,2953,146,357313,1387,5468,853,3017,496860,T
042179193,572,14,13728,2152,5874,853,3400,497483,T
569098365,1583,55,18996,1272,31720,426,2472,497041,T
675282900,3058,147,311916,1098,9710,853,1892,496936,T
526501073,1609,66,239741,1629,10813,1706,2281,497575,T
479701339,1738,53,128612,3776,5171,1706,1716,496989,T
242140595,1725,83,18975,1602,6608,2133,4090,497590,F
884254151,2992,159,679184,2133,5802,426,3655,497004,T
149265148,3135,155,260205,2614,6701,2133,4279,497083,T
971445520,3009,126,198594,2367,13216,1279,3830,496990,T
556671877,3114,159,140130,1303,9516,853,3743,497201,T
528506785,3122,127,736792,1078,23790,853,3820,497639,T
541767051,2986,147,429984,1788,8203,2133,2735,497763,T
234357428,1685,84,133115,1723,8064,1706,3684,497643,T
684068011,3070,137,528040,3632,6797,1706,2782,497115,T
203803926,2992,159,248336,1066,17622,2133,2143,497157,T
071690910,2984,137,399856,2992,27988,1279,2813,497079,T
023427447,1758,54,121302,1428,6797,1706,3234,497108,T
861155539,3068,160,607464,1926,12200,853,4187,497685,T
604976865,3080,141,609840,2016,11328,1279,4317,496987,T
296452075,3051,153,643761,993,10343,1706,3820,497735,T
944988643,3145,133,311355,1036,21627,2133,2739,497499,T
681681708,1702,78,257002,1146,5802,1706,3187,497575,T
305660726,660,19,61380,1802,6997,426,3410,497298,T
151253704,1753,63,392672,995,5286,1706,2685,497304,T
879623541,3101,153,297696,1383,19032,853,4382,496834,T
829327835,3003,145,36036,1329,79300,1279,3688,497034,T
549917114,3066,160,597870,4446,6517,853,2910,497391,T
773149176,3066,151,518154,1459,6179,853,3117,496924,T
191041697,3139,150,721970,989,43254,1706,2593,497093,T
685890600,2961,154,681030,2718,95160,1279,4011,496973,T
507637511,1587,69,358662,2440,5286,853,2193,497471,T
045678555,3149,161,201536,1098,8811,426,1782,497537,T
403603001,3150,139,485100,971,7434,426,4403,496930,T
759590123,1727,79,226237,1048,5874,426,2834,497555,T
719585304,1737,71,43425,2992,10343,426,2146,496834,T
814533459,1580,66,94800,1213,5532,1279,3530,497016,T
292786677,2972,131,633036,1411,5532,2133,2230,497307,T
638680631,1659,44,218988,2491,9150,1279,3387,496786,T
497337304,2979,149,452808,1081,79300,426,2724,497302,T
655679711,3051,153,360018,1325,13594,853,4276,497528,T
967817251,3125,151,278125,1851,12859,1279,2407,497747,T
304056671,1643,72,276024,1742,9150,2133,3837,496851,F
178268004,1666,79,206584,1321,5286,1279,1697,497531,T
363436248,1620,50,17820,1318,6260,1279,2030,496965,T
275167246,1645,66,133245,1157,67971,853,2631,497144,T
393683683,1664,55,299520,999,8977,1279,3487,496795,T
375599151,1676,65,134080,961,27988,853,2313,497660,T
153093127,1594,82,108392,3193,8811,853,2063,497674,T
847420611,2974,130,68402,981,33985,2133,3915,497135,T
986046706,2993,126,427999,1041,16992,426,2142,497482,T
335821168,2971,151,433766,2244,9710,2133,2146,497642,T
860703925,3056,157,232256,2415,19825,853,2523,496941,T
002389828,2972,139,707336,1755,18300,1279,1863,497476,T
687759047,3027,164,33297,1340,5228,426,2263,497589,T
393790211,3085,145,499770,1232,13994,853,1675,497658,T
781123685,2979,136,589842,1292,9912,853,4246,496861,T
958807602,1619,51,309229,1054,19825,853,1765,497543,T
671809251,3144,150,587928,1071,31720,853,2764,496818,T
182151159,3142,163,754080,1307,47580,1279,3336,497223,T
627460194,3080,127,498960,1130,29737,426,2882,497431,T
736063954,3127,138,453415,5664,5406,853,3674,497397,T
878657214,3025,157,353925,2172,14868,1279,3095,496969,T
