userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
735552380,1570,72,149150,1166,79300,426,2532,497581,T
982998166,1628,88,148148,1166,1180,2133,3551,496851,F
510514143,2962,161,74050,1166,2254,426,1765,497195,T
894616833,1716,65,42900,1166,1544,2133,3235,497479,F
019572231,644,8,36708,1166,1088,853,3398,497249,T
514790136,1729,84,105469,1166,7552,2133,2919,496987,F
240659607,3130,156,125200,1166,2042,426,3012,497702,T
672928133,1729,54,86450,1166,16992,2133,2004,496848,F
001470387,3064,178,248184,1166,1880,1279,3821,497435,T
904803929,1729,54,102011,1166,7434,2133,2643,497659,F
624130732,3064,192,94984,1166,2614,426,3878,496797,T
085767674,1686,68,136566,1166,1192,2133,3902,497122,F
503146107,1806,48,97524,1166,981,426,2407,497625,T
456191170,1794,58,114816,1166,2355,2133,1856,497262,F
808378391,649,34,53867,1166,965,426,3806,497209,T
162499066,1639,79,81950,1166,1544,2133,2744,497258,F
532306056,3203,156,275458,1166,1272,853,3181,497222,T
585611862,1667,75,40008,1166,3868,2133,2696,497409,F
597353725,3132,187,172260,1166,1888,426,1728,496851,T
397701663,1609,102,156073,1166,2585,2133,2590,496871,F
691752096,3204,154,256320,1166,2162,2133,2493,497241,T
527944528,1772,59,53160,1166,983,2133,2158,497655,F
269630484,3062,191,82674,1166,19032,1279,2552,497400,T
445276149,1845,52,79335,1166,1687,2133,1890,497195,F
474891181,1670,60,91850,1166,2703,426,2616,497135,T
202365061,1683,81,53856,1166,975,2133,2631,497206,F
108919536,1862,71,55860,1166,1407,2133,2021,496893,F
565838984,1669,87,80112,1166,1252,1706,2582,497556,T
174578693,1816,51,108960,1166,6701,426,2973,497504,T
549335644,1578,95,48918,1166,4575,2133,3134,497018,F
617327313,3212,195,64240,1166,1560,2133,2080,497556,T
130165295,1738,56,139040,1166,2571,2133,2389,497058,F
101796533,3131,131,118978,1166,1635,1279,3858,497558,T
343661686,1663,93,164637,1166,3350,2133,3585,497337,F
391138311,3168,167,136224,1166,2658,1706,1718,497698,T
301379313,1650,71,145200,1166,1088,2133,2717,497697,F
424197173,1575,65,135450,1166,1258,2133,3221,496837,F
605395651,1772,48,44300,1166,1888,426,2933,496882,T
066307865,3174,159,298356,1166,79300,426,1961,497165,T
290795498,1857,66,74280,1166,1482,2133,3506,497425,F
874373003,1649,46,51119,1166,1411,2133,3461,497697,F
594329488,3010,151,177590,1166,3281,2133,3223,497753,T
476783920,3239,176,155472,1166,3350,426,2657,497543,T
990913181,1671,46,121983,1166,4173,2133,3911,496974,F
979997507,1789,99,71560,1166,2585,1279,2950,496857,T
832968804,1807,84,104806,1166,29737,2133,2122,497415,F
360833554,3094,195,142324,1166,1012,853,3446,497587,T
663526162,1813,113,108780,1166,1459,2133,2556,497170,F
959741550,1620,52,147420,1166,2688,1706,3027,496863,T
659364109,1669,106,86788,1166,1990,2133,2584,497495,F
685773104,3163,137,85401,1166,2750,1706,3785,497006,T
173845190,1690,88,158860,1166,1045,2133,4411,497599,F
762407661,3197,193,303715,1166,1399,1279,2552,496853,T
307981434,1576,103,69344,1166,2815,2133,2351,497053,F
557402791,3062,146,284766,1166,1279,1706,3389,496818,T
590524211,1647,88,143289,1166,2309,2133,2564,497237,F
656333000,1628,64,149776,1166,1375,853,3139,497040,T
177615729,1642,45,52544,1166,1292,2133,3514,496855,F
008038585,1732,68,36372,1166,2213,1706,2719,497580,T
093689746,1646,52,64194,1166,18300,2133,1729,496924,F
729967129,3097,132,139365,1166,2233,853,3527,497225,T
336766979,1839,99,93789,1166,4173,2133,2701,497651,F
924976726,3054,185,201564,1166,985,1706,3906,497403,T
965525562,1719,109,61884,1166,1966,2133,2655,497302,F
011461148,1807,58,50596,1166,16406,1279,2392,496922,T
646086521,1620,56,85860,1166,3423,2133,2658,497474,F
154446247,1806,66,37926,1166,6797,2133,3684,497724,F
609382247,3002,142,252168,1166,1111,2133,3367,497186,T
504852218,2981,187,253385,1166,1122,853,2252,497330,T
488532803,1780,66,35600,1166,2992,2133,4163,497436,F
020922328,1796,80,41308,1166,1300,2133,2150,497203,F
837688155,2969,194,213768,1166,21627,853,3744,497365,T
243575196,591,18,13002,1166,5874,426,3591,497074,T
763799807,1793,96,134475,1166,959,2133,3085,497592,F
308009492,1615,103,159885,1166,1966,426,2092,496881,T
676583080,1596,98,90972,1166,1296,2133,2416,497305,F
585581511,1771,111,161161,1166,1950,853,2247,497455,T
302790140,1770,56,166380,1166,5061,2133,4070,497394,F
948945639,3202,132,92858,1166,1612,1279,2427,497328,T
636554894,1707,58,109248,1166,1387,2133,2551,497103,F
173528700,3227,146,100037,1166,1640,426,3513,497726,T
113055951,1642,44,72248,1166,1865,2133,1725,497319,F
072057176,3080,168,67760,1166,1802,853,1885,497161,T
190501173,1728,51,95040,1166,1942,2133,2029,497501,F
967679387,3120,175,265200,1166,1822,2133,4323,496916,T
229543412,1628,76,153032,1166,5008,2133,2918,497764,F
144396695,3133,135,75192,1166,4956,2133,3120,497648,T
515925160,1761,81,82767,1166,1782,2133,2996,497554,F
299072584,3068,157,125788,1166,1152,426,2184,497224,T
063362525,1632,47,55488,1166,2571,2133,3303,497691,F
585427280,1859,83,66924,1166,1050,2133,2676,497097,F
022827396,3055,161,64155,1166,2050,1279,3237,497158,T
230719560,2974,138,142752,1166,2919,2133,3847,497358,T
693559131,1758,84,59772,1166,1736,2133,2742,497640,F
975486053,1656,107,56304,1166,8811,426,2100,497644,T
390385269,1665,101,58275,1166,2182,2133,3157,497350,F
343965630,618,22,37080,1166,1008,853,3417,496799,T
773102807,1738,109,62568,1166,1441,2133,2411,497636,F
870691786,3140,127,263760,1166,2558,1279,3153,497491,T
826631385,1672,61,63536,1166,1127,2133,3416,497641,F
