userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
050072684,3180,1,101760,957,4629,1256,8401,492846,T
582839697,3145,4,676175,1045,17451,1256,9237,492796,T
184520494,4424,354,734384,1507,10312,1256,6471,493080,T
509477017,4498,365,971568,2120,10312,418,4552,493720,T
605525155,3151,36,683767,1154,18149,2093,4724,493633,T
409961544,3253,24,182168,1060,21606,418,5164,493468,T
903958400,2481,27,181113,5156,5401,1675,8354,492889,T
816632082,3515,23,643245,947,5401,418,8485,492827,F
536886516,3214,20,321400,925,7089,1675,8988,492903,T
685409999,4376,349,1054616,3688,75623,837,4476,493530,T
849815334,3198,16,83148,3945,4776,837,6405,493251,T
509077304,4487,382,937783,947,19727,837,4875,493027,T
586950931,4492,389,350376,2025,8102,837,4138,492847,T
898196689,3186,18,583038,5892,8249,2093,8604,493225,T
043185968,4407,359,749190,3173,4776,418,4975,493248,T
058171157,3114,25,65394,2835,4677,1256,7030,492852,T
355438708,3255,1,312480,1800,19727,837,8362,492946,T
777589079,3670,12,238550,1109,6301,418,8843,493618,F
056044556,4399,365,664249,4124,9863,1256,8973,493292,T
173448148,3706,18,163064,1564,5601,418,6289,493250,T
250239193,3183,33,280104,1326,9259,1675,6911,492997,T
960030250,3155,1,700410,1829,22686,2093,5172,492799,T
950828463,3559,40,85416,1668,10803,418,4492,492963,T
572650216,3114,10,607230,3601,9074,837,6257,493102,T
043962341,3144,26,697968,3781,16204,1675,4822,493042,T
024109265,3149,20,396774,3688,28358,1256,4557,493125,T
101486099,3579,33,146739,3218,7823,418,9176,493209,T
774856993,3550,7,216550,2081,5338,418,6386,493168,T
148215329,4420,366,923780,1315,50415,1256,5143,493692,T
577405156,4399,357,541077,2749,37811,837,4447,493254,T
895013351,2397,52,254082,1366,4583,1256,9122,493595,T
901878767,4445,351,711200,3878,4776,1256,9128,493223,T
808725591,3146,31,723580,2426,28358,2093,8872,493182,T
489992927,3693,16,454239,1055,6481,418,7111,492975,F
461125721,3580,40,522680,1699,6575,418,4726,493495,T
539191144,2481,43,173670,1603,5276,2093,9136,493108,T
103235672,3514,22,200298,3240,4677,418,4394,492769,T
924871607,4335,355,138720,6390,12263,1256,9174,493063,T
205704124,4232,29,114264,1311,5601,837,7017,492750,T
713707602,3562,31,626912,3517,11634,837,9255,492964,T
504554924,3171,3,770553,931,10552,2093,4488,493195,T
870524702,3246,13,38952,1145,7562,2093,4396,493002,T
876016796,3671,43,859014,2965,7562,1256,4658,492723,F
057439288,3208,8,757088,1779,22686,1675,6928,492859,T
001376536,2419,52,26609,1093,12263,2093,8459,493728,T
258521738,2465,35,308125,3911,4537,837,8580,493174,T
871541803,4442,367,661858,4124,10083,837,5019,492981,T
511376344,3140,11,477280,1440,9654,2093,8946,493370,T
830171748,3561,11,334734,1095,6301,418,4872,493717,F
729254606,4189,42,92158,1426,5817,837,4641,493479,T
242750970,3172,19,577304,1085,6772,1675,9319,493418,T
711858726,3131,1,65751,1296,4776,1256,9058,493370,T
425709261,3262,15,143528,1391,6575,1675,4384,492842,T
422950727,3142,29,430454,3336,6672,837,6824,493090,T
882569554,3262,13,616518,1223,12603,2093,7224,493704,T
369058889,4446,363,911430,1507,8102,837,6335,492925,T
298292225,4496,364,786800,1468,15124,837,4813,493547,T
897812137,3272,7,183232,2549,5401,1256,4878,492982,T
282915172,3234,6,226380,1045,4986,1675,9303,493183,T
625855695,4171,32,116788,1404,4726,418,6956,492751,T
171286612,4433,355,802373,1253,7202,1256,4824,493304,T
900127112,3119,33,81094,1148,45373,1256,4830,493323,T
242312003,3225,21,41925,1955,13345,1675,4699,493696,T
812080087,3114,33,214866,1947,10552,2093,8558,493171,T
801810550,4335,351,1018725,4051,4677,1256,6704,493107,T
248124136,3099,26,427662,4321,5671,1256,6376,492984,T
213292142,3257,5,250789,3045,23881,837,6706,493086,T
299520400,3606,26,681534,1695,7174,407,1732,690787,T
469275079,4385,355,929620,4240,16805,837,5048,492988,T
740761543,2530,46,187220,5533,5671,2093,8826,493660,T
964405917,3256,18,113960,1400,5743,837,9326,493371,T
571486197,3131,28,313100,6215,6301,837,4960,493250,T
569503704,4526,361,466178,5743,4878,837,4725,492966,T
217516968,3651,33,799569,5338,8561,1256,6340,493651,F
473740597,3165,2,762765,1047,7823,1675,4432,492977,T
331636423,4443,361,550932,6049,6049,418,4581,492850,T
106971419,2356,47,89528,1400,4776,2093,9077,493194,T
162418659,4380,383,635100,1031,18905,837,8554,493318,T
476351861,4527,375,63378,3517,6575,1256,6613,493319,T
286789321,4349,378,347920,4280,14636,837,7073,493065,T
559246804,3592,25,711216,1095,13345,837,5155,492809,F
966693291,4416,386,918528,2363,5466,837,8883,493663,T
119596984,2365,36,191565,1874,12603,1675,8680,492857,T
859772628,4476,362,1007100,973,5817,1675,6861,492939,T
403067809,4503,371,414276,2835,5156,1256,8741,493698,T
567240834,3177,17,711648,1586,11940,837,8582,493548,T
781486153,4528,380,1082192,1592,9259,1675,6880,493081,T
414013752,3224,19,248248,3812,34903,418,9157,493430,T
550463938,3681,26,743562,3150,4776,1256,6468,492989,F
357062973,3146,22,522236,937,7960,1256,6458,493029,T
769478644,3216,5,726816,2749,22686,1675,4933,492873,T
447358354,3152,20,526384,1391,5892,837,4297,493601,T
480222706,3241,11,362992,929,13749,837,8781,493056,T
661146631,3571,44,189263,2025,5533,837,6789,493276,T
342518936,3138,3,269868,1012,7960,837,5083,493535,T
087214334,4195,28,134240,941,7089,837,4716,493095,T
472980513,4491,360,943110,1738,5892,1675,8415,493200,T
575728256,3138,4,392250,1532,28358,1256,4161,492813,T
572136117,4401,351,924210,1575,5276,837,6593,493058,T
032595270,3093,33,182487,1445,6575,2093,6404,492933,T
016162765,3184,11,241984,977,20624,2093,6650,493718,T
452950187,3261,10,136962,3173,17451,1256,8484,493128,T
562705142,3245,20,532180,3150,9452,1675,6613,492786,T
539999590,3226,6,593584,1270,10552,1256,4966,492877,T
631835747,2350,42,336050,951,6049,2093,9156,493096,T
167411760,3132,14,604476,907,56717,1256,7259,493494,T
452989156,2419,31,372526,1725,6390,837,9347,493210,T
057283553,3232,4,355520,1807,15646,1256,8858,493220,T
978068357,3267,22,343035,927,5041,2093,7200,493024,T
197805594,3241,13,162050,1396,8402,2093,6369,493233,T
885054397,2476,35,193128,1082,11940,837,8853,493695,T
106899329,2483,49,325273,1278,5276,418,8928,493208,T
768601992,3101,32,139545,977,32409,418,8817,493544,T
403682426,4525,359,1013600,1065,10083,1675,5113,493184,T
464210044,3103,35,105502,1548,8561,1675,8744,493569,T
664531605,2475,45,131175,1990,11634,1256,9171,493267,T
742152589,3266,23,55522,935,30249,2093,8818,493715,T
287003391,4356,355,753588,1964,9654,837,4924,492785,T
626096835,4430,369,979030,3318,23310,909,3290,1005913,F
854676677,3537,33,67203,4986,6980,837,8731,492761,T
275488599,4406,372,894418,2622,5892,1675,9089,493250,T
084276440,3090,37,404790,1184,11634,837,8690,492916,T
219660207,3091,1,123640,1396,75623,837,6399,492749,T
649541163,3135,6,47025,1396,50415,1256,8583,492868,T
922621520,3270,3,65400,971,5817,1256,8937,493053,T
171870484,3104,37,568032,1187,6215,2093,8351,493251,T
318468001,3217,21,99727,3287,17451,1675,5118,493047,T
051939718,3202,6,262564,6131,26690,1256,4797,493470,T
663388949,3152,6,778544,1072,6874,2093,8806,492965,T
574523426,4493,371,700908,2946,4878,837,4285,493155,T
503982482,3133,17,335231,2717,4878,2093,9247,493145,T
509032621,4441,373,741647,2871,75623,418,9142,493145,T
458243754,3091,35,312191,4280,8102,837,8904,493534,T
930297204,4453,377,841617,1947,10312,1256,6683,492851,T
571726132,3226,12,470996,1010,4776,837,4226,492752,T
934377191,3632,12,112592,2388,4583,837,8774,493026,T
451454088,4413,369,163281,4124,13749,1256,4652,493551,T
678050690,3084,11,613716,1890,23881,837,4597,492824,T
461322215,2366,50,269724,5338,5156,1675,9360,492926,T
480994583,4485,378,1040520,1391,5601,418,7241,492805,T
929895768,3084,1,607548,1175,5098,1675,7237,493383,T
157003944,3170,35,326510,2684,9074,1256,4367,493237,T
555109782,3592,32,790240,979,11066,837,4327,493195,F
001426804,3100,1,130200,3240,56717,1675,8870,493230,T
840351272,3690,44,660510,1303,14636,418,6529,492972,F
296611760,3079,25,193977,949,23881,1256,9343,493457,T
684412073,3246,9,207744,999,18905,837,9342,493594,T
758710893,4350,358,904800,2363,4776,418,4356,493186,T
398847577,3195,35,607050,1184,6874,1675,8653,493099,T
389414259,3117,38,670155,2140,19727,1675,6713,493325,T
143741956,4386,373,736848,1278,10312,1256,4703,492846,T
881684146,3080,32,360360,5892,12603,1256,4354,493207,T
947917524,3705,10,40755,2871,4726,418,6415,493017,T
532004926,2472,35,182928,2375,5098,837,9090,493496,T
496611217,2343,39,238986,1338,5338,1675,8561,492969,T
864676403,3636,42,632664,1538,7318,1256,4583,493485,F
246707785,3099,11,520632,3980,34903,1675,4748,492780,T
430274934,3626,14,678062,2733,25207,418,8414,493351,T
224553889,3162,2,192882,5892,34903,1256,9201,493060,T
585319430,4515,353,1056510,3129,8249,837,9141,493082,T
650041902,3508,13,63144,1655,11634,418,8821,492821,T
334703870,3669,24,590709,1431,5156,418,8652,493486,T
432022544,2335,20,144770,1289,5466,418,9203,492796,T
553156267,2432,32,170240,353,2051,2459,10136,173625,F
894333983,3249,32,448362,1346,20624,1675,9202,493428,T
704588014,3223,26,731621,1674,28358,1675,4932,493596,T
280719164,3200,8,297600,1745,5671,1675,8934,493419,T
565141929,3158,21,88424,1128,11066,418,8407,492957,T
328869839,4447,365,1058386,992,10803,837,4170,493085,T
120070465,4389,388,1022637,1512,4986,1675,4608,493528,T
669436138,4479,352,971943,1374,6131,1256,4387,492776,T
254243406,3658,14,599912,1972,16805,418,4236,492870,T
926773328,3267,38,659934,1026,11066,1256,6797,492834,T
283886721,3612,15,585144,1134,7438,837,6489,492819,F
408450999,3248,35,474208,1249,32409,837,8428,493147,T
914489044,3193,27,130913,931,14179,2093,4196,492787,T
359746284,4501,371,1102745,2007,6215,1256,9160,492910,T
348824395,3164,1,512568,1426,5970,1256,7197,493485,T
112146915,3096,1,40248,2291,17451,1675,4748,492920,T
661522435,4469,384,214512,4201,25207,1256,6990,492941,T
530824789,2377,42,26147,2465,5041,1675,8724,493208,T
111641023,4121,22,41210,1492,4537,837,8362,493480,T
583079091,3546,21,875862,1131,8402,837,8551,493645,F
834207704,3148,5,459608,3544,9452,1256,6727,493143,T
450440031,3188,25,261416,3107,23881,837,6328,492779,T
480188013,3693,6,649968,1019,5743,418,8872,493014,T
682825214,3199,16,252721,1253,90747,418,4297,493213,T
871247989,3548,6,833780,1731,10552,1256,4141,493692,F
846301700,3266,1,287408,4162,45373,1256,4953,492898,T
459426914,3210,31,208650,2426,11634,2093,6860,493012,T
403601176,3228,23,142032,1440,9654,2093,6863,493482,T
