userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
431327904,3140,29,147580,1178,8402,1256,4855,493548,T
133806472,3524,11,109244,1178,1998,418,4727,492900,F
825743925,3335,26,190095,1178,19727,418,8791,493605,T
777526300,3599,15,338306,1178,933,418,7238,493218,F
169096492,3107,25,282737,1178,3463,2093,4725,493195,T
012998082,3529,38,155276,1178,11634,418,4394,493612,F
271401347,3526,66,222138,1178,1867,837,4158,492739,F
160682526,4358,34,152530,1178,1829,418,6954,493418,T
660134320,4224,26,88704,1178,1947,418,9228,493364,T
753555019,3594,43,129384,1178,1400,418,4905,493529,F
658710991,2587,61,106067,1178,1031,418,8341,493432,T
500738588,3704,48,100008,1178,935,418,7257,493670,F
323386864,3216,51,147936,1178,1751,2093,8330,493462,T
534254274,3790,22,363840,1178,18149,418,6405,493109,F
289211823,3283,35,114905,1178,3463,1675,8576,493678,T
977017667,3579,66,128844,1178,5276,418,7196,492954,F
414928746,2578,47,54138,1178,1553,1256,9260,493573,T
807988567,3627,20,206739,1178,1859,418,4361,493705,F
193559209,3089,14,231675,1178,1232,1675,5181,493437,T
660053260,3773,13,128282,1178,1458,418,6371,493430,F
450316611,3255,6,309225,1178,1712,2093,6232,493096,T
776617515,3729,71,164076,1178,967,418,6241,492855,F
464061762,3134,13,238184,1178,2257,2093,4512,493291,T
326946901,3552,41,117216,1178,1745,837,4153,492853,F
229641743,2459,70,66393,1178,1163,1256,8862,493270,T
571667041,3738,40,265398,1178,1043,418,6275,493169,F
017274872,3268,1,199348,1178,4677,1256,9236,492877,T
627873366,3793,23,151720,1178,1024,418,9349,493636,F
072811997,3248,67,233856,1178,1898,1675,8881,492748,T
076953051,3536,21,102544,1178,1867,418,9050,492865,F
201063127,2457,34,199017,1178,1206,1256,8784,493427,T
117869470,3552,70,120768,1178,3065,418,4403,492786,F
434782526,2348,31,206624,1178,1219,2093,8470,493106,T
781731347,3782,50,340380,1178,1109,418,9077,493628,F
683648581,4183,32,108758,1178,1543,418,5041,493614,T
571798281,3779,30,196508,1178,935,837,4163,493530,F
487211475,2405,28,84175,1178,2733,418,7208,492827,T
720010992,3535,27,159075,1178,990,418,4203,493568,F
783618700,2496,69,144768,1178,1040,1675,9217,493513,T
023667375,3719,53,319834,1178,7823,418,4699,493491,F
493402550,4290,80,115830,1178,986,418,6773,493070,T
255742064,3641,45,269434,1178,1145,418,9006,492727,F
982137786,3175,33,139700,1178,1075,1675,9178,493298,T
898716463,3655,58,222955,1178,1206,418,6893,493452,F
184878493,3108,29,195804,1178,955,1675,6792,493596,T
290601194,3544,12,315416,1178,1267,418,4195,493224,F
801243095,3637,7,323693,1178,4087,418,8966,493215,T
264199124,3774,49,218892,1178,14179,418,6669,493707,F
008869913,2628,50,60444,1178,4201,1256,8389,493368,T
624365591,3760,28,297040,1178,969,418,4905,493710,F
563248718,4193,71,171913,1178,3336,837,8557,493307,T
175977109,3698,19,214484,1178,1350,418,6460,493460,F
766769565,3134,56,250720,1178,1285,1256,6270,493512,T
674396069,3776,57,241664,1178,1603,418,4429,493103,F
035820725,3150,23,141750,1178,6131,1256,9098,493224,T
656263601,3634,17,105386,1178,1246,418,8423,493214,F
069042403,3291,1,289608,1178,3781,1256,9260,492868,T
814639164,3561,36,345417,1178,8725,418,4804,493161,F
626656182,3675,60,205800,1178,1890,418,8969,493395,F
457357213,3263,53,309985,1178,1492,1256,6751,492967,T
097318136,3079,36,141634,1178,2016,2093,5044,493327,T
144289658,3644,70,120252,1178,1031,418,8966,493012,F
756562620,3587,62,165002,1178,1260,418,7129,493178,F
269633884,2571,27,56562,1178,1292,837,8756,492956,T
468074243,3081,15,92430,1178,955,1256,8859,493311,T
258725812,3536,46,222768,1178,1779,837,4212,493511,F
082855594,3370,68,141540,1178,951,1256,4759,492723,T
965111056,3759,53,229299,1178,1236,418,6576,492929,F
194923951,3125,53,62500,1178,2081,2093,4788,493153,T
221344872,3573,17,75033,1178,1012,418,4394,492813,F
897350070,3205,17,201915,1178,1285,418,8952,493399,T
941969243,3754,36,364138,1178,982,418,4224,493613,F
769409728,3277,5,85202,1178,2338,418,7018,493173,T
622607667,3787,70,371126,1178,1281,418,6831,493544,F
913510165,3665,53,146600,1178,1070,418,6880,492779,F
634062753,2360,17,70800,1178,2413,837,8676,492810,T
632967831,4354,65,226408,1178,2439,418,6959,493051,T
883933137,3683,19,169418,1178,3150,418,4817,492862,F
026441606,3292,2,85592,1178,1699,1256,8714,493127,T
876687931,3628,56,203168,1178,975,418,4725,493360,F
313786085,3122,3,78050,1178,1125,1256,6805,492894,T
154630779,3775,22,177425,1178,988,418,7168,493205,F
228705078,3093,30,176301,1178,2766,2093,5099,493357,T
882359047,3716,25,248972,1178,1614,418,4676,493652,F
787709404,3507,20,227955,1178,8725,418,5020,493532,F
984294098,3180,30,216240,1178,1125,2093,8382,493227,T
040152226,2388,58,238800,1178,909,2093,8865,493721,T
423754631,3653,18,314158,1178,5970,418,5097,493219,F
