userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
652767629,3502,10,577830,2723,9590,322,2881,466019,T
362461419,2124,189,384444,4644,6393,484,2543,465714,T
162635321,3375,46,428625,1564,6302,645,2013,465379,T
423742540,3394,48,631284,1978,11610,484,2988,465491,T
734014200,2061,191,313272,1370,16968,807,3260,465628,F
202802868,3923,19,474683,2828,11923,322,1943,465405,F
068212259,3337,11,720792,2173,18382,484,1407,465617,T
859399640,2035,166,305250,1313,5446,645,1247,465664,F
400442968,3439,43,625898,1548,5729,807,2192,465579,T
868537242,3502,30,112064,1164,13786,484,2322,465865,T
355314013,2125,164,340000,1823,6487,807,2189,465683,F
521109720,3827,47,531953,4368,12605,645,1392,465883,T
626797913,2004,160,418836,2184,12605,807,2437,465753,F
121893380,3416,47,208376,952,4957,645,1302,465606,T
361782123,1972,183,400316,1185,10260,322,3175,466033,F
111657073,3329,20,612536,2941,12255,645,2421,465895,T
624207668,3448,24,196536,1102,4644,645,2510,465288,T
256051536,3343,14,367730,1516,21008,807,3071,465934,T
705031644,2105,181,383110,984,8021,807,3416,465224,F
411095057,3312,43,185472,942,8823,322,3055,465615,T
994586097,2110,169,192010,2864,9804,484,2214,465172,T
032450033,1963,178,58890,4795,4595,484,1590,465130,T
790816462,2087,169,210787,1009,8650,322,1725,465225,F
849284364,2022,151,220398,1671,36765,645,2610,465787,F
921174112,3433,34,563012,1108,7115,645,1638,465596,T
102318483,2147,187,313462,938,9003,322,2262,465488,F
085711264,3940,24,70920,3557,8823,161,2088,465702,F
787432570,3861,17,169884,4795,15756,645,3264,465306,T
471692289,2075,156,375575,1490,49020,645,2854,466000,F
497355644,1960,166,27440,1357,5729,807,2847,465642,F
670842070,3431,47,397996,2424,6043,807,2964,465595,T
764272192,3947,10,130251,4411,5071,322,1937,465659,T
799748897,2060,167,280160,3128,88236,161,2096,465238,T
388224290,2058,184,242844,1357,4548,322,2025,466046,F
585833296,3415,11,525910,1349,7878,484,2650,465935,T
144905407,3377,24,54032,2042,23220,807,3505,465104,T
629579588,3375,42,388125,1374,11610,484,2816,465222,T
416471802,1960,167,127400,3738,5252,645,1994,465836,T
910146770,3426,17,188430,1490,9003,484,2546,465071,T
326396020,3769,18,599271,4368,36765,484,3065,465764,T
209269810,3776,35,169920,5882,17647,807,2045,465755,T
116323452,3353,14,613599,3220,5882,807,3136,465557,T
746117883,2008,151,395576,1423,88236,322,1301,465941,F
233573563,1976,188,175864,1042,5071,807,3018,465584,F
016948736,2031,165,272154,5130,11312,484,1919,465153,T
498240511,3431,48,806285,1764,12605,807,2271,465139,T
672815871,2042,165,232788,4242,9191,322,2019,465796,T
009060547,3762,25,571824,5514,11312,322,1367,465575,T
728589113,1968,166,90528,2052,5961,645,2748,465257,F
764681357,2112,175,285120,2205,7477,161,2507,466062,F
105946484,3348,11,344844,1125,18382,484,2697,465734,T
358276722,2024,152,246928,978,6127,161,2931,465803,F
383669475,3345,49,806145,1743,7232,322,2641,465966,T
762585945,3472,45,513856,2071,21008,807,2516,465664,T
122811767,3902,19,409710,3342,10504,484,1345,465542,F
809903977,2067,176,105417,965,7878,484,2094,465675,F
879158251,1957,183,223098,1313,4743,807,2952,466066,F
227823322,3330,22,799200,952,4693,807,2284,466039,T
517403547,3380,47,392080,1495,6213,807,2962,465914,T
662833658,3462,37,418902,2334,4595,645,2154,465679,T
490703563,3417,43,334866,1195,4957,807,1972,465113,T
276947618,2118,189,518910,1357,19181,645,2184,465260,F
360326962,3819,44,759981,4743,12975,807,2639,465203,T
224096923,2074,187,485316,1023,6684,484,2605,465794,F
531383456,1984,179,470208,4456,5013,322,2743,465844,T
190469727,2067,152,336921,1301,10260,161,2817,465255,F
955816975,2115,179,397620,3393,4548,807,2310,465249,T
259511918,3845,19,226855,2410,5190,322,2725,465996,F
929211900,2120,174,447320,1621,5315,645,1956,465925,F
115037622,2020,169,167660,2673,4795,484,3034,465337,T
653573381,3458,38,681226,1018,6213,322,1726,466048,T
104557496,3940,32,181240,3870,8021,161,2192,465385,T
261487378,2084,177,337608,1786,6487,807,1874,465100,F
781670262,3451,13,148393,1232,8650,807,2011,465281,T
560009322,1983,156,35694,4010,22059,645,3415,465280,T
405572773,2109,174,417582,905,11312,161,2232,466040,F
917213418,3462,35,373896,965,9386,322,3247,465945,T
953912534,3380,24,699660,2610,17647,645,2773,465236,T
656542335,3886,47,652848,3173,15756,645,1454,465842,F
141296629,3443,50,564652,1987,15213,322,1492,465320,T
261937670,1991,164,404173,2792,12975,645,1523,465675,T
964857993,2030,184,115710,905,6684,807,2141,465845,F
204989565,2135,161,531615,1374,10760,161,3379,465982,F
239100565,3469,39,718083,982,5013,645,3549,465650,T
627359293,1973,178,69055,5514,55147,322,2242,466044,T
736035391,4148,45,763232,3317,33936,807,2702,466011,F
553921029,3328,25,678912,1978,4693,807,2682,465288,T
164507106,3946,46,682658,3063,15756,322,2122,465537,F
414527211,3488,14,523200,1414,5252,322,1928,465536,T
896004845,2010,158,166830,4123,9804,807,2849,465157,T
431052412,2020,184,317140,1301,5961,161,2442,465901,F
611527278,2082,157,170724,1293,6302,807,3183,465921,F
968181624,1974,191,67116,1185,8484,807,2098,465595,F
727685365,3762,8,406296,5882,5013,322,1375,465831,T
