userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
702248333,3455,69,203845,2883,1383,484,1758,465135,T
151250154,3846,50,242298,2883,1145,322,2648,465903,F
701122240,2250,181,132750,2883,1173,484,3575,465759,T
035822960,3834,66,180198,2883,1432,484,2250,465952,F
017025006,2027,199,166214,2883,1256,807,3016,465092,T
051482053,3867,45,359631,2883,1042,484,2001,465421,F
772613526,3782,78,238266,2883,893,161,1451,465479,F
475456710,2138,166,181730,2883,1480,161,1924,465812,T
896120200,2147,196,47234,2883,959,645,1978,465544,T
306804451,3983,52,362453,2883,1076,807,1713,465765,F
166692104,3995,71,319600,2883,1771,161,2545,465624,F
126820832,2010,197,114570,2883,1239,645,2183,465461,T
019189796,2200,190,134200,2883,22059,161,2936,465375,T
947417299,3964,53,198200,2883,3367,322,3407,465813,F
973194924,3985,31,159400,2883,1316,645,2598,465612,F
338086559,2010,156,68340,2883,13369,645,2147,465129,T
915834288,3473,22,184069,2883,1893,484,2625,465131,T
070042985,3812,75,95300,2883,2239,322,3032,465411,F
843544678,2094,192,108888,2883,3173,322,2185,465260,T
399678063,3863,60,227917,2883,938,807,3502,465492,F
032893606,3849,57,280977,2883,2595,645,2088,465244,F
319063043,2096,175,46112,2883,7878,161,2514,465223,T
107595153,3757,39,135252,2883,2250,645,2226,465666,F
973743107,3524,14,119816,2883,894,807,2712,465669,T
603828532,3835,37,245440,2883,1264,161,3253,465187,F
014243830,2037,184,130368,2883,4368,484,2856,465127,T
904316798,3341,19,203801,2883,1869,645,1642,465987,T
052914219,3870,72,154800,2883,3292,161,2708,465931,F
881865819,2071,182,115976,2883,6787,484,3089,465112,T
282751331,3862,57,278064,2883,18382,807,1823,465195,F
946426643,2212,192,170324,2883,1621,322,2851,465817,T
184232888,3790,25,197080,2883,938,645,1502,465779,F
533284888,3499,39,328906,2883,2052,484,2552,465227,T
922302898,3800,68,361000,2883,1558,484,2531,466064,F
468586002,3352,52,77096,2883,1256,645,1985,465096,T
785764489,3942,48,86724,2883,49020,807,3187,465870,F
068711585,1981,196,116879,2883,926,807,2924,465631,T
065618435,3837,35,356841,2883,4201,645,3420,465815,F
639891851,3341,31,257257,2883,1830,484,3382,465925,T
935142564,3966,22,349008,2883,2610,484,2099,465252,F
017219059,3874,32,348660,2883,2883,161,1960,465725,F
435501200,2080,215,108160,2883,1357,807,2084,465335,T
488886016,3503,19,304761,2883,1089,484,3444,465696,T
249012404,3805,43,197860,2883,1771,161,3369,465114,F
969240708,3588,31,326508,2883,6487,484,2723,465175,T
113323846,3756,12,180288,2883,5446,161,3167,465385,F
516449457,3512,49,224768,2883,2792,484,2990,465785,T
999187218,3932,42,357812,2883,3870,645,1460,465628,F
154068906,2037,204,152775,2883,1222,807,3543,465074,T
977939943,3774,57,86802,2883,1309,645,2286,465256,F
576904518,3451,38,324394,2883,1148,484,1408,465104,T
787384341,3784,17,227040,2883,1195,161,2878,465684,F
564177615,2233,194,104951,2883,1586,161,2859,465966,T
164902797,4046,34,186116,2883,2334,484,1888,466035,F
366714785,3603,23,234195,2883,2228,645,2359,465914,T
494692162,3847,14,84634,2883,3021,161,1800,465135,F
534618346,2115,205,52875,2883,1131,161,2211,466054,T
103379000,4050,46,324000,2883,1070,807,2880,465844,F
691702279,3832,32,199264,2883,1470,161,3315,465958,F
285293377,2188,186,210048,2883,1060,322,1334,465490,T
166455513,3829,49,321636,2883,986,484,1604,465527,F
827622876,1993,164,191328,2883,1316,645,2289,465756,T
067064068,3366,27,134640,2883,2595,484,1785,465933,T
579918303,3948,63,371112,2883,1960,161,2443,465077,F
332975885,1963,176,104039,2883,15213,322,2542,466049,T
978251970,3893,78,354263,2883,891,161,2904,465247,F
986650252,3468,10,197676,2883,1000,484,1814,466023,T
412545108,3795,49,189750,2883,900,322,1806,465169,F
649890201,3991,37,159640,2883,7740,645,1800,465989,F
489414517,3389,28,244008,2883,1978,645,1620,465839,T
943798824,3972,21,282012,2883,2071,484,2708,465146,F
624716982,3387,36,328539,2883,1038,807,2707,465728,T
513219556,3907,27,203164,2883,905,322,1952,465284,F
964603464,1975,165,165900,2883,7353,161,2009,465606,T
764989243,3484,70,128908,2883,3557,161,3028,465159,T
731082268,3993,22,367356,2883,1271,645,3135,466030,F
540236342,3510,58,329940,2883,1328,645,1965,465395,T
590941372,4025,55,289800,2883,2346,161,1308,465928,F
010716107,3874,60,325416,2883,959,807,2369,465527,F
794593573,2000,161,146000,2883,1023,645,2898,465313,T
090707477,3605,38,187460,2883,3292,484,2341,466052,T
182424034,3842,29,334254,2883,2152,807,2712,465392,F
860853265,2152,154,157096,2883,1357,161,2462,465214,T
018765870,3865,36,309200,2883,24510,322,1828,465209,F
359382841,3876,21,100776,2883,889,807,3576,465368,F
173444790,1980,160,83160,2883,2723,484,1241,465498,T
372088597,3405,15,190680,2883,1218,807,3542,465654,T
825737531,3930,9,310470,2883,16340,161,2615,465689,F
335908274,3405,46,139605,2883,49020,484,3115,465390,T
966388496,4042,23,299108,2883,1063,807,1754,465176,F
177166522,3518,34,73878,2883,1845,645,3455,465159,T
641455342,3922,38,227476,2883,1297,484,3348,465354,F
834039476,3348,61,318060,2883,1778,322,3166,465617,T
044542681,4045,52,396410,2883,1808,807,1726,465612,F
752050376,2022,215,95034,2883,4047,645,2115,465352,T
937102765,3793,58,276889,2883,2690,322,2700,465247,F
849091747,3923,58,164766,2883,3196,322,1333,465663,F
327061906,2236,189,187824,2883,5656,322,2020,465452,T
437392902,3862,58,293512,2883,893,484,1368,465688,F
593319806,3401,18,261877,2883,928,645,1493,465657,T
