userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
520693338,2939,428,673031,1919,5236,2457,6107,536764,T
655908139,3230,36,390830,1874,96348,982,3897,536374,T
229826734,2900,413,104400,1817,5018,1965,8177,537200,T
978580119,3317,34,116095,1468,6690,2457,8420,536625,T
726251359,952,1,175168,2632,6176,1474,4224,536947,T
462888824,996,26,91632,1107,8451,1965,4727,537033,T
396432029,2846,419,480974,4117,8305,491,8244,537285,T
904512298,3155,10,72565,1264,7411,982,8008,536351,T
490330791,1037,1,191845,1330,6021,982,4884,536468,T
969757632,1013,154,29377,1554,18528,982,8795,537105,T
046061350,903,2,31605,1534,4966,1474,6779,536454,T
384357608,944,18,184080,2919,8758,491,3958,536846,T
325047626,3235,34,714935,1169,9831,982,6662,536768,T
463570961,2902,397,504948,2752,6882,491,8490,536774,T
448262323,4934,45,626618,6882,17205,1474,6386,537003,T
922520894,1032,5,20640,979,4966,982,5883,537083,T
119193871,2886,399,349206,2457,8029,1474,3893,537167,T
386863690,4937,44,335716,6176,5412,491,4761,536481,T
187475730,1112,133,23352,3255,5236,1965,4799,537332,T
298157510,2994,434,365268,2327,7527,1474,6149,536894,T
568884466,876,24,31536,4966,11470,982,5982,537165,T
178975786,2844,404,88164,5947,10036,491,6175,536870,T
530072818,2985,435,155220,1082,17205,1474,4702,537353,T
487382119,871,6,32227,983,22940,982,5916,536696,T
551723770,885,1,216825,2220,5474,1965,4833,536687,T
818090523,3017,421,241360,1228,7190,2457,5923,536758,T
813241538,4930,15,823310,3516,8451,982,4513,536978,T
566087455,3156,15,517584,2646,5180,2457,4113,536720,T
411704102,3245,49,405625,1966,6785,1965,4686,536658,T
159154311,2930,421,398480,2884,5474,1474,5974,536681,T
460887847,3315,22,490620,5293,6510,2457,6880,536545,T
128842422,2840,434,323760,3981,18528,1474,8236,537170,T
717895108,3276,32,176904,1158,15540,1474,6152,536576,T
359144429,3006,421,273546,1291,10036,2457,4733,537070,T
203789305,916,1,20152,2327,12677,491,8789,536449,T
943027883,868,1,213528,2112,25354,1474,6548,537237,T
094986535,2845,402,236135,1152,4817,2457,6468,537306,T
662128224,2821,425,657293,1745,22940,1474,4282,537280,T
873790760,1086,138,213942,2867,7527,982,6000,536772,T
328520055,4919,30,1042828,2041,19269,491,6009,536757,F
308274736,983,1,43252,1622,48174,982,5905,536404,T
191733733,4767,38,1186983,1264,15054,491,6585,536778,F
557000838,3208,10,506864,6690,96348,1474,3920,536735,T
033057969,3260,38,52160,1133,15054,1965,8087,536731,T
581750492,963,1,185859,1210,8451,2457,3987,537097,T
232968291,3000,437,528000,3211,43794,2457,4109,536738,T
536237479,1110,171,228660,4677,6097,1474,4361,536684,T
990471726,1030,136,32960,2160,6021,2457,4076,536714,T
407778609,4884,26,776556,1622,4817,982,4198,536418,F
588604407,2877,407,293454,2590,8029,2457,5889,536846,T
138594438,1051,5,202843,3516,7411,1474,4924,536705,T
837295174,872,26,41856,1341,21897,1474,4035,537157,T
299507128,2932,428,662632,1225,6423,982,6238,537327,T
233887877,1124,169,278752,1077,4817,491,4191,537194,T
673361995,3339,28,50085,1459,13381,1474,4343,537025,T
507993231,2934,437,29340,2076,17205,1474,8786,536366,T
856475835,3013,407,117507,1251,9089,491,3918,537063,T
372813384,5014,48,1133164,3029,30108,982,6169,537286,T
814807457,3338,16,574136,1133,7770,982,5995,536857,T
719161519,874,12,168682,1038,9445,982,7919,536626,T
243964667,4791,15,752187,3068,8165,491,4821,537277,T
068733172,972,26,81648,1147,5412,982,8282,537036,T
277216727,4892,25,675096,3190,6256,1965,4394,537177,T
001502874,2974,403,449074,1817,26763,1965,4202,537295,T
526919811,3221,27,666747,1044,20945,491,6312,536378,T
403820454,4806,43,975618,1661,13764,491,4747,536789,F
012684006,3288,15,749664,1036,53526,2457,4109,537242,T
043812724,1022,1,179872,1051,9634,1474,7862,536852,T
338978139,4788,15,1187424,1040,6510,491,6677,537018,T
469993335,3219,29,701742,1400,10249,1965,6827,536380,T
888069120,911,16,204975,969,7527,491,5913,536990,T
017394090,4919,15,147570,3148,11203,491,8213,537190,T
338617229,2971,403,457534,2955,6176,2457,8129,536783,T
452738494,994,1,35784,1020,5070,491,8642,537237,T
054215795,4820,25,1142340,1077,5601,491,6861,537218,F
641244076,3307,27,621716,1745,24087,982,8678,536368,T
653838156,3319,39,431470,1085,5735,982,5950,536861,T
454202225,3241,45,272244,2240,4966,491,7856,536431,T
991854440,2923,434,140304,1589,8305,982,8381,536848,T
227776473,1035,1,80730,1267,12043,982,8639,537137,T
238318187,2954,415,360388,1136,11470,982,5888,536711,T
079790428,3322,32,328878,3190,28337,982,4185,537129,T
169923047,2822,402,702678,1158,11470,1474,7868,537309,T
102919736,2934,422,328608,1210,10705,1474,4742,537270,T
297825834,2829,407,452640,1155,6256,491,4520,536815,T
102627800,3236,16,35596,1919,17842,982,8395,537034,T
696773578,3013,409,180780,1281,6599,982,8586,536628,T
339031572,3266,29,329866,1644,20072,1474,6591,536832,T
970844910,1017,22,83394,3029,5293,491,5921,537188,T
679732667,1017,163,200349,2992,7770,982,4858,536985,T
991637514,856,22,8560,1349,5352,982,8704,537076,T
365021801,3220,48,705180,2361,32116,491,7981,536838,T
943926527,3353,36,526421,2361,9634,1474,6613,536902,T
611454950,4926,33,1172388,2721,4915,982,4210,536710,F
673144136,4926,38,832494,4866,9634,982,7979,536408,T
436977311,965,24,198790,1482,16611,2457,3991,537137,T
149677048,1057,144,221970,2261,25354,982,4073,537178,T
786446858,2961,405,538902,4117,5236,2457,4488,536963,T
476096938,980,170,25480,2209,8305,1474,6066,536583,T
755454861,997,12,119640,3322,7770,1474,3892,536697,T
203855117,906,16,216534,2007,4866,2457,4384,536990,T
759804149,3274,41,170248,1183,6510,1965,4176,537335,T
890020414,3305,40,313975,1204,13020,1965,4904,537300,T
239935867,3295,44,227355,2992,4966,1965,8637,537189,T
031259140,4908,41,1158288,2384,7084,982,4110,536924,F
523037614,2901,433,522180,1482,5667,1474,4057,537166,T
093949960,977,9,199308,2973,26763,1965,4674,537334,T
965855192,3240,44,780840,1144,6423,1474,8011,537081,T
379612705,3225,48,270900,1684,4817,2457,8447,536958,T
800540415,3176,37,260432,3277,8921,1965,8406,537203,T
758090815,994,12,230608,1345,5735,982,8353,536987,T
975909429,3230,19,397290,1622,8921,982,4120,536773,T
927456685,3200,38,614400,2294,5474,1474,4641,537178,T
615256822,995,22,85570,3029,7527,982,4135,536837,T
148775828,2829,418,560142,2706,6981,1965,4108,536898,T
417642095,3187,13,127480,1376,4866,2457,6134,536657,T
861907699,3155,49,542660,3823,12352,2457,6095,536564,T
157684412,2919,398,277305,1228,9264,2457,6323,536908,T
233264476,3295,40,757850,1942,6510,2457,8579,537287,T
887838276,2942,428,585458,1605,40145,982,8347,536699,T
493874348,863,1,71629,1904,8451,1474,8637,537246,T
132275195,3283,26,590940,2445,5667,491,6277,537104,T
335043737,921,16,112362,1684,7299,982,8689,536603,T
484634152,889,1,178689,1089,9264,1474,7995,537340,T
312713816,3245,16,668470,4152,28337,1474,8258,536471,T
593848238,1068,152,24564,4263,10249,1474,6639,537300,T
125465140,962,1,100048,2141,5018,982,4093,536813,T
860373677,1078,166,128282,4544,60217,491,4894,537220,T
436698669,4833,14,850608,5236,6021,982,8201,536969,T
676699108,2895,405,89745,5236,9634,2457,4386,536676,T
352046621,3231,43,681741,995,7646,1474,6816,537348,T
058579933,4804,12,1181784,1042,14598,491,4790,536746,T
252816898,3306,19,793440,2349,8029,2457,6660,537350,T
093992292,4865,16,851375,2085,5804,982,4150,536874,T
510977572,1004,141,161644,5537,20945,1474,4074,536872,T
388269067,2829,426,379086,1044,12677,2457,4628,536869,T
392349218,2876,410,503300,2457,6176,1965,6573,537197,T
540905314,2981,425,363682,6423,24087,1474,7995,536924,T
426289998,2985,424,89550,1298,15054,491,7901,536932,T
799758736,3320,39,73040,1264,6097,1474,7954,536352,T
198708295,4927,29,758758,3128,10948,491,4219,536635,T
549860257,3180,30,349800,1009,60217,982,8245,536500,T
621366779,2906,413,258634,5601,60217,491,6409,536482,T
605949424,4838,42,841812,1042,12677,982,4117,537281,F
190340784,3290,42,496790,1455,28337,1965,8050,536411,T
758383932,2855,406,219835,2867,4817,2457,8579,537043,T
692993558,2924,412,546788,1388,8451,1965,4807,537223,T
357164439,948,5,105228,6882,13764,982,3890,536488,T
627752177,2845,422,381230,1020,5180,491,4359,536784,T
808083052,3274,47,592594,1238,5667,2457,3948,536690,T
320417033,2914,407,542004,3853,25354,1965,7914,536794,T
924501122,1152,170,282240,2676,34410,491,8196,536521,T
261276760,2888,401,118408,3649,5293,2457,4812,537345,T
750418374,4881,33,370956,3322,6785,491,6621,536551,T
476623659,887,22,164982,1117,6785,982,6219,537191,T
009773108,904,19,84072,1589,6882,491,6763,536353,T
789218419,3245,11,723635,1998,8921,2457,4133,536933,T
213588796,972,12,173016,1942,11749,491,4290,536413,T
887985154,1154,154,230800,1195,15054,491,8852,536612,T
010256777,2831,433,662454,1771,5667,1474,4641,537007,T
232179256,1017,3,231876,1524,13020,982,8556,537167,T
968024133,1107,167,71955,1380,5412,982,8011,537002,T
104330654,3247,21,185079,1309,34410,1965,3911,536494,T
879226897,3217,11,421427,2240,25354,982,8103,536937,T
771648926,2864,429,206208,2433,5667,1474,6201,536483,T
404437748,4798,47,244698,6097,34410,491,4110,536832,T
705922904,863,8,69903,2373,8758,491,6421,537262,T
956169637,3018,437,491934,1539,7770,2457,4490,536761,T
576715209,1022,1,187026,4966,12043,982,6086,536956,T
024841855,1047,26,10470,1739,4966,1474,6270,537121,T
852059103,2884,404,144200,983,5874,1474,6312,536494,T
006012354,1043,157,142891,5735,5804,1474,4096,536814,T
293411312,3292,33,664984,1739,6690,982,4455,537136,T
285511828,948,1,215196,1889,5947,982,6484,536939,T
860393056,2898,403,527436,3345,53526,491,6361,536946,T
958714446,3017,429,165935,3734,12043,982,3962,537344,T
198577945,874,2,154698,1364,4915,1474,6793,536488,T
447646803,1008,1,192528,1264,10705,1474,4119,536617,T
808146251,2855,406,322615,1990,16611,2457,4057,536945,T
284304278,4915,25,889615,5537,7299,982,6156,537261,T
536477577,868,1,41664,1784,24087,1965,4521,537302,T
447407317,2942,399,117680,1274,7411,1474,8843,537123,T
867759043,1033,166,257217,2445,12043,1965,4022,537092,T
588035423,2896,398,567616,5735,11203,2457,7824,536935,T
309503613,873,16,117855,1031,4966,491,5926,536769,T
040750578,2979,422,217467,2548,22940,982,6412,536996,T
690464946,3329,28,815605,1130,6256,2457,4580,537348,T
360878504,1019,17,118204,1295,5947,982,8446,536884,T
200475503,4885,22,112355,1094,8451,491,4563,536394,F
739655534,4764,26,838464,3345,5018,982,8712,536957,T
247340388,2827,423,579535,1482,6690,491,8595,537271,T
007184944,4815,36,707805,4460,18528,491,8316,536696,T
288717645,993,3,30783,1288,5804,2457,6174,537313,T
352504775,3277,35,340808,1881,34410,1474,4887,536852,T
