userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
600483269,3085,436,299245,1092,1264,1965,6799,536517,T
600490724,4849,50,368524,1092,37056,491,4349,536644,F
045781338,1166,137,93280,1092,1110,491,6041,536476,T
233388779,4775,68,382000,1092,1998,491,6029,536818,F
287446882,3084,449,74016,1092,1022,982,6665,537027,T
373592512,4918,32,304916,1092,4301,491,4887,536973,F
904560626,3321,42,102951,1092,1082,2457,7922,536488,T
231547781,4993,18,434391,1092,1341,491,6213,536895,F
287128603,2824,416,240040,1092,4340,982,8552,536394,T
852203341,4932,39,340308,1092,1141,491,4533,536936,F
838179271,3110,452,136840,1092,3793,2457,4871,537278,T
276222660,5054,40,500346,1092,16611,491,4486,537010,F
198241447,1133,37,22660,1092,1990,1965,4471,536517,T
502995820,4863,45,466848,1092,1254,491,4747,536589,F
424087049,3051,421,213570,1092,2373,2457,4328,536522,T
284278286,4889,42,381342,1092,1005,491,3909,536789,F
434221548,3083,460,258972,1092,1128,2457,4319,536916,T
741645664,4804,75,341084,1092,4152,491,4394,537344,F
271307315,2915,455,224455,1092,3190,1474,8355,536375,T
414428612,4939,19,370425,1092,3649,491,4444,536710,F
259729297,2953,444,76778,1092,1627,1474,6698,536538,T
761953814,4767,33,448098,1092,1569,491,5947,536713,F
841533550,3250,12,91000,1092,1412,1965,5982,536734,T
268787184,5020,35,486940,1092,1714,491,5873,536770,F
848210663,2894,434,83926,1092,1764,491,3926,536615,T
854148882,5040,56,383040,1092,3916,491,4508,537148,F
613982957,3431,11,264187,1092,2160,491,8393,537166,T
801764118,4939,77,444510,1092,1505,982,4162,536584,F
854782688,2895,420,101325,1092,1049,491,6445,536765,T
221139477,4990,70,444110,1092,17842,491,4695,537329,F
881378851,3356,20,67120,1092,4379,2457,4573,536441,T
871290268,4999,68,369926,1092,1372,491,4171,536635,F
637498326,3185,22,302575,1092,1102,491,8298,536670,T
552176015,4957,59,178452,1092,9831,491,5929,536351,F
145465368,1019,179,57064,1092,1277,491,6552,537065,T
936342139,4860,61,296460,1092,1138,491,6159,537008,F
107601450,2927,456,275138,1092,1042,1965,4890,537211,T
904694973,4997,62,439736,1092,2209,491,4014,536574,F
278039912,3379,60,277078,1092,18528,1965,4927,536546,T
195679817,4902,23,284316,1092,3916,491,4665,536437,F
690065322,2935,399,234800,1092,979,1474,4106,536753,T
039050324,4863,29,291780,1092,5947,491,4605,537163,F
749316068,3413,77,307170,1092,1684,1965,6389,537026,T
984001866,4772,39,434252,1092,1235,982,3946,536544,F
512842867,1080,50,43200,1092,1222,1965,4592,537105,T
873937836,4826,30,371602,1092,1334,491,4214,536774,F
173108958,3408,79,218112,1092,2396,491,7903,536572,T
452793909,4790,60,105380,1092,10472,491,3932,537140,F
962934979,3236,19,284768,1092,16058,2457,6712,537348,T
534827704,4825,57,188175,1092,6882,491,6043,536545,F
500234483,3105,451,93150,1092,1831,982,8418,537246,T
066665063,4917,48,354024,1092,3885,491,4080,536645,F
366859221,3380,29,121680,1092,1102,1474,4629,537329,T
695643706,4914,20,329238,1092,1044,491,6051,536844,F
495761059,1125,35,49500,1092,1319,2457,5991,536529,T
324809906,4900,54,107800,1092,7897,491,4286,537179,F
630604025,3396,46,281868,1092,1049,1965,7914,536691,T
587343840,5008,46,415664,1092,5601,982,4055,537204,F
850443309,3352,57,107264,1092,4301,982,6760,536914,T
247971331,4902,53,235296,1092,22940,491,4421,536546,F
176711632,989,36,65274,1092,4866,982,4187,536594,T
511566903,4817,66,380543,1092,4189,491,4006,536982,F
