userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
985923688,1608,69,257280,263,3609,1209,1219,91785,T
854589848,1709,56,367435,1171,1735,403,1682,91986,T
264618518,766,1,72770,183,1879,2016,2026,92350,T
392958155,4179,24,697893,673,1388,2016,2026,92390,T
320034107,1681,37,184910,387,3470,1612,1622,92186,T
494162724,1655,45,155570,203,959,403,1159,91865,T
378249277,1728,46,110592,310,6941,2016,2026,91833,T
458874604,1647,57,82350,292,1025,403,1256,92371,T
607146478,605,1,38115,247,1326,2016,2176,92083,T
741115676,1573,47,94380,213,1879,806,2165,92441,T
737873261,1659,46,160923,425,2098,1209,1990,91481,T
263958067,1582,15,373352,1100,959,1612,1727,92302,T
642126197,1689,43,346245,270,4511,1209,1353,92044,T
706260152,1746,41,69840,238,1367,1209,1627,91535,T
631369366,1586,56,171288,247,11279,1612,1622,92154,T
962222938,1730,68,410010,355,1156,1612,1622,92044,T
554229322,1660,72,61420,332,2148,2016,2026,92146,T
315278630,1732,73,384504,194,1037,806,1504,92188,T
150766531,1609,64,318582,257,4296,1612,1977,91548,T
570578095,1604,37,317592,482,2578,1209,2056,91966,T
139339259,1674,66,333126,260,1253,2016,2026,92071,T
549829538,1616,47,172912,402,3342,2016,2026,92302,T
573271404,1584,48,193248,238,18046,806,816,92405,T
680629888,1712,33,34240,1074,7519,403,1026,91542,T
354057038,4250,23,374000,907,8311,2116,8500,383881,F
169889160,1572,50,235800,322,1114,2016,2267,91467,T
029026407,1698,64,263190,209,980,1612,2437,92388,T
250145514,1610,65,162610,228,4101,806,1595,91463,T
944665331,1701,55,326592,194,1037,1612,1652,91693,T
038041112,1586,67,293410,365,2734,1612,1762,91903,T
859264113,1609,72,236523,252,11279,1612,1785,92378,T
546420766,1731,55,257919,300,18046,403,1929,92250,T
420979772,1671,53,90234,228,1002,403,1873,91934,T
958911400,624,1,90480,205,8203,2016,2476,91490,T
