userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
369248811,267,2,24297,1718,4823,1051,3630,318751,T
164919843,852,35,138876,1083,4530,525,6821,319171,T
985786404,3592,246,678888,786,9646,525,4066,319246,T
665665090,287,1,61418,713,5750,1051,3266,318858,T
129156953,2803,350,75681,668,33225,2103,6625,318485,T
922300261,3910,15,606050,986,4463,2629,3357,319027,F
859584648,408,11,32232,1294,4397,2103,3136,319153,T
104142971,822,35,60006,1967,5642,2103,6800,318698,T
668579464,780,26,67860,854,3082,1051,5576,318653,T
998262333,3486,225,421806,1010,2990,1051,3921,318396,T
749152393,3960,22,118800,1095,5246,2629,3855,318596,F
065166774,893,12,193781,3181,11501,1577,5147,318411,T
613011741,3961,31,273309,2091,8543,1051,4965,318577,T
941748822,2787,346,540678,3987,3286,1051,5635,318672,T
384874343,940,32,174840,630,2990,525,5282,318758,T
635269551,2831,342,421819,1103,11961,525,6788,319145,T
441906583,2798,370,165082,715,9967,1577,4809,318659,T
837917395,846,26,24534,705,17589,525,5391,319295,T
374036414,2853,367,507834,637,5068,1051,5120,319150,T
738646470,924,23,123816,990,5155,2629,6363,318692,T
747029649,2837,366,661021,1480,7667,525,5168,318650,T
241967198,4021,28,659444,2451,6796,1577,3106,318790,T
077988202,836,25,131252,961,24918,1051,6315,318831,T
635125346,3954,33,185838,882,10311,1051,3977,318681,F
750154306,959,3,44114,2182,17589,1051,6794,319249,T
349813570,2916,360,440316,3833,9646,2629,3807,318578,T
029844957,881,12,194701,772,27184,1051,3958,318364,T
702771816,805,32,111090,1196,5246,525,5497,318836,T
809174568,3922,35,266696,1334,6102,1051,3454,319090,T
092177807,368,7,73968,1510,3020,2103,3234,319288,T
188093461,844,14,137572,1607,3181,2629,3812,319294,T
813282240,4026,10,656238,986,3359,2103,3466,319115,F
206616235,2835,372,93555,869,4823,1577,5054,318628,T
256292478,2817,338,357759,611,3286,2103,3196,318555,T
332062545,2319,1,352488,742,37378,1051,3670,318357,T
422564194,4087,34,510875,1172,11961,2629,3403,318582,F
583510825,2896,340,243264,2451,5863,2103,5115,318985,T
438884684,918,1,154224,955,3359,1577,5075,319127,T
421909649,933,9,123156,4153,4211,1051,6351,318810,T
162926171,3498,253,598158,1738,3691,1051,3305,319067,T
731672988,3674,250,705408,692,2990,2103,5016,318467,T
722888207,4085,31,964060,1916,5436,1051,3476,318543,T
243381148,2801,354,137249,3114,23002,2629,7155,318646,T
