userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
332588937,2754,341,167994,607,903,2103,5257,318458,T
828309671,4155,51,332400,607,1191,1577,3889,319270,F
579668085,253,16,24794,607,1136,1051,3115,319085,T
929302078,3962,54,257530,607,1845,1051,4910,319131,F
104136566,846,30,71910,607,2743,1577,6644,318872,T
794981691,3940,70,382180,607,1317,2629,3776,318329,F
776962623,2791,396,192579,607,1091,2629,6594,318376,T
452875805,4157,69,386601,607,648,1577,3980,319088,F
145298556,2940,356,132300,607,3051,1577,4006,318413,T
061673520,3968,20,146816,607,679,1051,4021,318842,F
473213998,2809,378,120787,607,725,2629,6320,318681,T
876851696,3915,55,223155,607,837,2103,3349,318755,F
552197532,861,48,18942,607,3250,525,4952,318692,T
633100015,4131,29,165240,607,615,2629,3177,318495,F
601281050,2851,390,162507,607,1235,2629,6537,318810,T
256617276,4144,17,360528,607,681,2103,3853,319229,F
140369601,2775,333,133200,607,760,1051,5305,319222,T
119124254,3980,53,79600,607,600,525,4990,318562,F
195208314,940,63,69560,607,1124,525,5288,318479,T
158268931,4011,40,385056,607,1010,2629,3332,319024,F
158969926,2821,346,115661,607,793,2629,6785,318412,T
517829873,3927,36,329868,607,3114,1051,4020,318884,F
534550838,862,1,45686,607,786,1051,5394,318858,T
459192015,4180,72,171380,607,49837,525,4124,318539,F
685873859,4143,49,132576,607,3082,525,3507,319316,F
949203251,773,42,76527,607,2534,1051,7023,319136,T
348021504,332,1,9628,607,705,525,3694,318637,T
265858303,4176,35,137808,607,1145,525,4876,318618,F
734289884,976,23,73200,607,1779,525,5581,318811,T
637884410,4186,74,385112,607,615,2629,3246,318513,F
325100208,2875,362,247250,607,1049,2629,5305,318378,T
394428962,4078,54,297694,607,3215,525,4154,318498,F
516240236,950,40,95000,607,1417,2103,6913,318962,T
208321337,4076,71,122280,607,715,1051,3883,319040,F
378067413,970,29,37830,607,1634,2103,7141,319206,T
827106623,3940,60,327020,607,612,525,5337,319249,F
225894790,2888,397,129960,607,621,2629,3319,318451,T
801455837,4180,72,401280,607,1220,525,3343,318353,F
533117614,314,7,21666,607,4463,525,5460,318662,T
972351566,4184,53,234304,607,887,525,3398,319144,F
625940778,2863,356,68712,607,996,1051,3689,318923,T
310874251,3921,22,341127,607,3114,1051,3968,318356,F
588685224,1009,4,95855,607,980,2103,6829,318331,T
356565588,4077,27,383238,607,1329,1051,5654,319109,F
830250434,3998,28,87956,607,2768,1051,3301,319119,F
310497204,2869,347,286900,607,3359,525,7068,319181,T
920487019,1030,8,30900,607,747,1577,3737,318336,T
983344979,4155,60,344865,607,668,1577,3361,318616,F
516311768,882,1,37044,607,917,2103,3350,318822,T
678458616,3934,53,267512,607,1095,2629,3182,319201,F
147094557,2935,346,228930,607,1027,2103,4770,319085,T
520512783,3982,34,318560,607,2120,525,6361,319232,F
139651068,778,62,20228,607,1582,2629,3425,319098,T
626176305,4158,54,270270,607,940,1577,3175,318700,F
516182629,2930,345,216820,607,4983,1051,4016,319254,T
287261315,4091,16,233187,607,4096,1577,4087,318796,F
627395468,2751,395,123795,607,810,2629,5054,318697,T
416662065,3956,20,178020,607,1823,1577,3826,318602,F
790816234,941,20,85631,607,673,1577,3481,319302,T
865672476,4167,50,95841,607,8543,525,3415,319212,F
735992183,2761,358,74547,607,679,2103,3294,318598,T
413686307,4038,23,274584,607,1495,525,4039,318432,F
525585153,821,27,68964,607,4271,1577,3693,319241,T
524608656,4109,39,209559,607,10679,2103,3635,318566,F
371933886,2883,335,216225,607,2669,2103,4889,318484,T
584988583,4191,28,108966,607,1812,525,5239,318697,F
066629734,3943,11,343041,607,732,525,4119,318991,F
985364621,2984,401,152184,607,5068,1051,7003,318431,T
285394792,2805,378,218790,607,644,2103,5029,318828,T
482325487,3986,21,223216,607,928,525,5318,318998,F
533256095,2999,380,128957,607,1245,2103,7206,319056,T
403579913,3994,35,347478,607,2555,525,5414,319181,F
501499117,2850,377,68400,607,1091,2629,5596,319315,T
429710452,4064,12,264160,607,949,2103,3859,318350,F
545554875,2880,390,141120,607,1857,1577,6550,318519,T
431216362,4129,61,264256,607,1487,1051,3546,318442,F
546153882,915,44,31110,607,2062,1577,3506,318797,T
412778492,3955,50,253120,607,1075,525,5391,318450,F
598904362,4207,20,269248,607,722,1051,3788,319203,F
815579556,2831,341,212325,607,1056,1051,3944,319036,T
579707670,2727,360,209979,607,1107,2629,7178,318557,T
401726802,4150,13,348600,607,776,525,5119,318442,F
306736283,292,1,22484,607,626,1051,3491,319050,T
706111718,3997,9,271796,607,961,1577,3296,319255,F
363796877,3016,384,226200,607,1294,2103,3974,319304,T
462289457,3959,25,281089,607,937,1577,3940,318621,F
123252235,4145,41,236265,607,925,525,3887,318656,F
848437219,2767,355,99612,607,1812,2629,6931,318678,T
332877496,1018,31,96710,607,1779,2103,6629,318313,T
586672119,4144,37,223776,607,943,525,6359,318563,F
167980742,818,2,37628,607,1334,1051,4806,319288,T
873760284,4157,64,228635,607,6229,1051,4685,318900,F
628900355,218,43,15696,607,2431,1051,3553,318513,T
046000599,3934,58,389466,607,2623,2103,3276,318523,F
817666567,2772,368,207900,607,760,1051,6597,319174,T
898095292,3978,8,326196,607,614,2629,3478,318990,F
409586660,865,1,22490,607,629,1577,5408,319152,T
647222320,4187,28,133984,607,6362,2103,3465,319081,F
082602805,853,44,74211,607,1582,1577,5434,319000,T
704927494,4127,69,326033,607,1625,525,5635,318388,F
