userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
184669737,4493,35,1055855,983,15673,766,4825,274330,F
687823217,1129,1,19193,903,4440,766,6223,274411,T
472718489,3407,37,163536,690,3918,383,6208,274628,F
994174940,1181,8,51964,958,3918,1916,3842,274283,T
117048733,1099,1,102207,1697,24222,1150,7767,274718,T
883540571,3320,37,126160,2033,4844,1150,5991,274008,T
129639613,4677,35,430284,1850,16652,1533,4045,274770,F
703263061,4526,55,896148,761,3600,1150,7973,274713,F
369926750,2259,1,393066,961,3098,1150,4624,274852,T
692182085,3315,34,586755,1338,3505,1150,4761,274630,T
272846946,1059,26,38124,565,3552,1916,6746,274714,T
208001703,3379,20,70959,1850,10247,383,7713,274240,T
066327273,1062,1,255942,928,29604,1916,5737,274555,T
323813854,3479,49,838439,2183,2664,383,6450,274399,T
696312031,4503,40,562875,979,10657,1533,6542,274535,F
545123222,1124,14,89920,552,11101,1533,5942,274544,T
731448572,1047,1,139251,684,5027,1533,5721,274775,T
139977174,1172,14,16408,606,11101,1533,7623,274826,T
842011069,1073,1,172753,862,3600,766,7881,274537,T
186511214,2220,1,346320,790,5123,383,4460,274478,T
864168426,3448,26,703392,772,4440,766,3986,274577,F
553624555,1215,19,85050,903,3062,1916,3819,274844,T
102604862,1061,1,164455,3062,2664,1150,4719,274705,T
705048931,2334,1,151710,667,8074,1150,4172,274530,T
014862906,3421,13,294206,2537,2993,383,5761,274571,T
053435292,4642,47,770572,1488,9515,1150,7640,274744,F
436891729,1094,5,32820,638,12687,1916,4784,274734,T
337794755,1157,1,155038,1488,2834,383,6143,274202,T
270226148,1213,2,248665,2258,7836,1150,4218,274425,T
882148189,3456,20,777600,2131,3861,1150,5951,274892,T
367116437,4660,39,792200,3505,20495,1150,8456,274851,T
722752873,1121,23,251104,605,24222,766,8158,274813,T
296448430,4657,54,903458,1233,12111,1533,4016,274781,F
265903951,3296,15,88992,651,17762,383,7761,274528,F
485966496,3375,42,37125,1016,4099,1533,3921,274778,T
151971340,1145,23,25190,2664,24222,1150,8170,274784,T
959037062,1145,3,99615,1472,8326,383,5808,274196,T
826996241,1032,12,169248,761,3918,1916,6739,274476,T
414203780,4661,40,755082,2960,6196,1150,8283,274142,T
692670726,4573,59,777410,1293,5328,1533,6483,274353,F
264081720,1068,14,54468,560,3289,1150,5944,274903,T
056300471,1145,1,246175,654,6831,1533,4137,274181,T
035991335,3404,44,159988,729,3134,383,8313,274570,F
312027551,1173,1,293250,726,5224,383,6061,274888,T
026485611,3372,32,421500,3372,3027,383,6318,274962,T
812322591,4664,26,853512,1432,12111,1150,6702,274857,F
216657246,4664,39,750904,1312,7201,1916,6248,274081,F
994809730,2313,29,57825,3027,2691,766,8229,274602,T
394397731,3406,12,354224,1800,11101,383,4671,274770,T
082098088,2188,28,30632,676,16652,1150,4695,274557,T
074519759,2225,22,206925,979,2927,766,6644,274509,T
927263751,2153,1,316491,1332,4037,383,4828,274634,T
248672538,1103,8,159935,538,6661,1150,4595,274691,T
901562655,4529,54,706524,559,8594,1533,5924,274190,F
554802686,1153,11,181021,2003,5027,1150,6449,274230,T
847838072,3356,42,540316,1930,2927,1916,4135,274397,T
549080029,2162,33,447534,1239,22203,1150,3826,274945,T
115966575,2213,1,212448,1091,2993,766,4701,274179,T
739572267,4511,58,771381,552,6343,766,6654,274310,F
662344014,4617,49,877230,3600,3062,1533,8096,274891,T
625444675,3292,50,543180,1944,5123,766,4433,274420,T
