userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
123774699,1585,1,126800,2034,10504,454,7761,459339,T
015848805,1557,2,354996,1140,4656,1364,4556,459062,T
693246471,1692,9,82908,1198,6104,909,10003,458581,T
508298205,3275,29,543650,1324,5791,1364,9507,459017,T
895105318,1534,16,204022,3249,64530,909,9900,459150,T
162552533,1569,18,17259,1636,21510,454,9834,458510,T
581543635,1651,25,160147,1191,14115,454,7048,458990,T
928239392,3299,6,303508,1224,6187,454,9096,459373,T
358264326,1623,1,35706,5943,5133,909,9564,459465,T
040958448,3293,14,59274,969,5943,909,4631,458711,F
851395787,1607,16,273190,1744,90342,1364,4514,458931,T
757630942,1586,34,215696,2523,9410,454,4823,458531,T
203992230,3425,38,188375,1062,6949,909,9282,458598,T
811466431,3429,24,336042,4033,10504,1819,9050,458809,T
390330296,1640,9,186960,961,9218,454,9857,458551,T
338966924,1541,24,237314,2877,28231,909,4875,459376,T
059054698,1682,17,154744,1947,14115,454,7821,458864,T
421365255,3403,30,728242,1107,9410,1819,5221,458524,T
534922977,3723,17,241995,1447,6949,454,4549,458591,T
497107740,1652,7,214760,1704,23774,454,5379,458714,T
224159727,3274,26,275016,1170,5717,909,5002,459408,T
501835702,3323,22,804166,1003,12208,1819,9678,459443,T
692030666,3262,40,427322,1179,9218,1819,7250,458717,T
109854314,3717,9,137529,1557,10755,454,6803,459123,T
790557196,3257,27,420153,2914,9819,2274,9250,459391,T
001689518,3394,31,627890,1336,64530,454,7623,458645,T
856294019,3751,6,397606,3158,21510,909,4855,459481,T
973819716,3290,26,223720,5866,34746,2274,9774,459486,T
185179495,3753,11,743094,990,23774,454,5311,459442,T
907424457,1525,9,215025,1083,10038,1364,5390,458518,T
589920360,3396,39,285264,2415,13688,909,6949,459181,T
613197051,3834,22,808974,3093,16132,454,9867,459251,T
716197167,3340,28,734800,1093,11582,909,7210,458816,T
061565230,1647,13,187758,2007,21510,454,9746,459401,T
344658753,3783,35,408564,1771,14571,454,9284,459055,T
112868927,1686,1,225924,1155,7788,454,5389,458661,T
826614106,3426,17,47964,959,12906,454,7194,458528,T
707468588,1634,3,143792,1704,21510,1364,7027,459159,T
296971515,3169,49,633800,5252,11582,454,4528,459087,T
531264051,3364,43,817452,1938,32265,1819,9983,458927,T
393742581,3265,28,649735,1601,11017,1364,4965,458834,T
661067566,1643,3,402535,1989,4805,909,5095,458698,T
709180236,3777,31,117087,1324,4963,909,4541,458838,F
553082088,3350,38,311550,2611,23774,2274,9800,458912,T
176628989,3299,8,247425,2214,6104,1364,9750,458825,T
160683515,3661,28,757827,990,5576,454,5398,459458,F
000935330,1670,29,26720,1276,90342,454,5323,459071,T
144626781,3443,19,764346,1220,16132,454,6962,458787,T
747964088,3370,32,475170,2377,5791,1364,5084,459156,T
085645560,3247,18,678623,2352,5019,1364,9732,458701,T
928768300,3773,32,396165,1185,6187,454,4929,458554,F
104068412,3365,12,659540,1036,11292,2274,9969,459336,T
614248596,3339,9,724563,1340,7170,909,9079,459079,T
242799225,3278,35,59004,935,4963,1364,7452,459388,T
645391332,3255,26,611940,1981,4754,1819,9384,459477,T
232464953,1535,14,55260,1402,25095,1819,4948,458740,T
996679813,3749,19,824780,1461,10266,454,4784,459161,T
050335197,3378,20,43914,1624,14115,1364,5206,458784,T
511671951,1631,14,210399,4302,5133,1364,5157,459046,T
214201703,3399,33,805563,1981,9819,454,9224,458800,T
155568538,1601,7,121676,1866,4963,909,4946,458594,T
181107988,3293,35,253561,4106,41064,454,9759,458574,T
746320439,3313,28,589714,1821,5717,909,9856,458884,T
480306934,3263,12,199043,1201,5646,909,4933,458669,F
860721077,3337,13,740814,1704,9034,1819,4779,458541,F
787238909,3283,44,755090,945,90342,1819,5092,459280,T
552840983,1685,6,229160,1118,30114,909,4690,459019,T
285354739,3085,27,89465,6187,15576,454,9556,459304,T
273211319,3269,8,392280,1043,4963,1819,9084,458505,T
459962936,3261,21,225009,1922,30114,2274,9339,458739,T
776043016,1561,5,62440,1584,9410,909,5238,459435,T
777644518,1568,13,148960,2225,4909,454,6815,458777,T
395215362,3350,34,398650,1828,4517,909,5279,459175,T
767961988,3401,36,234669,3321,4805,2274,7324,458744,T
949209669,3408,7,518016,2415,9610,1819,9426,459086,T
440370397,3381,42,169050,3370,23774,2274,5474,458539,T
793572196,3292,22,467464,1188,41064,2274,4540,458959,T
727182678,3781,18,181488,1394,4805,454,9504,458673,F
677611808,3370,30,340370,1028,20532,1819,4926,459008,T
524983288,3286,19,693346,5576,9034,1819,7021,458893,T
617510500,1654,13,320876,1126,5943,909,7214,458964,T
170066433,3650,23,204400,2788,6022,909,5257,459145,T
842313625,1709,9,225588,4182,14571,1364,4842,458791,T
074655823,3396,23,638448,1457,5019,909,9725,458915,T
917400501,3429,13,198882,1447,5646,1819,9179,458820,T
770379628,3759,1,838257,2225,7788,454,6859,459471,T
706113194,3348,42,93744,1152,4656,909,4792,459334,T
447550197,1621,16,123196,1173,45171,909,7392,459391,T
401807525,3820,9,53480,1372,4705,454,5318,458909,T
516906025,3379,30,746759,2737,5377,2274,4822,459027,T
569403316,1690,16,160550,1568,4705,1364,5011,458713,T
376223333,3275,40,507625,1666,6104,2274,7147,458783,T
571828394,3260,20,547680,950,9218,1819,7642,458901,T
097437811,3294,30,754326,973,6642,1364,9929,459232,T
448298210,1623,15,25968,1158,4857,909,6785,459019,T
408540009,1651,1,26416,1258,11017,454,9249,459486,T
563932477,3768,24,165792,4656,18068,454,6825,458996,T
439739280,3264,20,780096,1091,8686,2274,9732,458861,T
416273997,3834,6,670950,3795,23774,454,9341,458782,T
297722627,3433,42,655703,3585,28231,1819,9182,458625,T
587410057,3283,10,298753,910,23774,1364,9807,458571,T
151034030,1638,1,355446,1821,9034,909,4851,458941,T
569996479,3397,26,336303,3528,16730,1819,7763,459462,T
327491489,3694,11,321378,2214,17373,454,5114,458983,T
251715469,3387,22,325152,2840,8066,2274,7190,459385,T
587898965,3378,44,233082,2509,8365,1819,6783,458976,T
239913558,1549,6,21686,2552,14571,909,4825,458557,T
247549942,3770,23,226200,2304,5314,454,5474,458764,T
832961551,3394,9,274914,963,17373,1364,7199,459002,T
633499872,3695,31,295600,1515,5508,454,5505,459191,T
394711073,1690,15,62530,4963,9218,1364,4506,458962,T
800567872,3445,12,606320,1017,26571,909,7027,459306,T
446010371,3295,13,194405,1096,7405,1364,9982,458988,T
340099872,1635,2,263235,981,11292,909,9450,458792,T
852087212,3791,8,45492,2192,19639,909,5403,458593,T
473608400,3287,20,259673,1021,11582,2274,9266,459397,T
749158570,3331,38,676193,2672,4754,1364,7295,459110,T
265849741,1604,15,38496,5791,11582,909,4897,459447,T
386048547,1571,22,86405,4385,56463,454,9987,458760,T
666546895,1559,2,62360,1866,11292,454,10066,459007,T
653530652,1702,23,161690,1290,30114,909,9786,458514,T
142927346,3333,22,129987,1324,4857,1364,4904,458715,T
869710130,3316,27,102796,5192,8066,909,9663,458756,T
226682342,3313,21,487011,1737,9218,2274,4531,458921,T
803318600,1548,1,261612,919,5075,454,5416,458786,T
970915902,3744,17,119808,2043,34746,454,4957,458942,T
691916032,3267,12,816750,2352,5576,909,7604,458770,T
596961631,3777,20,596766,2081,7528,454,6955,459249,T
160047309,3726,14,238464,1679,4909,909,5177,459155,T
567034223,3280,17,590400,1188,56463,1364,9527,458813,T
554873477,3404,20,61272,1642,50190,454,9863,459337,T
374607280,1604,15,325612,1185,5866,454,9468,459303,T
033844678,3313,6,487011,1510,11292,1819,7321,458898,T
151133808,3345,16,555270,1981,7057,1364,7092,458925,T
643246880,3272,19,193048,1129,5075,909,9499,459479,T
390280440,3834,35,130356,2161,7057,454,7062,459020,T
719639891,3411,6,808407,912,6187,1819,9848,459175,T
982817381,3302,12,746252,1115,5943,2274,5158,458640,F
820579456,3287,10,184072,5717,41064,1364,5418,459016,F
129288118,3399,16,625416,4517,5791,1364,5174,459485,F
993660667,3323,46,750998,1836,34746,454,10073,459454,T
033121101,3351,33,733869,979,5576,1364,9708,458829,T
049205333,1673,26,92015,2236,7924,454,4695,458654,T
753620313,1681,29,72283,1006,4517,454,5351,459386,T
852417101,3426,14,366582,1476,4909,1364,9129,459150,T
691701846,3315,13,633165,2672,15057,1819,4799,458975,F
375395933,3285,11,400770,1814,5576,909,7786,458846,T
033175089,3358,31,668242,1112,6642,1364,9842,459114,T
802171849,3255,37,143220,1792,5943,2274,6966,459403,T
808618142,1517,15,60680,1176,5075,1819,5071,458945,T
269425101,3423,9,359415,3474,4517,1364,9913,458639,T
173639068,3430,6,346430,1065,19639,1364,7068,459227,T
961490372,1614,1,45192,2552,6546,454,7638,458884,T
541135173,1669,1,111823,1217,5019,909,9295,458958,T
696092053,3317,27,374821,1237,12208,454,7460,458782,T
740119806,3336,36,610488,4261,50190,1364,9457,458923,T
949061642,3371,38,704539,2258,11292,454,10038,459474,T
003225500,3293,20,754097,4069,7170,1364,7017,458706,T
973838101,1704,1,311832,975,5442,1364,4716,459268,T
789419988,3428,9,723308,1043,5791,1364,9367,458935,T
661636032,3259,23,87993,1188,6546,1364,7263,458977,T
562728168,3371,43,50565,3181,12208,2274,9096,459351,T
378503602,3685,19,294800,1251,5252,454,9171,459493,F
619216053,1520,21,270560,2914,4909,909,7159,459124,T
901056984,3382,18,808298,1301,5133,1364,7504,459270,T
897643196,3685,34,401665,1298,18068,454,5527,459234,F
856593197,3758,28,285608,2858,4963,454,5201,458802,T
988363054,3384,34,500832,1389,28231,2274,4730,458718,T
193570449,3335,7,56695,919,6453,909,5273,459174,F
948094335,3333,44,813252,1072,14115,454,5185,459382,T
109462872,3290,31,605360,1866,6546,1819,7754,458820,T
793635904,3779,12,536618,1866,11887,454,9214,459198,T
842421444,3251,40,45514,1485,7788,454,9286,458925,T
292769847,1533,35,210021,1989,23774,454,4744,459467,T
921698224,3379,18,60822,1316,50190,1364,9969,459179,T
643136856,1567,16,26639,1843,10504,454,6792,459114,T
098234209,3303,20,611055,2091,4705,454,9176,458637,T
197983922,3317,27,580475,1149,13688,1819,9451,458797,T
773717525,3409,14,57953,5377,15057,1364,5536,458783,F
138635964,3330,8,346320,1666,9610,2274,7693,459490,T
207155362,3279,8,180345,1636,18068,2274,6790,458520,T
012469057,3658,19,171926,1510,28231,454,4822,459293,T
317808440,3838,5,821332,3203,17373,909,5279,459480,T
305411632,3723,15,327624,2611,5075,909,5420,458917,T
793714547,3346,18,706006,1309,4909,1819,7437,458645,T
448082908,3431,23,555822,921,64530,1364,9550,458751,T
388105605,3275,15,88425,1080,37642,1364,9779,459091,T
792397299,3405,30,61290,4909,26571,1819,4883,459137,T
227519642,3285,17,561735,1434,6104,2274,5016,458982,F
365673728,3427,24,726524,1118,15057,1819,9243,459371,T
886831646,3377,17,341077,1750,7656,1364,7443,459453,T
286242972,3291,21,289608,1036,13688,2274,5048,458800,T
959118119,3258,28,632052,5075,6741,454,10013,458686,T
424431052,1563,10,365742,5943,9410,909,6938,459509,T
067150263,3286,26,571764,5075,12208,2274,10033,459175,T
259764979,3396,43,414312,5508,5943,1819,7339,459460,T
138769537,3441,9,320013,4302,5866,1364,9194,459116,T
609250887,3816,33,637272,1083,4805,454,5546,458810,F
649871786,3274,38,153878,1963,6362,1819,9299,459412,T
898103206,1648,4,118656,918,4517,1364,4966,459444,T
740752881,1541,4,286626,2053,25095,1364,4663,458637,T
945533398,1568,1,316736,1552,22585,909,9785,459079,T
566287489,3419,28,519688,1573,12208,2274,4856,458585,T
341126444,1665,15,274725,979,6949,1364,5328,459394,T
197225897,3692,29,291668,3422,23774,454,5295,459491,T
549498484,1564,6,123556,1176,5943,1364,6827,459340,T
606913474,3356,35,120816,1666,4705,454,10066,458927,T
845319261,3383,20,832218,2161,11017,454,9888,458767,T
