userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
003115822,1685,1,58975,1008,3370,1819,5042,459237,T
876379825,3758,14,300640,1008,4805,909,4523,458720,F
386657158,3278,42,111452,1008,994,1819,4575,458974,T
994251410,3882,15,248448,1008,1146,454,7416,458747,F
218458774,3326,21,76498,1008,981,1364,7132,459035,T
644717384,3888,18,365472,1008,1237,454,9980,459121,F
408171471,1624,48,48720,1008,1143,1364,4676,458944,T
112979760,3351,18,211113,1008,2016,1364,5210,459403,F
488206605,3340,52,96860,1008,90342,1819,9228,458580,T
123254981,3321,18,328779,1008,4343,1819,4618,459484,F
953588383,3746,13,206030,1008,37642,909,5403,458636,F
042816305,3428,65,318804,1008,3273,1819,4568,458839,T
818587823,3493,61,307384,1008,5717,1819,7537,459088,T
606036087,3678,21,250104,1008,9034,454,5538,459260,F
939495350,3317,74,69657,1008,1717,454,9302,459483,T
698120750,3928,38,302456,1008,1115,454,5160,459304,F
941333665,3337,57,156839,1008,1099,2274,9308,458930,T
223297596,3522,13,137358,1008,10504,1364,4698,458605,F
877001900,1712,1,130112,1008,1843,1364,5426,458676,T
157842845,3643,25,247724,1008,6844,454,4777,459214,F
187759000,3528,72,98784,1008,7405,1819,9456,459136,T
155539208,3652,32,365200,1008,3031,454,4522,459461,F
053992756,1624,9,99064,1008,1563,909,9725,458559,T
462504821,3718,14,282568,1008,3501,454,7305,458961,F
981521253,1728,10,143424,1008,3613,454,6973,458571,T
093974392,3755,19,153955,1008,3203,909,5420,459486,F
298942048,1614,58,82314,1008,3613,909,7519,459174,T
507767062,3294,10,237168,1008,1744,1819,5484,459050,F
614112634,3259,27,172727,1008,3894,454,9868,459380,T
649656587,3936,65,110208,1008,1091,454,4512,459155,F
418993075,3271,18,294390,1008,2007,454,7605,459349,T
176773601,3521,15,235907,1008,2509,1819,5443,459311,F
963911111,3269,16,209216,1008,1207,909,7360,458844,T
021498235,3867,51,100542,1008,931,454,4550,458776,F
971897079,3399,27,312708,1008,1031,1819,6863,458773,T
500913566,3891,13,241242,1008,1176,454,7074,459017,F
609002296,3426,6,301488,1008,1149,1819,7560,459356,T
121786031,3276,14,65520,1008,5508,909,4664,458990,F
660066230,3331,17,236501,1008,2340,1819,7193,458750,T
045160000,3914,28,93936,1008,1143,454,5059,458736,F
427998029,3492,21,206028,1008,8365,2274,9108,459157,T
254880601,3395,8,278390,1008,2895,1819,5378,459026,F
625559210,3483,45,327402,1008,1955,454,6944,458940,T
097508516,3764,64,308648,1008,1115,454,5085,458708,F
244346101,1704,48,80088,1008,1164,454,9587,459224,T
716901210,3815,65,118265,1008,2304,454,4549,459088,F
817264386,1553,42,121134,1008,1080,909,7754,459314,T
891250461,3769,20,316596,1008,1024,454,7229,458888,F
304499098,3402,13,166698,1008,914,1819,6885,459051,T
