userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
863282884,2834,46,399594,1539,11438,2345,9980,289236,T
576029662,2437,30,311936,1154,4003,2931,5286,289380,T
674069474,4570,43,703780,777,2476,586,10372,289524,T
503375628,988,68,151164,822,4448,1758,7289,288763,T
704727434,2479,18,448699,721,8282,2345,10243,289245,T
062744984,3613,255,791247,1213,6491,1172,5169,289212,T
849124592,4559,30,300894,1520,6862,586,9479,289482,T
232810424,2457,32,68796,698,6672,2345,7265,289328,T
594284863,3617,247,488295,1396,6491,586,5604,289683,T
502945839,4461,15,513015,584,2476,586,5468,289014,T
632982476,3635,245,472550,1009,14129,1172,7273,288744,T
199225235,2476,1,160940,603,30025,2345,7869,289613,T
199586071,2848,50,353152,1207,3002,1172,7307,288774,T
373399394,3774,273,871794,594,2555,2345,7107,289690,T
229781045,3608,258,331936,499,10008,2345,5108,289174,T
290282196,1104,49,30912,984,3874,1758,5096,289245,T
601352613,2342,21,426244,627,40033,2345,9524,289152,T
842755551,1092,62,28392,596,5004,586,7157,288776,T
070859582,3777,269,766731,2183,3532,2345,9448,289449,T
885057896,2826,46,79128,1580,3585,2345,9868,289345,T
245446233,3653,279,98631,632,6005,2931,5171,288846,T
843664259,1127,46,23667,561,5459,2345,5494,289124,T
949844472,2794,38,664972,538,2502,586,7499,289207,F
565250106,1128,68,201912,860,2893,1172,5670,288829,T
090379659,4467,14,49137,2287,17157,586,10035,289214,T
726244705,1162,69,202188,1081,3202,586,7511,289168,T
291409949,2393,19,306304,584,4071,1758,10376,289704,T
493832360,3748,270,89952,502,40033,1172,5046,288782,T
592225255,2815,33,574260,1183,11438,1172,7557,289007,T
863137917,2847,49,461214,682,6672,1172,7830,288900,F
844799424,3593,261,528171,1053,40033,1172,10219,289487,T
080709285,3703,261,88872,2610,21836,1758,4964,289268,T
661695226,2776,35,383088,1005,24020,586,9940,289102,T
047363782,993,70,103272,566,15012,1172,7824,289546,T
767306545,2339,13,212849,1645,4902,2931,10374,288836,T
484887054,2713,40,653833,745,14129,1172,7685,288999,T
347565819,3611,243,751088,508,4367,2345,7317,288859,T
906154361,3712,264,894592,1819,4214,2345,10145,289546,T
575831213,3763,255,293514,1009,3336,2345,5090,289551,T
338362469,1133,58,107635,806,2610,1758,10207,289304,T
502219264,2763,52,627201,2163,5858,2931,8033,289294,T
584377639,3761,275,579194,923,2929,2931,7121,288983,T
167008622,1010,72,104030,883,17157,1758,4771,289453,T
972464021,2808,67,550368,956,3481,1758,7772,289571,T
591092363,1115,67,206275,700,4367,586,5060,289501,T
851901247,3704,281,48152,539,10443,1758,5150,288937,T
560463281,3624,260,757416,860,2555,586,5154,289307,T
070758564,1108,46,129636,678,2502,586,5030,289673,T
405837085,3741,246,235683,1026,3937,2345,10109,288943,T
902317572,4550,9,1014650,3336,7748,586,9568,289073,T
026271101,3659,243,190268,1022,6862,1172,10084,288952,T
878635248,2308,1,226184,1022,21836,2931,5587,289412,T
064508035,2420,1,135520,964,3245,2345,4752,289332,T
614646429,1137,43,138714,522,7064,1758,5123,288845,T
721613663,3688,276,121704,524,9238,2345,5416,289523,T
784266023,2405,23,45695,517,5337,2345,9592,288969,T
694226542,1070,60,84530,620,2965,1758,9969,289613,T
638721246,2319,4,445248,485,7748,2345,5419,289369,T
342982646,1027,45,86268,2476,3202,2345,4848,288877,T
212213232,1075,37,61275,834,2729,586,9739,288753,T
384303120,3770,248,885950,1952,3245,2345,10052,289163,T
131482436,2846,32,506588,1284,3874,1758,5442,288974,T
955193203,3701,246,540346,949,17157,2345,4912,289169,T
852106600,2442,2,393162,547,34314,2931,5042,288931,T
