userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
838304828,3730,275,343160,493,544,2345,4929,288816,T
685636982,2899,72,255112,493,854,1172,5632,289261,F
595463206,2515,17,251500,493,635,1758,9925,289701,T
324792014,2855,74,159880,493,2929,1172,9946,288759,F
858075014,3770,257,354380,493,3532,1172,5327,289223,T
629012123,2836,98,280764,493,712,1758,5596,289681,F
336664872,997,48,59820,493,767,586,9860,289686,T
761340988,2978,49,297800,493,3040,1758,5083,289473,F
626100877,1171,77,36301,493,760,1758,4946,289535,T
016018366,2810,49,177030,493,3245,586,9993,289227,F
386975223,2574,1,257400,493,1117,586,8031,288912,T
283028142,2809,66,151686,493,920,1172,9697,289685,F
596082932,3829,267,114870,493,1601,1172,9509,288723,T
065875914,2794,49,78232,493,819,1758,5524,289102,F
782000232,1118,78,49192,493,669,586,9483,289501,T
811147975,2974,49,288478,493,2893,1758,9491,289515,F
825071008,2347,27,58675,493,549,2931,9397,289248,T
161813805,2814,97,115374,493,1847,1758,7685,289045,F
257126261,3001,50,207069,493,755,586,7761,288836,F
566794680,3650,287,200750,493,1549,1758,9805,288838,T
947250968,3767,267,376700,493,836,2931,10105,289306,T
253007136,2923,99,248455,493,2502,1758,7032,289377,F
328010059,3755,245,75100,493,752,586,7966,288861,T
006550238,2943,90,135378,493,9238,1758,5287,288953,F
637250218,3823,265,179681,493,7278,2345,7361,288919,T
491944785,2951,76,221325,493,2052,1758,5588,289363,F
120889810,2569,19,110467,493,2125,2931,7901,289575,T
594143464,2759,77,173817,493,4532,1172,10268,289123,F
615219850,1097,62,23037,493,2378,1758,7406,289066,T
335125740,2703,30,178398,493,764,1172,7671,289471,F
914183249,1195,81,60945,493,511,2345,5370,289230,T
701271208,2732,44,237684,493,576,1172,5018,289360,F
350500413,1248,62,113568,493,531,1172,5635,288735,T
151004644,2863,65,94479,493,814,1758,5638,288882,F
349067503,3668,267,95368,493,562,1172,9842,289295,T
287159259,2764,99,259816,493,1792,1758,7402,289148,F
427962488,2842,46,93786,493,7748,1758,7218,289615,F
026152059,2516,45,226440,493,569,1758,9922,289046,T
819502290,2824,38,177912,493,1058,1172,7965,288761,F
287698014,1068,85,27768,493,1219,1758,9421,288927,T
159930436,1088,94,60928,493,2760,2931,5192,289135,T
835882011,2852,78,182528,493,889,1172,7604,288868,F
231260355,3801,304,292677,493,1862,586,7641,289631,T
028189012,2942,95,285374,493,480,1758,7528,288888,F
812246061,3884,258,330140,493,1026,1172,7562,288766,T
888016069,2990,40,119600,493,1305,1758,5606,289161,F
590445256,1284,83,50076,493,1753,1172,5553,289633,T
770210816,2746,69,200458,493,3874,1172,4895,288766,F
759062750,3804,286,91296,493,567,2931,5071,288797,T
251304329,2728,77,188232,493,2859,1758,10009,289355,F
354827060,3730,305,156660,493,3695,2345,7240,289448,T
087043915,2760,84,160080,493,787,1758,5439,289300,F
969304945,995,63,82585,493,493,1758,4882,289439,T
709169954,2952,49,191880,493,614,1758,10212,289208,F
671473052,3829,294,359926,493,2354,1172,9969,289674,T
737184911,2978,80,232284,493,2163,1172,7169,289608,F
163114000,2704,40,102752,493,2144,1172,7843,288972,F
506576900,3878,250,178388,493,557,1172,4651,288951,T
743857377,1033,95,37188,493,7748,586,10005,289464,T
136031777,2958,29,248472,493,876,1758,5166,289316,F
498678665,3653,258,266669,493,2001,2345,9493,289595,T
515007213,2876,68,83404,493,808,1758,7620,289386,F
446116482,3859,273,277848,493,696,1172,5121,289035,T
563215559,2924,59,201756,493,522,1758,7090,289373,F
095818795,1035,46,94185,493,1062,586,7144,288746,T
135182742,2757,85,195747,493,1189,1172,9961,289489,F
745871447,1019,76,91710,493,690,586,7410,289731,T
133514149,2818,95,242348,493,1404,1172,9729,289263,F
679507847,1167,57,30342,493,7064,1758,4666,289466,T
135851686,2809,47,219102,493,870,1758,8035,289694,F
712617261,2759,38,195889,493,712,1172,5260,289376,F
731751496,2351,28,91689,493,867,2931,8007,288884,T
738578120,1065,93,96915,493,650,2345,5388,289337,T
142715667,2885,82,196180,493,599,1758,5381,289044,F
525335482,3779,248,302320,493,1166,1758,9358,289436,T
175754189,2917,82,166269,493,3202,1758,10180,289213,F
010631459,2479,15,153698,493,2001,2345,9750,288940,T
852044817,2855,50,259805,493,1213,1758,10373,289660,F
572661909,3606,279,133422,493,988,1758,4951,289191,T
868307306,2955,42,251175,493,527,1758,5559,289461,F
342223781,3707,253,77847,493,496,586,5294,289678,T
227058585,2747,76,214266,493,2035,1758,10226,289281,F
551032038,2883,52,181629,493,500,1758,7868,289348,F
325970954,1022,66,102200,493,3431,1758,5345,288772,T
312897324,2422,45,193760,493,1645,1172,9454,288729,T
135176372,2853,42,273888,493,3532,586,9894,288868,F
989209920,990,101,73260,493,504,2345,4995,288767,T
515460549,2801,38,277299,493,638,1172,5490,288904,F
121766901,2801,57,277299,493,2107,1758,5401,289502,F
804173335,1197,69,108927,493,2163,1758,7977,288789,T
536577845,3813,269,148707,493,817,2931,7942,289497,T
688443570,2759,86,187612,493,694,1758,5016,289590,F
953726648,3607,308,284953,493,3431,2345,7780,288972,T
865436070,2707,52,205732,493,503,1172,7708,289354,F
608787093,2599,32,168935,493,517,2931,7309,289496,T
421671355,2868,45,183552,493,1000,1758,7269,289311,F
652891248,996,87,81672,493,1985,1172,7753,288879,T
750628815,2771,92,260474,493,5719,1758,4697,289271,F
618592090,3827,252,371219,493,1086,586,10085,289326,T
823141813,2880,50,184320,493,3937,1172,7946,288737,F
