userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
319304663,2702,188,343154,1226,8483,921,3129,529871,T
008542226,3533,29,105990,5687,6993,921,3076,529704,T
307355423,4880,28,1000400,2891,15221,614,3667,529849,F
120110682,2709,198,677250,1637,6160,1228,5004,529925,T
054665204,4735,34,454560,3275,12937,307,3807,529464,F
639338445,2673,203,446391,2574,6468,921,7069,529473,T
383831753,167,13,14696,1508,6900,614,4587,529393,T
356010528,180,3,24480,3980,6389,921,3247,529877,T
852907944,140,20,20720,1060,13269,921,3056,529399,T
262907712,2531,200,78461,1091,7961,1536,3777,529947,T
961989587,4722,42,590250,2269,39809,614,4682,529656,F
357383747,2678,204,26780,2738,39809,307,3423,529973,T
692424167,2655,202,257535,1674,28751,1536,4011,529898,T
908492515,3693,14,62781,2767,8214,307,3695,529192,T
771947495,19,1,1729,1122,15682,307,4966,529696,T
316001673,2686,197,633896,1058,8086,1228,6785,529287,T
102223249,2626,205,99788,1217,11500,307,3723,529161,T
056888180,2527,186,202160,5024,9241,921,6727,530004,T
212331509,4762,30,1076212,2695,9241,1228,3123,529473,F
038042493,31,1,3224,1931,19904,614,3478,529493,T
477474801,2655,197,584100,2667,5948,921,5211,529128,T
694312949,142,7,8520,1990,13269,307,4622,529010,T
664914186,2669,175,624546,2061,7500,614,5095,529154,T
864114842,68,1,4964,3670,6634,921,4655,529988,T
342155430,4755,25,989040,2907,7610,307,3612,529496,F
718018185,2690,192,150640,3670,10561,307,6507,529944,T
152311040,2549,186,147842,1223,9409,1228,3400,529077,T
740631555,2565,202,610470,4928,11011,921,4562,529848,T
790131306,2724,194,217920,1323,6389,1228,5278,529606,T
258966452,4717,49,636795,2112,6389,921,3588,529685,F
213675272,163,6,38631,1284,18482,307,3272,529358,T
882314868,2669,198,549814,1310,20700,921,6361,529718,T
103255142,12,1,1284,1402,57502,307,4931,529492,T
815298686,2547,167,394785,2549,7393,1228,6633,529386,T
565921740,2659,188,348329,1226,86253,1228,7073,529117,T
499805240,2662,169,370018,2331,57502,614,3937,529296,T
793325001,2703,185,421668,3275,14786,614,4831,529279,T
203191339,91,18,15106,1340,9583,1228,3202,529327,T
920995398,2589,184,427185,1803,57502,921,6257,529948,T
952162008,2557,183,529299,1041,6160,1536,6471,529508,T
