userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
880345702,2598,214,90930,1725,2165,921,6099,529469,T
025771631,4800,46,196800,1725,64689,1536,4708,529297,F
103668211,2554,197,145578,1725,6468,1536,6614,529688,T
329805011,4903,67,426561,1725,86253,307,3134,529718,F
715773422,2740,199,54800,1725,1854,921,4862,529290,T
303561557,4983,79,249150,1725,51751,1228,3366,529280,F
804955718,156,1,12636,1725,1139,307,3051,529216,T
935825776,4872,37,253344,1725,57502,921,3337,529941,F
740765604,2560,231,153600,1725,1504,307,6699,529799,T
599974114,4888,59,361712,1725,103503,1228,3118,529763,F
936122701,2803,197,229846,1725,1265,1228,4778,529620,T
708896778,4928,20,364672,1725,32344,921,3407,529061,F
482169206,2555,193,194180,1725,3644,921,4912,529708,T
010104166,4934,46,152954,1725,47047,1228,3855,529248,F
203225061,173,14,7785,1725,39809,307,3582,529903,T
252215739,4863,25,364725,1725,32344,614,3265,529350,F
441431167,27,1,1944,1725,3980,921,5023,529706,T
755534919,4971,33,497100,1725,73931,1536,3110,529338,F
457191314,2666,229,82646,1725,15682,1228,5603,529731,T
012159791,4952,42,376352,1725,39809,614,4793,529200,F
762727101,2686,171,257856,1725,3950,614,4632,529630,T
753905373,4789,52,445377,1725,57502,1228,3639,529215,F
995138744,2747,194,260965,1725,5880,307,4671,529760,T
730667075,4916,44,103236,1725,57502,307,7096,529925,F
873285479,2587,236,188851,1725,1165,307,3843,529578,T
018160171,4899,26,195960,1725,73931,1228,5592,529344,F
936509096,2701,200,224183,1725,6235,921,3331,529823,T
009087081,4922,53,260866,1725,86253,307,3147,529932,F
082931306,96,22,8064,1725,3296,307,4997,529954,T
327363533,4912,47,108064,1725,32344,921,3506,529110,F
186392498,180,19,7020,1725,1144,614,5427,529538,T
891174482,4890,64,356970,1725,57502,1228,5044,529168,F
325705244,2787,209,83610,1725,17845,307,4669,529475,T
116404638,4754,78,299502,1725,64689,307,5597,529542,F
173656920,2649,206,127152,1725,3950,1536,4978,529414,T
112074053,5011,33,365803,1725,64689,614,3499,529964,F
863451003,3639,60,149199,1725,3696,307,3024,529832,T
480990310,4890,67,205380,1725,64689,614,5307,529562,F
563191444,2596,196,77880,1725,2797,1228,6115,529292,T
078199068,4768,59,319456,1725,86253,614,6597,529889,F
541728867,3692,6,332280,1725,3098,614,3811,529701,T
837602660,4769,44,205067,1725,19167,921,3334,529759,F
269256816,2561,222,240734,1725,1815,307,3717,529089,T
448963026,4834,65,319044,1725,24643,921,3647,529572,F
568807676,2659,192,194107,1725,2418,614,6306,529093,T
708881566,4989,79,144681,1725,39809,1228,3189,529623,F
358900879,2607,185,211167,1725,2053,921,4569,529019,T
365608401,4740,22,132720,1725,64689,921,4702,529399,F
593355491,54,48,4644,1725,1165,614,5248,529002,T
308593037,4938,78,488862,1725,64689,921,5265,529179,F
996128637,99,1,6138,1725,1217,1228,3530,529573,T
622336878,4899,47,244950,1725,73931,614,3772,529235,F
980286170,40,35,2040,1725,1223,614,3936,529842,T
469306657,4774,38,401016,1725,64689,307,6373,529747,F
065442495,213,1,10437,1725,3920,307,3538,529340,T
598330125,4908,36,397548,1725,19167,921,3473,529935,F
205178508,26,1,1326,1725,1069,307,5186,529861,T
137497852,5007,23,365511,1725,103503,307,4701,529714,F
037107730,2549,223,101960,1725,2078,921,3090,529812,T
488884549,4971,50,338028,1725,73931,921,5035,529745,F
119131060,2561,169,212563,1725,1229,1228,5529,529608,T
961666938,4751,34,413337,1725,103503,1228,6543,529253,F
167803384,155,26,6355,1725,5880,921,3931,529034,T
824210312,4755,43,385155,1725,86253,921,3169,529577,F
733764308,199,30,16716,1725,1056,614,4028,529772,T
911073099,4819,36,163846,1725,103503,1536,5060,529587,F
259959962,2666,230,261268,1725,3026,921,4631,529271,T
432122284,5012,41,300720,1725,23523,614,3544,529344,F
698753749,3673,3,121209,1725,2561,307,3607,529265,T
410997462,4825,30,323275,1725,34501,1228,3892,529025,F
257279683,2592,195,77760,1725,4140,614,3280,529318,T
772025840,4746,34,109158,1725,34501,1228,3652,529367,F
827054742,3692,2,132912,1725,1303,921,3341,529341,T
392501860,4789,24,431010,1725,73931,307,3826,529963,F
544755301,2562,211,51240,1725,2752,1536,4057,529838,T
081490723,4849,25,208507,1725,36965,1228,3341,529460,F
368963720,2616,200,177888,1725,1549,1536,3705,529062,T
