userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
984615584,827,8,40523,1177,13496,240,3067,507800,T
051985607,4175,39,267200,1675,49938,722,2529,508249,F
878724804,4763,69,142890,3932,14687,722,5785,508320,T
440594400,4846,87,1148502,1451,21712,1204,5051,507928,F
670086042,4847,81,1095422,1958,11097,722,4243,508007,T
359350493,4104,24,1009584,4498,7566,240,3890,508166,T
731425949,2859,38,285900,1898,7134,481,3295,507998,T
599877761,4765,87,581330,6242,16646,481,5720,507854,T
124497429,4102,37,869624,2728,16646,1204,2489,507793,F
001489343,4773,71,649128,3121,5487,481,3029,507594,T
002586136,4740,80,455040,1430,17220,240,5124,507590,F
612108112,4774,63,334180,1364,16646,481,2405,508188,F
465568702,611,1,87984,1090,13496,963,4796,508526,T
697390107,4678,73,46780,6165,14268,722,3149,507645,T
500573677,4689,62,215694,1891,6658,722,4369,508291,T
119427020,4855,74,1150635,1681,27743,963,5094,508504,F
808681605,501,17,74649,1119,33292,963,4183,507742,T
971769618,4686,74,796620,1468,5611,1204,2923,507619,F
113837464,2887,26,225186,2684,9791,240,3658,507672,T
519648020,4818,92,1069596,1186,6485,722,2592,507682,F
016831033,938,2,42210,1023,5674,481,3000,507683,T
694795663,4783,71,487866,1010,71340,1204,2637,508271,F
741678341,4814,85,1020568,3307,6570,722,2401,508109,T
307691462,2959,18,609554,1117,8323,963,3618,508362,T
657440614,4088,31,850304,1158,5806,963,2986,508148,F
971836636,4729,93,260095,2249,6242,481,2877,508488,T
067963467,4694,71,643078,1863,8186,481,2991,507999,F
156211707,4738,87,900220,1704,14268,240,3057,507732,F
915052130,2891,21,607110,2699,27743,963,3617,508009,T
573361554,4710,57,843090,1508,26283,481,5742,507745,F
517545499,2856,30,685440,1200,41615,722,2658,508118,T
051828462,987,10,26649,1058,10191,722,2783,507678,T
819974745,4810,61,889850,2143,41615,963,5086,508493,T
730414672,4807,83,831611,6402,5945,963,4575,508539,T
