userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
165378832,4238,17,940836,1814,6996,740,5112,539205,T
120155323,798,8,151620,995,7786,493,3346,539288,T
970545174,4984,22,608048,1035,6034,493,3157,539129,T
370265859,4251,44,233805,1225,5679,1234,2744,539544,T
674729920,4278,42,855600,1141,12704,246,3123,539133,F
701751938,4293,15,1013148,1699,13410,1234,2704,539082,T
944382783,4269,11,422631,1462,10057,1234,5022,539078,T
667778936,5023,26,522392,1688,5486,740,2581,539205,T
722728733,5008,37,1201920,1020,5549,740,4680,539073,T
715216461,4140,28,571320,1828,17241,493,5056,539374,T
479340982,4225,35,97175,1432,12704,987,4948,539282,T
605865294,4142,14,650294,3055,6034,1234,4561,539456,T
223176802,4878,53,917064,2450,7099,740,3749,538886,T
330489468,4216,49,645048,1001,24138,246,5147,538696,T
208543527,4158,13,898128,1688,7427,740,3043,539045,T
525939756,5040,49,95760,1329,5816,246,2911,538594,T
074548182,4280,31,740440,1203,22989,246,4149,538717,T
294507260,4193,19,935039,1112,7205,740,5760,538978,T
705408051,4114,37,905080,1186,16647,246,4061,539384,T
480734287,4193,16,712810,1449,10271,246,3452,539571,F
711688586,846,1,137052,1122,6613,493,3950,539169,T
030114773,4120,40,309000,3657,4876,740,5346,539109,T
713198664,4925,37,699350,2245,30173,246,2715,538648,T
732736407,4157,39,228635,1054,5549,987,5447,538674,T
674615652,4280,29,509320,1104,6352,493,4341,539089,T
646537073,4271,18,1029311,2790,26820,493,5554,538608,T
732327814,4164,18,195708,2638,4827,740,3048,538903,T
734279967,4894,51,866238,1821,11494,246,4298,539550,T
516444490,4211,22,185284,2450,5305,987,3291,539464,T
609520884,4189,11,670240,1189,8323,1234,5719,539407,T
817220972,4127,40,829527,3576,20990,1234,5426,538802,T
122531668,4165,24,737205,2567,20115,1234,5284,538972,T
961812325,4111,35,694759,1260,26820,740,5684,539213,T
979592947,4159,25,752779,2609,5613,987,5866,538686,T
224723178,4259,19,1005124,2003,19310,1234,4634,538808,T
278112958,4249,48,492884,1102,9108,987,4275,539183,T
789821712,4922,38,762910,3831,13047,740,2874,539584,T
369716228,4128,17,825600,4388,10057,987,3815,538921,T
291335743,4256,38,446880,1348,30173,1234,3416,538626,T
510487461,4182,16,664938,6034,6034,987,5807,538600,T
321529032,4130,23,656670,995,13047,987,5159,539200,T
010726302,4181,23,183964,1084,8940,493,5271,538930,T
580176597,4194,19,218088,1234,14199,493,5272,538588,T
152322623,4290,33,918060,1699,20990,987,5892,539035,T
454142456,4253,18,76554,2758,8777,987,5071,539585,T
571181353,4237,42,927903,4597,34483,246,3963,538635,T
398180969,4319,9,716954,2609,11494,246,4379,539340,T
381055109,5035,41,1047280,2145,8323,740,2904,539405,T
105421924,4264,31,115128,1146,9466,1234,5287,539089,T
068303352,4180,28,275880,995,9655,740,4454,539104,T
056883503,4247,10,700755,1494,5549,246,2819,539477,F
002785551,4325,39,782825,1636,6269,246,2467,538743,F
746045544,4176,16,304848,1146,5486,493,2841,538819,T
948288857,4221,30,1029924,1222,12378,987,4168,538886,T
242939148,4894,31,709630,1348,12704,246,3665,539249,T
584878466,5000,38,900000,1582,20115,246,2975,539307,T
735798840,4891,36,792342,1994,5747,740,2698,539304,T
498663234,4158,43,286902,2727,28398,740,5364,538884,T
898409608,4138,50,939326,1954,12704,493,4658,538989,T
603597789,4201,29,848602,2908,9108,1234,5250,539045,T
509317119,795,5,42930,1144,16647,493,3166,538907,T
256628850,4177,26,551364,991,68967,987,4321,538902,T
468810471,4945,46,707135,2378,8940,740,4336,539542,T
391232075,4263,23,677817,1653,5887,246,4255,539175,F
187626409,4246,15,1014794,1102,6523,246,5669,539401,F
785372577,4914,44,1174446,1794,11774,740,5066,539323,T
895320035,4286,21,102864,2366,6436,987,4336,538664,T
149766313,4152,43,244968,2595,5816,493,5651,538609,T
486215647,4224,21,1034880,6613,20990,740,2693,538707,T
137915719,4318,40,362712,5364,17241,246,2680,539152,T
635975960,4348,14,752204,2298,7314,493,3023,539213,F
636099504,4296,19,515520,1567,5887,1234,5261,538638,T
061329366,4278,27,329406,1522,17880,1234,4282,539584,T
569413261,4137,25,136521,1503,20115,493,3953,538923,T
933001574,4272,10,956928,1636,48277,246,5677,538987,T
287224972,4266,20,324216,2145,26820,740,5372,539187,T
613049745,4272,12,140976,3261,7427,1234,5783,538845,T
623367777,4217,27,565078,5305,18568,987,3256,538637,T
709192761,4246,16,471306,1537,9284,740,3737,538610,T
360470604,4349,20,656699,3352,8620,493,5838,539017,T
502121873,4215,35,518445,1577,9655,1234,4084,539010,T
818650025,4978,44,1134984,1107,6799,740,2695,539316,T
931482822,4291,14,643650,2401,96554,493,4172,539564,T
721515574,4255,19,480815,1842,22989,987,5517,539591,T
760472705,4201,25,1020843,2908,8182,1234,4435,539307,T
333327732,4293,34,343440,1141,24138,740,4615,539142,T
340216483,4261,31,843678,1625,20115,493,3347,539179,T
985701054,4284,41,912492,1206,11494,740,5363,538851,T
515663942,4262,26,93764,6799,5613,493,4931,539276,T
632155018,4336,13,234144,4977,8777,493,3263,538996,T
037957424,4964,39,828988,4161,10728,740,2505,538698,T
501439883,980,1,58800,1480,14199,493,2499,539404,T
938720634,966,2,136206,1432,5960,246,3323,539105,T
443225827,4213,20,315975,1329,11774,740,3359,538775,T
655127014,4178,40,309172,6111,9284,987,3744,539094,T
527172465,5052,38,853788,1588,13047,493,2630,539490,T
908463942,4126,41,115528,2204,7786,740,2966,539388,T
410451949,4260,22,575100,1072,6705,987,5694,539411,T
823179418,4293,43,485109,1395,5305,493,3847,538818,T
102298794,4208,12,770064,5816,8182,246,4009,539055,T
456594770,4217,36,1016297,2774,15086,493,4564,539355,T
475341563,4928,33,734272,1183,7205,740,5396,539297,T
671010768,4153,24,643715,1954,15573,740,3463,538691,T
434637720,4179,28,142086,1659,13047,987,4903,538663,T
519774535,4951,54,747601,2623,4977,740,4642,539183,T
708317283,4245,47,314130,2527,8323,246,5326,539273,T
483777058,4123,30,305102,1598,17880,493,4056,539429,T
976071090,4979,51,104559,1849,5549,493,2968,539556,T
661720873,4177,11,568072,2501,37136,740,2833,539569,T
059436704,4158,18,415800,1387,5247,987,3997,538725,T
505116979,4227,12,870762,1653,8323,246,5646,538978,F
448391036,4174,17,434096,2174,5679,1234,3229,539452,T
592567060,4161,23,1015284,1395,13793,1234,3736,539167,T
535003285,4279,34,213950,1676,11227,493,2968,538825,T
969294622,4159,39,357674,1089,5305,740,3369,539129,T
858776574,4237,22,622839,4642,7786,246,4051,539223,T
388358929,4152,14,66432,1527,6269,1234,3410,539468,T
616914914,5003,20,860516,1058,24138,493,2714,538983,T
612911656,4123,21,288610,2045,22989,987,2885,539090,T
595963923,4278,37,838488,2245,5028,740,3972,538646,T
255747170,4299,35,1057554,1730,21944,246,2607,539546,F
014744966,4151,43,863408,1808,26820,1234,3085,538713,T
138465296,4127,17,309525,5424,20990,740,4233,539129,T
995321758,4232,43,50784,2758,34483,740,3737,538893,T
211774192,4966,52,1037894,1125,5549,740,3873,539362,T
792614845,4131,33,545292,1403,9108,987,4372,538813,T
754127920,4108,38,73944,1287,60346,740,4607,538811,T
649146643,4223,39,1009297,2774,5613,740,5571,538661,T
834213493,4245,11,844755,1027,5549,987,2533,539144,T
543140520,4206,31,475278,1189,11227,246,3757,538935,T
224964192,4230,20,926370,2943,28398,493,3268,539135,T
235224470,4295,47,98785,5081,4977,493,5437,539335,T
261925745,4239,33,805410,2354,10271,1234,5711,538737,T
172640233,4224,26,1009536,1749,8323,1234,2552,539329,T
662657092,4140,22,45540,1322,8940,246,5790,538681,T
553003486,4111,31,534430,1304,6189,987,2446,539430,T
883565040,4147,34,418847,993,5305,740,2876,538736,T
504120212,4124,33,169084,1598,5887,493,4673,538687,T
429608172,4119,24,259497,1467,6189,493,4017,539456,T
075434910,4277,10,769860,1356,24138,1234,5278,539152,T
455630924,4218,44,396492,2743,68967,1234,5049,539504,T
026052540,4977,53,910791,1225,6523,740,2437,539447,T
761707643,4249,33,203952,1070,6799,493,5051,538810,T
686070016,4144,17,74592,1186,5549,246,4662,539014,T
942105340,4143,25,78717,1222,40230,1234,3981,539380,T
188605490,4163,26,112401,2438,20990,740,5328,538673,T
852447513,4282,45,779324,1609,48277,1234,5524,538694,T
780663642,4250,45,301750,1688,14199,987,5917,539120,T
761603281,4185,22,481275,1508,30173,1234,3117,539088,T
161606960,4195,43,671200,1301,12704,987,2639,539553,T
216186401,858,1,143286,1120,5960,493,5907,539557,T
371983738,4337,44,793671,3602,10271,493,2556,539326,T
932585029,4289,46,724841,4876,5191,246,5732,538760,T
365341676,4112,32,797728,1180,13793,987,4637,539208,T
560354257,4917,43,575289,1609,4876,740,2482,539098,T
377946264,4142,13,878104,1319,9852,493,4702,539530,T
033776084,4196,45,402816,3197,9852,740,3003,539511,T
377197160,4202,22,895026,1724,80461,740,2581,539139,T
048813886,4200,34,1012200,3218,9284,1234,4324,539358,T
601095065,4343,32,612363,1532,6523,246,2497,538663,F
950540552,4137,36,819126,1112,12069,740,3171,538661,T
454156829,4261,41,575235,1788,6269,1234,5760,538773,T
164257255,4195,39,1040360,3399,19310,987,4577,539234,T
544913350,4229,20,435587,2099,34483,1234,3450,538946,T
242609352,4158,11,307692,1180,6896,1234,5021,539108,T
636623282,4292,45,240352,2554,4827,493,2623,539128,T
126504858,4145,37,310875,2255,11774,740,4920,539364,T
496868654,4132,28,896644,1154,6996,740,3285,539079,T
161280965,4154,24,947112,2623,13047,987,5694,538734,T
043013291,4279,30,201113,3094,16647,740,5087,539016,T
541983388,4116,23,407484,1348,17241,740,2976,538836,T
852115728,4151,17,913220,2366,10057,493,4550,539418,T
492871711,4114,30,345576,1577,8777,246,3175,538704,T
763346966,4208,47,589120,1089,5549,493,2519,539170,F
797508788,4313,43,1056685,1676,18568,246,2735,538842,F
082494557,4232,29,372416,1664,34483,740,2418,538727,T
246053085,4146,18,277782,981,6269,1234,5929,538737,T
882194636,4866,40,924540,1225,8777,987,2683,538658,T
084532030,4274,35,465866,2438,21944,493,4281,539254,T
582105748,901,1,136952,993,5364,246,4674,538991,T
273607850,5038,35,1052942,1333,14629,493,5892,539565,T
273806610,4156,47,295076,1107,5549,1234,2917,539310,T
246226744,4099,47,1012453,2174,6799,1234,2725,539404,T
699005431,4222,26,924618,2980,5747,1234,3289,539512,T
322858618,4105,17,763530,1774,11227,493,4246,539410,T
757119553,4105,29,763530,2488,13793,1234,5018,539142,T
391791749,4301,12,163438,1577,7314,246,2863,538811,F
151014670,4217,25,628333,1029,20115,246,3767,538999,T
941967879,4158,36,515592,1005,68967,1234,4941,539573,T
276189363,4259,43,408864,1273,5028,246,3954,539507,T
057837534,4110,27,156180,1348,6269,987,4986,538810,T
269527693,4120,12,185400,1301,5486,246,5044,539410,T
478522921,4229,38,482106,993,6189,246,5047,539037,T
439322053,4298,24,971348,1454,5081,246,2593,538590,F
694219620,4224,33,519552,2401,4876,987,5631,539529,T
369234195,4260,48,178920,1077,12704,246,4166,539054,T
341325449,4172,22,508984,1367,7427,987,5342,538975,T
844131283,4233,30,355572,1141,96554,246,5925,539515,T
600499033,4264,10,434928,1375,8620,740,3018,539028,T
880203501,4270,29,550830,1189,4977,493,5748,539429,T
603267642,4129,20,421158,3218,6189,1234,4052,538690,T
347747953,4118,16,947140,1022,32184,740,4689,539479,T
646139283,4194,26,155178,1102,8620,987,5779,538587,T
757884846,4266,46,1062234,1270,21944,987,5782,539300,T
715349107,4911,43,564765,1141,6705,493,2640,538766,T
596769731,4219,32,649726,5028,6799,987,3404,539178,T
484483931,4280,35,997240,1024,5747,987,3934,538613,T
125769282,4201,12,252060,1391,7205,740,4944,539549,T
072196188,4880,46,639280,985,6034,246,3037,539091,T
973467332,5007,37,916281,1301,21944,493,2749,539176,T
320845419,4237,28,1038065,5135,6111,1234,2605,539009,T
030225074,4145,20,737810,1828,8620,987,5362,538817,T
418976942,4248,31,858096,2682,17241,246,5845,538685,T
298467659,4243,14,784955,5549,10728,493,2952,538605,T
209762878,903,1,11739,1112,7427,246,4055,538777,T
978126215,4122,27,680130,2638,6189,740,3280,539045,T
945792871,810,1,174960,1532,7663,493,2982,538756,T
733645297,4216,36,231880,1863,6613,987,3760,539175,T
796750272,4145,24,397920,975,5960,740,5367,539201,T
651172295,4171,19,91762,6436,7663,987,5373,538605,T
771836669,4911,54,810315,1166,8323,740,3059,539490,T
805700578,4347,21,104328,4511,5247,493,2658,538798,T
595696022,4335,33,749955,2567,4876,246,5166,539063,T
734459406,4931,39,1124268,1518,11494,740,5831,539023,T
201256196,4296,35,610032,2108,8323,493,3275,539572,T
998849861,4222,14,924618,3576,19310,493,3069,539551,T
082506783,4261,13,766980,1356,5305,1234,4288,538963,T
630753339,4214,31,370832,1476,8182,987,3998,538709,T
369147148,4166,35,708220,2638,15086,493,5653,539292,T
