userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
831167043,4160,28,232960,2184,5081,1234,4279,538875,T
179412159,4264,17,260104,2184,9108,493,2563,539375,F
148902431,4357,75,200422,2184,1341,987,2446,538879,T
470986520,4247,19,301537,2184,5549,246,2899,538909,F
220594094,4100,44,110700,2184,2288,246,5492,538607,T
837560446,4418,57,159048,2184,1938,493,2630,538791,F
189909008,4233,80,334407,2184,1068,1234,3670,539101,T
479517363,4461,20,352419,2184,5816,493,2737,539155,F
845085343,4323,76,142659,2184,5486,987,3259,539282,T
794092162,4444,27,208868,2184,1200,493,2628,538694,F
017155943,4412,43,335312,2184,1352,246,2818,539437,F
747496994,4163,79,112401,2184,1231,740,3269,538956,T
309694594,4193,62,184492,2184,1183,493,3834,539231,T
445868176,4352,16,182784,2184,1290,246,2921,539432,F
114477887,4396,72,303324,2184,2378,740,2836,539445,T
779667987,4361,28,279104,2184,2667,493,2755,539490,F
981561767,4223,73,202704,2184,1436,1234,3670,539270,T
768773998,4253,45,208397,2184,4926,493,2442,538612,F
095507644,4363,28,218150,2184,1718,246,4310,539107,T
775817101,4433,41,398970,2184,1742,246,3091,539186,F
902549056,4248,27,250632,2184,1112,246,4148,539329,T
139951076,4223,22,274495,2184,1978,246,2876,539368,F
163429203,4340,38,234360,2184,1263,987,3064,538975,T
513095359,4278,32,226734,2184,22989,246,2465,539412,F
758256205,4165,50,320705,2184,1183,246,3460,539429,T
794593606,4375,72,306250,2184,1552,493,2518,539468,F
254181893,4206,33,361716,2184,3602,246,3105,538741,T
455817785,4442,36,217658,2184,1212,493,2578,539429,F
160164970,4255,34,148925,2184,1436,740,5562,539574,T
225114576,4209,26,332511,2184,12069,246,2903,539050,F
072321248,4139,52,244201,2184,10271,987,2434,539486,T
979667298,4288,66,377344,2184,1572,246,3013,539087,F
940044667,4346,23,126034,2184,1107,246,3805,539150,T
336715373,4272,47,183696,2184,9108,246,3085,539595,F
163922883,4276,65,230904,2184,4388,987,3369,539243,T
239771551,4216,18,311984,2184,4023,493,2461,538771,F
522683681,4170,15,100080,2184,3657,1234,4092,538781,T
740319977,4204,12,172364,2184,1849,246,2708,539256,F
111164138,4351,39,178391,2184,1572,740,3895,539205,T
740309969,4457,66,267420,2184,3742,493,2538,539393,F
727680048,4118,22,362384,2184,1471,987,4623,538907,T
986528754,4378,75,258302,2184,1653,246,2591,538645,F
900286139,4186,75,184184,2184,1018,1234,3378,538874,T
076518858,4393,61,267973,2184,1322,493,2440,539439,F
563938542,4149,55,385857,2184,1801,246,5028,539119,T
432083145,4377,17,245112,2184,1203,493,2633,539204,F
373422723,4248,12,284616,2184,4234,493,3893,539231,T
866791495,4381,65,188383,2184,1186,246,3044,538700,F
069390470,4119,61,119451,2184,1781,493,4339,539526,T
162812912,4252,28,127560,2184,10728,493,2699,539326,F
240361551,4381,16,394290,2184,2332,1234,2721,539016,T
878226685,4467,11,205482,2184,9466,246,2502,538928,F
367561948,4363,15,292321,2184,1333,740,4061,538938,T
710335063,4466,61,156310,2184,1114,246,2744,539184,F
112173389,4262,45,421938,2184,2697,1234,2679,539170,T
527913778,4408,46,176320,2184,1326,493,2579,538749,F
770144740,4176,14,167040,2184,1322,740,5598,539517,T
024583378,4275,16,303525,2184,4310,246,2968,538669,F
909496432,4177,50,355045,2184,2961,987,5576,538912,T
490914367,4195,43,360770,2184,1609,246,2754,539203,F
157555941,4159,13,195473,2184,14629,987,5687,539318,T
224352964,4244,49,114588,2184,1454,493,2631,539143,F
023508970,4110,44,258930,2184,3742,1234,5121,539538,T
