userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
764935569,3690,115,247230,470,7101,1033,2312,173928,T
548028221,3790,111,454800,1601,2437,516,1328,174048,T
063428475,4247,42,488405,1008,7424,2584,2594,174702,T
453504641,2147,60,188936,497,7777,1033,1675,174434,T
737432943,3729,29,518331,1096,1835,2067,2191,174501,T
495043406,4134,74,756522,456,6805,516,1576,173922,T
844741426,4130,45,904470,454,32666,1033,2135,174795,T
269118623,4224,44,912384,816,3266,2584,2594,173930,T
464650260,1947,7,118767,1666,2512,1033,1530,174138,T
872162552,3781,16,45372,363,4298,2067,2077,174765,F
278060981,4096,42,45056,353,4949,516,2020,173915,T
588426921,4223,41,595443,569,2177,2584,2594,173952,T
476277568,2122,39,451986,505,7424,2584,2594,174064,T
133793885,4147,62,335907,739,2722,2067,2506,174542,T
348398923,3756,39,717396,792,1835,2067,2077,174128,T
120999356,3676,105,654328,497,2768,1550,1560,174079,T
871151445,4191,55,490347,824,8596,2584,2918,174682,T
143028239,3751,116,401357,452,1991,1033,1562,174325,T
640486010,4175,63,300600,354,3798,2067,2077,174059,T
812213201,4122,67,638910,1175,4083,1033,1126,174489,T
737472286,4167,61,62505,358,18148,2067,2077,174439,T
876483986,3832,94,298896,2016,1719,516,1854,174472,T
505611717,4149,43,360963,933,7777,516,2440,174814,T
987393796,3790,112,250140,628,5444,516,1353,174632,T
112556987,2142,38,531216,497,3402,1550,2403,174280,T
678684047,3656,109,899376,1175,5268,2584,2594,174126,T
584224951,4272,61,1042368,404,1921,1033,2185,174040,T
660809670,3658,112,237770,486,4083,2067,2077,174064,T
098338161,3749,12,528609,329,3333,516,1968,174184,F
592290678,3844,93,253704,413,1991,1550,1560,174450,T
437827902,3680,28,128800,735,7101,2067,2399,174828,T
034942893,3780,11,627480,1088,7777,1550,1560,174460,T
126690321,3762,127,458964,567,2634,1033,1987,174798,T
725387631,2263,49,319083,428,3712,1550,2458,174493,T
403090253,4255,63,723350,698,2177,516,1067,174313,T
226914282,2135,25,55510,551,2041,1550,1662,174293,T
367663098,2203,33,46263,804,1967,2584,2594,174261,T
630507201,3798,22,884934,638,1991,1550,1887,174399,T
439582622,4220,76,881980,329,5444,2067,2077,174355,T
201249323,4137,67,57918,752,8166,516,2722,174840,T
620861925,3673,119,102844,907,20416,2584,2594,173888,T
491610297,4257,71,481041,540,2768,1033,2905,174011,T
773501401,3706,112,289068,481,1794,2584,2594,174724,T
723267623,4153,46,299016,454,3798,1033,1520,174774,T
390537380,3816,36,282384,1053,1814,2067,2377,174360,T
187290603,3835,107,513890,569,2067,1550,2963,174199,T
676413863,3754,125,330352,1118,2367,1550,2609,174469,T
769862806,2171,25,364728,1111,3475,1550,1997,174213,T
740938597,3737,19,732452,897,5268,516,1079,174312,T
582144250,4221,49,227934,1317,2300,516,2140,174346,T
816444543,4216,54,809472,938,2177,2067,2077,174725,T
729012986,2215,27,237005,567,13611,2067,2313,174798,T
350958145,3798,29,269658,537,5268,1550,1711,174434,T
307543884,3694,7,310296,429,1775,516,1946,174255,T
540022252,2272,50,397600,555,6805,1033,2665,174679,T
420616460,3713,13,89112,410,2552,2584,2594,174736,T
711751832,4166,46,812370,1601,1775,1550,2019,174205,T
703532547,3677,13,319899,1027,1701,2584,2782,173931,T
929155548,3655,105,464185,1498,3550,2584,2594,174243,T
838232885,3743,93,890834,539,1649,1033,2018,174803,T
748675783,3775,28,358625,491,2722,2067,2077,174862,T
308859324,3762,127,575586,372,2121,2067,2077,174477,T
158485716,4117,48,609316,334,2333,516,1502,174058,T
482682445,2237,61,272914,1067,3402,2067,2647,174823,T
026510175,4199,61,386308,360,1737,1550,2571,174161,T
632692381,4187,68,875083,340,7424,1550,2638,174204,T
124300817,3833,117,536620,722,4949,516,1573,174434,T
428072955,3809,32,129506,1014,1737,1550,2538,174564,T
775501354,3812,126,766212,483,1877,1550,1689,174706,T
209827811,3778,87,68004,938,2237,2584,2594,174221,T
873645798,3687,124,508806,429,3629,1550,1560,174855,T
742920242,3735,35,567720,855,2268,1550,1958,174870,T
298748618,3836,118,437304,855,2333,1550,2064,174536,T
952938112,3845,112,503695,1142,2437,2584,2594,174745,T
939981538,4178,41,171298,435,3024,2067,2077,174300,T
679148026,4186,73,799526,938,2237,516,1844,174399,T
808770166,3697,13,480610,518,1899,1033,2753,174061,T
314776889,4269,43,747075,1096,6805,2067,2752,174255,T
