userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
243131784,2356,51,207328,338,892,2584,2032,174800,T
437053028,3943,37,126176,338,698,2584,1772,174714,F
748058209,4296,87,266352,338,633,1550,2568,174620,T
775711736,3698,28,318028,338,391,2584,1470,173906,F
477234070,3679,13,91975,338,358,1033,2053,174025,F
901813209,4117,53,411700,338,513,2067,1709,174282,T
574936446,2295,41,87210,338,587,1033,2294,174710,T
084798933,3855,27,227445,338,457,2584,2044,174455,F
718731274,4279,47,154044,338,1396,2067,2509,174225,T
747042759,3948,36,82908,338,1067,516,1850,174711,F
777071203,4156,107,407288,338,330,2584,1392,174178,T
937923375,3901,27,144337,338,487,2584,1978,174679,F
400451866,3812,29,160104,338,334,1550,1627,174819,F
982749680,4119,50,403662,338,2207,1550,2184,174276,T
151936603,3840,140,126720,338,408,2584,2091,174839,T
268877487,3962,31,114898,338,781,2584,1651,174260,F
362705038,2292,83,107724,338,406,1033,1025,173927,T
392233509,3960,17,87120,338,418,2584,1984,174283,F
740329372,3678,133,228036,338,358,1033,1190,174159,T
398827931,3868,27,297836,338,638,2067,1801,174865,F
122536973,2154,53,178782,338,2816,2067,1753,174167,T
680880437,3775,3,343525,338,346,1550,1953,174480,F
115475700,3843,27,92232,338,2916,2584,1667,174595,F
911932849,2374,41,192294,338,394,2584,2946,174085,T
747150318,3673,122,235072,338,557,2067,2584,174290,T
363260475,3738,24,340158,338,745,2067,2375,174800,F
858865173,3949,22,260634,338,352,2584,1859,174175,F
631256625,4271,42,128130,338,417,2584,1618,174433,T
326797663,3826,20,340514,338,435,1550,1847,174784,F
588467194,3677,139,194881,338,749,2067,2061,174035,T
015084054,2225,61,135725,338,374,1033,2032,174049,T
797863406,3947,21,292078,338,418,1550,2025,174837,F
176581255,4337,45,351297,338,2512,516,2153,174186,T
724054148,3790,28,144020,338,445,1550,1999,174514,F
106186317,4130,104,194110,338,882,2067,1927,174757,T
833788696,3811,6,335368,338,3141,516,1058,174345,F
228216325,4367,58,371195,338,1585,516,2078,174712,T
824986811,3933,21,173052,338,387,2067,1795,174006,F
316695611,3858,13,158178,338,1096,2584,1023,174082,F
403244570,4294,105,141702,338,5632,1550,1948,174070,T
779784757,2114,63,183918,338,1327,1033,2122,174489,T
127369203,3951,26,90873,338,341,2067,1170,174557,F
004414834,3779,114,124707,338,429,1033,2191,173947,T
728481805,3783,20,211848,338,383,2584,1759,174030,F
154215156,3782,141,313906,338,607,1033,1877,174281,T
020398463,3951,5,225207,338,1601,1550,1087,174197,F
626422375,3747,96,374700,338,1719,2067,2044,174517,T
387644007,3702,25,359094,338,1027,2584,1590,174166,F
841184097,2360,72,96760,338,326,1550,2957,174263,T
956166734,3673,31,286494,338,1877,516,1021,174069,F
845872972,2109,76,189810,338,2722,2067,1785,174138,T
462447685,3884,35,361212,338,451,1033,1283,174733,F
861375785,2107,75,136955,338,427,2584,2410,174197,T
183447937,3895,34,385605,338,333,1033,1057,174145,F
289848817,4196,70,415404,338,735,516,2241,174520,T
965825275,3890,14,147820,338,446,1033,2165,174875,F
405745384,3823,157,240849,338,442,2584,2444,174656,T
266415262,3796,3,311272,338,448,2067,1657,174828,F
708261533,4264,98,204672,338,4666,516,2169,174586,T
608950162,3914,21,277894,338,461,2584,1004,174283,F
488562176,4142,90,165680,338,20416,1033,2392,174814,T
598438246,3757,16,206635,338,663,2584,2327,174491,F
787797936,2129,48,78773,338,332,516,2012,174342,T
445404665,3727,11,298160,338,2067,2584,2094,174276,F
319391080,4237,109,152532,338,429,1033,1210,174250,T
124241558,3749,6,93725,338,3202,1550,2425,174001,F
549920112,4120,99,177160,338,972,2067,3014,174353,T
338568812,3784,30,90816,338,742,1550,2306,174671,F
918994042,4304,57,228112,338,1484,2584,1500,173909,T
646070604,3789,5,90936,338,6049,1550,1952,174771,F
139146358,4168,106,91696,338,515,2584,1192,173969,T
197397657,3908,21,250112,338,661,516,1724,174875,F
219844154,4175,75,162825,338,1256,2067,2793,174743,T
249019626,3725,13,156450,338,3266,1033,1189,174391,F
023321712,4186,106,364182,338,1134,2067,1812,173932,T
037871139,3670,5,154140,338,515,2584,1300,174092,F
536629176,3735,25,104580,338,1276,1550,1830,174721,F
651022980,2164,83,179612,338,555,1550,2547,174345,T
315450385,4217,84,248803,338,402,2584,2191,174778,T
539933288,3817,36,278641,338,419,2067,1310,174543,F
840627854,4318,47,297942,338,2041,1033,2536,173878,T
723465074,3920,25,266560,338,648,2067,1342,173992,F
359959538,3816,37,125928,338,569,2584,1315,173912,F
451662330,2384,69,140656,338,1633,2067,2458,174636,T
260433763,3744,3,325728,338,374,516,2222,174733,F
076410124,4257,85,289476,338,2207,1033,2567,174457,T
689189826,2328,37,202536,338,480,1033,2964,174681,T
597955216,3693,15,214194,338,387,1550,1860,174525,F
426235573,2231,84,44620,338,352,2584,1957,174337,T
989094723,3794,12,144172,338,6805,1033,1680,174847,F
247513069,3696,144,354816,338,338,1550,1816,174056,T
749861688,3685,29,206360,338,635,1550,1529,174173,F
800275124,3753,19,303993,338,719,2584,1585,174869,F
962487750,4352,70,391680,338,326,1033,2742,174371,T
414272510,2183,70,168091,338,464,2067,1618,174077,T
489809757,3872,37,104544,338,602,2584,1503,174079,F
655597302,3835,14,161070,338,1286,1550,2187,174827,F
799064005,2121,60,205737,338,414,2584,2373,174707,T
796354377,3716,127,222960,338,1074,2067,2607,174473,T
218078382,3740,32,310420,338,756,1033,2033,174646,F
