userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
318089792,2868,15,304008,631,3252,742,8032,153484,T
045315199,2848,31,316128,332,2672,371,6435,152994,T
010786495,4870,373,150970,408,3740,1114,3878,153126,T
396229373,4805,379,394010,1246,6801,371,8044,153746,T
398109997,4798,374,911620,1092,1558,1485,6057,152931,T
354588449,4919,364,732931,324,2267,1114,4570,153152,T
917027816,4864,353,452352,307,10688,1485,8142,153114,T
636923459,2949,8,569157,1348,1943,371,7582,153421,T
731055019,2562,1,350994,1004,2302,371,3674,153337,T
202482834,4862,352,826540,1968,1591,1485,8143,153306,T
795364148,4863,377,179931,546,1894,371,7390,153686,T
044813778,2975,4,478975,420,2200,371,8080,153373,T
948168361,2800,22,568400,523,2536,1114,6398,153258,T
942479477,2963,26,586674,526,1575,371,7823,153443,T
060002553,4864,359,1162496,442,1626,1485,5542,153410,T
966277758,4768,385,247936,362,29927,742,5888,153337,T
521621473,2908,30,532164,560,1918,1114,3788,152913,T
981005196,3478,10,302586,1918,2022,742,7874,153460,T
981437937,2805,5,171105,953,9975,1114,4520,153038,T
441489145,4809,369,360675,659,2672,1857,6133,153505,T
540210073,2967,20,445050,431,1511,1485,7869,153636,F
608697946,4874,388,536140,686,13603,1114,8219,153164,T
309937274,4884,380,913308,1011,1894,742,7906,153306,T
633157271,2849,27,586894,538,2934,1485,4480,153209,F
262823311,2972,12,228844,377,16626,742,4704,153102,T
411109184,4817,358,520236,349,3053,1485,5785,152801,T
552640528,4835,365,338450,564,1526,1485,6410,153573,T
484534733,4740,391,1014360,373,2078,371,4059,152919,T
653357821,4822,368,149482,400,5542,1857,8071,153309,T
858313530,2842,31,76734,751,1591,1857,5933,153338,F
706535409,3617,6,462976,1024,7481,1485,4520,153154,T
733222737,4924,390,393920,456,2413,371,6128,153680,T
183901535,4749,363,341928,715,1719,1485,4193,153595,T
555551426,4774,370,682682,497,6801,742,4184,153623,T
101485660,4775,355,1060050,399,4156,371,4653,153073,T
844880016,2554,8,431626,1481,4044,371,7651,153073,T
271440550,4903,387,1166914,600,3325,371,3848,153564,T
325373102,4801,366,523309,554,2233,371,8328,152943,T
935586896,2920,13,344560,1159,3649,1485,3819,153080,F
324624258,2887,2,718863,460,10688,1114,7424,152761,T
355215125,4916,363,447356,1084,5985,1114,8330,153461,T
133782130,4789,377,1106259,628,11510,371,3766,152996,T
945540390,4915,372,978085,571,3937,1114,8287,152925,T
391301721,2930,2,709060,1526,2078,1485,5542,153633,F
133794238,4917,359,457281,659,3740,1485,4602,153142,T
416184456,4872,375,1066968,804,7875,1485,4042,152836,T
205915346,2875,1,37375,538,11510,1485,7623,153685,F
651657042,2922,1,172398,1511,2338,371,8321,153587,T
959712758,2843,8,588501,586,2934,1485,7798,153700,F
527541555,2528,34,250272,490,4676,371,4247,153438,T
691799788,4836,355,836628,560,7125,1114,4115,153408,T
353052520,2849,1,256410,392,1575,1857,6111,152843,F
089355978,2860,3,134420,1360,2934,1485,6189,152904,F
