userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
625433316,4934,385,108548,412,978,742,7542,153521,T
866134519,2848,39,153792,412,357,1485,4579,152785,F
729589937,5005,372,210210,412,307,1114,5836,153735,T
316366052,2850,39,102600,412,1411,1485,4103,152865,F
988129485,2783,37,69575,412,307,1485,8330,153333,F
171029497,4949,404,405818,412,620,1114,6050,153364,T
411618051,4837,409,464352,412,5542,1857,5691,153741,T
546034971,3042,1,237276,412,4044,1485,7576,153361,F
062648671,2865,22,169035,412,431,1114,7764,153634,T
710016456,2909,42,113451,412,771,1485,4540,153396,F
934878964,2905,1,194635,412,1824,371,4184,153602,T
100823894,2979,59,59580,412,850,1485,6355,153529,F
143057294,2786,56,94724,412,2453,1114,8066,152903,T
448223895,2908,19,200652,412,487,1485,6502,152841,F
615899704,4730,377,373670,412,302,371,5834,152944,T
145210535,2937,23,237897,412,408,1857,6177,153166,F
789335163,4762,416,228576,412,1017,1485,3979,153170,T
098852923,3010,7,123410,412,1169,1485,6436,152805,F
823142426,4855,394,451515,412,1943,1485,7816,153379,T
252016033,2918,50,84622,412,2107,1485,4045,153135,F
153749525,2979,1,107244,412,316,1485,5642,153083,F
329345781,4850,416,344350,412,548,1114,6202,153703,T
046152706,4781,402,172116,412,699,1114,8082,153363,T
079028092,2828,58,265832,412,1108,1485,7835,152892,F
678080650,4731,380,397404,412,505,1114,8069,153086,T
635777794,3055,24,82485,412,306,1485,4584,152883,F
451075763,2479,14,143782,412,779,371,6053,153017,T
480106512,2858,15,214350,412,1226,1485,4296,153061,F
376869837,4781,401,291641,412,311,371,4355,153118,T
238788589,2886,58,132756,412,1125,1485,6557,153448,F
827683723,2848,22,102528,412,406,1114,7762,153336,T
547046010,2867,1,192089,412,1360,1857,4698,153730,F
729940271,2485,48,243530,412,783,371,7915,153731,T
982618394,2992,61,266288,412,332,1485,4112,153599,F
745206628,4803,370,465891,412,302,1857,5521,153380,T
430029207,3058,12,192654,412,634,1857,3906,153220,F
422415428,3060,35,306000,412,674,1485,7385,153485,F
312131351,5010,371,335670,412,2877,371,6293,153654,T
449716392,5012,365,426020,412,1268,1857,4099,153673,T
271731225,2956,32,59120,412,7481,1485,5798,152936,F
945988403,3058,6,284394,412,800,1114,3874,153614,T
656205458,2813,31,129398,412,429,1857,6018,152862,F
252419650,2874,1,71850,412,941,371,5921,152876,T
690737393,2916,49,291600,412,448,1857,4651,153768,F
611621020,4741,393,232309,412,21376,1485,5915,152867,T
987898307,2881,62,129645,412,671,1857,3939,152901,F
615737544,4987,377,423895,412,469,742,6169,153331,T
271399431,2925,1,73125,412,1802,1857,6051,153445,F
729387992,4975,389,393025,412,436,1485,6339,152991,T
630501977,2940,36,223440,412,403,1485,7831,152824,F
570827909,2422,62,167118,412,971,371,4568,152912,T
147473490,2791,53,64193,412,323,1485,4048,153434,F
936801841,3037,36,255108,412,783,1857,3892,152823,F
935744414,4874,402,355802,412,487,371,5672,153046,T
181165088,2782,55,158574,412,5985,371,7826,152873,T
250534011,2875,18,97750,412,300,1857,3845,153167,F
946843154,4920,412,428040,412,835,1114,6029,152766,T
165795634,2912,60,165984,412,304,1857,3820,153740,F
188145173,4964,418,302804,412,1452,1114,5812,153305,T
050017270,2838,44,192984,412,722,1857,4365,152780,F
124798010,2811,35,56220,412,523,1114,3819,152799,T
886081797,2939,23,102865,412,1739,1485,5689,153194,F
377688772,2430,15,238140,412,315,371,6258,153312,T
587488606,2851,32,125444,412,391,1485,4678,153093,F
483028469,2670,31,165540,412,536,371,6392,153353,T
551538721,2915,14,250690,412,453,1857,5673,153755,F
739331027,4792,399,206056,412,464,371,8190,153394,T
477068701,2827,12,149831,412,1169,1485,4199,153297,F
251887041,3062,30,303138,412,356,742,4657,152904,T
975090236,3008,25,234624,412,978,1485,5979,153276,F
414145126,3026,27,93806,412,1894,742,7500,153091,T
863811149,3028,15,151400,412,2200,1485,4533,153038,F
399509774,4746,377,417648,412,1187,1114,5890,153669,T
363818971,2887,1,118367,412,620,1857,5661,153306,F
409433504,2642,68,177014,412,639,371,7857,153364,T
318165499,2927,7,190255,412,626,1485,4529,153635,F
158487032,2939,11,170462,412,978,742,3897,152816,T
110832088,3051,19,88479,412,978,1857,6292,153757,F
421133147,4886,361,185668,412,300,742,3947,153007,T
408706702,2969,38,192985,412,2771,1857,4517,153754,F
700407438,4750,416,437000,412,421,371,7590,152856,T
166635289,2951,20,82628,412,318,1485,5551,152830,F
816005860,4840,416,242000,412,305,1485,7480,152948,T
134443574,2852,3,279496,412,2413,1485,7467,153628,F
792285486,4762,386,328578,412,577,371,3831,153328,T
206781777,2842,37,142100,412,656,1485,8019,153437,F
641108352,4945,387,449995,412,519,1114,5782,153675,T
414811599,2844,20,133668,412,779,1857,5863,152987,F
364298569,4831,367,169085,412,2934,1485,4704,153684,T
983640062,2941,32,249985,412,391,1485,8143,153769,F
010407761,2869,1,83201,412,1511,742,4208,153712,T
417816480,3069,1,220968,412,378,1857,3870,153410,F
158725746,3070,26,110520,412,324,371,5988,153550,T
348682604,2804,1,235536,412,586,1485,4148,153011,F
706185151,3015,50,301500,412,1039,742,7456,153658,T
024351158,2942,45,85318,412,312,1857,4626,153704,F
931573722,4756,360,204508,412,319,1114,7786,153098,T
081924634,2857,43,257130,412,880,1485,8423,153203,F
862180807,2600,34,52000,412,571,371,8022,153276,T
433721663,2924,5,134504,412,822,1485,8363,153200,F
