userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
739044896,5038,47,836308,7291,23776,1236,4360,658505,F
404246609,1936,202,276848,7702,10722,824,6342,658311,T
558646447,115,1,2070,4142,6144,412,4538,658303,T
715665221,3631,4,566436,1262,23776,824,4599,658216,T
492705084,2723,58,585445,5696,6510,824,9090,657959,T
152855568,2648,50,630224,1549,6358,1236,4856,658438,T
140217428,2623,70,236070,6433,11160,412,4241,657830,T
780281082,1832,185,271136,1736,11392,412,8366,658787,T
578584331,72,1,8352,3124,8964,412,7013,658294,T
251941896,2616,81,130800,6009,15190,412,4810,657956,T
989745540,2663,74,130487,2520,6433,412,6545,658585,T
230902781,1866,167,89568,4634,9428,824,6881,657877,T
114905295,3620,25,901380,1708,7011,1648,6735,658381,T
197616842,3761,9,330968,1536,18228,412,7177,658596,T
511825745,3747,34,753147,1506,7011,1236,9220,658632,T
141028164,3729,40,343068,2178,49714,412,9132,658263,T
256274600,3615,9,368730,4674,8544,824,8631,658013,T
369618270,2709,49,663705,2790,24857,824,4813,658107,T
272203037,4951,38,727797,1271,10127,412,9040,658444,T
506612916,4965,69,1122090,1251,5880,412,8244,658183,F
100052980,3745,13,662865,2543,5580,1648,8208,658100,T
379517656,2780,63,347500,1158,7595,824,4288,658593,T
995751617,1893,187,371028,4021,7390,824,8542,658596,T
109333559,2589,60,362460,2040,7595,1648,5104,658322,T
959110050,3647,29,371994,5696,5944,2060,6275,658723,T
503820014,1920,185,113280,2377,14391,824,6619,658238,T
624240607,1874,198,374800,1188,6358,1236,6521,658706,F
657930153,1762,195,392926,1251,6922,824,6666,658432,T
666611241,1910,176,257850,1134,5696,824,4857,658603,T
012236458,3740,30,366520,1413,7702,2060,8672,658215,T
762931238,2611,62,83552,3072,9594,1236,9196,658740,T
451421033,1896,196,214248,1519,13338,1236,6563,658394,F
509469674,3674,25,635602,2347,11160,1236,8294,658034,T
849956861,3749,31,292422,4797,12717,1648,4915,658768,T
870582210,1810,183,275120,1234,17089,824,8753,657841,T
832383361,2738,43,312132,1360,16571,1648,5086,658566,T
533037873,2765,47,152075,1822,21033,1236,4119,657908,T
803424778,2662,57,484484,4174,6588,412,4699,658238,T
856463859,4920,65,639600,2591,6144,412,8580,658160,F
772901032,3617,7,217020,1502,26040,412,6224,658343,T
560385516,1836,194,293760,1367,5637,1236,7095,658555,F
921209196,2756,80,118508,1981,6588,1648,8634,658585,T
630475499,3760,44,511360,2103,5817,412,8395,657834,T
547170194,2738,64,585932,3198,10516,824,6288,658069,T
615636809,2693,58,576302,1502,10722,1236,6651,658536,T
172961277,1897,196,271271,1245,15624,1648,4210,658793,F
327073217,2771,55,88672,1879,10937,2060,4911,658565,F
160082114,3700,7,895400,1898,11392,2060,6858,658816,T
281127542,2629,43,504768,1102,6510,1236,9196,658559,T
691166605,5028,68,794424,2087,7390,824,6177,657931,F
131647640,1839,194,237231,1308,45571,824,4089,658342,T
900940394,1927,198,208116,2119,39061,1648,4771,658625,F
385990922,1785,173,69615,1262,21874,1236,4463,658184,F
057606013,2715,58,306795,2241,5468,1648,8683,658220,T
907765601,2639,64,84448,1478,14780,412,8979,658094,T
463401303,3633,25,784728,1960,8964,1648,9150,658383,T
414988996,2581,50,185832,1132,17640,1648,6374,658149,T
307054035,2681,63,230566,647,3202,1088,3264,234850,T
125484394,2604,71,580692,3505,17640,1236,4644,657962,T
448219571,1817,201,210772,2804,7102,824,9221,658227,T
291587136,2716,47,404684,1384,8162,824,8245,658634,T
148638195,4877,71,341390,6144,14022,824,8653,658757,T
394963908,3674,28,775214,1462,26040,2060,9138,658675,T
350506970,3626,35,877492,1337,14391,412,7115,658473,T
135300637,1798,185,445904,1741,6588,1236,6386,658585,F
867774606,1902,197,135042,3396,5696,1648,8268,657868,F
807399454,2781,51,636849,1506,6588,824,4353,658543,T
419089015,16,19,240,1416,30381,412,8489,658470,T
196806072,1799,178,32382,3235,23776,412,5004,658345,T
551038386,5018,50,652340,1416,6510,412,6169,658539,F
455542511,2619,74,146664,1409,16084,412,6437,658734,T
474152932,25,1,5050,1311,8042,412,6580,658681,T
777890115,3787,29,246155,3235,109372,412,8222,658572,T
983903391,1833,198,87984,1816,9765,824,4882,658724,T
156827357,3638,16,909500,7011,6510,2060,8844,657998,T
563831759,4992,40,1208064,4021,6669,1648,4426,658166,F
503208164,2627,57,186517,3483,27343,1648,4944,658371,T
906742914,3714,36,739086,2103,17640,1236,8736,658175,T
572360234,1824,178,198816,2908,18857,824,9090,657850,T
570595949,3608,11,306680,1589,8544,1648,6735,658116,T
637134363,19,1,3800,4595,24857,412,7071,657904,T
432909495,1794,183,50232,1158,6510,1236,8268,658325,F
065506330,1825,183,337625,1333,6076,412,4341,658816,T
777262195,2721,78,274821,1380,18228,1648,4312,658322,T
842062854,3785,29,412565,1988,7491,1648,5009,658091,T
281924026,1911,182,78351,2667,7491,2060,4385,658647,F
441719068,1836,190,420444,4926,5817,824,4514,657936,T
447914268,1842,187,261564,1148,34178,412,4731,658540,T
180191541,3613,38,451625,2010,27343,2060,6308,658271,T
798605198,3627,33,899496,1413,11392,824,6500,658395,T
059375118,3748,14,509728,1946,9114,1648,9160,657929,T
649825220,2619,78,246186,4634,13338,824,8633,658262,T
017205536,1810,181,385530,1995,10127,1236,8743,658782,F
993097689,1756,182,223012,1183,8042,412,4509,658129,T
384206965,1757,188,351400,1946,7925,1236,8363,658674,F
459404140,4908,48,696936,6009,17640,824,6967,658062,T
904011129,3757,36,931736,4410,12717,1648,6165,658466,T
227389034,1834,188,223748,2452,9594,1648,6818,658354,F
340937208,1768,187,19448,3574,22785,824,8670,658811,T
321910339,9,7,1881,1196,9114,412,4660,658485,T
023682449,1938,177,153102,1171,5756,824,6687,658326,T
867428524,3716,7,639152,1736,7390,1648,4729,657842,T
720508201,3784,38,688688,1953,7925,1648,8988,658092,T
474669777,3596,29,773140,1127,7702,2060,8645,658672,T
973657454,1907,175,143025,1093,26040,824,6792,658771,T
166623716,4871,41,711166,1775,6669,412,8906,658067,T
966513141,2619,46,172854,2680,9268,412,6233,658772,T
344132279,2652,71,198900,1283,9594,1648,7007,658775,T
541462003,1848,184,436128,1752,13338,1648,4840,658457,F
882780708,1893,196,299094,2988,13020,1236,4326,658754,F
037630809,2640,61,250800,1324,8964,1648,6463,658578,T
903355931,3747,23,633243,1637,9765,2060,8466,658810,T
867974268,2768,63,124560,1912,9765,1648,4979,657879,T
086649090,2705,62,589690,1632,8162,824,8940,658012,T
499141749,1841,204,184100,1478,9114,1648,4878,658745,F
689333776,3728,40,600208,3216,8964,1648,6482,658629,T
699367520,3751,8,843975,1286,36457,1236,6754,658413,T
125821561,3767,21,614021,3417,12717,412,8570,658389,T
557876756,4919,61,944448,1363,20254,412,4096,658348,F
340891012,1850,183,122100,1343,5880,1648,9211,658277,F
944458324,1854,199,407880,1974,28782,824,4080,658311,T
688229851,3795,43,455400,1262,9114,412,8435,658328,T
173072709,1840,170,62560,4755,7812,412,4604,658511,T
099923835,3614,7,513188,1228,9765,824,6936,658651,T
782679349,3682,7,614894,5110,36457,412,6408,657935,T
059536955,1924,193,61568,1100,17640,1236,4257,658113,F
176208208,3779,27,340110,1226,5817,1648,8426,658485,T
941608751,4972,54,959596,2196,23776,412,8491,658218,F
173387662,5063,41,713883,6835,6922,2060,4407,658608,F
906468701,1852,165,362992,1413,11392,824,8841,658301,T
300609561,2717,75,567853,1346,10516,412,6531,658161,T
945290813,169,1,29744,1758,6009,412,6447,658123,T
927195170,3792,12,838032,1932,26040,412,9030,657839,T
692295216,4889,65,1217361,2940,8285,1236,6386,658105,F
439629397,1772,193,127584,7491,9765,824,6788,657826,T
151851606,3732,15,343344,1589,26040,824,8898,657922,T
058156765,1933,205,260955,6433,24857,412,8844,657829,T
674573508,100,1,15600,1847,5580,412,9019,658126,T
513499729,4900,49,431200,5017,17640,412,4602,658225,F
448962612,171,1,30609,4374,54686,412,4605,657894,T
108460345,1776,204,301920,1251,9942,1236,7048,658256,F
040363813,3750,44,720000,1798,10516,824,8470,657975,T
313790777,4926,40,866976,2025,12428,412,4361,658524,T
619798257,4937,46,780046,2908,7491,412,6405,658262,F
522664981,3785,14,772140,2734,5637,2060,4077,658509,T
609381045,5046,73,1105074,5637,8413,1236,4800,658172,F
221375910,4893,62,885633,1201,6510,824,6840,658306,F
598791016,2619,59,416421,2430,27343,412,6462,658260,T
838803239,1891,166,236375,1286,6588,412,5100,658598,T
631018391,1849,168,419723,1558,14022,824,9001,658576,T
