userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
533054587,65,8,2860,1599,6922,412,6514,658469,T
645755082,1772,198,171884,1599,2441,1236,6917,657870,F
632175486,1944,198,81648,1599,6285,824,4215,658734,T
508206698,1811,213,117715,1599,1866,2060,4863,658564,F
024375175,2878,57,267654,1599,1215,1236,9048,658635,T
396428816,1827,189,60291,1599,4674,1648,8739,657979,F
949718961,2665,49,191880,1599,2377,1236,9174,658830,T
581573049,1782,223,165726,1599,1527,2060,4325,658385,F
757132482,2670,65,216270,1599,2641,1236,6494,658189,T
209485747,2848,98,93984,1599,1632,2060,5032,658023,F
502498289,240,42,14880,1599,1416,412,8715,658657,T
817029321,1884,215,131880,1599,4206,1648,8340,657847,F
065970687,2765,102,188020,1599,5017,1236,8239,658491,T
824490868,1877,207,125759,1599,1409,1236,8912,657972,F
041550051,1963,201,151151,1599,1912,824,7003,658563,T
610870852,1806,211,113778,1599,1613,1648,6745,658437,F
909846835,9,11,711,1599,4797,412,9075,658549,T
079210006,2798,48,162284,1599,1424,2060,4834,658407,F
272130315,2611,81,133161,1599,3089,1648,5009,658473,T
331960859,1798,233,107880,1599,2232,1236,4401,658642,F
406677889,1788,191,116220,1599,1181,2060,5038,657879,F
014302396,2741,108,90453,1599,2604,1648,6227,658541,T
337171851,3862,4,386200,1599,26040,2060,8898,658672,T
675970882,1870,196,46750,1599,4239,1236,4887,657883,F
414012063,2012,208,130780,1599,4340,412,5003,658702,T
175098916,1861,217,186100,1599,1608,1648,4232,658069,F
275745130,1818,188,127260,1599,1599,1236,4187,658617,F
829344262,3852,14,354384,1599,2641,2060,9232,658056,T
393562369,226,24,15368,1599,1262,412,8658,658242,T
592315128,1845,204,118080,1599,7011,2060,4130,658042,F
967011237,2048,176,200704,1599,1405,412,4238,658276,T
790740105,1760,226,147840,1599,1136,1648,6293,658614,F
810852752,2755,86,57855,1599,1514,412,7064,657993,T
529776679,2012,201,146876,1599,23776,1648,4206,658124,F
712947135,2581,89,118726,1599,1183,1648,9012,658228,T
689728010,1825,199,62050,1599,45571,1236,4452,658202,F
087778981,1821,233,149322,1599,1519,824,6256,658221,T
982530410,1858,219,178368,1599,1416,1648,6969,658326,F
993658933,3779,37,113370,1599,2317,2060,7027,658226,T
409851539,1789,201,150276,1599,12428,1236,8327,658593,F
135854710,2762,79,215436,1599,1558,824,4752,658201,T
673236572,2742,83,238554,1599,1248,2060,5062,658348,F
596122509,2785,112,61270,1599,3720,824,4955,657883,T
800883887,1830,177,93330,1599,7291,1236,5050,658152,F
754933508,3862,57,77240,1599,3720,1648,9224,658740,T
192702590,1877,232,105112,1599,3771,1648,8830,658668,F
289459352,2685,75,123510,1599,8964,412,8206,658047,T
906459705,1850,196,38850,1599,1450,1648,8863,657975,F
928503802,28,28,756,1599,1398,412,8888,658753,T
305595973,2657,64,100966,1599,1113,2060,4613,658302,F
254504992,1838,233,159906,1599,3021,2060,4819,658369,F
740263822,216,10,17496,1599,5258,412,4727,658572,T
236050965,3891,46,319062,1599,4410,2060,6176,658186,T
321737113,2833,48,101988,1599,1146,2060,4359,657950,F
570102805,3726,66,238464,1599,1283,2060,6292,657821,T
033880255,1802,188,64872,1599,1286,1236,9069,658462,F
866169106,2791,76,89312,1599,2111,1236,4274,658436,T
225702525,1796,181,174212,1599,4634,1648,4704,658396,F
106979234,2831,63,73606,1599,1257,412,6273,657963,T
732319913,2615,107,75835,1599,1527,2060,4824,658639,F
641274015,99,36,4554,1599,14022,412,8751,657882,T
787870140,1770,232,65490,1599,1356,1648,4238,658104,F
297573005,3800,11,209000,1599,1677,2060,6712,658608,T
879283338,1825,212,67525,1599,1816,1648,8197,658491,F
205699830,1845,179,55350,1599,1298,824,9134,658620,T
553683811,1866,223,82104,1599,3695,1236,9185,658545,F
300349356,3854,51,96350,1599,1502,2060,6298,658426,T
008851263,1834,234,133882,1599,2127,1648,7014,658780,F
442978093,3665,61,256550,1599,3483,2060,4151,658779,T
217161664,1770,187,120360,1599,4206,1648,6158,658487,F
798215035,1799,228,120533,1599,2988,1648,6806,658759,F
136648776,3635,64,276260,1599,1562,1648,8316,657964,T
862638615,1818,215,174528,1599,3179,412,4871,658523,T
941896615,2009,213,42189,1599,16084,1648,8259,658720,F
405744530,2823,80,194787,1599,6144,1648,6620,657877,T
361108935,1818,220,152712,1599,1153,1236,9188,658208,F
509934206,2797,66,223760,1599,1346,412,8709,658642,T
