userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
754789994,1393,1,240989,951,4366,1786,2597,204607,T
225994105,1191,16,114336,1777,3138,2233,2243,204595,T
488540446,1296,3,114048,1777,15448,1786,1796,204553,T
663671469,4300,322,189200,2510,8033,2233,2243,204339,T
415324189,1183,29,191646,1128,2335,2233,2243,204538,T
119252283,4367,324,537141,667,2390,2233,2243,204472,T
641533778,4292,355,811188,1394,15448,1786,1796,203771,T
907581807,4288,349,205824,1876,2542,2233,2243,203806,T
539371246,4329,340,857142,884,2608,446,1303,204363,T
103249422,4284,322,231336,741,2256,2233,2243,204117,T
583510981,1269,1,16497,854,2479,1786,1796,203807,T
044492210,4367,350,812262,1632,2869,446,2396,204513,T
489840010,1283,1,125734,1465,2997,446,2076,204685,T
481178468,4351,324,269762,433,2677,2233,2243,204029,T
688090660,4266,325,883062,803,2231,1786,1796,203922,T
831329279,1341,7,21456,912,4273,1786,2058,204604,T
893746422,4406,333,440600,456,2828,1340,2079,203967,T
571799480,4331,335,121268,669,5020,446,1942,204106,T
685170854,1272,14,105576,934,3292,893,1619,204189,T
437613496,4323,344,220473,676,2282,1340,2082,204270,T
724880511,1165,50,62910,528,10570,2233,2243,203825,T
809344013,2322,118,260064,2159,33472,893,1155,204236,T
145113332,1291,10,54222,2479,6276,1340,2463,204281,T
540753331,1308,19,31392,445,2677,2233,2243,204637,T
156911706,1286,12,245626,1673,6478,446,1927,204344,T
538172487,4423,355,981906,1434,4564,893,1292,204122,T
742783299,1251,9,163881,1375,2282,446,1908,204326,T
461105886,1262,1,135034,752,3462,446,1476,203981,T
817975013,1250,20,113750,418,3138,1786,1796,203938,T
814022345,1321,22,206076,1121,10570,1786,1796,203814,T
757549026,1281,23,106323,456,2049,1786,1860,204590,T
924128619,1224,1,293760,697,6478,1786,1796,204772,T
729753115,4450,315,1027950,606,2574,1340,2290,203884,T
500323730,1320,1,175560,424,2231,1786,1796,204163,T
989246497,4284,355,265608,471,6085,446,1283,204446,T
243206312,1227,7,19632,947,2479,1786,2229,203884,T
535241576,1271,1,149978,900,5906,1340,2072,204696,T
560989215,4320,325,544320,1247,4898,2233,2249,204560,T
364581206,1339,4,297258,2136,2828,893,1519,203770,T
901223444,4423,352,145959,678,2869,1340,1493,204428,T
242353303,1339,1,206206,1731,2183,893,1232,204515,T
717301121,4397,324,962943,539,3862,2233,2243,204114,T
578212073,4299,339,378312,538,3789,2233,2243,204700,T
642245690,4374,349,87480,572,4670,893,1678,204437,T
841423850,1389,1,43059,635,22315,446,1938,204551,T
385414080,4332,330,571824,1040,2677,1340,1766,203909,T
332723465,1282,8,166660,1434,3187,1786,2090,203814,T
121481326,1096,18,256464,979,2362,2233,2243,204617,T
229845890,1383,21,118938,671,2114,1786,1796,203788,T
977935249,1345,9,129120,816,2751,1340,2484,204419,T
311970807,4278,331,616032,755,3292,2233,2243,204141,T
048135516,1244,18,145548,455,4463,893,1612,204665,T
221314279,1341,1,166284,578,2183,1340,1627,204544,T
890296145,4410,350,70560,833,25104,446,2523,203943,T
045056878,4417,326,799477,2479,2714,2233,2243,204377,T
851015235,1182,20,59100,709,2714,2233,2459,203901,T
037046693,1290,19,153510,406,2049,446,1375,203855,T
829674446,4425,351,544275,454,7724,1786,1796,204741,T
423854335,4284,339,274176,858,3651,446,2076,203763,T
255606283,4419,347,826353,1949,3523,1340,2072,204474,T
793990417,1284,7,59064,465,4781,446,1879,204628,T
345899443,1398,6,240456,1521,5578,893,1212,204184,T
979566423,1411,11,197540,425,5020,893,2056,203911,T
138915433,4366,335,200836,458,2479,446,1986,204606,F
734208715,1308,17,304764,678,9563,893,1362,204257,T
344491610,4449,324,814167,612,4463,1340,1946,204478,T
018535944,4289,340,214450,1224,3862,1786,2515,204626,T
292742387,4309,348,547243,421,11157,446,1132,204496,T
641800389,1370,27,197280,851,3937,1340,1931,204031,T
975519950,4299,333,447096,1949,2308,893,1477,204769,T
811067005,4385,328,420960,402,18257,1786,1796,204312,T
110918645,4465,332,111625,781,3462,2233,2243,204041,T
872998071,4284,332,299880,1777,2070,2233,2243,204023,T
482138218,1208,40,280256,1444,3239,2233,2243,204292,T
499870694,4399,333,932588,606,2159,1786,1796,204632,T
297810209,1366,1,144796,843,2256,1340,1871,203877,T
786436664,1385,4,72020,459,6694,893,2541,203973,T
047679160,1289,1,283580,577,4016,1340,1350,204384,T
909163966,1327,25,163221,816,5906,1786,2531,203956,T
442172271,1385,18,110800,806,3523,1340,1586,203938,T
605135258,1315,2,293245,432,4463,893,1788,204491,T
629506031,4365,321,501975,469,2362,1786,1796,204686,T
889182778,1246,1,17444,637,2542,2233,2243,204180,T
541848654,4464,351,1098144,826,2751,893,2305,203982,T
052544570,1328,27,53120,456,2608,446,1605,204628,T
363017908,4448,340,489280,1195,2070,446,1974,204123,T
472656479,1286,15,276490,459,4463,1340,1478,204636,T
121447552,1231,1,290516,1487,2183,1340,1867,204398,T
288283275,1235,51,250705,1949,2070,2233,2243,204229,T
190835195,1280,1,79360,1498,2677,446,1980,204238,T
015405737,1397,11,219329,436,4898,1786,1796,204739,T
310768034,1355,22,334685,896,5285,1786,1833,204670,T
863809724,4351,353,274113,410,2183,1340,2286,203848,T
682127880,4379,318,183918,1487,3138,893,2069,204412,T
778594238,1234,15,81444,1321,5906,446,1820,204410,T
307390361,1322,2,29084,1202,5020,2233,2243,203928,T
916519246,4386,330,583338,456,2049,893,903,204501,T
581290696,1290,20,138030,425,5285,893,1114,203864,T
930017715,4297,329,519937,843,2136,1340,1983,203850,T
533831496,1381,17,283105,447,2449,1340,1423,204654,T
593304103,1323,9,312228,2751,2419,1340,2490,204176,T
518168007,4322,315,540250,2642,6085,446,2559,204316,T
587878286,2499,109,307377,2308,40167,446,1626,203908,T
522144811,1312,1,94464,956,4898,446,1873,204472,T
070795565,4441,319,413013,1632,5738,446,1766,204441,T
426243186,1262,1,238518,1279,2256,1340,1517,204319,T
657627343,1403,14,37881,671,3862,2233,2243,203978,T
936121186,1365,17,221130,2419,3789,1340,2367,204507,T
220257148,4374,320,78732,483,13389,446,2536,204174,T
452111861,1315,16,42080,699,2953,1340,2432,204558,T
043196391,4399,348,475092,495,18257,893,958,204405,T
093349964,4335,350,615570,1040,6925,1340,2053,204758,T
581560926,1226,27,274624,775,3404,446,2272,204050,T
929324212,1353,1,266541,421,3862,1340,1632,204376,T
988793345,1218,1,226548,1949,2910,893,1218,204197,T
211420608,1286,1,24434,865,20083,893,2732,204163,T
038459563,1247,48,184556,1465,4016,2233,2243,204498,T
141556487,1322,1,190368,588,2608,1786,1796,204021,T
411604576,4331,319,212219,970,2070,1340,2117,204584,T
176637526,1300,1,127400,410,3651,893,2156,204115,T
099012827,4413,318,295671,534,2070,1786,1796,203827,T
709152603,4284,352,861084,448,2608,1786,1796,204435,T
056288663,1344,1,95424,1263,13389,446,1775,204659,T
636374526,4399,331,633456,1716,5738,2233,2243,204134,T
455747924,1241,19,152643,2049,2419,893,2323,204033,T
048793082,4405,324,854570,1731,2206,1340,1350,204663,T
999118511,1295,52,274540,925,2308,2233,2243,204249,T
876714247,4403,325,365449,1659,2070,1340,1382,204100,T
325807902,1108,29,18836,415,14345,2233,2243,203833,T
419541681,1352,3,202800,735,2510,446,2502,204722,T
312085782,1368,19,140904,570,3292,1340,2293,204604,T
879848745,4343,340,560247,512,7438,2233,2243,204448,T
813259335,4336,348,160432,709,20083,2233,2243,203793,T
974983452,1418,6,106350,1434,2997,446,1522,204728,T
573139294,1194,52,148056,947,6925,2233,2243,204350,T
048979582,1357,1,176410,1931,2714,446,2499,203784,T
246103070,1229,1,25809,2677,6478,1340,1350,204207,T
837366514,1294,21,297620,499,2869,2233,2243,204712,T
160630329,4444,336,151096,424,3404,2233,2243,204416,T
442247555,4278,322,757206,717,2008,2233,2293,204761,T
137278142,4429,348,748501,712,3042,893,1195,203825,T
344668664,1240,1,12400,877,2206,1786,1796,204646,T
218603144,2339,122,505224,717,18257,893,2236,204020,F
774382660,1249,34,22482,1154,22315,2233,2243,204230,T
224866369,4420,332,340340,892,5906,1340,1350,204334,T
001321324,1373,23,63158,485,4564,1786,2005,204425,T
127957848,1413,5,60759,1068,16736,446,1830,204059,T
446432169,1320,1,30360,1394,11813,893,1928,204720,T
821581761,1378,10,96460,1209,2869,1340,2091,204544,T
843131872,4333,337,736610,523,3292,893,2331,204517,T
766575372,1343,12,60435,403,11813,446,1314,204556,T
688288305,4399,349,796219,470,10570,893,1316,204771,T
057829813,1310,1,94320,440,2070,1340,2365,204374,T
929191173,4372,327,804448,2049,2070,446,1782,203982,T
089777313,4324,322,765348,2479,3719,446,2144,204230,T
846170596,4350,341,191400,960,7724,446,1226,204619,T
894317024,4423,346,875754,712,4366,446,2365,203800,T
259708262,1233,14,61650,974,2008,1340,2087,204717,T
062336849,1238,6,304548,921,6478,1786,2367,204654,T
613951434,1247,1,192038,1160,5285,1786,2118,204722,T
642635888,4294,335,824448,468,18257,1340,1422,204633,T
980283788,4393,344,900565,951,2677,1786,1796,204385,T
029266540,1339,1,294580,2677,4898,893,1374,204386,T
228226516,4320,341,82080,917,2828,2233,2243,204029,T
002333001,4399,321,620259,1019,2070,2233,2243,204416,T
325105212,4289,316,832066,1988,2159,1340,1454,203859,T
598440748,1380,19,155940,585,2642,1786,1796,203939,T
402065505,1279,1,164991,514,14345,1786,1897,203921,T
612151751,4285,323,145690,430,4670,1340,1839,204209,T
925375966,1283,11,142413,806,3138,446,1583,203808,T
009479444,1396,15,328060,702,3292,893,2108,204669,T
721659317,4289,337,364565,755,2953,2233,2243,203942,T
250461687,4350,319,926550,683,16736,893,1366,204353,T
976761305,1362,1,336414,402,22315,893,2027,204589,T
211933963,2470,138,172900,1949,33472,893,2478,203944,T
466404556,1273,16,38190,421,16736,446,1452,204747,T
929793145,4274,340,598360,529,2751,1786,1796,204554,T
627250610,1368,18,220248,900,8368,1786,2112,204423,T
962250685,1269,2,304560,717,3789,893,1627,204427,T
263274738,1393,13,266063,508,2953,893,1776,204687,T
635398975,4352,350,974848,487,2419,2233,2257,204405,T
390401619,1233,1,125766,412,4016,893,2240,204739,T
564784919,4339,347,707257,2206,2510,893,2674,204299,T
960539809,1335,4,36045,621,2677,2233,2243,204547,T
583509744,1215,23,199260,1154,2953,2233,2243,204682,T
460229648,4367,342,842831,413,7172,1340,1955,204109,T
386082783,4269,354,678771,951,4016,1340,2219,204761,T
231955647,4465,316,732260,1498,2282,893,2385,204677,T
236056564,1251,25,46287,428,2335,1786,1890,204611,T
005285340,4298,349,133238,1154,2510,1786,2329,204489,T
116906405,4368,348,620256,819,3239,1340,1366,203840,T
590372040,4402,324,1082892,1232,10041,1786,1796,204645,T
960622456,1198,43,222828,548,2282,2233,2243,203940,T
058289519,1278,1,205758,1988,3789,1340,1816,204594,T
459983618,4451,344,1005926,465,2751,2233,2243,203839,T
870930523,4400,332,492800,483,3347,446,1845,204384,T
616995504,1242,1,122958,1357,2910,893,1045,203874,T
001399394,1293,18,74994,545,4670,1340,2555,204169,T
771193518,1303,1,277539,457,9128,446,1838,204736,T
564994267,1339,3,111137,500,3586,446,1271,203897,T
664307441,1396,1,103304,616,40167,1340,1411,204692,T
988620949,4294,354,326344,1347,10570,446,1658,204734,T
723146796,4336,326,672080,1761,20083,1786,1796,204431,T
466102047,4415,343,684325,567,11813,446,1340,204463,T
854004156,1280,21,209920,553,2869,446,1227,204166,T
337108500,4313,333,953173,861,5020,2233,2422,203886,T
611541311,1312,1,184992,416,2136,1786,2014,204040,T
204797161,1317,4,283155,826,2282,1340,1580,204521,T
174903687,1379,15,321307,775,3138,1340,1350,204719,T
146740713,4412,345,794160,1141,2390,1340,1888,204685,T
826871112,1405,12,324555,2542,9563,1340,2417,204001,T
077269918,4274,344,397482,669,2092,893,1995,204072,T
800678694,4432,338,731280,896,25104,893,1793,204282,T
816530439,1338,10,103026,449,2789,1786,2200,204248,T
113283719,4283,338,346923,1533,5149,1340,2139,204457,T
939074599,1288,9,148120,809,3937,1786,1796,204221,T
605621580,1229,1,247029,461,2789,1786,2603,204135,T
970395373,4268,330,866404,421,25104,446,1622,203925,T
657525689,4376,355,1058992,1825,5578,2233,2243,204356,T
874044831,4313,333,595194,585,4564,1340,2275,204677,T
754062888,4340,327,230020,495,2070,1786,1796,204604,T
283127857,4424,338,676872,1912,2953,1340,1792,204625,T
207553929,1397,15,111760,1533,4184,893,1428,203980,T
679010481,1418,4,185758,1581,2677,1786,2771,203845,T
296799492,4397,328,92337,1673,10041,1786,1901,204442,T
416750511,4445,343,1066800,612,9563,446,2072,204501,T
690150802,1316,23,297416,1465,5149,446,1829,203888,T
265881869,4334,342,962148,1338,2231,1340,1821,204485,T
992487711,4428,353,748332,704,2714,893,1595,203788,T
881354385,4308,329,762516,482,6478,2233,2243,203861,T
457412257,1279,32,44765,1338,3347,2233,2243,204565,T
554917796,4292,335,905612,732,5020,2233,2243,204381,T
827802696,1254,19,211926,554,3586,2233,2366,204339,T
580811832,1250,11,196250,461,4463,446,1395,203853,T
267010713,1343,1,32232,514,22315,1786,2323,204602,T
581540343,4305,341,693105,1465,8033,1786,1796,204631,T
997350897,1318,1,206926,2159,18257,1340,2783,204224,T
347834242,1370,4,271260,631,3239,1340,2249,204748,T
035522714,4437,328,66555,415,2335,1340,1573,204316,T
629195119,4277,342,923832,1394,7724,446,1031,203955,T
398743316,1307,22,53587,415,3789,446,1464,204588,T
122659163,1292,11,24548,504,3719,893,2001,204390,T
393523948,4299,349,520179,492,3523,893,2374,204337,T
268259262,4430,319,336680,892,2642,893,974,204639,T
968142136,4312,324,1030568,851,5906,446,1859,204590,T
109085123,1337,20,288792,427,25104,446,2305,204644,T
