userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
183207844,4287,346,214350,458,660,1786,1095,204142,T
471253886,2531,113,220197,458,40167,446,1941,203831,F
399317320,4315,376,340885,458,833,1340,2579,204418,T
384868489,2570,118,102800,458,33472,893,2064,204343,F
800775680,1424,1,115344,458,409,1340,1945,203936,T
307771141,2600,131,166400,458,28690,893,2778,203890,F
678885303,1243,28,55935,458,2677,1340,1201,204561,T
662013221,2406,133,240600,458,33472,893,1401,203998,F
772960669,1456,53,117936,458,9563,1340,2491,204743,T
182058217,2413,149,110998,458,40167,2233,2349,204267,F
121483809,4494,350,103362,458,587,446,2484,204592,T
637827840,2418,104,217620,458,33472,1786,1543,204605,F
425855398,1326,21,87516,458,4016,2233,2298,204012,T
492278656,2308,124,117708,458,33472,1340,1892,204152,F
291102144,4451,328,320472,458,459,1786,1488,204461,T
403665719,2472,100,150792,458,40167,893,1062,204628,F
646274302,4438,354,346164,458,1521,2233,2083,204769,T
443188525,2345,138,185255,458,33472,893,1037,204683,F
294004004,4465,334,200925,458,426,446,1940,204325,T
803936957,2478,168,245322,458,40167,2233,1999,204224,F
442787643,1432,1,131744,458,873,893,2124,204420,T
952616114,2351,146,89338,458,33472,893,1453,204473,F
159692003,4436,317,261724,458,2997,2233,1779,203970,T
244023633,2592,106,90720,458,40167,893,2499,204656,F
860139717,1501,11,36024,458,499,2233,1563,204286,T
