userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
681405878,2097,222,169857,1071,3324,1018,3966,308647,T
934955647,4836,33,517452,983,26296,1527,3859,308670,T
200116953,4719,27,467181,707,4017,1527,5178,308888,F
251977214,4682,27,912990,619,4450,1527,5575,308705,F
043440983,2090,229,363660,1468,36157,1527,3174,308830,T
491809376,2065,238,249865,645,6574,2036,3520,308435,T
731922839,4810,27,702260,1842,3962,1527,3203,308201,T
510141550,2135,236,360815,743,5259,2545,4946,308231,T
765253190,4674,15,836646,1928,7817,2036,3315,308221,T
246287513,2110,211,322830,819,3213,1018,4725,308404,T
243390298,2088,240,354960,771,2921,509,3984,308867,T
156734413,2174,224,58698,623,3013,1527,5009,308138,T
508662660,2049,240,34833,1390,3908,509,3526,308063,T
775240826,2128,242,310688,674,3485,2036,6533,308758,T
695500921,2055,247,324690,924,4987,2545,6374,308379,T
336240784,2014,226,481346,3287,4382,2545,3838,308775,T
623590215,4690,41,553420,2126,3213,1527,6385,308866,T
162372328,4697,7,314699,924,26296,1527,3434,308640,T
656782323,1982,231,313156,2142,10713,1018,6124,308785,T
259077843,2010,241,38190,3856,16069,2036,3535,308852,T
435069021,4768,40,524480,779,16069,1527,3721,307981,F
245280137,2144,227,368768,607,3178,1527,4824,308914,T
661961416,2018,227,151350,751,5356,2036,4977,308705,T
792453991,4852,36,955844,637,11570,1018,4921,308900,F
027456662,4789,47,1158938,2225,18078,1018,3058,308221,T
798200432,4746,39,185094,1625,48209,509,3083,308164,T
778791001,4753,34,922082,2410,8507,1018,3959,307938,T
313755804,4863,24,603012,1514,3178,509,3864,308597,T
994526591,4706,26,1091792,672,9974,1018,3278,307991,F
246006483,4848,35,242400,1807,3144,2545,5539,308683,T
951006723,4702,40,235100,1210,3856,2545,4608,308042,T
257400466,4456,289,588192,2515,4074,1018,3873,308522,T
226086901,2015,217,358670,593,7817,1018,4607,308943,T
827861405,4745,16,493480,1252,19283,2545,5363,308322,T
714943035,4691,24,469100,781,3077,2545,3760,308712,F
131751751,2002,225,94094,783,3213,2036,4660,308876,T
609572031,4732,22,615160,1384,28925,1527,6972,308285,T
640149955,2157,229,239427,1314,28925,2036,6590,308088,T
501301069,4718,33,316106,669,5785,1018,6312,308762,F
484456005,2105,222,23155,753,17015,2036,3916,308795,T
276277992,4719,23,976833,765,10330,1018,4834,307957,F
339373025,2141,251,458174,1854,4382,509,6134,308654,T
009343560,2178,250,365904,853,3403,2545,3902,308111,T
669564804,4789,33,493267,647,5259,1018,5141,308776,F
124162255,2008,21,347384,3571,4253,509,3889,308917,T
876437018,4840,43,430760,732,6427,2545,6526,308752,F
085373562,4738,20,530656,644,28925,2036,6504,308603,F
113326369,4764,25,1067136,2982,5457,2036,3583,308346,T
814718319,4859,28,349848,876,3756,2036,5342,308129,T
841923114,4759,36,280781,1589,6026,509,6092,308282,T
935506277,2005,218,292730,680,2892,1527,6643,308748,T
813883957,4837,39,1044792,1954,3756,509,4590,308075,T
565487709,2009,215,156702,1721,19283,2036,4687,308568,T
158817492,4732,38,913276,2051,4450,1018,6405,308594,T
871394612,2066,244,80574,1004,2982,1527,3294,308792,T
753475652,4818,45,443256,1055,10713,509,3560,308647,T
925660672,4726,20,940474,679,5562,2545,6573,308266,F
836403441,2006,229,264792,739,5671,1527,6126,308537,T
636313531,1987,238,45701,1205,3527,509,6083,308616,T
827996998,2131,246,42620,1087,6288,509,4693,308914,T
132786800,4817,39,640661,1297,7416,1527,4699,308277,T
763822842,4780,27,860400,1453,8264,509,3633,308360,T
720492281,4823,26,853671,1268,3806,2545,6610,308591,T
017030107,2110,248,158250,1059,3527,2036,7031,308868,T
856910152,2169,246,472842,1257,5562,1527,7041,308413,T
113276906,4794,35,901272,873,3908,509,6986,308653,T
841550466,2006,213,284852,668,3403,1527,6299,308604,T
226500573,4821,30,829212,578,3044,2036,5263,307938,F
298930506,2029,239,411887,592,3110,509,4583,308050,T
046769305,1856,11,354496,3363,3443,1527,3170,308607,F
327028988,1996,222,369260,1274,3485,2545,6666,308007,T
372553778,1984,248,273792,765,3962,2545,6781,308913,T
483882501,4685,29,84330,705,4074,2036,6308,308505,F
915033980,2119,217,194948,814,13148,1018,6701,308343,T
838694124,4689,22,956556,1161,11125,509,4860,308929,T
358877273,4842,30,493884,666,26296,2545,3044,308227,F
539375671,2043,242,283977,1866,7416,509,6390,308661,T
482434476,4819,45,732488,3908,48209,1527,6706,308530,T
593742838,4784,30,1057264,4017,5259,1527,6069,308050,T
201644341,4841,40,580920,915,3908,2545,6926,308854,T
889604026,2088,248,183744,1268,2982,1018,4836,308897,T
991154131,2150,218,251550,1397,9039,2545,6767,308250,T
705526753,2041,250,238797,1071,9641,2036,4610,308227,T
905538877,4825,33,955350,1878,2951,1018,5072,308695,T
