userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
503331407,4862,58,145860,606,4132,1018,4728,308741,F
736643441,2182,257,168014,606,1475,1527,3514,308736,T
476885037,2072,277,58016,606,2472,1527,3690,308298,T
830631077,4827,37,284793,606,1753,509,6548,308819,F
875834213,2059,263,63829,606,6026,2545,5460,308034,T
598233006,4826,26,390906,606,887,509,3298,308498,F
917433566,4899,64,127374,606,924,509,4729,308867,F
105477406,2198,220,96712,606,1063,509,4561,308373,T
518393655,2024,254,192280,606,1036,1527,5227,308006,T
886204591,4825,74,361875,606,2515,1018,6683,308818,F
645466277,4959,41,228114,606,868,2545,4600,308051,F
360304941,2079,219,120582,606,4017,2036,6453,308041,T
710834415,2252,278,211688,606,2728,1018,5347,308144,T
582058330,4738,52,198996,606,814,2036,3380,308255,F
456379606,2223,259,204516,606,5165,1527,6351,308656,T
166923864,4688,41,314096,606,1302,2545,6302,308670,F
992845558,4940,42,316160,606,26296,509,6063,308174,F
363162451,2235,250,122925,606,11570,1527,3524,308175,T
098670691,2260,271,99440,606,597,2545,6536,308277,T
646154509,4911,7,309393,606,736,1018,5063,308265,F
608833322,4930,40,197200,606,1994,2545,6994,308664,F
567172546,2088,242,41760,606,726,509,3228,308552,T
654039496,4903,36,107866,606,3110,2545,3615,308425,F
162004083,2028,232,154128,606,1351,1018,5080,308934,T
152703241,4887,27,273672,606,757,1527,7017,308232,F
636575699,1388,80,44416,606,4450,509,3612,308210,T
056665763,2041,247,75517,606,939,509,3715,308509,T
046190464,4762,28,414294,606,18078,509,6833,308151,F
179086275,4962,66,124050,606,1530,1018,3964,308026,F
365500208,2033,241,164673,606,801,509,6964,308544,T
709740696,2273,268,120469,606,582,509,5040,308813,T
448385820,4731,34,331170,606,3077,1018,3121,308329,F
707951329,2085,220,141780,606,881,2036,3059,308026,T
171698841,4869,25,155808,606,685,2545,3881,308635,F
811824160,4807,30,278806,606,1358,1018,5509,308143,F
364247149,2023,257,109242,606,2515,509,3561,308584,T
843247588,4783,54,157839,606,739,2036,3025,308071,F
787259941,2254,280,187082,606,41322,1018,3426,308419,T
554344129,4830,9,391230,606,783,1527,6239,308124,F
996758314,2217,263,99765,606,3213,2036,6580,308277,T
265010536,4769,48,319523,606,3708,1527,5188,307941,F
036842931,2000,250,78000,606,1274,2545,3840,308792,T
907292488,4952,52,277312,606,3661,2036,3566,308481,F
393915283,2142,245,186354,606,933,1527,4940,308499,T
872454663,4832,37,241600,606,755,2545,6578,308562,F
272807849,2237,262,105139,606,773,2545,3460,308565,T
331357852,2219,243,190834,606,675,1018,6892,308690,T
351443020,4828,68,149668,606,794,1018,3699,308629,F
269482838,4688,74,360976,606,2430,2036,3951,308276,F
838538607,2119,275,175877,606,679,2545,3254,307935,T
076466265,4736,10,232064,606,2158,2036,3181,308719,F
974632213,2179,256,54475,606,1643,1527,6327,308348,T
201470256,2268,215,188244,606,672,2545,6322,308063,T
629900125,4822,9,477378,606,2781,1527,7013,308419,F
395628653,2259,268,121986,606,1104,2036,3360,308847,T
942818187,4796,45,398068,606,3077,1527,6736,307957,F
835690006,4782,31,143460,606,2781,509,4575,307983,F
219748822,2275,248,86450,606,821,2036,7019,308900,T
911885950,2038,214,201762,606,1007,1018,3037,308753,T
355776979,4882,51,185516,606,1302,509,5241,308697,F
614731527,2203,271,165225,606,2295,509,5547,308740,T
741661381,4828,15,255884,606,1314,509,3978,308848,F
342502581,4714,11,169704,606,616,2545,4552,308602,F
816862653,1985,281,77415,606,3077,509,6153,308539,T
898091074,2252,239,162144,606,1320,1018,3035,308444,T
016422273,4964,77,243236,606,671,1018,6687,307971,F
197044680,4783,12,396989,606,2728,2545,5056,308296,F
128831813,2193,277,214914,606,948,2545,5378,308388,T
729819141,2269,252,158830,606,1297,1018,6906,308546,T
041864856,4860,66,145800,606,596,1018,3407,308767,F
578536259,4777,72,310505,606,590,1018,6172,308433,F
452586685,2035,236,99715,606,705,509,6682,308081,T
966419404,4775,7,210100,606,1345,1527,3680,307963,F
033799732,1582,131,47460,606,2863,509,3247,307978,T
731730782,4707,37,254178,606,921,2545,6358,308020,F
977068913,2252,238,99088,606,672,2545,3562,308286,T
685460332,2279,237,47859,606,1732,2036,3004,308081,T
662571512,4709,9,235450,606,607,2036,6256,308030,F
599236338,2044,255,136948,606,1166,509,6138,308749,T
096314665,4786,32,296732,606,12052,509,6769,308455,F
451205297,2054,220,112970,606,1036,2036,6425,308183,T
177854382,4907,9,157024,606,690,509,5000,308830,F
367308055,4898,61,372248,606,805,1527,3697,308427,F
536126680,2181,279,213738,606,1004,1018,5342,308280,T
265665133,2003,234,90135,606,909,2036,3621,308697,T
850001187,4864,24,116736,606,755,1018,3719,308313,F
222971142,1985,250,47640,606,1205,1018,6530,308547,T
478014766,4839,50,372603,606,1055,2036,3062,308382,F
874530905,2160,256,211680,606,622,1018,3463,308114,T
646049485,4798,48,335860,606,601,2036,5198,308321,F
444673640,4906,37,426822,606,1763,2545,6300,308752,F
643880220,1983,216,55524,606,2008,1018,3800,307950,T
091568229,4779,37,262845,606,603,2036,5217,308179,F
587777719,1587,114,111090,606,812,509,3608,308652,T
494210870,4954,25,381458,606,579,2036,6831,308861,F
988896757,2183,214,133163,606,4820,509,4898,308321,T
053187763,2145,231,85800,606,967,2036,6553,308654,T
505888270,4706,56,207064,606,890,1018,6842,308736,F
187799472,4860,58,170100,606,5259,1527,3804,308740,F
965832575,2273,268,175021,606,1460,1018,4641,308864,T
