userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
756306747,723,18,50610,1728,7968,963,6627,633111,T
993905725,3410,274,456940,2181,16874,963,4651,632589,T
691126969,3323,245,767613,1195,6519,963,5938,632894,T
084487303,3985,32,677450,5570,6594,1926,6221,633283,T
569022873,677,24,53483,2942,6996,2407,3216,632749,T
824935302,3349,257,170799,2189,6594,963,4835,632507,T
187232400,3323,266,475189,2056,6039,963,6643,633058,T
476850180,561,14,104346,1938,13993,963,6071,633296,T
584036910,564,1,20304,1163,6304,2407,4371,633031,T
461559472,3401,253,666596,1611,8562,1926,4827,632989,T
636595526,4344,49,264984,1205,8196,481,3820,633129,F
308506057,3868,62,584068,1315,5795,481,5045,632705,T
263944982,3491,265,48874,1754,95620,481,2978,632909,T
333978636,644,1,110124,1289,13993,2407,3104,632743,T
701413842,4352,66,983552,1197,11708,963,6210,633045,F
846056557,702,13,69498,1353,10824,963,4526,632800,T
087294283,3980,42,139300,4068,7968,481,6488,632725,T
178480202,632,1,76472,2132,9562,963,6755,632686,T
844789861,602,1,134848,1611,22948,963,4562,632831,T
169106686,4397,65,237438,1369,5795,963,5101,633114,T
529795544,3332,251,506464,3084,33748,481,5175,633261,T
857699739,3463,265,398245,7450,6304,1926,6386,633023,T
601452717,4520,32,158200,1868,8964,481,6048,633197,T
735987460,3928,37,314240,6519,7082,1926,6490,632845,T
156765768,3467,246,766207,1517,11249,2407,3268,633202,T
272467249,4481,64,932048,2332,35857,1444,5886,632569,T
281676431,3367,279,336700,2086,6374,963,5284,632726,T
438700106,3419,257,851331,1906,63746,963,3332,633379,T
228489909,647,14,101579,1702,12206,1444,6135,632435,T
289974618,598,7,136344,3456,11708,2407,6363,632971,T
361206322,4455,37,80190,1787,8080,963,6103,632844,T
660803798,3480,266,52200,1677,8196,1444,6747,633277,T
022897320,550,12,122100,1178,6103,1926,2975,632448,T
659929670,4451,47,1108299,1277,7859,963,3314,632571,F
546275059,3465,261,446985,1733,6169,481,4721,633377,T
254076781,3421,256,366047,1550,31873,481,6007,632473,T
560988156,4425,37,862875,1486,7649,1926,4300,633168,T
541586229,3441,252,368187,1471,63746,1444,5855,633048,T
462144828,4453,56,320616,1220,8437,1444,2843,632736,F
813855060,3365,280,151425,2883,6594,1926,6683,633130,T
306081940,678,1,114582,2561,12749,1926,3497,632567,T
751253682,4501,67,837186,2693,6749,1926,6202,632626,T
568013116,3439,242,79097,2093,6446,963,3449,633185,T
566148687,4419,31,1078236,1218,7355,1444,4505,633112,F
463524261,553,3,83503,1687,16392,481,6185,633401,T
430873989,3979,41,250677,4068,6749,481,3623,633199,T
068384286,3947,34,63152,1546,10824,481,3386,633083,T
876385592,567,4,6804,5032,15097,1926,5306,632566,T
738774762,3431,262,305359,6039,15936,963,5815,632639,T
562935008,681,23,50394,2798,14343,2407,5999,632970,T
080544244,4536,32,884520,1542,8562,481,6153,632545,T
236131014,3384,252,609120,1312,6446,963,2934,632842,T
018064310,4509,37,1109214,1505,5914,963,5800,632948,T
850239911,581,1,126077,1149,6374,1926,6386,632749,T
442846117,606,1,133320,1321,6996,963,3537,632904,T
051634386,4479,34,1016733,1233,15505,1926,6073,632625,F
612242077,3451,280,458983,4157,6749,2407,4566,633378,T
086786090,3476,261,208560,1580,12749,963,4983,632658,T
345958193,660,1,77880,1893,7649,1444,6148,632893,T
355673991,4434,51,274908,1682,7355,481,4944,633258,T
393365850,3460,270,62280,5263,7450,2407,4628,633349,T
215565766,619,24,53234,4413,6594,1444,5311,632894,T
397653215,3325,267,801325,1804,22948,963,3836,633014,T
374012422,588,1,135240,1218,6103,1926,5193,632949,T
027201059,4022,25,40220,4157,8826,1444,4379,633203,T
306173391,4533,65,870336,1385,6996,481,3831,632677,T
906285997,3906,32,42966,1445,17385,481,3478,633097,T
786568248,3345,252,317775,2927,47810,1926,3698,632747,T
541256062,4466,31,982520,1306,6304,481,3329,633351,F
954173661,3320,264,268920,7548,6236,963,5023,632970,T
899818347,3501,252,647685,1269,114744,963,6615,633277,T
527796852,3939,55,504192,4413,6830,2407,2952,633111,T
436486407,4440,67,892440,3876,12472,2407,4475,633245,T
276059971,3408,282,74976,1395,52156,481,3320,632660,T
787435584,4522,53,140182,1559,6996,2407,3590,633007,T
377061037,3503,273,87575,3956,8562,2407,6315,632496,T
809733149,3900,24,627900,7262,23905,481,6267,633259,T
685251716,591,1,79194,1559,7548,1926,3377,632727,T
631878926,3379,250,611599,2232,10824,481,6032,632500,T
085773623,4447,45,280161,1306,10065,481,4376,632585,F
025057163,3969,57,337365,7450,11474,481,4764,633153,T
075182960,3913,32,504777,4589,22066,2407,3783,633129,T
352737605,3470,270,742580,2294,11249,1444,6262,633199,T
247101214,4019,51,996712,2101,38248,481,5779,632623,T
129602391,3372,266,347316,3701,38248,2407,5270,633120,T
368371404,3488,248,844096,2380,14710,481,6410,633172,T
654042452,3331,280,399720,2304,6103,1926,6521,632809,T
667134152,4437,66,377145,2538,21248,1926,3384,632494,T
360379689,3476,268,156420,1382,23905,2407,3474,632761,T
809775963,694,19,64542,1409,6374,963,3187,632679,T
516300779,3337,253,100110,1233,6749,963,4809,632529,T
155295208,3404,273,197432,2156,8437,481,3213,632821,T
569012793,3446,254,151624,6519,6594,1444,5843,633084,T
709152795,645,1,160605,1571,6374,2407,5855,633262,T
748902755,551,2,65018,1303,6236,963,3459,633012,T
446971099,4529,54,1132250,1471,16392,481,4638,632491,T
364316512,3465,254,738045,4589,6103,2407,6132,632421,T
326623618,3964,52,210092,3278,7548,481,4661,633221,T
381913600,551,13,22040,3824,9253,481,5803,633099,T
379144397,647,1,67935,4040,11033,1926,6107,632436,T
267228391,3351,267,271431,1346,17385,1926,6619,632730,T
207071720,3427,253,68540,5570,33748,963,3403,633397,T
405454323,3320,250,723760,1220,7548,481,6544,632672,T
637373942,3347,252,398293,4068,9724,2407,6573,633090,T
167853053,4492,59,265028,1887,10431,2407,3566,632630,T
402767088,3861,32,320463,1978,10431,481,6157,632791,T
991214927,4513,29,437761,3003,5795,1926,3679,633204,T
052119176,3509,282,849178,1749,6039,963,5101,632398,T
052376385,588,21,110544,4447,12749,2407,4557,632654,T
603956074,4486,47,717760,3152,16874,1926,5839,632875,T
452789225,3508,271,768252,1452,52156,2407,5318,632469,T
211813182,3345,255,197355,1445,22066,481,4999,632927,T
859901061,3473,247,576518,1482,7649,2407,5791,632757,T
948476861,4026,37,225456,7082,24944,2407,3386,632519,T
308122240,4390,31,737520,1195,5914,481,3510,632422,F
290804445,3974,57,353686,5854,19783,1926,6048,632490,T
321175859,3486,279,376488,2380,6169,2407,5227,632915,T
354459261,3896,32,54544,3152,15505,1926,3201,632970,T
952777691,608,15,72960,1263,16874,481,4477,633286,T
706769725,3454,277,179608,2561,6671,963,3419,632599,T
969983437,4357,58,753761,2826,6374,1444,6223,632655,T
118965051,567,2,74277,1787,21248,1444,4989,633273,T
845854937,4424,55,760928,1490,11249,2407,3297,632934,T
665854468,4416,57,803712,2322,14343,2407,2939,632554,T
602477207,4444,57,888800,1580,13660,963,5857,632584,T
411200282,4528,59,733536,1456,13993,963,3602,632814,T
364987970,3463,245,422486,1620,15097,2407,3783,633345,T
557470676,700,20,155400,1978,8826,963,5856,632486,T
038928287,3372,257,225924,3135,7968,481,3731,633042,T
292838342,3416,249,153720,1349,15936,2407,6143,633216,T
020409727,4455,37,1073655,1697,10065,1926,4500,632876,T
312245305,4461,68,93681,2027,6236,2407,2876,633050,T
956947877,3867,29,564582,7649,52156,481,6654,632837,T
981241207,598,4,136344,5122,23905,1444,4986,632861,T
340245972,3445,279,792350,2078,6912,1444,4484,633147,T
030800880,3355,255,134200,1505,11249,481,3328,633267,T
179301397,575,1,100625,1672,23905,1444,5897,632787,T
234702273,4493,62,638006,1321,11708,481,6623,633255,F
258722662,3488,264,411584,2680,81960,1444,3251,632991,T
076738188,655,15,72050,5516,6446,2407,5934,633075,T
337113260,619,1,42711,1187,13342,2407,2963,632413,T
622860735,615,19,9225,2249,6169,481,4358,632722,T
136973351,3377,317,43901,6169,6996,2407,6729,633290,T
970100182,3422,281,301136,4098,5737,481,6071,632942,T
270446068,4494,68,323568,1263,9253,963,6070,633046,F
338204083,3386,260,209932,1529,47810,481,5989,632517,T
090806885,590,2,45430,2549,6374,1926,3234,632406,T
199719860,3394,258,325824,1298,19783,481,3064,633377,T
556478182,4466,41,844074,2619,5795,963,6186,633353,T
856590501,588,1,7644,1509,21248,1926,4457,633004,T
702774119,3418,265,290530,1190,23905,2407,4952,632875,T
346927230,3334,264,713476,1738,8437,1444,6345,633311,T
834626496,3450,257,89700,2771,10245,2407,3034,632880,T
043244303,3442,267,206520,2693,17928,1926,4495,632645,T
967974773,4421,34,1038935,2124,8562,2407,3369,632899,T
612179882,4449,40,146817,1589,11249,481,4597,633375,T
592073726,3340,282,691380,1971,10624,1926,3107,632606,T
325263799,3382,253,290852,2148,10624,481,4518,632609,T
903105249,3343,259,264097,3068,6039,963,5753,632710,T
927717527,540,23,95040,1682,17928,1926,5123,633124,T
544064232,682,1,53196,1951,7171,2407,3646,632574,T
807765563,3329,245,652484,1765,6304,481,4355,632460,T
370576467,662,14,103272,2117,20490,481,5106,632944,T
428791420,4022,52,555036,1759,8314,481,4390,633293,T
123097246,3335,249,140070,1402,13660,2407,5730,632989,T
516808114,3430,244,133770,1197,11249,481,5860,633177,T
864203730,585,6,33930,1190,13342,2407,5250,632541,T
807677894,3446,246,716768,3456,9106,481,5259,633243,T
139714231,721,20,110313,3774,11033,1444,5817,633155,T
076083029,3458,252,273182,1375,14710,1926,6220,633133,T
478572380,3365,278,403800,1289,8080,2407,4320,632870,T
360457442,4461,50,990342,1274,6304,2407,3565,633096,F
026980444,3371,271,525876,4379,14710,2407,3640,632667,T
022038459,4410,65,185220,2380,15097,1926,3452,632398,T
787989228,555,1,77700,1925,22066,2407,4617,632617,T
872143484,3383,267,206363,4517,71715,1444,5874,632745,T
064642204,3418,279,721198,6039,9562,2407,4429,632637,T
956169717,3858,60,729162,4012,5737,481,5020,633089,T
521371702,3460,267,110720,1497,13660,1926,2847,632791,T
728499852,4467,30,598578,2656,28686,963,6697,633104,T
662943091,4389,48,1070916,1180,7171,1444,5727,633227,F
600647303,628,1,128112,1349,12206,963,3495,632950,T
058376229,3438,270,440064,2313,6671,2407,5161,633308,T
049662919,3327,316,149715,1534,5976,2407,6671,632918,T
019420409,3358,255,396244,4781,10824,1926,3754,632849,T
615805521,3991,36,650533,5168,17385,1926,3839,632478,T
406060143,4414,28,816590,4781,10431,1926,3400,632617,T
943887218,4466,54,1031646,2148,19124,1926,2918,632868,T
425409668,4498,61,166426,2942,12206,1926,3645,632479,T
804534246,3431,247,295066,1389,23905,1444,4959,633380,T
138898408,4461,44,316731,2516,10431,963,6018,632943,T
132120572,636,9,15900,1218,7548,1444,5056,633038,T
457486319,3349,245,344947,2505,19783,2407,3776,632871,T
994308853,4419,47,1087074,1353,47810,1444,2908,632751,F
140772208,3320,243,428280,3241,47810,481,4947,632476,T
283452129,4360,62,174400,1192,8692,481,4353,632448,F
796653156,616,1,104104,1303,26078,1444,4969,632945,T
420365806,578,1,109820,1958,7968,2407,5317,632884,T
913542709,3356,317,231564,1653,14343,2407,6563,633394,T
757950295,722,11,69312,1490,19124,481,5040,632762,T
616989597,3434,259,130492,4821,12206,1444,6496,632979,T
976684547,692,4,158468,1616,7262,1444,4435,632814,T
607771548,545,20,71395,1899,9724,963,4432,632779,T
820413191,3341,256,290667,1463,14343,1926,4840,633290,T
209534024,3964,41,158560,4626,63746,1926,5791,633274,T
078099356,3494,250,129278,1328,7548,1926,3819,633148,T
309367066,3902,52,647732,1733,22948,481,4322,633318,T
313626906,3406,252,252044,1478,11474,1444,4813,632716,T
909287534,3362,254,702658,2572,8196,1926,5968,632818,T
208673911,3492,259,251424,1653,10824,963,6460,632513,T
859743579,3942,47,469098,5361,6236,2407,4643,632858,T
566993849,3375,258,239625,4040,9253,1926,5996,632723,T
881096106,3335,268,353510,5263,13993,1444,3824,633057,T
256164520,4491,44,911673,3259,14710,481,4527,633142,T
142143456,583,1,20405,1821,8080,2407,5218,633058,T
220424000,3924,38,682776,5854,8964,963,4796,633112,T
443596375,3507,272,687372,6594,6594,1926,6540,633034,T
418782941,3480,247,629880,1856,6169,481,6016,632404,T
662687765,3432,275,744744,1478,6236,1926,5986,632670,T
654783632,4382,61,276066,1467,6169,481,5984,632769,T
068986903,3491,243,233897,2400,13660,2407,6414,632420,T
487137762,4350,34,726450,2538,20490,963,3394,632828,T
865511994,629,16,31450,2527,6304,1444,3029,633284,T
825870770,4384,44,653216,1804,17385,2407,3745,632663,T
365879444,678,12,121362,1441,5914,2407,3766,633135,T
918277775,4448,53,88960,2117,8826,963,3625,633227,T
085420097,640,1,20480,3394,13993,2407,4460,633050,T
529133867,601,1,105776,1258,11474,963,6703,633083,T
548049843,3409,282,364763,1887,22066,1444,6018,632956,T
097483246,3332,271,299880,1832,38248,963,3656,632453,T
959724784,3365,268,289390,2719,6749,1926,6591,632898,T
117892137,3948,38,544824,2693,9562,481,5774,632549,T
641239427,3351,260,56967,1180,8080,2407,5282,633132,T
846443641,637,1,43953,1413,7649,2407,5012,633214,T
922654628,4437,56,985014,2148,16392,2407,6742,632438,T
868935989,3491,244,101239,1166,7859,963,3412,633091,T
521730387,3453,272,662976,2400,5976,963,3122,632973,T
398728769,4543,52,1072148,1312,19124,481,4993,632462,F
171106670,664,7,122176,2086,10245,481,6137,633391,T
401931036,4406,67,669712,1602,8826,481,6224,632525,T
966722622,3377,272,246521,1389,6374,963,4573,633129,T
714579382,672,1,33600,3415,15097,2407,4303,632984,T
337411933,654,15,36624,4379,11708,963,5323,633342,T
816488253,728,2,176176,1832,8692,1444,2915,632675,T
862971704,3888,53,544320,8196,11474,1926,3179,632870,T
548334061,3975,44,926175,1215,114744,481,6007,633373,T
429100449,3995,55,155805,5624,13660,481,3146,632430,T
981810787,4409,39,546716,1712,7859,481,6520,632621,T
924085804,595,2,8330,1359,6830,963,6725,632576,T
162064696,538,9,34432,3799,9724,1926,6386,632564,T
166377655,715,1,59345,1576,9106,963,4305,632553,T
099209038,3451,268,710906,3051,27320,1926,5909,633186,T
922959966,653,10,49628,1844,15936,2407,6632,632775,T
296008800,4407,63,163059,2241,5914,481,3564,632805,T
130394194,3330,282,176490,7171,16874,963,3040,632965,T
887844312,3384,274,639576,3084,7262,481,4613,633135,T
051347883,731,24,16082,1353,11474,963,6296,633279,T
342580288,4495,52,737180,1328,5976,1444,3452,633259,F
993613999,4443,48,817512,1765,18579,949,2833,838325,T
629562898,659,1,110712,1241,5737,481,6211,633188,T
159663187,3980,34,159200,1445,20490,481,2969,632669,T
539603492,3341,268,103571,1163,11033,963,4817,632848,T
328129193,4525,29,619925,1252,6304,963,3477,633386,F
563979962,4428,30,814752,2897,31873,481,3374,633071,T
400280081,4418,63,892436,3003,71715,963,2913,632462,T
352635005,4443,57,577590,1452,27320,481,6334,633168,T
442001815,3884,52,170896,1324,11249,481,3175,633221,T
004354948,4018,30,450016,4821,6304,1926,6615,632825,T
182862075,3906,44,617148,6912,27320,481,2994,632858,T
065753825,4376,53,914584,1190,8964,963,6425,632904,F
136633267,4517,53,302639,1505,11033,1444,3617,632495,T
419227448,733,18,163459,5624,6169,2407,4852,632791,T
146133465,3428,242,850144,1149,5795,481,2987,632516,T
508022078,4447,30,729308,2241,10624,481,3320,632711,T
570730006,4432,44,926288,2897,11474,481,3324,632784,T
830620554,576,1,47232,2668,22948,1444,5790,633383,T
993409370,3396,250,451668,2249,26078,1444,3809,632768,T
904196945,4441,68,1101368,4702,11474,963,2924,632666,T
934631059,3437,246,381507,4346,5737,963,3479,633271,T
205747134,601,1,48080,1992,9405,963,5172,633240,T
295355637,3352,247,248048,1629,57372,481,5022,632599,T
335995794,3404,278,459540,1534,114744,1444,4367,632582,T
795810620,689,23,55120,2034,6749,1444,3687,632543,T
896987825,3932,40,558344,4249,9891,963,4952,632679,T
069426926,3503,275,178653,1441,6446,481,6706,632983,T
283309664,4468,45,116168,2006,15505,963,5274,633118,T
751840491,3458,249,487578,1192,8692,2407,6662,632872,T
052043245,718,16,33746,3956,11033,1444,3785,633272,T
924595935,3836,26,84392,7968,9724,1926,6690,632619,T
949752071,3486,266,289338,1985,15936,1444,3461,632915,T
118950039,599,15,32346,2785,26078,963,5060,633092,T
006667824,650,1,133250,2942,11708,1444,3317,632803,T
296849829,3463,254,529839,1343,26078,481,5130,632687,T
498708551,3437,273,759577,3824,13342,1926,5822,633195,T
767183608,3483,258,696600,2527,13660,963,3843,632637,T
669766106,3424,279,804640,1856,6996,963,3431,632821,T
495358261,3876,43,538764,2294,10624,481,5090,633318,T
899087216,4395,39,865815,1672,38248,481,6635,633179,T
124521122,722,1,103246,1195,8692,1926,3082,633322,T
746765345,3358,244,476836,1228,6996,481,6275,633173,T
866453984,4518,60,203310,2656,6996,2407,3861,633330,T
248212454,4362,58,802608,2538,5795,963,3431,632441,T
621264735,613,13,42910,1856,17385,481,6151,633101,T
979565415,4367,54,698720,1231,7262,2407,4741,633301,F
343761323,4542,41,1017408,1406,17385,2407,4696,633317,T
308294697,4480,32,819840,4012,6830,1926,3356,632973,T
112542337,3340,271,708080,4741,7171,963,3535,633371,T
226962788,3917,37,485708,3477,16874,1926,3300,632719,T
196685344,733,13,91625,2883,19124,2407,6401,633214,T
925606848,3452,255,134628,1289,8314,963,5189,632593,T
876540528,3483,277,762777,1389,10824,1926,3884,632457,T
048546194,719,1,176155,2826,7752,1926,6268,633350,T
935896785,596,8,120392,1658,6446,1926,4346,633064,T
646900681,4392,33,685152,1944,6039,1444,3417,632491,T
411913285,3418,270,844246,1494,10431,1444,4678,632884,T
649531781,547,9,80956,1244,7548,1444,4790,633126,T
462160264,3382,272,317908,1629,95620,1926,4349,632907,T
585798379,3849,37,280977,3415,10431,1926,3243,632770,T
100419705,640,1,6400,1168,10431,1926,5884,632630,T
897728846,693,1,15246,7968,7262,1926,5128,632443,T
106684546,3908,28,347812,1992,33748,481,3255,632740,T
049540436,559,1,19565,2680,8080,963,5252,632938,T
841417668,4541,55,921823,1420,17928,481,5219,632496,T
805046208,631,1,49218,2572,11249,2407,6674,632868,T
831729472,3503,262,266228,2063,8826,2407,5250,632851,T
740698284,3499,261,426878,2785,26078,963,6460,632478,T
764977557,3421,272,338679,2285,11952,481,4294,632977,T
735066270,3468,250,554880,1187,16874,481,6316,632639,T
676873881,565,1,51980,2732,10065,1926,6639,632636,T
000574923,673,1,73357,1331,8196,2407,4531,632615,T
941788199,622,1,141194,1182,9891,2407,6698,633170,T
518189684,3395,246,308945,1887,22066,481,5821,632470,T
241090979,644,11,131376,1712,9253,481,5062,632500,T
802639621,4521,61,379764,1667,6749,963,6108,633081,T
877322258,4459,58,923013,2189,13993,963,5237,632482,T
884783450,693,16,145530,1225,12206,1926,5952,632537,T
191862361,4504,67,1112488,1269,13039,481,4305,632504,F
535067410,4369,42,61166,1359,17385,481,5762,632809,F
678884429,3943,59,532305,1372,6749,481,3625,633312,T
088183818,3455,279,729005,4862,15097,963,3084,632424,T
802760068,3409,251,589757,3316,7450,2407,6288,632563,T
045083136,3514,278,797678,5737,10624,963,6772,632899,T
690840184,647,11,69229,1992,5737,1444,6710,633386,T
097786953,3383,318,108256,1992,6169,2407,6708,632890,T
306699723,4368,32,563472,1356,33748,963,3467,633259,F
408749193,3913,56,113477,3435,12206,481,5316,632841,T
149290128,571,6,59955,1918,7082,963,3669,633350,T
210611630,3847,41,111563,1448,8196,481,6734,633276,T
330286185,3336,249,310248,3394,5914,1444,3223,632861,T
615329705,4410,41,882000,1356,6039,1444,6015,633134,F
