userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
432806202,824,11,39552,1315,7752,1444,5900,632843,T
999203232,4488,36,300696,1315,6304,963,3265,632512,F
873233820,638,32,38280,1315,4626,1926,3711,633400,T
306017140,4633,56,277980,1315,2322,963,3664,632572,F
777239904,4453,64,374052,1315,1850,2407,2934,633281,F
965640391,648,6,46656,1315,3585,1444,6619,632779,T
190939126,3365,269,323040,1315,1343,1444,3807,632521,T
546840081,4351,53,430749,1315,4517,963,3216,633040,F
474236242,3396,260,315828,1315,3019,1926,6244,633040,T
167409442,4354,41,156744,1315,6519,481,3756,632940,F
900822364,4536,60,122472,1315,2181,963,3445,632739,F
526511718,738,1,25092,1315,2785,1926,3469,633003,T
073671786,3332,295,283220,1315,3799,1926,3351,632691,T
957641400,4450,79,347100,1315,1874,963,3151,632863,F
654836022,637,32,14651,1315,1272,1926,3804,632777,T
205072215,4624,50,453152,1315,2785,963,4542,632686,F
359345236,3340,246,320640,1315,3335,2407,5049,633012,T
790230452,4542,65,336108,1315,3278,963,4670,632767,F
070915679,4403,83,171717,1315,2049,963,3736,632680,F
700455381,3534,266,74214,1315,3563,1444,2894,632637,T
624810743,3935,47,295125,1315,20490,481,5287,632760,T
933962901,4535,38,362800,1315,2189,1444,3047,632421,F
419172743,4586,79,220128,1315,3774,481,4344,632939,F
653595872,3511,296,154484,1315,2868,963,3139,632796,T
254495637,658,50,24346,1315,2294,1444,5269,633026,T
154134712,4606,56,92120,1315,1463,1444,3398,632858,F
511878893,3395,300,112035,1315,2656,2407,6458,632444,T
329008571,4538,92,349426,1315,2840,963,6277,633007,F
383487972,728,1,69160,1315,2561,2407,4641,633014,T
487625701,4551,86,286713,1315,5737,481,6476,632998,F
504623056,3326,255,232820,1315,7082,481,5103,632918,T
143114483,4621,55,365059,1315,6594,1926,3713,632762,F
456122618,3393,283,318942,1315,1389,963,3568,633155,T
639662798,4559,78,132211,1315,8826,481,5901,632633,F
841379346,697,15,37638,1315,1215,2407,5099,632646,T
879344943,4372,72,362876,1315,1918,481,3470,632977,F
033557148,590,10,47790,1315,3223,481,4786,632510,T
403059673,4483,80,210701,1315,1399,481,4646,632815,F
652758064,3341,270,93548,1315,1369,1926,3046,632416,T
546711427,4462,66,281106,1315,9405,481,5996,633067,F
413659456,720,1,46800,1315,1369,1926,3334,632397,T
055541061,4585,46,279685,1315,1233,481,6377,632951,F
626920576,3495,267,80385,1315,2472,963,5820,633312,T
460519148,4429,53,110725,1315,1225,1926,3509,633382,F
334725118,3471,288,138840,1315,4012,1444,5891,633027,T
069736300,4576,28,425568,1315,10065,481,5829,633251,F
327710616,3461,287,249192,1315,2596,481,3260,632694,T
951489876,4448,54,431456,1315,22948,963,6535,632706,F
293268972,3588,298,154284,1315,2173,1444,6512,633339,T
042577181,4538,33,176982,1315,3956,481,4402,633244,F
191854432,607,21,17603,1315,6749,1444,6012,633124,T
235891436,4418,65,318096,1315,1445,963,3383,633030,F
435062725,3437,260,274960,1315,3118,1926,3397,632924,T
442610581,4372,76,306040,1315,1584,963,6374,632617,F
137493801,3436,282,340164,1315,11708,963,5096,632521,T
088069732,4546,82,431870,1315,1874,963,5990,632416,F
780000619,3582,293,236412,1315,3498,1926,4339,633207,T
313678024,4493,63,422342,1315,1456,963,5296,632888,F
060256152,4001,27,392098,1315,1349,481,5003,632571,T
978615058,4368,88,371280,1315,1717,963,3036,632519,F
354110159,687,4,35037,1315,20490,1444,6561,632496,T
494857567,4609,92,308803,1315,2812,481,3592,632815,F
350116082,3591,245,168777,1315,2840,2407,3580,633111,T
527595642,4641,60,408408,1315,1340,963,5195,632647,F
848696255,3410,312,259160,1315,2826,2407,6438,633304,T
555584890,4620,90,291060,1315,1334,481,3431,632772,F
542236154,4605,32,124335,1315,1490,1444,3404,633260,F
761504048,3339,291,96831,1315,14343,1444,3750,632472,T
489969294,699,41,38445,1315,3035,2407,4996,632591,T
866043367,4412,84,300016,1315,2370,1444,2949,632884,F
054270452,3512,247,228280,1315,1149,1926,3152,633213,T
263521616,4599,71,390915,1315,1231,963,5147,632864,F
397604957,3346,298,97034,1315,3631,481,5327,633186,T
820558351,4446,77,337896,1315,1448,963,5999,632638,F
926621978,4425,92,411525,1315,9106,481,5158,632622,F
832865306,800,38,22400,1315,2706,1444,5796,632496,T
900150903,3461,296,207660,1315,1389,2407,6578,633251,T
202180096,4390,39,276570,1315,2164,963,2971,632961,F
493794792,3554,250,78188,1315,4068,481,2854,632449,T
789042092,4538,63,412958,1315,2596,481,4328,633040,F
686541306,740,28,28860,1315,18507,481,6436,633290,T
857734658,4574,46,393364,1315,3902,963,3784,632752,F
138602078,636,24,52152,1315,1809,1926,2958,632500,T
891189946,4602,95,372762,1315,1554,481,4707,633242,F
377036787,3997,41,343742,1315,1220,481,2925,633107,T
220408303,4618,76,152394,1315,3035,481,6088,632815,F
670187310,3976,38,302176,1315,4313,481,4296,632806,T
738189517,4580,50,430520,1315,2294,481,2956,632523,F
483964127,646,15,60078,1315,1289,481,3535,632788,T
499809745,4361,70,261660,1315,1759,1444,3014,633316,F
556610307,808,2,16968,1315,1318,2407,4596,632726,T
871685472,4388,45,333488,1315,2164,481,3710,632473,F
602991021,3597,264,100716,1315,3799,963,3770,632809,T
979157702,4379,79,433521,1315,2086,963,6017,632884,F
091023389,3376,273,259952,1315,5312,481,4337,633081,T
408828826,4409,57,224859,1315,4218,1926,3461,633278,F
262958058,4585,43,275100,1315,1978,481,5047,633351,F
804910909,731,1,67983,1315,19124,481,4590,632434,T
438359172,4555,31,159425,1315,1951,963,3461,632471,F
322644910,586,42,15822,1315,1692,1926,4603,632431,T
