userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
788520391,2612,68,253364,1465,9771,436,7361,480105,T
288064673,1990,28,189050,953,6606,2180,4727,480067,T
349018326,1037,12,83997,1196,33503,436,5172,480526,T
667174306,1136,5,148816,4187,9381,872,4605,480210,T
729030544,2696,73,253424,1093,6091,872,8825,479801,F
318672037,1853,359,307598,1254,5330,1308,4986,480518,T
084120666,1883,375,118629,1224,13795,436,4467,480358,T
557848237,1809,394,256878,1412,18762,872,5104,479541,T
783053033,1911,365,365001,969,12027,436,9454,480196,T
484610702,1105,28,97240,2030,19543,436,7105,480076,T
323576674,1983,374,144759,1391,15635,872,6640,479616,T
483873145,1922,396,355570,4078,6797,872,5196,479653,T
689433292,1888,372,249216,4786,14657,2180,4529,479999,T
387319675,2074,23,199104,1015,6425,1744,7313,479737,T
936802261,2548,96,453544,3280,7106,436,4534,479541,T
355194572,1848,392,258720,4835,4786,1308,4514,479576,T
003701060,1838,398,99252,1267,14213,436,6556,480315,T
989855629,1904,372,352240,1617,5790,2180,4500,479734,T
306489551,1934,378,108304,1537,46905,1308,6876,480048,T
116741260,1854,393,135342,2048,67007,1744,5012,479600,T
223201052,2694,81,404100,1651,8850,1308,8927,480092,T
799102507,1995,367,215460,1169,5518,2180,5115,479937,T
524207662,2675,69,323675,2508,29315,872,5109,479533,T
333202311,2721,86,519711,1868,6254,436,6683,480286,T
564853678,2536,79,443800,1876,6254,436,8940,480369,T
889185732,1119,7,82806,2265,8528,872,5289,479968,T
754218621,982,1,80524,4225,23452,436,9709,480070,T
135373789,1814,389,101584,1461,4835,2180,9470,479861,T
943072319,1928,360,441512,1522,7950,2180,6754,480211,T
316675328,992,8,51584,1995,8375,872,4378,479730,T
437746900,1876,384,193228,1811,5211,1308,6559,480391,T
986940928,1969,26,271722,3876,7689,1744,5133,479782,T
703522088,1843,360,143754,2093,9572,2180,4531,480169,T
006543380,1041,7,232143,1590,22335,872,5211,480302,T
330506905,1930,384,63690,5098,5651,1308,9127,480522,T
395008883,1053,4,194805,1175,9979,872,6914,479999,T
916692994,1892,387,402996,1756,11167,1308,5151,479555,T
165854183,2764,77,403544,4553,52117,872,5349,480317,T
098801712,1807,359,442715,4510,21320,436,9153,479892,T
689135507,1090,12,56680,1247,10196,436,7203,479671,T
819856446,1856,397,261696,943,6897,2180,4339,479845,T
569712591,2664,86,125208,4937,4690,1308,9448,479594,T
333704446,2664,74,50616,4150,5391,872,6863,480150,T
025539232,1919,382,46056,1178,4737,1308,7018,479916,T
637511327,1979,368,453191,1657,6338,436,5312,480000,T
585182857,1052,1,119928,4644,10660,436,8780,480153,T
503211275,1899,364,455760,945,46905,1308,4529,479600,T
251489967,1849,371,266256,1299,5098,1744,7390,479924,T
039121796,2575,87,224025,1417,4885,872,4889,480305,T
269539355,2086,24,120988,1489,8087,1308,6710,480437,T
992571239,2943,69,453222,4553,11167,1744,7248,479892,T
811152340,1821,363,92871,1876,7817,1308,8794,480006,T
393449077,2580,63,438600,1367,17372,1308,5329,479770,T
376511975,1967,359,49175,5720,4937,1744,7248,480191,T
889308280,1907,398,411912,1108,31270,436,4578,480065,T
842626399,1872,392,104832,2877,8087,872,5358,480376,T
037236104,2828,60,489244,3636,19543,1744,4586,480058,T
780818462,995,3,74625,2030,4937,436,9642,480137,T
352014549,2069,16,33104,1846,8087,1744,9015,479688,T
880778504,2925,42,687375,2368,7445,2180,5080,479647,T
835489677,969,17,38760,1336,26058,872,6658,480498,T
076232260,2075,18,329925,993,5937,1744,4597,479754,T
742779605,1076,2,85004,6091,5211,436,6751,480143,T
365569968,2874,75,436848,5454,11726,1744,6689,480189,T
589936451,1088,1,224128,1163,12677,436,4330,479804,T
